,cAMP,Ca,PKA,_CDK5,CK1.ParticleNumber,PP2AP,_PP2C,PP2B.ParticleNumber,PDEP,D.ParticleNumber,D34,D75,D137
0,0.0,0.0,0.0,0.0,99.9675,0.0,0.0,0.0,0.0,2999.03,0.0,0.0,0.0
1,0.0,4.3949807638,0.0,76.156,80.02781,0.0,3.6828596,0.013153446,0.0,2705.05,0.0,104.749255364,69.27411
2,0.0,6.817455793,0.0,75.22744,64.95072,0.0,6.761051,0.09659166,0.0,2570.03,0.0,202.626615293,118.77674
3,0.0,8.854356849,0.0,74.36356,52.64858,0.0,8.804919,0.253538,0.0,2460.57,0.0,289.744171449,150.65837
4,0.0,10.604457131,0.0,73.56037,42.67834,0.0,10.14621,0.4712698,0.0,2370.93,0.0,367.440761131,169.96767
5,0.0,12.12707039,0.0,72.81459,34.65443,0.0,10.99286,0.735816,0.0,2296.87,0.0,436.85109939,180.32267
6,0.0,13.46926193,0.0,72.12339,28.24536,0.0,11.48304,1.034555,0.0,2235.15,0.0,498.94808093,184.34332
7,0.0,14.66756075,0.0,71.48393,23.16897,0.0,11.71294,1.357174,0.0,2183.33,0.0,554.57002375,183.94599
8,0.0,15.74988277,0.0,70.89337,19.18621,0.0,11.75227,1.695677,0.0,2139.48,0.0,604.44469377,180.53934
9,0.0,16.73746149,0.0,70.34895,16.09739,0.0,11.65287,2.044103,0.0,2102.1,0.0,649.20565049,175.15916
10,0.0,17.64636037,0.0,69.84779,13.73607,0.0,11.45431,2.398073,0.0,2070.03,0.0,689.40955437,168.5636
11,0.0,18.48891612,0.0,69.38717,11.96453,0.0,11.18722,2.754403,0.0,2042.31,0.0,725.54467412,161.30991
12,0.0,19.27454093,0.0,68.9644,10.66931,0.0,10.87563,3.110796,0.0,2018.19,0.0,758.04203293,153.80058
13,0.0,20.01076817,0.0,68.57686,9.75729,0.0,10.53843,3.465608,0.0,1997.07,0.0,787.28278317,146.326
14,0.0,20.70363469,0.0,68.22208,9.1524,0.0,10.19048,3.817644,0.0,1978.46,0.0,813.60505069,139.0885
15,0.0,21.35779499,0.0,67.89747,8.79252,0.0,9.8434,4.166057,0.0,1961.94,0.0,837.31006799,132.22779
16,0.0,21.97724044,0.0,67.60077,8.62721,0.0,9.50616,4.510216,0.0,1947.21,0.0,858.66540344,125.83507
17,0.0,22.5653391,0.0,67.32995,8.61544,0.0,9.18555,4.849713,0.0,1933.98,0.0,877.9101551,119.96581
18,0.0,23.12479259,0.0,67.08276,8.72403,0.0,8.88653,5.184237,0.0,1922.04,0.0,895.25830059,114.64733
19,0.0,23.65799369,0.0,66.85729,8.92614,0.0,8.61263,5.513568,0.0,1911.19,0.0,910.89902669,109.88942
20,0.0,24.16691073,0.0,66.65181,9.20011,0.0,8.36609,5.837562,0.0,1901.29,0.0,925.00617673,105.68501
21,0.0,24.65354949,0.0,66.46459,9.52848,0.0,8.14819,6.156155,0.0,1892.21,0.0,937.73058649,102.0198
22,0.0,25.11937954,0.0,66.29401,9.89728,0.0,7.95939,6.469284,0.0,1883.83,0.0,949.21135754,98.87091
23,0.0,25.56574077,0.0,66.13865,10.29526,0.0,7.79949,6.776942,0.0,1876.08,0.0,959.57099977,96.21105
24,0.0,25.9940385,0.0,65.99726,10.71347,0.0,7.66783,7.079139,0.0,1868.86,0.0,968.9210655,94.01023
25,0.0,26.40537721,0.0,65.86858,11.14478,0.0,7.56333,7.375906,0.0,1862.13,0.0,977.36074921,92.23718
26,0.0,26.80061085,0.0,65.7514,11.58354,0.0,7.48469,7.66727,0.0,1855.81,0.0,984.98122485,90.86004
27,0.0,27.18090865,0.0,65.6447,12.0253,0.0,7.43036,7.95328,0.0,1849.87,0.0,991.86175365,89.84737
28,0.0,27.54699372,0.0,65.54764,12.4666,0.0,7.39871,8.23402,0.0,1844.26,0.0,998.07523572,89.16834
29,0.0,27.89971423,0.0,65.45931,12.90471,0.0,7.38802,8.50953,0.0,1838.95,0.0,1003.68765923,88.79366
30,0.0,28.23976932,0.0,65.37881,13.33759,0.0,7.39659,8.7799,0.0,1833.9,0.0,1008.75670632,88.69522
31,0.0,28.56776655,0.0,65.30557,13.76367,0.0,7.4227,9.04519,0.0,1829.1,0.0,1013.33697855,88.84648
32,0.0,28.88441322,0.0,65.23889,14.18177,0.0,7.46469,9.30548,0.0,1824.52,0.0,1017.47562622,89.22295
33,0.0,29.19019507,0.0,65.17807,14.59108,0.0,7.52097,9.56085,0.0,1820.14,0.0,1021.21537607,89.80121
34,0.0,29.48558984,0.0,65.12269,14.99099,0.0,7.59003,9.81138,0.0,1815.95,0.0,1024.59628884,90.56012
35,0.0,29.77129174,0.0,65.07215,15.38114,0.0,7.67042,10.05715,0.0,1811.92,0.0,1027.65177574,91.47982
36,0.0,30.04754698,0.0,65.0261,15.76129,0.0,7.7608,10.29825,0.0,1808.04,0.0,1030.41481798,92.54218
37,0.0,30.31495028,0.0,64.98404,16.13138,0.0,7.85994,10.53474,0.0,1804.31,0.0,1032.91214728,93.73033
38,0.0,30.57384518,0.0,64.94559,16.49138,0.0,7.96669,10.76673,0.0,1800.7,0.0,1035.17234618,95.02915
39,0.0,30.82459632,0.0,64.91054,16.84139,0.0,8.07998,10.99427,0.0,1797.22,0.0,1037.21582232,96.42449
40,0.0,31.06745767,0.0,64.87849,17.18156,0.0,8.19887,11.21745,0.0,1793.86,0.0,1039.06397267,97.90388
41,0.0,31.30297232,0.0,64.84918,17.51204,0.0,8.32244,11.43642,0.0,1790.6,0.0,1040.73715832,99.45553
42,0.0,31.53130429,0.0,64.82239,17.83307,0.0,8.44993,11.6511,0.0,1787.44,0.0,1042.25106029,101.06908
43,0.0,31.75278522,0.0,64.79772,18.14486,0.0,8.58059,11.86165,0.0,1784.37,0.0,1043.62193422,102.73491
44,0.0,31.96766067,0.0,64.7752,18.44767,0.0,8.71378,12.06829,0.0,1781.39,0.0,1044.86228167,104.44442
45,0.0,32.17627032,0.0,64.7545,18.74176,0.0,8.84891,12.27083,0.0,1778.5,0.0,1045.98594332,106.18986
46,0.0,32.37874839,0.0,64.73559,19.02739,0.0,8.98546,12.4695,0.0,1775.68,0.0,1047.00397739,107.96415
47,0.0,32.57544711,0.0,64.71807,19.30483,0.0,9.12295,12.6644,0.0,1772.95,0.0,1047.92586111,109.76085
48,0.0,32.76657783,0.0,64.70207,19.57435,0.0,9.26097,12.85555,0.0,1770.28,0.0,1048.76219583,111.57501
49,0.0,32.95228344,0.0,64.68722,19.83619,0.0,9.39915,13.04307,0.0,1767.68,0.0,1049.52001244,113.39981
50,0.0,33.13279621,0.0,64.67358,20.09061,0.0,9.53716,13.22687,0.0,1765.14,0.0,1050.20731221,115.23188
51,0.0,33.30832677,0.0,64.66102,20.33786,0.0,9.67472,13.40726,0.0,1762.67,0.0,1050.83037577,117.06789
52,0.0,33.47902724,0.0,64.64933,20.57819,0.0,9.81155,13.58416,0.0,1760.26,0.0,1051.39593424,118.90255
53,0.0,33.64501027,0.0,64.6386,20.81182,0.0,9.94745,13.75757,0.0,1757.9,0.0,1051.90948827,120.73359
54,0.0,33.80660572,0.0,64.62854,21.03899,0.0,10.08222,13.92771,0.0,1755.6,0.0,1052.37599872,122.5568
55,0.0,33.96382626,0.0,64.61927,21.25993,0.0,10.21567,14.09459,0.0,1753.36,0.0,1052.80044626,124.37196
56,0.0,34.11680248,0.0,64.61071,21.47482,0.0,10.34769,14.25823,0.0,1751.16,0.0,1053.18485148,126.17391
57,0.0,34.26585697,0.0,64.60271,21.6839,0.0,10.47814,14.41882,0.0,1749.02,0.0,1053.53561497,127.9635
58,0.0,34.41089834,0.0,64.5952,21.88732,0.0,10.6069,14.57628,0.0,1746.92,0.0,1053.85401734,129.73658
59,0.0,34.55226111,0.0,64.58824,22.08532,0.0,10.7339,14.73072,0.0,1744.87,0.0,1054.14448911,131.49306
60,0.0,34.68995371,0.0,64.58178,22.27806,0.0,10.85907,14.88215,0.0,1742.86,0.0,1054.40858071,133.23083
61,0.0,34.82409778,0.0,64.57569,22.46569,0.0,10.98232,15.03067,0.0,1740.9,0.0,1054.64874278,134.9488
62,0.0,34.95481456,0.0,64.56994,22.64841,0.0,11.10364,15.1764,0.0,1738.98,0.0,1054.86886556,136.64593
63,0.0,35.08220539,0.0,64.56459,22.82637,0.0,11.22295,15.31935,0.0,1737.1,0.0,1055.06963939,138.32112
64,0.0,35.20640094,0.0,64.55952,22.99973,0.0,11.34024,15.45951,0.0,1735.27,0.0,1055.25169494,139.97535
65,0.0,35.32751127,0.0,64.55482,23.1686,0.0,11.45551,15.59701,0.0,1733.47,0.0,1055.41918227,141.60559
66,0.0,35.44564885,0.0,64.55037,23.33321,0.0,11.56871,15.73184,0.0,1731.71,0.0,1055.57271185,143.21279
67,0.0,35.56082325,0.0,64.54615,23.49355,0.0,11.67985,15.86411,0.0,1729.99,0.0,1055.71233425,144.79594
