,cAMP,free_Ca,Ca*,PKA,_CDK5,CK1u,PP2AP,PP2A*Ca,_PP2C,PP2Bactive,PDEP,D,T34,T75,S137
0,0.0,0.0,0.0,0.0,0.0,99.9675,0.0,0.0,0.0,0.0,0.0,2999.03,0.0,0.0,0.0
1,0.0,3.14500983,4.39511983,0.0,76.1324,82.03073,0.0,0.03544983,0.0,0.013152258,0.0,2767.0,0.0,104.70424273,0.0
2,0.0,3.66092612,6.81763612,0.0,75.2298,68.62912,0.0,0.07454612,0.0,0.09650792,0.0,2679.83,0.0,202.57304662,0.0
3,0.0,4.03416913,8.85527913,0.0,74.3851,57.45396,0.0,0.10505913,0.0,0.2531021,0.0,2601.37,0.0,289.70405793,0.0
4,0.0,4.3408351,10.6068251,0.0,73.5966,48.1563,0.0,0.1294251,0.0,0.4700944,0.0,2530.68,0.0,367.4186301,0.0
5,0.0,4.6003709,12.1315009,0.0,72.8623,40.44732,0.0,0.1493909,0.0,0.7335413,0.0,2466.98,0.0,436.8440069,0.0
6,0.0,4.8250382,13.4760482,0.0,72.1801,34.08552,0.0,0.1661282,0.0,1.0309437,0.0,2409.53,0.0,498.9477302,0.0
7,0.0,5.0231753,14.6767153,0.0,71.5477,28.86562,0.0,0.1804453,0.0,1.352141,0.0,2357.71,0.0,554.5684083,0.0
8,0.0,5.2005054,15.7611054,0.0,70.9624,24.61291,0.0,0.1929054,0.0,1.689289,0.0,2310.95,0.0,604.4333594,0.0
9,0.0,5.3611519,16.7503519,0.0,70.4219,21.17784,0.0,0.2039119,0.0,2.036519,0.0,2268.73,0.0,649.1762089,0.0
10,0.0,5.5081363,17.6603363,0.0,69.9234,18.43245,0.0,0.2137563,0.0,2.389497,0.0,2230.6,0.0,689.3560263,0.0
11,0.0,5.6437145,18.5034145,0.0,69.4645,16.26714,0.0,0.2226545,0.0,2.745061,0.0,2196.17,0.0,725.4620785,0.0
12,0.0,5.7695985,19.2892985,0.0,69.0427,14.58826,0.0,0.2307685,0.0,3.1009,0.0,2165.05,0.0,757.9271045,0.0
13,0.0,5.8871315,20.0253315,0.0,68.6554,13.31591,0.0,0.2382215,0.0,3.455337,0.0,2136.94,0.0,787.1329035,0.0
14,0.0,5.9973918,20.7177918,0.0,68.3003,12.38207,0.0,0.2451118,0.0,3.807147,0.0,2111.53,0.0,813.4204848,0.0
15,0.0,6.1012231,21.3713231,0.0,67.975,11.72899,0.0,0.2515131,0.0,4.155431,0.0,2088.55,0.0,837.0903961,0.0
16,0.0,6.1993381,21.9900381,0.0,67.6774,11.30771,0.0,0.2574881,0.0,4.499557,0.0,2067.78,0.0,858.4113241,0.0
17,0.0,6.292315,22.577415,0.0,67.4053,11.07686,0.0,0.263085,0.0,4.839043,0.0,2049.0,0.0,877.623774,0.0
18,0.0,6.3806549,23.1361549,0.0,67.1568,11.00158,0.0,0.2683449,0.0,5.173558,0.0,2032.01,0.0,894.9404999,0.0
19,0.0,6.4647627,23.6687627,0.0,66.9299,11.05257,0.0,0.2733027,0.0,5.502886,0.0,2016.64,0.0,910.5538247,0.0
