# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?' 'r'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0 -NAN
 3.333333E-01 0 0 2 2 0 0 76 15 0 0 0 0 0 2936 64 0 0 0 0 0 0 0 64 0 2.877138E-02
 6.666667E-01 0 1 5 4 0 0 74 19 0 0 0 0 0 2868 132 0 0 0 0 0 0 0 132 0 3.182711E-02
 1.000000E+00 0 1 6 5 0 0 76 28 0 1 0 0 0 2801 199 0 0 0 0 0 0 0 199 0 3.352391E-02
 1.333333E+00 0 3 8 5 0 0 74 39 0 1 0 0 0 2747 253 0 0 0 0 0 0 0 253 0 3.233581E-02
 1.666667E+00 0 2 10 8 0 0 72 44 0 0 0 0 0 2685 315 0 0 0 0 0 0 0 315 0 3.077667E-02
 2.000000E+00 0 2 12 10 0 0 73 48 0 0 0 0 0 2643 357 0 0 0 0 0 0 0 357 0 2.925389E-02
 2.333333E+00 0 3 15 12 0 0 71 55 0 0 0 0 0 2595 405 0 0 0 0 0 0 0 405 0 2.902557E-02
 2.666667E+00 0 1 15 14 0 0 83 61 0 0 0 0 0 2564 436 0 0 0 0 0 0 0 436 0 3.166227E-02
 3.000000E+00 0 2 16 14 0 0 71 65 0 0 0 0 0 2522 478 0 0 0 0 0 0 0 478 0 3.269631E-02
 3.333333E+00 0 0 20 20 0 0 71 70 0 0 0 0 0 2470 530 0 0 0 0 0 0 0 530 0 3.213642E-02
 3.666667E+00 0 3 27 24 0 0 70 74 0 0 0 0 0 2438 562 0 0 0 0 0 0 0 562 0 3.281520E-02
 4.000000E+00 0 3 29 26 0 0 72 77 0 0 0 0 0 2398 602 0 0 0 0 0 0 0 602 0 3.357148E-02
 4.333333E+00 0 3 37 34 0 0 72 78 0 0 0 0 0 2383 617 0 0 0 0 0 0 0 617 0 3.354325E-02
 4.666667E+00 0 1 39 38 0 0 78 80 0 0 0 0 0 2343 657 0 0 0 0 0 0 0 657 0 3.394005E-02
 5.000000E+00 0 2 38 36 0 0 71 81 0 0 0 0 0 2336 664 0 0 0 0 0 0 0 664 0 3.366415E-02
 5.333333E+00 0 4 42 38 0 0 76 83 0 0 0 2 0 2313 687 0 0 0 0 0 0 0 687 0 3.385125E-02
 5.666667E+00 0 5 43 38 0 0 70 84 0 0 0 0 0 2266 734 0 0 0 0 0 0 0 734 0 3.492638E-02
 6.000000E+00 0 2 42 40 0 0 66 85 0 0 0 0 0 2238 762 0 0 0 0 0 0 0 762 0 3.532428E-02
 6.333333E+00 0 1 47 46 0 0 68 86 0 0 0 0 0 2221 779 0 0 0 0 0 0 0 779 0 3.640547E-02
 6.666667E+00 0 4 52 48 0 0 69 85 0 0 0 2 0 2201 799 0 0 0 0 0 0 0 799 0 3.656386E-02
 7.000000E+00 0 1 55 54 0 0 79 86 0 0 0 0 0 2190 810 0 0 0 0 0 0 0 810 0 3.688810E-02
 7.333333E+00 0 3 57 54 0 0 66 88 0 0 0 0 0 2158 842 0 0 0 0 0 0 0 842 0 3.675434E-02
 7.666667E+00 0 2 64 62 0 0 69 91 0 0 0 0 0 2138 862 0 0 0 0 0 0 0 862 0 3.682730E-02
 8.000000E+00 0 2 70 68 0 0 68 91 0 0 0 0 0 2126 874 0 0 0 0 0 0 0 874 0 3.687332E-02
 8.333333E+00 0 2 74 72 0 0 65 93 0 0 0 0 0 2096 904 0 0 0 0 0 0 0 904 0 3.685682E-02
 8.666667E+00 0 2 74 72 0 0 59 95 0 0 0 0 0 2085 915 0 0 0 0 0 0 0 915 0 3.720065E-02
 9.000000E+00 0 5 77 72 0 0 64 97 0 0 0 1 0 2069 931 0 0 0 0 0 0 0 931 0 3.751679E-02
 9.333333E+00 0 4 80 76 0 0 76 97 0 0 0 1 0 2054 946 0 0 0 0 0 0 0 946 0 3.824411E-02
 9.666667E+00 0 7 83 76 0 0 74 97 0 0 0 1 0 2051 949 0 0 0 0 0 0 0 949 0 3.819527E-02
 1.000000E+01 0 3 85 82 0 0 63 98 0 0 0 0 0 2031 969 0 0 0 0 0 0 0 969 0 3.863492E-02
 1.033333E+01 0 4 90 86 0 0 65 99 0 0 0 0 0 2047 953 0 0 0 0 0 0 0 953 0 3.867774E-02
 1.066667E+01 0 4 92 88 0 0 64 99 0 0 0 0 0 2051 949 0 0 0 0 0 0 0 949 0 3.858869E-02
 1.100000E+01 0 3 93 90 0 0 64 99 0 0 0 0 0 2039 961 0 0 0 0 0 0 0 961 0 3.904870E-02
 1.133333E+01 0 5 93 88 0 0 66 99 0 0 0 2 0 2051 949 0 0 0 0 0 0 0 949 0 3.907893E-02
 1.166667E+01 0 5 95 90 0 0 70 99 0 0 0 2 0 2027 973 0 0 0 0 0 0 0 973 0 3.903267E-02
 1.200000E+01 0 3 97 94 0 0 71 99 0 0 0 3 0 2040 960 0 0 0 0 0 0 0 960 0 3.933566E-02
 1.233333E+01 0 2 98 96 0 0 75 99 0 0 0 0 0 2028 972 0 0 0 0 0 0 0 972 0 3.951626E-02
 1.266667E+01 0 3 101 98 0 0 57 99 0 0 0 0 0 2009 991 0 0 0 0 0 0 0 991 0 3.995124E-02
 1.300000E+01 0 1 102 101 0 0 70 100 0 1 0 3 0 2010 990 0 0 0 0 0 0 0 990 0 3.993818E-02
 1.333333E+01 0 1 104 103 0 0 61 100 0 1 0 0 0 1994 1006 0 0 0 0 0 0 0 1006 0 3.998599E-02
 1.366667E+01 0 3 107 104 0 0 64 100 0 0 0 0 0 1970 1030 0 0 0 0 0 0 0 1030 0 4.003756E-02
 1.400000E+01 0 4 110 106 0 0 74 100 0 0 0 2 0 1982 1018 0 0 0 0 0 0 0 1018 0 3.994169E-02
 1.433333E+01 0 4 114 110 0 0 64 99 0 0 0 5 0 1981 1019 0 0 0 0 0 0 0 1019 0 4.042683E-02
 1.466667E+01 0 3 115 112 0 0 74 98 0 0 0 6 0 1986 1014 0 0 0 0 0 0 0 1014 0 4.062792E-02
 1.500000E+01 0 3 115 112 0 0 70 96 0 0 0 5 0 1978 1022 0 0 0 0 0 0 0 1022 0 4.065357E-02
 1.533333E+01 0 5 115 110 0 0 71 95 0 0 0 3 0 1980 1020 0 0 0 0 0 0 0 1020 0 4.067609E-02
 1.566667E+01 0 1 119 118 0 0 62 92 0 0 0 2 0 1970 1030 0 0 0 0 0 0 0 1030 0 4.103949E-02
 1.600000E+01 0 8 125 117 0 0 61 92 0 1 0 2 0 1967 1033 0 0 0 0 0 0 0 1033 0 4.143651E-02
 1.633333E+01 0 7 123 116 0 0 66 92 1 0 0 1 0 1975 1025 0 0 0 0 0 0 0 1025 0 4.149659E-02
 1.666667E+01 0 6 124 118 0 0 65 92 1 0 0 5 0 1966 1034 0 0 0 0 0 0 0 1034 0 4.181288E-02
 1.700000E+01 0 3 125 122 0 0 72 93 0 0 0 1 0 1964 1036 0 0 0 0 0 0 0 1036 0 4.197945E-02
 1.733333E+01 0 5 127 122 0 0 64 93 0 0 0 2 0 1959 1041 0 0 0 0 0 0 0 1041 0 4.177423E-02
 1.766667E+01 0 1 129 128 0 0 60 91 0 0 0 4 0 1961 1039 0 0 0 0 0 0 0 1039 0 4.178245E-02
 1.800000E+01 0 3 133 130 0 0 69 90 0 0 0 6 0 1970 1030 0 0 0 0 0 0 0 1030 0 4.184121E-02
 1.833333E+01 0 8 136 128 0 0 62 86 0 0 0 1 0 1976 1024 0 0 0 0 0 0 0 1024 0 4.181416E-02
 1.866667E+01 0 6 139 133 0 0 62 86 0 1 0 1 0 1950 1050 0 0 0 0 0 0 0 1050 0 4.214036E-02
 1.900000E+01 0 2 139 137 0 0 66 87 0 1 0 1 0 1963 1037 0 0 0 0 0 0 0 1037 0 4.221684E-02
 1.933333E+01 0 8 141 133 0 0 57 89 1 1 0 2 0 1969 1031 0 0 0 0 0 0 0 1031 0 4.249495E-02
 1.966667E+01 0 5 143 138 0 0 60 89 0 0 0 3 0 1965 1035 0 0 0 0 0 0 0 1035 0 4.288737E-02
 2.000000E+01 0 5 143 138 0 0 58 90 0 0 0 3 0 1963 1037 0 0 0 0 0 0 0 1037 0 4.294682E-02
 2.033333E+01 0 10 141 131 0 0 59 91 0 1 0 4 0 1961 1039 0 0 0 0 0 0 0 1039 0 4.295506E-02
 2.066667E+01 0 3 143 140 0 0 67 92 0 0 0 7 0 1964 1036 0 0 0 0 0 0 0 1036 0 4.322899E-02
 2.100000E+01 0 10 144 134 0 0 60 91 0 0 0 5 0 1968 1032 0 0 0 0 0 0 0 1032 0 4.321818E-02
 2.133333E+01 0 3 143 140 0 0 60 90 0 2 0 7 0 1967 1033 0 0 0 0 0 0 0 1033 0 4.325061E-02
 2.166667E+01 0 6 145 139 0 0 55 88 2 3 0 4 0 1960 1040 0 0 0 0 0 0 0 1040 0 4.360473E-02
 2.200000E+01 0 5 147 142 0 0 65 89 0 0 0 0 0 1945 1055 0 0 0 0 0 0 0 1055 0 4.373971E-02
 2.233333E+01 0 6 150 144 0 0 62 90 0 0 0 5 0 1935 1065 0 0 0 0 0 0 0 1065 0 4.397740E-02
 2.266667E+01 0 7 151 144 0 0 66 90 0 0 0 2 0 1962 1038 0 0 0 0 0 0 0 1038 0 4.396356E-02
 2.300000E+01 0 4 151 147 0 0 75 89 0 1 0 6 0 1968 1032 0 0 0 0 0 0 0 1032 0 4.383449E-02
 2.333333E+01 0 8 152 144 0 0 69 88 0 0 0 4 0 1959 1041 0 0 0 0 0 0 0 1041 0 4.394457E-02
 2.366667E+01 0 5 153 148 0 0 67 88 0 0 0 1 0 1954 1046 0 0 0 0 0 0 0 1046 0 4.409128E-02
 2.400000E+01 0 3 151 148 0 0 71 90 0 0 0 4 0 1962 1038 0 0 0 0 0 0 0 1038 0 4.423807E-02
 2.433333E+01 0 3 155 152 0 0 71 91 0 0 0 4 0 1953 1047 0 0 0 0 0 0 0 1047 0 4.417273E-02
 2.466667E+01 0 7 155 148 0 0 57 91 0 0 0 3 0 1962 1038 0 0 0 0 0 0 0 1038 0 4.436777E-02
 2.500000E+01 0 7 155 148 0 0 70 91 0 0 0 3 0 1945 1055 0 0 0 0 0 0 0 1055 0 4.440318E-02
 2.533333E+01 0 5 157 152 0 0 68 89 0 0 0 3 0 1937 1063 0 0 0 0 0 0 0 1063 0 4.444570E-02
 2.566667E+01 0 8 160 152 0 0 57 91 0 0 0 2 0 1938 1062 0 0 0 0 0 0 0 1062 0 4.444147E-02
 2.600000E+01 0 9 163 154 0 0 70 91 0 0 0 3 0 1941 1059 0 0 0 0 0 0 0 1059 0 4.457232E-02
 2.633333E+01 0 9 165 156 0 0 64 91 0 0 0 2 0 1934 1066 0 0 0 0 0 0 0 1066 0 4.452166E-02
 2.666667E+01 0 10 170 160 0 0 68 94 0 0 0 6 0 1937 1063 0 0 0 0 0 0 0 1063 0 4.449330E-02
 2.700000E+01 0 6 172 166 0 0 62 93 0 0 0 8 0 1941 1059 0 0 0 0 0 0 0 1059 0 4.468114E-02
 2.733333E+01 0 9 175 166 0 0 66 93 0 0 0 2 0 1938 1062 0 0 0 0 0 0 0 1062 0 4.487728E-02
 2.766667E+01 0 6 178 172 0 0 54 93 0 0 0 3 0 1952 1048 0 0 0 0 0 0 0 1048 0 4.498505E-02
 2.800000E+01 0 6 185 179 0 0 64 95 0 1 0 2 0 1963 1037 0 0 0 0 0 0 0 1037 0 4.499013E-02
 2.833333E+01 0 5 186 181 0 0 64 96 0 1 0 3 0 1972 1028 0 0 0 0 0 0 0 1028 0 4.517679E-02
 2.866667E+01 0 7 187 180 0 0 66 96 1 0 0 6 0 1976 1024 0 0 0 0 0 0 0 1024 0 4.529966E-02
 2.900000E+01 0 6 190 184 0 0 54 94 0 0 0 3 0 1971 1029 0 0 0 0 0 0 0 1029 0 4.533760E-02
 2.933333E+01 0 4 194 190 0 0 74 93 0 0 0 2 0 1974 1026 0 0 0 0 0 0 0 1026 0 4.540733E-02
 2.966667E+01 0 9 195 186 0 0 63 91 0 0 0 5 0 1981 1019 0 0 0 0 0 0 0 1019 0 4.552613E-02
 3.000000E+01 0 5 199 194 0 0 65 90 0 0 0 3 0 1975 1025 0 0 0 0 0 0 0 1025 0 4.565729E-02
 3.033333E+01 0 5 203 198 0 0 60 90 0 0 0 4 0 1976 1024 0 0 0 0 0 0 0 1024 0 4.571879E-02
 3.066667E+01 0 9 202 193 0 0 61 90 0 1 0 6 0 1983 1017 0 0 0 0 0 0 0 1017 0 4.585157E-02
 3.100000E+01 0 6 201 195 0 0 66 89 0 1 0 7 0 1978 1022 0 0 0 0 0 0 0 1022 0 4.587114E-02
 3.133333E+01 0 7 203 196 0 0 61 90 1 2 0 4 0 1991 1009 0 0 0 0 0 0 0 1009 0 4.596096E-02
 3.166667E+01 0 4 205 201 0 0 67 90 1 1 0 1 0 1992 1008 0 0 0 0 0 0 0 1008 0 4.595939E-02
 3.200000E+01 0 6 210 204 0 0 67 89 1 0 0 6 0 1992 1008 0 0 0 0 0 0 0 1008 0 4.607601E-02
