# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 69 81 0 0 0 0 0 2899 101 0 0 0 0 0 0 0 101 0
 1.000000E+00 0 2 14 0 74 68 0 0 0 0 0 2785 215 0 0 0 0 0 0 0 215 0
 1.500000E+00 0 2 24 0 77 54 0 0 0 0 0 2708 292 0 0 0 0 0 0 0 292 0
 2.000000E+00 0 4 24 0 81 44 0 0 0 0 0 2641 359 0 0 0 0 0 0 0 359 0
 2.500000E+00 0 1 29 0 71 35 0 0 0 0 0 2567 433 0 0 0 0 0 0 0 433 0
 3.000000E+00 0 0 36 0 72 31 0 0 0 0 0 2520 480 0 0 0 0 0 0 0 480 0
 3.500000E+00 0 4 40 0 70 24 0 0 0 0 0 2460 540 0 0 0 0 0 0 0 540 0
 4.000000E+00 0 2 48 0 73 20 0 0 0 0 0 2391 609 0 0 0 0 0 0 0 609 0
 4.500000E+00 0 2 54 0 80 17 0 0 0 0 0 2341 659 0 0 0 0 0 0 0 659 0
 5.000000E+00 0 4 60 0 69 13 0 0 0 0 0 2281 719 0 0 0 0 0 0 0 719 0
 5.500000E+00 0 6 64 0 67 11 0 0 0 0 0 2249 751 0 0 0 0 0 0 0 751 0
 6.000000E+00 0 2 64 0 70 6 0 0 0 1 0 2239 761 0 0 0 0 0 0 0 761 0
 6.500000E+00 0 4 68 0 71 4 0 0 0 1 0 2188 812 0 0 0 0 0 0 0 812 0
 7.000000E+00 0 5 73 0 63 3 0 0 0 1 0 2170 830 0 0 0 0 0 0 0 830 0
 7.500000E+00 0 1 75 0 66 1 0 0 0 0 0 2143 857 0 0 0 0 0 0 0 857 0
 8.000000E+00 0 4 76 0 68 1 0 0 0 1 0 2147 853 0 0 0 0 0 0 0 853 0
 8.500000E+00 0 5 87 0 62 1 0 0 0 2 0 2152 848 0 0 0 0 0 0 0 848 0
 9.000000E+00 0 5 91 0 69 2 0 0 0 0 0 2121 879 0 0 0 0 0 0 0 879 0
 9.500000E+00 0 5 93 0 64 2 0 0 0 1 0 2109 891 0 0 0 0 0 0 0 891 0
 1.000000E+01 0 3 99 0 66 2 0 0 0 1 0 2092 908 0 0 0 0 0 0 0 908 0
 1.050000E+01 0 5 105 0 59 4 0 0 0 3 0 2062 938 0 0 0 0 0 0 0 938 0
 1.100000E+01 0 4 106 0 65 6 0 0 0 2 0 2030 970 0 0 0 0 0 0 0 970 0
 1.150000E+01 0 4 108 0 64 6 0 0 0 1 0 2043 957 0 0 0 0 0 0 0 957 0
 1.200000E+01 0 4 112 0 70 6 0 0 0 2 0 2030 970 0 0 0 0 0 0 0 970 0
 1.250000E+01 0 3 119 0 71 4 0 0 0 5 0 2015 985 0 0 0 0 0 0 0 985 0
 1.300000E+01 0 4 128 0 63 7 0 0 0 3 0 2012 988 0 0 0 0 0 0 0 988 0
 1.350000E+01 0 4 132 0 70 9 0 0 0 3 0 2012 988 0 0 0 0 0 0 0 988 0
 1.400000E+01 0 6 134 0 55 8 0 0 0 1 0 1987 1013 0 0 0 0 0 0 0 1013 0
 1.450000E+01 0 6 136 0 69 7 0 0 0 1 0 1986 1014 0 0 0 0 0 0 0 1014 0
 1.500000E+01 0 4 140 0 64 6 0 0 0 1 0 1987 1013 0 0 0 0 0 0 0 1013 0
 1.550000E+01 0 7 141 0 72 5 0 0 0 1 0 1982 1018 0 0 0 0 0 0 0 1018 0
 1.600000E+01 0 4 141 0 69 3 0 1 0 0 0 1972 1028 0 0 0 0 0 0 0 1028 0
 1.650000E+01 0 7 138 0 67 2 0 1 0 1 0 1942 1058 0 0 0 0 0 0 0 1058 0
 1.700000E+01 0 2 139 0 67 2 0 1 0 1 0 1936 1064 0 0 0 0 0 0 0 1064 0
 1.750000E+01 0 6 137 0 73 2 0 1 0 4 0 1919 1081 0 0 0 0 0 0 0 1081 0
 1.800000E+01 0 9 143 0 73 2 0 0 0 5 0 1953 1047 0 0 0 0 0 0 0 1047 0
 1.850000E+01 0 3 145 0 65 4 0 0 0 3 0 1929 1071 0 0 0 0 0 0 0 1071 0
 1.900000E+01 0 4 154 0 62 4 0 0 0 3 0 1926 1074 0 0 0 0 0 0 0 1074 0
 1.950000E+01 0 4 162 0 58 2 0 0 0 3 0 1921 1079 0 0 0 0 0 0 0 1079 0
 2.000000E+01 0 8 170 0 61 2 0 0 0 0 0 1936 1064 0 0 0 0 0 0 0 1064 0
 2.050000E+01 0 9 173 0 59 3 0 0 0 6 0 1930 1070 0 0 0 0 0 0 0 1070 0
 2.100000E+01 0 7 171 0 66 5 0 0 0 4 0 1925 1075 0 0 0 0 0 0 0 1075 0
 2.150000E+01 0 5 172 0 66 7 0 1 0 1 0 1907 1093 0 0 0 0 0 0 0 1093 0
 2.200000E+01 0 6 174 0 65 5 0 0 0 4 0 1909 1091 0 0 0 0 0 0 0 1091 0
 2.250000E+01 0 4 178 0 59 9 0 0 0 5 0 1920 1080 0 0 0 0 0 0 0 1080 0
 2.300000E+01 0 8 184 0 62 10 0 0 0 4 0 1926 1074 0 0 0 0 0 0 0 1074 0
 2.350000E+01 0 8 190 0 66 10 0 0 0 5 0 1927 1073 0 0 0 0 0 0 0 1073 0
 2.400000E+01 0 2 194 0 64 10 0 0 0 3 0 1939 1061 0 0 0 0 0 0 0 1061 0
 2.450000E+01 0 6 200 0 62 12 0 0 0 7 0 1939 1061 0 0 0 0 0 0 0 1061 0
 2.500000E+01 0 4 204 0 57 15 0 0 0 8 0 1959 1041 0 0 0 0 0 0 0 1041 0
 2.550000E+01 0 10 207 0 62 14 0 1 0 7 0 1961 1039 0 0 0 0 0 0 0 1039 0
 2.600000E+01 0 9 209 0 60 17 0 0 0 6 0 1946 1054 0 0 0 0 0 0 0 1054 0
 2.650000E+01 0 5 211 0 68 15 0 0 0 4 0 1933 1067 0 0 0 0 0 0 0 1067 0
 2.700000E+01 0 8 207 0 68 11 0 1 0 8 0 1949 1051 0 0 0 0 0 0 0 1051 0
 2.750000E+01 0 8 211 0 54 9 0 1 0 9 0 1951 1049 0 0 0 0 0 0 0 1049 0
 2.800000E+01 0 9 208 0 72 10 0 1 0 11 0 1949 1051 0 0 0 0 0 0 0 1051 0
 2.850000E+01 0 5 209 0 70 10 0 0 0 2 0 1959 1041 0 0 0 0 0 0 0 1041 0
 2.900000E+01 0 6 214 0 66 12 0 0 0 6 0 1953 1047 0 0 0 0 0 0 0 1047 0
 2.950000E+01 0 6 218 0 62 15 0 0 0 12 0 1969 1031 0 0 0 0 0 0 0 1031 0
 3.000000E+01 0 7 225 0 66 13 0 0 0 5 0 1970 1030 0 0 0 0 0 0 0 1030 0
 3.050000E+01 0 10 222 0 69 19 0 0 0 8 0 1966 1034 0 0 0 0 0 0 0 1034 0
 3.100000E+01 0 7 223 0 71 19 0 0 0 7 0 1938 1062 0 0 0 0 0 0 0 1062 0
 3.150000E+01 0 10 222 0 72 17 0 0 0 7 0 1937 1063 0 0 0 0 0 0 0 1063 0
 3.200000E+01 0 15 227 0 59 18 0 0 0 11 0 1946 1054 0 0 0 0 0 0 0 1054 0
