# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 12 0 76 79 0 0 4 0 0 2820 110 0 70 0 0 0 0 0 110 70
 1.000000E+00 0 1 19 0 65 65 0 0 4 0 0 2665 202 0 124 9 0 0 0 0 211 133
 1.500000E+00 0 1 25 0 70 55 0 0 9 0 0 2538 292 0 152 18 0 0 0 0 310 170
 2.000000E+00 0 5 33 0 75 36 0 0 7 2 0 2430 370 0 182 18 0 0 0 0 388 200
 2.500000E+00 0 2 38 0 66 29 0 0 10 0 0 2355 434 0 191 20 0 0 0 0 454 211
 3.000000E+00 0 2 42 0 78 26 0 0 10 0 0 2306 481 0 186 27 0 0 0 0 508 213
 3.500000E+00 0 4 48 0 65 23 0 0 8 0 0 2253 536 0 181 30 0 0 0 0 566 211
 4.000000E+00 0 3 47 0 78 24 0 0 7 1 0 2191 589 0 185 35 0 0 0 0 624 220
 4.500000E+00 0 7 53 0 75 17 0 0 11 1 0 2153 628 0 190 29 0 0 0 0 657 219
 5.000000E+00 0 4 56 0 62 16 0 0 9 0 0 2126 658 0 180 36 0 0 0 0 694 216
 5.500000E+00 0 0 60 0 65 10 0 0 10 0 0 2100 684 0 167 49 0 0 0 0 733 216
 6.000000E+00 0 5 62 0 58 7 0 1 8 0 0 2083 707 0 167 43 0 0 0 0 750 210
 6.500000E+00 0 4 65 0 66 6 0 1 8 0 0 2073 733 0 151 43 0 0 0 0 776 194
 7.000000E+00 0 5 71 0 65 6 0 0 7 1 0 2027 793 0 137 43 0 0 0 0 836 180
 7.500000E+00 0 6 78 0 68 6 0 0 10 0 0 2003 824 0 136 37 0 0 0 0 861 173
 8.000000E+00 0 3 81 0 65 7 0 0 8 2 0 2004 836 0 121 39 0 0 0 0 875 160
 8.500000E+00 0 4 84 0 56 6 0 0 11 0 0 1988 857 0 120 35 0 0 0 0 892 155
 9.000000E+00 0 6 82 0 64 5 0 0 9 0 0 1985 867 0 113 35 0 0 0 0 902 148
 9.500000E+00 0 3 87 0 57 3 0 0 4 1 0 1978 882 0 104 36 0 0 0 0 918 140
 1.000000E+01 0 7 89 0 66 3 0 0 8 2 0 1970 891 0 101 38 0 0 0 0 929 139
 1.050000E+01 0 5 93 0 56 2 0 0 11 3 0 1976 895 0 88 41 0 0 0 0 936 129
 1.100000E+01 0 8 100 0 80 4 0 0 8 2 0 1996 890 0 75 39 0 0 0 0 929 114
 1.150000E+01 0 5 97 0 70 3 0 0 4 1 0 1992 902 0 75 31 0 0 0 0 933 106
 1.200000E+01 0 0 101 0 65 2 0 1 7 3 0 1989 912 0 71 28 0 0 0 0 940 99
 1.250000E+01 0 3 108 0 69 2 0 1 7 2 0 1994 916 0 61 29 0 0 0 0 945 90
 1.300000E+01 0 3 110 0 71 3 0 1 6 2 0 1981 935 0 61 23 0 0 0 0 958 84
 1.350000E+01 0 4 117 0 64 3 0 1 5 0 0 1981 942 0 58 19 0 0 0 0 961 77
 1.400000E+01 0 6 120 0 60 3 0 2 6 2 0 1980 941 0 58 21 0 0 0 0 962 79
 1.450000E+01 0 7 127 0 67 2 0 0 5 0 0 1989 936 0 53 22 0 0 0 0 958 75
 1.500000E+01 0 8 132 0 69 2 0 0 2 4 0 1990 939 0 52 19 0 0 0 0 958 71
 1.550000E+01 0 8 136 0 71 4 0 0 4 2 0 1990 939 0 52 19 0 0 0 0 958 71
 1.600000E+01 0 4 136 0 57 4 0 0 2 1 0 1975 958 0 51 16 0 0 0 0 974 67
 1.650000E+01 0 11 141 0 62 2 0 0 2 4 0 1976 968 0 39 17 0 0 0 0 985 56
 1.700000E+01 0 4 139 0 57 2 0 1 7 2 0 1966 977 0 39 18 0 0 0 0 995 57
