# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0
 1.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 0
 1.500000E+00 2 0 0 0 0 0 0 0 0 1 0 0 3 1 0 1 3 1
 2.000000E+00 6 0 0 0 0 0 0 0 0 0 0 0 4 1 3 1 2 0
 2.500000E+00 0 0 0 0 0 0 0 0 0 0 0 0 4 3 1 3 3 1
 3.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 3 3 1 3 7 0
 3.500000E+00 1 0 0 0 0 0 0 0 0 0 0 0 2 4 5 2 5 3
 4.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 6 5 4 3 2
 4.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 3 6 5 3 3 2
 5.000000E+00 1 0 0 0 0 0 0 0 0 0 0 0 4 6 5 2 4 4
 5.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 8 4 5 3 4 3
 6.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 10 2 2 5 6 8
 6.500000E+00 1 0 0 0 0 0 0 0 0 0 0 0 12 3 2 3 5 10
 7.000000E+00 2 0 0 0 0 0 0 0 0 1 0 0 10 2 6 4 5 6
 7.500000E+00 3 0 0 0 0 0 0 0 0 1 0 0 9 6 5 8 7 5
 8.000000E+00 6 0 0 0 0 0 0 0 0 0 0 0 9 8 3 2 7 11
 8.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 10 7 4 6 5 11
 9.000000E+00 5 0 0 0 0 0 0 0 0 0 0 0 9 8 7 6 7 7
 9.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 10 8 5 7 5 6
 1.000000E+01 10 0 0 0 0 0 0 0 0 0 0 0 10 8 6 4 7 4
 1.050000E+01 1 0 0 0 0 0 0 0 0 0 0 0 13 7 7 4 8 7
 1.100000E+01 5 0 0 0 0 0 0 0 0 0 0 0 9 9 12 4 8 5
 1.150000E+01 1 0 0 0 0 0 0 0 0 0 0 0 5 8 11 5 10 9
 1.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 5 7 11 7 8 8
 1.250000E+01 4 0 0 0 0 0 0 0 0 0 0 0 6 6 12 8 11 8
