# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6' 'all_Ca2+' 'PP2Ba_missingCa2+_1' 'D_PP2Ba__missingCa2+_2' 'D_PP2Ba__missingCa2+_3' 'D_CDK5_PP2Ba__missingCa2+_4' 'CK1_PP2Ba__missingCa2+_5' 'D_PP2Ba_missingCa2+_6'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 6 0 0 0 0 0 0
 1.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 12 0 0 0 0 0 0
 1.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 1 16 0 0 0 0 0 0
 2.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 3 2 0 5 1 1 27 0 0 0 0 0 0
 2.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 3 3 2 4 2 2 35 0 0 0 0 0 0
 3.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 3 4 3 2 5 3 43 0 0 0 0 0 0
 3.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 2 7 3 6 3 4 53 0 0 0 0 0 0
 4.000000E+00 7 0 0 0 0 0 0 0 0 0 0 0 2 4 7 3 3 6 61 1 0 0 0 0 0
 4.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 5 8 3 5 6 5 67 0 0 0 0 0 0
 5.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 5 5 4 8 5 3 66 1 0 0 0 0 0
 5.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 5 3 5 6 6 3 63 1 0 0 0 0 0
 6.000000E+00 5 0 0 0 0 0 0 0 0 0 0 0 6 5 6 4 5 5 71 1 0 0 0 0 0
 6.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 6 3 5 7 6 5 72 1 0 0 0 0 0
 7.000000E+00 1 0 0 0 0 0 0 0 0 0 0 0 7 6 5 8 4 4 73 1 0 0 0 0 0
 7.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 10 6 6 8 4 2 75 0 0 0 0 0 0
 8.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 8 6 6 6 4 5 78 1 0 0 0 0 0
 8.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 9 7 7 6 5 4 81 0 0 0 0 0 0
 9.000000E+00 7 0 0 0 0 0 0 0 0 0 0 0 5 9 8 7 6 5 87 0 0 0 0 0 0
 9.500000E+00 8 0 0 0 0 0 0 0 0 0 0 0 9 6 8 7 3 6 90 1 0 0 0 0 0
 1.000000E+01 5 0 0 0 0 0 0 0 0 0 0 0 10 5 9 7 5 8 93 0 0 0 0 0 0
 1.050000E+01 10 0 0 0 0 0 0 0 0 0 0 0 7 7 6 8 3 9 94 0 0 0 0 1 0
 1.100000E+01 4 0 0 0 0 0 0 0 0 0 0 0 6 6 10 8 5 6 94 2 0 0 0 0 0
 1.150000E+01 3 0 0 0 0 0 0 0 0 0 0 0 4 7 12 4 5 10 95 2 0 0 0 0 0
 1.200000E+01 8 0 0 0 0 0 0 0 0 0 0 0 2 6 13 9 4 7 98 2 0 0 0 0 0
 1.250000E+01 4 0 0 0 0 0 0 0 0 0 0 0 5 10 8 7 6 5 102 4 0 0 0 0 0
 1.300000E+01 5 0 0 0 0 0 0 0 0 0 0 0 7 7 8 10 8 6 105 2 0 0 0 0 0
 1.350000E+01 3 0 0 0 0 0 0 0 0 0 0 0 9 6 9 12 7 9 107 0 0 0 0 0 0
 1.400000E+01 3 0 0 0 0 0 0 0 0 0 0 0 7 7 10 15 7 7 117 2 0 0 0 0 0
 1.450000E+01 12 0 0 0 0 0 0 0 0 0 0 0 5 8 13 13 7 7 118 0 0 0 0 0 0
 1.500000E+01 1 0 0 0 0 0 0 0 0 0 0 0 9 10 9 12 9 7 121 2 0 0 0 0 0
 1.550000E+01 7 0 0 0 0 0 0 0 0 0 0 0 9 12 6 14 10 6 125 1 0 0 0 0 0
 1.600000E+01 7 0 0 0 0 0 0 0 0 0 0 0 13 12 9 12 8 6 131 1 0 0 0 0 0
 1.650000E+01 7 0 0 0 0 0 0 0 0 0 0 0 9 7 12 15 7 11 129 0 0 0 0 0 0
 1.700000E+01 6 0 0 0 0 0 0 0 0 0 0 0 9 8 12 11 10 14 134 0 0 0 0 0 0
 1.750000E+01 1 0 0 0 0 0 0 0 0 0 0 0 9 9 8 11 12 13 137 3 0 0 0 0 0
 1.800000E+01 5 0 0 0 0 0 0 0 0 0 0 0 7 10 8 14 13 11 139 2 0 0 0 0 0
 1.850000E+01 7 0 0 0 0 0 0 0 0 0 0 0 11 10 9 11 13 8 139 1 0 0 0 1 0
 1.900000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 10 10 9 11 9 141 2 0 0 0 0 0
 1.950000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 7 12 12 11 7 146 3 0 0 0 0 0
 2.000000E+01 7 0 0 0 0 0 0 0 0 0 0 0 13 5 11 9 13 13 147 2 0 0 0 1 0
 2.050000E+01 4 0 0 0 0 0 0 0 0 0 0 0 10 12 15 13 13 9 156 2 0 0 0 0 0
 2.100000E+01 3 0 0 0 0 0 0 0 0 0 0 0 11 12 10 17 9 10 157 4 0 0 0 0 0
 2.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 10 10 14 18 4 15 157 2 0 0 0 0 0
 2.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 8 9 15 18 8 10 157 4 0 0 0 0 0
 2.250000E+01 8 0 0 0 0 0 0 0 0 0 0 0 7 13 13 16 12 9 160 3 0 0 0 0 0
 2.300000E+01 3 0 0 0 0 0 0 0 0 0 0 0 11 13 11 14 16 7 167 4 0 0 0 1 0
 2.350000E+01 6 0 0 0 0 0 0 0 0 0 0 0 11 9 12 17 14 13 170 3 0 0 0 0 0
 2.400000E+01 6 0 0 0 0 0 0 0 0 0 0 0 12 12 11 14 11 15 172 4 0 0 0 0 0
 2.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 7 8 14 12 13 10 177 9 0 0 0 1 0
 2.500000E+01 7 0 0 0 0 0 0 0 0 0 0 0 8 6 11 24 7 14 179 7 0 0 0 1 0
 2.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 14 2 13 21 12 11 184 6 0 0 0 2 0
