# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 11 0 72 81 0 0 5 0 0 2837 103 0 58 2 0 0 0 0 105 60
 1.000000E+00 0 4 18 0 79 63 0 0 2 0 0 2687 197 0 107 9 0 0 0 0 206 116
 1.500000E+00 0 4 27 0 75 54 0 1 8 0 0 2573 276 0 132 19 0 0 0 0 295 151
 2.000000E+00 0 3 36 0 77 43 0 1 9 0 0 2475 345 0 152 28 0 0 0 0 373 180
 2.500000E+00 0 2 39 0 72 33 0 1 7 0 0 2375 432 0 164 29 0 0 0 0 461 193
 3.000000E+00 0 1 44 0 74 26 0 1 12 0 0 2326 475 0 169 30 0 0 0 0 505 199
 3.500000E+00 0 3 48 0 70 19 0 1 8 0 0 2273 532 0 160 35 0 0 0 0 567 195
 4.000000E+00 0 5 52 0 55 16 0 1 9 0 0 2222 584 0 160 34 0 0 0 0 618 194
 4.500000E+00 0 3 58 0 71 14 0 1 9 0 0 2175 632 0 157 36 0 0 0 0 668 193
 5.000000E+00 0 0 63 0 71 13 0 1 9 1 0 2150 662 0 152 36 0 0 0 0 698 188
 5.500000E+00 0 3 68 0 72 11 0 1 7 0 0 2123 697 0 145 35 0 0 0 0 732 180
 6.000000E+00 0 3 70 0 72 10 0 1 5 1 0 2103 724 0 140 33 0 0 0 0 757 173
 6.500000E+00 0 7 79 0 64 9 0 0 7 1 0 2080 749 0 133 38 0 0 0 0 787 171
 7.000000E+00 0 4 86 0 61 8 0 0 11 1 0 2077 763 0 125 35 0 0 0 0 798 160
 7.500000E+00 0 3 101 0 64 6 0 0 11 3 0 2073 773 0 113 41 0 0 0 0 814 154
 8.000000E+00 0 1 99 0 69 6 0 0 4 2 0 2051 804 0 103 42 0 0 0 0 846 145
 8.500000E+00 0 6 100 0 71 8 0 0 4 1 0 2037 816 0 104 43 0 0 0 0 859 147
 9.000000E+00 0 6 104 0 69 6 0 0 6 1 0 2031 826 0 102 41 0 0 0 0 867 143
 9.500000E+00 0 5 107 0 66 6 0 0 12 2 0 2025 836 0 95 44 0 0 0 0 880 139
 1.000000E+01 0 8 110 0 70 6 0 0 10 0 0 2035 839 0 85 41 0 0 0 0 880 126
 1.050000E+01 0 0 110 0 59 5 0 0 7 2 0 2020 857 0 82 41 0 0 0 0 898 123
 1.100000E+01 0 10 114 0 64 5 0 0 12 1 0 2015 865 0 79 41 0 0 0 0 906 120
 1.150000E+01 0 4 121 0 61 4 0 1 6 1 0 2010 881 0 74 35 0 0 0 0 916 109
 1.200000E+01 0 3 124 0 68 5 0 1 5 1 0 2011 884 0 75 30 0 0 0 0 914 105
 1.250000E+01 0 1 122 0 68 7 0 1 4 2 0 2001 901 0 72 26 0 0 0 0 927 98
 1.300000E+01 0 4 124 0 77 8 0 0 7 5 0 1967 934 0 69 30 0 0 0 0 964 99
 1.350000E+01 0 5 129 0 69 7 0 0 5 2 0 1962 943 0 60 35 0 0 0 0 978 95
 1.400000E+01 0 4 140 0 65 5 0 0 6 1 0 1941 961 0 63 35 0 0 0 0 996 98
 1.450000E+01 0 3 141 0 66 5 0 0 6 1 0 1951 958 0 53 38 0 0 0 0 996 91
 1.500000E+01 0 4 153 0 53 5 0 1 8 3 0 1934 974 0 55 37 0 0 0 0 1011 92
 1.550000E+01 0 14 154 0 61 6 0 0 5 6 0 1917 996 0 52 35 0 0 0 0 1031 87
 1.600000E+01 0 4 157 0 60 7 0 1 8 5 0 1903 1009 0 50 38 0 0 0 0 1047 88
 1.650000E+01 0 7 159 0 68 7 0 0 6 1 0 1892 1018 0 57 33 0 0 0 0 1051 90
 1.700000E+01 0 8 162 0 69 9 0 0 7 4 0 1889 1023 0 53 35 0 0 0 0 1058 88
 1.750000E+01 0 1 167 0 59 11 0 0 7 2 0 1898 1014 0 52 36 0 0 0 0 1050 88
 1.800000E+01 0 10 174 0 74 12 0 0 3 5 0 1898 1019 0 51 32 0 0 0 0 1051 83
 1.850000E+01 0 11 177 0 61 12 0 0 6 3 0 1879 1033 0 58 30 0 0 0 0 1063 88
 1.900000E+01 0 4 182 0 64 14 0 0 3 3 0 1853 1056 0 65 26 0 0 0 0 1082 91
 1.950000E+01 0 6 188 0 67 11 0 0 7 3 0 1850 1049 0 74 27 0 0 0 0 1076 101
 2.000000E+01 0 3 187 0 64 11 0 0 8 4 0 1850 1047 0 74 29 0 0 0 0 1076 103
 2.050000E+01 0 9 187 0 64 11 0 0 5 6 0 1861 1043 0 70 26 0 0 0 0 1069 96
 2.100000E+01 0 4 192 0 61 12 0 0 7 9 0 1852 1052 0 69 27 0 0 0 0 1079 96
 2.150000E+01 0 3 187 0 65 9 0 0 3 4 0 1844 1060 0 62 34 0 0 0 0 1094 96
 2.200000E+01 0 5 189 0 56 7 0 0 7 7 0 1846 1054 0 63 37 0 0 0 0 1091 100
 2.250000E+01 0 9 193 0 68 8 0 0 6 10 0 1853 1050 0 65 32 0 0 0 0 1082 97
 2.300000E+01 0 10 200 0 74 9 0 0 5 5 0 1857 1049 0 60 34 0 0 0 0 1083 94
 2.350000E+01 0 5 201 0 55 9 0 0 6 7 0 1857 1053 0 59 31 0 0 0 0 1084 90
