# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 3.333333E-01 0 2 2 0 0 83 10 0 0 1 0 0 2898 58 0 42 2 0 0 0 0 60 44
 6.666667E-01 0 0 8 0 0 75 23 0 0 4 0 0 2801 113 0 80 6 0 0 0 0 119 86
 1.000000E+00 0 2 8 0 0 62 35 0 0 7 0 0 2708 174 0 105 13 0 0 0 0 187 118
 1.333333E+00 0 1 10 0 0 81 42 0 0 11 0 0 2630 218 0 135 17 0 0 0 0 235 152
 1.666667E+00 0 1 14 0 0 74 51 0 0 8 0 0 2545 283 0 149 23 0 0 0 0 306 172
 2.000000E+00 0 2 18 0 0 79 54 0 0 10 0 0 2487 326 0 159 28 0 0 0 0 354 187
 2.333333E+00 0 4 20 0 0 72 61 0 0 15 0 0 2423 373 0 168 36 0 0 0 0 409 204
 2.666667E+00 0 3 26 0 0 67 67 0 0 12 0 0 2361 422 0 181 36 0 0 0 0 458 217
 3.000000E+00 0 1 32 0 0 77 69 0 0 10 1 0 2314 457 0 188 41 0 0 0 0 498 229
 3.333333E+00 0 4 30 0 0 68 69 0 0 11 1 0 2277 499 0 182 42 0 0 0 0 541 224
 3.666667E+00 0 4 36 0 0 64 72 0 0 11 0 0 2236 541 0 178 45 0 0 0 0 586 223
 4.000000E+00 0 7 40 0 0 73 79 0 0 17 0 0 2204 568 0 182 46 0 0 0 0 614 228
