# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?' 'r'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0 -NAN
 3.333333E-01 0 1 3 2 0 0 86 14 0 0 1 0 0 2882 67 0 50 1 0 0 0 0 68 51 2.767662E-02
 6.666667E-01 0 1 3 2 0 0 74 28 0 0 4 0 0 2789 116 0 89 6 0 0 0 0 122 95 2.987361E-02
 1.000000E+00 0 1 3 2 0 0 68 36 0 0 3 0 0 2688 181 0 121 10 0 0 0 0 191 131 2.868852E-02
 1.333333E+00 0 0 4 4 0 0 73 46 0 0 7 0 0 2606 236 0 141 17 0 0 0 0 253 158 2.847315E-02
 1.666667E+00 0 2 6 4 0 0 76 48 0 0 7 0 0 2542 281 0 160 17 0 0 0 0 298 177 2.862799E-02
 2.000000E+00 0 2 10 8 0 0 74 51 0 0 13 0 0 2482 318 0 178 22 0 0 0 0 340 200 3.008963E-02
 2.333333E+00 0 0 10 10 0 0 73 57 0 0 14 0 0 2426 360 0 189 25 0 0 0 0 385 214 3.043045E-02
 2.666667E+00 0 1 15 14 0 0 69 66 0 0 14 0 0 2377 400 0 192 31 0 0 0 0 431 223 3.024095E-02
 3.000000E+00 0 1 17 16 0 0 78 67 0 0 7 0 0 2339 446 0 185 30 0 0 0 0 476 215 3.165493E-02
 3.333333E+00 0 0 18 18 0 0 69 71 0 0 12 0 0 2297 486 0 182 35 0 0 0 0 521 217 3.265050E-02
 3.666667E+00 0 5 26 21 0 0 73 73 0 1 8 0 0 2254 517 0 187 42 0 0 0 0 559 229 3.342817E-02
