# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'PKA()' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?' 'r'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0 -NAN
 3.333333E-01 0 2 2 0 0 0 0 84 16 0 0 0 0 0 2875 75 0 47 3 0 0 0 0 78 50 3.275261E-02
 6.666667E-01 0 1 5 4 0 0 0 79 29 0 0 4 0 0 2765 143 0 87 5 0 0 0 0 148 92 3.420958E-02
 1.000000E+00 0 0 8 8 0 0 0 75 37 0 0 8 0 0 2679 201 0 111 9 0 0 0 0 210 120 3.337454E-02
 1.333333E+00 0 2 12 10 0 0 0 73 40 0 0 9 0 0 2593 259 0 133 15 0 0 0 0 274 148 3.250831E-02
 1.666667E+00 0 4 16 12 0 0 0 81 47 0 0 8 0 0 2504 312 0 162 22 0 0 0 0 334 184 3.352533E-02
 2.000000E+00 0 1 19 18 0 0 0 77 52 0 0 6 0 0 2453 346 0 172 29 0 0 0 0 375 201 3.422711E-02
 2.333333E+00 0 2 22 20 0 0 0 69 59 0 0 13 0 0 2392 395 0 181 32 0 0 0 0 427 213 3.633441E-02
 2.666667E+00 0 3 23 20 0 0 0 72 66 0 0 7 0 0 2340 436 0 191 33 0 0 0 0 469 224 3.525973E-02
 3.000000E+00 0 1 27 26 0 0 0 70 71 0 0 15 0 0 2293 472 0 197 38 0 0 0 0 510 235 3.451193E-02
 3.333333E+00 0 3 29 26 0 0 0 74 72 0 0 13 0 0 2255 504 0 198 43 0 0 0 0 547 241 3.521019E-02
 3.666667E+00 0 3 29 26 0 0 0 67 74 0 0 19 0 0 2220 533 0 203 44 0 0 0 0 577 247 3.537719E-02
 4.000000E+00 0 4 30 26 0 0 0 60 78 0 0 15 0 0 2159 592 0 197 52 0 0 0 0 644 249 3.595923E-02
 4.333333E+00 0 3 33 30 0 0 0 76 80 0 0 9 0 0 2131 616 0 199 54 0 0 0 0 670 253 3.690738E-02
 4.666667E+00 0 2 38 36 0 0 0 72 81 0 0 13 0 0 2116 634 0 193 57 0 0 0 0 691 250 3.758404E-02
 5.000000E+00 0 4 40 36 0 0 0 70 84 0 0 13 0 0 2107 653 0 185 55 0 0 0 0 708 240 3.797859E-02
 5.333333E+00 0 4 44 40 0 0 0 73 87 0 0 19 0 0 2096 662 0 185 57 0 0 0 0 719 242 3.881389E-02
 5.666667E+00 0 4 50 46 0 0 0 81 88 0 0 12 0 0 2076 697 0 175 52 0 0 0 0 749 227 3.863440E-02
 6.000000E+00 0 3 51 48 0 0 0 65 91 0 0 12 0 0 2065 719 0 164 52 0 0 0 0 771 216 3.872271E-02
 6.333333E+00 0 2 54 52 0 0 0 66 92 0 0 11 0 0 2051 736 0 161 52 0 0 0 0 788 213 3.954363E-02
 6.666667E+00 0 6 56 50 0 0 0 64 93 0 0 10 1 0 2051 750 0 147 52 0 0 0 0 802 199 3.932211E-02
 7.000000E+00 0 3 59 56 0 0 0 60 95 0 0 11 0 0 2025 779 0 144 52 0 0 0 0 831 196 3.922741E-02
 7.333333E+00 0 1 61 60 0 0 0 68 97 0 0 11 0 0 2014 797 0 141 48 0 0 0 0 845 189 3.895501E-02
 7.666667E+00 0 4 64 60 0 0 0 63 97 0 0 12 2 0 2005 813 0 131 51 0 0 0 0 864 182 3.946241E-02
 8.000000E+00 0 3 65 62 0 0 0 59 98 0 0 10 1 0 2012 818 0 124 46 0 0 0 0 864 170 3.981674E-02
 8.333333E+00 0 3 67 64 0 0 0 61 99 0 0 11 2 0 2017 818 0 125 40 0 0 0 0 858 165 3.963075E-02
