# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'PKA()' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?' 'r'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0 -NAN
 3.333333E-01 0 2 6 4 0 0 0 72 16 0 0 4 0 0 2901 47 0 49 3 0 0 0 0 50 52 2.672606E-02
 6.666667E-01 0 3 9 6 0 0 0 74 26 0 0 6 0 0 2805 100 0 89 6 0 0 0 0 106 95 2.656827E-02
 1.000000E+00 0 2 12 10 0 0 0 77 35 0 0 6 0 0 2713 148 0 132 7 0 0 0 0 155 139 2.691358E-02
 1.333333E+00 0 3 13 10 0 0 0 79 46 0 0 9 0 0 2646 199 0 145 10 0 0 0 0 209 155 2.838346E-02
 1.666667E+00 0 2 16 14 0 0 0 81 55 0 0 8 0 0 2574 243 0 169 14 0 0 0 0 257 183 2.896573E-02
 2.000000E+00 0 3 21 18 0 0 0 80 57 0 0 6 0 0 2522 283 0 176 19 0 0 0 0 302 195 3.103536E-02
 2.333333E+00 0 1 25 24 0 0 0 77 65 0 0 13 0 0 2474 323 0 186 17 0 0 0 0 340 203 3.248742E-02
 2.666667E+00 0 2 26 24 0 0 0 63 69 0 0 13 0 0 2411 382 0 177 30 0 0 0 0 412 207 3.205871E-02
 3.000000E+00 0 4 28 24 0 0 0 85 71 0 0 15 1 0 2364 422 0 181 33 0 0 0 0 455 214 3.171320E-02
 3.333333E+00 0 5 27 22 0 0 0 76 75 0 0 14 1 0 2337 449 0 174 40 0 0 0 0 489 214 3.231598E-02
 3.666667E+00 0 5 25 20 0 0 0 71 79 0 0 7 0 0 2303 489 0 165 43 0 0 0 0 532 208 3.249304E-02
 4.000000E+00 0 5 29 24 0 0 0 68 82 0 0 13 0 0 2287 501 0 166 46 0 0 0 0 547 212 3.328072E-02
 4.333333E+00 0 5 31 26 0 0 0 60 85 0 0 15 0 0 2263 525 0 162 50 0 0 0 0 575 212 3.435695E-02
 4.666667E+00 0 2 32 30 0 0 0 75 87 0 0 7 0 0 2239 554 0 160 47 0 0 0 0 601 207 3.506671E-02
 5.000000E+00 0 3 37 34 0 0 0 73 87 0 0 10 0 0 2209 591 0 149 51 0 0 0 0 642 200 3.574859E-02
 5.333333E+00 0 3 41 38 0 0 0 78 88 0 0 10 0 0 2185 617 0 149 49 0 0 0 0 666 198 3.581820E-02
 5.666667E+00 0 0 44 44 0 0 0 71 90 0 0 10 0 0 2180 631 0 141 48 0 0 0 0 679 189 3.626649E-02
 6.000000E+00 0 3 45 42 0 0 0 61 91 0 0 10 0 0 2180 636 0 135 49 0 0 0 0 685 184 3.643126E-02
 6.333333E+00 0 2 48 46 0 0 0 76 91 0 0 7 0 0 2155 661 0 130 54 0 0 0 0 715 184 3.654641E-02
 6.666667E+00 0 4 52 48 0 0 0 75 91 0 0 11 1 0 2149 671 0 122 58 0 0 0 0 729 180 3.657942E-02
 7.000000E+00 0 6 56 50 0 0 0 71 91 0 0 5 0 0 2117 710 0 117 56 0 0 0 0 766 173 3.652915E-02
 7.333333E+00 0 3 59 56 0 0 0 78 92 0 0 7 1 0 2098 735 0 113 54 0 0 0 0 789 167 3.701920E-02
 7.666667E+00 0 3 63 60 0 0 0 68 93 0 0 9 2 0 2068 770 0 106 56 0 0 0 0 826 162 3.734233E-02
 8.000000E+00 0 5 65 60 0 0 0 64 93 0 0 10 1 0 2066 784 0 100 50 0 0 0 0 834 150 3.767030E-02
 8.333333E+00 0 4 68 64 0 0 0 71 94 0 0 5 0 0 2048 810 0 93 49 0 0 0 0 859 142 3.833552E-02
 8.666667E+00 0 2 70 68 0 0 0 69 95 0 0 9 0 0 2032 831 0 91 46 0 0 0 0 877 137 3.842029E-02
 9.000000E+00 0 4 74 70 0 0 0 59 95 0 0 9 0 0 2028 842 0 88 42 0 0 0 0 884 130 3.886357E-02
 9.333333E+00 0 5 77 72 0 0 0 62 95 0 0 5 0 0 1994 879 0 86 41 0 0 0 0 920 127 3.916787E-02
 9.666667E+00 0 4 82 78 0 0 0 61 96 0 0 5 2 0 2011 876 0 78 35 0 0 0 0 911 113 3.910282E-02
 1.000000E+01 0 4 84 80 0 0 0 64 96 0 0 5 2 0 2013 878 0 76 33 0 0 0 0 911 109 3.957190E-02
 1.033333E+01 0 5 89 84 0 0 0 70 97 0 0 4 1 0 2012 885 0 73 30 0 0 0 0 915 103 3.982983E-02
 1.066667E+01 0 4 91 87 0 0 0 69 97 1 1 8 2 0 1997 905 0 69 29 0 0 0 0 934 98 4.005365E-02
 1.100000E+01 0 2 94 92 0 0 0 68 97 0 0 7 1 0 1985 925 0 65 25 0 0 0 0 950 90 4.034741E-02
 1.133333E+01 0 3 97 94 0 0 0 72 96 0 0 5 1 0 1984 927 0 64 25 0 0 0 0 952 89 4.018107E-02
 1.166667E+01 0 4 100 96 0 0 0 65 95 0 0 3 3 0 1978 935 0 59 28 0 0 0 0 963 87 4.044205E-02
 1.200000E+01 0 2 102 100 0 0 0 59 94 0 0 4 2 0 1994 921 0 58 27 0 0 0 0 948 85 4.059372E-02
 1.233333E+01 0 6 104 98 0 0 0 72 94 0 0 2 1 0 2014 903 0 56 27 0 0 0 0 930 83 4.072530E-02
 1.266667E+01 0 8 105 97 0 0 0 60 95 0 1 9 1 0 1999 918 0 58 25 0 0 0 0 943 83 4.050103E-02
 1.300000E+01 0 6 111 105 0 0 0 65 95 1 1 4 1 0 2006 913 0 59 22 0 0 0 0 935 81 4.079199E-02
 1.333333E+01 0 1 110 109 0 0 0 71 95 1 1 7 1 0 1998 921 0 57 24 0 0 0 0 945 81 4.112374E-02
 1.366667E+01 0 6 117 111 0 0 0 77 95 0 1 3 3 0 1998 923 0 53 26 0 0 0 0 949 79 4.156291E-02
 1.400000E+01 0 3 120 117 0 0 0 65 95 1 1 0 2 0 2002 926 0 50 22 0 0 0 0 948 72 4.185863E-02
 1.433333E+01 0 5 123 118 0 0 0 70 96 0 0 4 2 0 1992 939 0 51 18 0 0 0 0 957 69 4.232335E-02
 1.466667E+01 0 5 123 118 0 0 0 73 96 0 0 4 0 0 1978 955 0 47 20 0 0 0 0 975 67 4.236936E-02
 1.500000E+01 0 5 123 118 0 0 0 68 96 0 0 5 1 0 1976 961 0 43 20 0 0 0 0 981 63 4.240648E-02
 1.533333E+01 0 3 125 122 0 0 0 66 95 0 0 10 2 0 1975 963 0 40 22 0 0 0 0 985 62 4.276310E-02
 1.566667E+01 0 5 129 124 0 0 0 57 96 0 0 5 2 0 1987 952 0 36 25 0 0 0 0 977 61 4.298758E-02
 1.600000E+01 0 3 127 124 0 0 0 69 95 0 0 2 3 0 1989 955 0 32 24 0 0 0 0 979 56 4.322054E-02
 1.633333E+01 0 7 131 124 0 0 0 73 96 0 0 4 2 0 1986 957 0 35 22 0 0 0 0 979 57 4.337672E-02
 1.666667E+01 0 1 133 132 0 0 0 69 96 0 0 3 3 0 1975 969 0 36 20 0 0 0 0 989 56 4.346961E-02
 1.700000E+01 0 5 136 131 0 0 0 62 96 0 1 5 0 0 1966 979 0 38 17 0 0 0 0 996 55 4.369453E-02
 1.733333E+01 0 2 142 140 0 0 0 58 97 1 0 2 2 0 1956 991 0 36 17 0 0 0 0 1008 53 4.394466E-02
 1.766667E+01 0 8 142 134 0 0 0 68 98 0 0 1 1 0 1960 991 0 34 15 0 0 0 0 1006 49 4.442498E-02
 1.800000E+01 0 7 143 136 0 0 0 75 97 0 0 5 1 0 1958 995 0 32 15 0 0 0 0 1010 47 4.470021E-02
 1.833333E+01 0 3 147 144 0 0 0 70 97 0 0 2 3 0 1951 1004 0 33 12 0 0 0 0 1016 45 4.472458E-02
 1.866667E+01 0 3 149 146 0 0 0 67 98 0 0 0 3 0 1980 976 0 32 12 0 0 0 0 988 44 4.473275E-02
 1.900000E+01 0 6 153 147 0 0 0 60 98 0 1 1 4 0 1986 972 0 30 12 0 0 0 0 984 42 4.488375E-02
 1.933333E+01 0 11 155 144 0 0 0 72 96 0 0 2 3 0 1995 962 0 30 13 0 0 0 0 975 43 4.512258E-02
