# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 84 87 0 0 5 0 0 2828 89 0 83 0 0 0 0 0 89 83
 1.000000E+00 0 2 10 0 78 66 0 0 5 0 0 2696 163 0 134 7 0 0 0 0 170 141
 1.500000E+00 0 2 16 0 77 48 0 0 11 0 0 2548 250 0 187 15 0 0 0 0 265 202
 2.000000E+00 0 0 24 0 71 41 0 0 14 0 0 2451 307 0 215 27 0 0 0 0 334 242
 2.500000E+00 0 3 33 0 73 25 0 0 13 0 0 2380 367 0 221 32 0 0 0 0 399 253
 3.000000E+00 0 5 39 0 71 20 0 0 9 0 0 2290 462 0 219 29 0 0 0 0 491 248
 3.500000E+00 0 1 45 0 62 16 0 0 16 0 0 2221 525 0 221 33 0 0 0 0 558 254
 4.000000E+00 0 9 44 0 79 14 0 1 14 0 0 2193 566 0 206 35 0 0 0 0 601 241
 4.500000E+00 0 4 50 0 72 10 0 0 16 2 0 2167 604 0 187 42 0 0 0 0 646 229
 5.000000E+00 0 5 51 0 75 6 0 0 10 1 0 2125 654 0 176 45 0 0 0 0 699 221
 5.500000E+00 0 3 54 0 77 4 0 1 14 0 0 2132 659 0 162 47 0 0 0 0 706 209
 6.000000E+00 0 3 57 0 74 3 0 0 11 1 0 2105 695 0 157 43 0 0 0 0 738 200
 6.500000E+00 0 5 59 0 71 2 0 0 12 0 0 2097 726 0 138 39 0 0 0 0 765 177
 7.000000E+00 0 4 68 0 75 2 0 0 8 0 0 2064 772 0 127 37 0 0 0 0 809 164
 7.500000E+00 0 4 78 0 66 2 0 0 11 2 0 2068 774 0 123 35 0 0 0 0 809 158
 8.000000E+00 0 5 83 0 75 2 0 0 9 0 0 2064 786 0 113 37 0 0 0 0 823 150
 8.500000E+00 0 0 86 0 67 1 0 0 10 0 0 2054 810 0 100 36 0 0 0 0 846 136
 9.000000E+00 0 7 93 0 68 1 0 0 9 1 0 2054 818 0 91 37 0 0 0 0 855 128
 9.500000E+00 0 3 93 0 72 1 0 0 7 0 0 2034 847 0 81 38 0 0 0 0 885 119
 1.000000E+01 0 7 95 0 72 0 0 0 10 0 0 2025 864 0 73 38 0 0 0 0 902 111
 1.050000E+01 0 6 100 0 69 1 0 0 6 3 0 2041 858 0 71 30 0 0 0 0 888 101
 1.100000E+01 0 4 104 0 76 2 0 0 5 1 0 2026 875 0 70 29 0 0 0 0 904 99
 1.150000E+01 0 5 103 0 76 2 0 0 9 0 0 2037 877 0 57 29 0 0 0 0 906 86
 1.200000E+01 0 6 110 0 71 1 0 0 4 1 0 2023 906 0 44 27 0 0 0 0 933 71
 1.250000E+01 0 3 117 0 67 2 0 0 3 2 0 2004 925 0 44 27 0 0 0 0 952 71
 1.300000E+01 0 6 120 0 69 3 0 0 6 4 0 2024 908 0 39 29 0 0 0 0 937 68
 1.350000E+01 0 3 127 0 65 5 0 0 4 4 0 2019 917 0 38 26 0 0 0 0 943 64
 1.400000E+01 0 4 130 0 72 3 0 0 3 0 0 2012 928 0 35 25 0 0 0 0 953 60
 1.450000E+01 0 6 136 0 66 3 0 0 3 1 0 2006 937 0 30 27 0 0 0 0 964 57
 1.500000E+01 0 7 141 0 66 3 0 0 0 1 0 1972 975 0 28 25 0 0 0 0 1000 53
 1.550000E+01 0 4 146 0 70 4 0 0 6 3 0 1973 967 0 36 24 0 0 0 0 991 60
 1.600000E+01 0 8 144 0 77 4 0 0 5 2 0 1971 966 0 38 25 0 0 0 0 991 63
 1.650000E+01 0 7 149 0 65 4 0 0 7 3 0 1974 963 0 35 28 0 0 0 0 991 63
 1.700000E+01 0 5 153 0 54 6 0 0 0 4 0 1958 977 0 37 28 0 0 0 0 1005 65
 1.750000E+01 0 4 154 0 72 7 0 0 6 4 0 1961 974 0 39 26 0 0 0 0 1000 65
 1.800000E+01 0 6 156 0 64 8 0 0 1 2 0 1951 986 0 38 25 0 0 0 0 1011 63
 1.850000E+01 0 7 153 0 63 6 0 0 5 1 0 1965 975 0 35 25 0 0 0 0 1000 60
 1.900000E+01 0 7 157 0 57 4 0 0 5 5 0 1948 995 0 34 23 0 0 0 0 1018 57
 1.950000E+01 0 6 154 0 66 6 0 0 2 2 0 1949 997 0 33 21 0 0 0 0 1018 54
 2.000000E+01 0 2 154 0 64 5 0 0 4 4 0 1938 1005 0 36 21 0 0 0 0 1026 57
 2.050000E+01 0 5 160 0 73 5 0 1 5 2 0 1932 1012 0 34 22 0 0 0 0 1034 56
 2.100000E+01 0 4 169 0 71 6 0 1 0 5 0 1926 1021 0 35 18 0 0 0 0 1039 53
 2.150000E+01 0 9 172 0 66 5 0 1 3 7 0 1908 1036 0 35 21 0 0 0 0 1057 56
 2.200000E+01 0 7 177 0 69 5 0 0 3 2 0 1881 1062 0 42 15 0 0 0 0 1077 57
 2.250000E+01 0 7 181 0 63 5 0 0 6 4 0 1888 1056 0 44 12 0 0 0 0 1068 56
 2.300000E+01 0 7 186 0 65 5 0 1 4 4 0 1900 1046 0 39 15 0 0 0 0 1061 54
 2.350000E+01 0 11 185 0 56 4 0 2 3 4 0 1879 1066 0 38 17 0 0 0 0 1083 55
 2.400000E+01 0 1 188 0 58 6 0 1 4 8 0 1872 1074 0 38 16 0 0 0 0 1090 54
 2.450000E+01 0 6 195 0 65 6 0 1 6 5 0 1889 1055 0 40 16 0 0 0 0 1071 56
 2.500000E+01 0 6 195 0 65 5 0 1 4 6 0 1896 1048 0 42 14 0 0 0 0 1062 56
 2.550000E+01 0 7 196 0 62 6 0 1 3 6 0 1895 1049 0 43 13 0 0 0 0 1062 56
 2.600000E+01 0 9 191 0 66 10 0 2 5 11 0 1902 1037 0 43 18 0 0 0 0 1055 61
 2.650000E+01 0 6 197 0 71 12 0 1 2 6 0 1889 1050 0 43 18 0 0 0 0 1068 61
 2.700000E+01 0 12 196 0 69 15 0 0 5 5 0 1906 1027 0 49 18 0 0 0 0 1045 67
 2.750000E+01 0 8 196 0 67 13 0 0 4 2 0 1911 1020 0 53 16 0 0 0 0 1036 69
 2.800000E+01 0 10 196 0 64 13 0 0 7 8 0 1919 1007 0 51 23 0 0 0 0 1030 74
 2.850000E+01 0 7 201 0 62 9 0 0 6 2 0 1911 1013 0 47 29 0 0 0 0 1042 76
 2.900000E+01 0 4 202 0 65 11 0 0 6 4 0 1907 1011 0 53 29 0 0 0 0 1040 82
 2.950000E+01 0 5 201 0 64 10 0 0 8 4 0 1901 1022 0 47 30 0 0 0 0 1052 77
 3.000000E+01 0 8 200 0 66 10 0 0 6 8 0 1908 1016 0 49 27 0 0 0 0 1043 76
 3.050000E+01 0 10 204 0 59 14 0 0 5 8 0 1900 1021 0 47 32 0 0 0 0 1053 79
 3.100000E+01 0 7 209 0 65 12 0 0 5 8 0 1899 1024 0 49 28 0 0 0 0 1052 77
