# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 6 0 75 0 0 0 0 0 0 2886 114 0 0 0 0 0 0 0 114 0
 1.000000E+00 0 2 12 0 75 0 0 0 0 0 0 2790 210 0 0 0 0 0 0 0 210 0
 1.500000E+00 0 1 11 0 69 0 0 0 0 0 0 2703 297 0 0 0 0 0 0 0 297 0
 2.000000E+00 0 2 16 0 81 0 0 0 0 0 0 2625 375 0 0 0 0 0 0 0 375 0
 2.500000E+00 0 3 21 0 69 0 0 0 0 0 0 2538 462 0 0 0 0 0 0 0 462 0
 3.000000E+00 0 2 28 0 74 0 0 0 0 0 0 2476 524 0 0 0 0 0 0 0 524 0
 3.500000E+00 0 2 33 0 72 0 0 1 0 0 0 2437 563 0 0 0 0 0 0 0 563 0
 4.000000E+00 0 1 37 0 68 0 0 0 0 0 0 2390 610 0 0 0 0 0 0 0 610 0
 4.500000E+00 0 3 41 0 69 0 0 0 0 0 0 2371 629 0 0 0 0 0 0 0 629 0
 5.000000E+00 0 2 50 0 68 0 0 0 0 2 0 2336 664 0 0 0 0 0 0 0 664 0
 5.500000E+00 0 2 58 0 67 0 0 0 0 2 0 2294 706 0 0 0 0 0 0 0 706 0
 6.000000E+00 0 2 70 0 73 0 0 0 0 2 0 2285 715 0 0 0 0 0 0 0 715 0
 6.500000E+00 0 5 71 0 75 1 0 0 0 1 0 2215 784 0 1 0 0 0 0 0 784 1
 7.000000E+00 0 6 78 0 70 1 0 0 0 1 0 2191 807 0 1 1 0 0 0 0 808 2
 7.500000E+00 0 4 84 0 62 1 0 0 1 1 0 2163 835 0 1 1 0 0 0 0 836 2
 8.000000E+00 0 2 86 0 67 0 0 0 0 2 0 2161 838 0 1 0 0 0 0 0 838 1
 8.500000E+00 0 5 95 0 55 0 0 0 0 0 0 2139 860 0 1 0 0 0 0 0 860 1
