# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 8 0 78 0 0 0 0 0 0 2900 100 0 0 0 0 0 0 0 100 0
 1.000000E+00 0 1 11 0 73 0 0 0 0 0 0 2801 199 0 0 0 0 0 0 0 199 0
 1.500000E+00 0 3 19 0 75 0 0 0 0 0 0 2702 298 0 0 0 0 0 0 0 298 0
 2.000000E+00 0 2 22 0 71 0 0 0 0 0 0 2626 374 0 0 0 0 0 0 0 374 0
 2.500000E+00 0 2 30 0 75 0 0 0 0 0 0 2566 434 0 0 0 0 0 0 0 434 0
 3.000000E+00 0 4 34 0 68 0 0 0 0 0 0 2498 502 0 0 0 0 0 0 0 502 0
 3.500000E+00 0 3 37 0 64 0 0 0 0 0 0 2435 565 0 0 0 0 0 0 0 565 0
 4.000000E+00 0 4 42 0 72 0 0 0 0 0 0 2396 604 0 0 0 0 0 0 0 604 0
 4.500000E+00 0 7 53 0 73 0 0 0 0 0 0 2341 659 0 0 0 0 0 0 0 659 0
 5.000000E+00 0 3 51 0 77 0 0 0 0 1 0 2301 699 0 0 0 0 0 0 0 699 0
 5.500000E+00 0 3 55 0 77 0 0 0 0 1 0 2275 725 0 0 0 0 0 0 0 725 0
 6.000000E+00 0 2 62 0 60 0 0 0 0 1 0 2228 772 0 0 0 0 0 0 0 772 0
 6.500000E+00 0 5 63 0 73 0 0 0 0 1 0 2211 789 0 0 0 0 0 0 0 789 0
 7.000000E+00 0 2 62 0 63 1 0 0 0 1 0 2188 811 0 1 0 0 0 0 0 811 1
 7.500000E+00 0 1 65 0 64 1 0 0 0 0 0 2157 842 0 1 0 0 0 0 0 842 1
 8.000000E+00 0 8 72 0 63 1 0 0 0 0 0 2143 854 0 2 1 0 0 0 0 855 3
 8.500000E+00 0 2 72 0 68 1 0 0 1 0 0 2137 859 0 2 2 0 0 0 0 861 4
 9.000000E+00 0 1 75 0 56 1 0 0 1 0 0 2106 889 0 3 2 0 0 0 0 891 5
 9.500000E+00 0 4 80 0 77 1 0 0 0 0 0 2089 905 0 4 2 0 0 0 0 907 6
 1.000000E+01 0 3 85 0 73 0 0 0 1 1 0 2096 899 0 4 1 0 0 0 0 900 5
 1.050000E+01 0 4 92 0 70 1 0 0 0 2 0 2087 907 0 5 1 0 0 0 0 908 6
 1.100000E+01 0 7 98 0 64 1 0 1 0 1 0 2070 925 0 4 1 0 0 0 0 926 5
 1.150000E+01 0 6 108 0 72 1 0 0 0 3 0 2068 928 0 4 0 0 0 0 0 928 4
 1.200000E+01 0 5 109 0 66 4 0 0 2 3 0 2057 938 0 5 0 0 0 0 0 938 5
 1.250000E+01 0 6 106 0 74 4 0 0 0 2 0 2051 941 0 7 1 0 0 0 0 942 8
 1.300000E+01 0 4 108 0 74 3 0 0 0 1 0 2049 938 0 12 1 0 0 0 0 939 13
 1.350000E+01 0 2 108 0 68 3 0 0 1 1 0 2020 966 0 13 1 0 0 0 0 967 14
 1.400000E+01 0 4 106 0 71 3 0 0 0 2 0 2017 965 0 14 4 0 0 0 0 969 18
 1.450000E+01 0 3 109 0 66 4 0 0 1 1 0 2022 958 0 15 5 0 0 0 0 963 20
 1.500000E+01 0 7 113 0 68 5 0 0 1 1 0 1991 987 0 17 5 0 0 0 0 992 22
 1.550000E+01 0 6 114 0 62 5 0 0 3 1 0 1992 981 0 19 8 0 0 0 0 989 27
 1.600000E+01 0 3 115 0 69 4 0 0 0 1 0 2004 967 0 19 10 0 0 0 0 977 29
 1.650000E+01 0 7 119 0 57 3 0 0 2 2 0 2006 964 0 19 11 0 0 0 0 975 30
 1.700000E+01 0 3 119 0 68 5 0 0 1 2 0 1991 978 0 24 7 0 0 0 0 985 31
 1.750000E+01 0 11 125 0 65 6 0 0 3 4 0 1989 974 0 31 6 0 0 0 0 980 37
 1.800000E+01 0 6 129 0 67 5 0 1 1 2 0 1992 975 0 26 7 0 0 0 0 982 33
 1.850000E+01 0 4 131 0 65 4 0 1 2 2 0 2000 965 0 27 8 0 0 0 0 973 35
 1.900000E+01 0 6 138 0 75 4 0 0 3 4 0 1992 974 0 22 12 0 0 0 0 986 34
 1.950000E+01 0 8 138 0 57 4 0 0 2 1 0 2000 964 0 24 12 0 0 0 0 976 36
 2.000000E+01 0 2 150 0 63 3 0 0 2 3 0 1992 971 0 24 13 0 0 0 0 984 37
 2.050000E+01 0 4 154 0 62 4 0 0 1 6 0 2006 959 0 23 12 0 0 0 0 971 35
 2.100000E+01 0 9 157 0 71 6 0 0 2 5 0 2006 953 0 28 13 0 0 0 0 966 41
 2.150000E+01 0 6 166 0 65 7 0 0 2 5 0 2002 950 0 32 16 0 0 0 0 966 48
 2.200000E+01 0 6 168 0 62 8 0 0 4 4 0 2008 942 0 35 15 0 0 0 0 957 50
 2.250000E+01 0 5 169 0 60 11 0 0 2 1 0 1992 953 0 38 17 0 0 0 0 970 55
 2.300000E+01 0 2 170 0 67 11 0 0 2 4 0 1970 973 0 38 19 0 0 0 0 992 57
 2.350000E+01 0 8 174 0 66 8 0 0 7 2 0 1949 993 0 37 21 0 0 0 0 1014 58
 2.400000E+01 0 8 176 0 63 8 0 0 4 3 0 1939 1004 0 41 16 0 0 0 0 1020 57
 2.450000E+01 0 4 177 0 57 10 0 1 4 5 0 1933 1004 0 43 20 0 0 0 0 1024 63
 2.500000E+01 0 2 179 0 63 9 0 1 5 7 0 1929 1002 0 45 24 0 0 0 0 1026 69
 2.550000E+01 0 9 182 0 68 13 0 1 7 4 0 1926 1000 0 52 22 0 0 0 0 1022 74
 2.600000E+01 0 8 191 0 71 12 0 1 1 3 0 1918 1005 0 47 30 0 0 0 0 1035 77
 2.650000E+01 0 7 202 0 55 16 0 1 5 7 0 1906 1004 0 56 34 0 0 0 0 1038 90
 2.700000E+01 0 8 198 0 54 15 0 0 5 4 0 1883 1020 0 60 37 0 0 0 0 1057 97
 2.750000E+01 0 4 198 0 66 17 0 0 5 9 0 1855 1043 0 63 39 0 0 0 0 1082 102
 2.800000E+01 0 7 201 0 69 13 0 0 4 1 0 1858 1024 0 72 46 0 0 0 0 1070 118
 2.850000E+01 0 5 205 0 64 9 0 0 4 7 0 1865 1016 0 69 50 0 0 0 0 1066 119
 2.900000E+01 0 5 210 0 65 9 0 1 3 8 0 1872 1007 0 78 43 0 0 0 0 1050 121
 2.950000E+01 0 8 210 0 70 11 0 0 3 5 0 1873 1003 0 82 42 0 0 0 0 1045 124
 3.000000E+01 0 8 208 0 65 12 0 0 4 7 0 1885 996 0 79 40 0 0 0 0 1036 119
 3.050000E+01 0 4 202 0 65 15 0 0 4 5 0 1888 989 0 82 41 0 0 0 0 1030 123
 3.100000E+01 0 2 206 0 70 13 0 0 5 8 0 1873 998 0 94 35 0 0 0 0 1033 129
 3.150000E+01 0 5 209 0 61 11 0 0 1 7 0 1851 1018 0 96 35 0 0 0 0 1053 131
 3.200000E+01 0 8 214 0 63 10 0 0 7 10 0 1844 1021 0 96 39 0 0 0 0 1060 135
 3.250000E+01 0 8 208 0 69 13 0 0 5 9 0 1848 1021 0 86 45 0 0 0 0 1066 131
 3.300000E+01 0 5 206 0 64 11 0 1 4 7 0 1846 1027 0 79 48 0 0 0 0 1075 127
 3.350000E+01 0 11 207 0 59 10 0 0 7 7 0 1835 1032 0 87 46 0 0 0 0 1078 133
 3.400000E+01 0 1 209 0 63 9 0 0 6 5 0 1837 1035 0 83 45 0 0 0 0 1080 128
 3.450000E+01 0 8 210 0 62 8 0 0 5 4 0 1854 1025 0 76 45 0 0 0 0 1070 121
 3.500000E+01 0 6 214 0 61 8 0 0 7 11 0 1862 1019 0 70 49 0 0 0 0 1068 119
 3.550000E+01 0 9 215 0 59 11 0 0 4 7 0 1868 1013 0 68 51 0 0 0 0 1064 119
 3.600000E+01 0 6 216 0 68 13 0 0 3 9 0 1860 1018 0 72 50 0 0 0 0 1068 122
 3.650000E+01 0 7 211 0 71 12 0 0 6 6 0 1844 1030 0 74 52 0 0 0 0 1082 126
 3.700000E+01 0 7 215 0 69 12 0 0 6 13 0 1858 1015 0 72 55 0 0 0 0 1070 127
 3.750000E+01 0 10 210 0 64 16 0 0 8 10 0 1852 1018 0 77 53 0 0 0 0 1071 130
 3.800000E+01 0 9 218 0 67 10 0 1 9 3 0 1860 1009 0 77 54 0 0 0 0 1063 131
 3.850000E+01 0 9 226 0 59 11 0 1 8 12 0 1843 1026 0 78 53 0 0 0 0 1079 131
 3.900000E+01 0 3 230 0 63 12 0 1 12 5 0 1857 1013 0 80 50 0 0 0 0 1063 130
 3.950000E+01 0 11 228 0 67 12 0 1 11 7 0 1867 1002 0 80 51 0 0 0 0 1053 131
 4.000000E+01 0 6 233 0 60 12 0 1 5 7 0 1884 994 0 76 46 0 0 0 0 1040 122
 4.050000E+01 0 11 228 0 74 12 0 1 9 8 0 1885 992 0 76 47 0 0 0 0 1039 123
 4.100000E+01 0 6 231 0 63 12 0 1 9 9 0 1851 1029 0 81 39 0 0 0 0 1068 120
 4.150000E+01 0 4 225 0 63 10 0 1 11 6 0 1842 1037 0 81 40 0 0 0 0 1077 121
 4.200000E+01 0 15 222 0 65 8 0 1 6 6 0 1834 1050 0 82 34 0 0 0 0 1084 116
 4.250000E+01 0 8 233 0 74 10 0 1 7 8 0 1838 1044 0 82 36 0 0 0 0 1080 118
 4.300000E+01 0 4 231 0 70 9 0 1 9 8 0 1853 1031 0 79 37 0 0 0 0 1068 116
 4.350000E+01 0 4 240 0 62 12 0 0 5 12 0 1862 1020 0 77 41 0 0 0 0 1061 118
 4.400000E+01 0 4 234 0 63 13 0 0 7 4 0 1871 1018 0 74 37 0 0 0 0 1055 111
 4.450000E+01 0 8 232 0 59 12 0 0 7 10 0 1864 1022 0 73 41 0 0 0 0 1063 114
 4.500000E+01 0 9 223 0 65 14 0 0 9 12 0 1871 1014 0 75 40 0 0 0 0 1054 115
 4.550000E+01 0 8 223 0 63 12 0 1 5 11 0 1869 1017 0 72 42 0 0 0 0 1059 114
 4.600000E+01 0 11 228 0 61 16 0 1 5 11 0 1859 1031 0 75 35 0 0 0 0 1066 110
 4.650000E+01 0 9 233 0 67 20 0 0 2 9 0 1842 1041 0 83 34 0 0 0 0 1075 117
 4.700000E+01 0 15 232 0 59 17 0 1 6 11 0 1817 1057 0 84 42 0 0 0 0 1099 126
 4.750000E+01 0 14 229 0 57 16 0 1 9 7 0 1815 1060 0 83 42 0 0 0 0 1102 125
 4.800000E+01 0 7 227 0 66 12 0 0 10 4 0 1811 1057 0 96 36 0 0 0 0 1093 132
 4.850000E+01 0 10 224 0 64 11 0 0 9 7 0 1819 1046 0 97 38 0 0 0 0 1084 135
 4.900000E+01 0 8 222 0 59 13 0 0 12 11 0 1824 1036 0 97 43 0 0 0 0 1079 140
 4.950000E+01 0 10 218 0 69 14 0 0 13 8 0 1825 1042 0 89 44 0 0 0 0 1086 133
 5.000000E+01 0 9 219 0 59 14 0 0 11 2 0 1831 1037 0 87 45 0 0 0 0 1082 132
 5.050000E+01 0 4 226 0 81 14 0 0 4 10 0 1813 1059 0 87 41 0 0 0 0 1100 128
 5.100000E+01 0 10 231 0 66 12 0 1 4 8 0 1813 1056 0 91 40 0 0 0 0 1096 131
 5.150000E+01 0 10 235 0 66 13 0 1 9 15 0 1811 1061 0 85 43 0 0 0 0 1104 128
 5.200000E+01 0 15 228 0 69 14 0 1 9 8 0 1813 1061 0 86 40 0 0 0 0 1101 126
 5.250000E+01 0 4 227 0 61 12 0 1 3 6 0 1801 1085 0 76 38 0 0 0 0 1123 114
 5.300000E+01 0 7 227 0 60 13 0 0 9 8 0 1785 1098 0 74 43 0 0 0 0 1141 117
 5.350000E+01 0 7 227 0 55 10 0 0 2 7 0 1797 1092 0 74 37 0 0 0 0 1129 111
 5.400000E+01 0 7 227 0 63 10 0 0 11 13 0 1777 1109 0 71 43 0 0 0 0 1152 114
 5.450000E+01 0 6 223 0 57 17 0 1 4 8 0 1781 1106 0 68 45 0 0 0 0 1151 113
 5.500000E+01 0 7 225 0 61 15 0 2 6 6 0 1784 1094 0 74 48 0 0 0 0 1142 122
 5.550000E+01 0 11 229 0 64 14 0 2 3 10 0 1791 1086 0 75 48 0 0 0 0 1134 123
 5.600000E+01 0 10 231 0 61 9 0 1 7 5 0 1784 1089 0 82 45 0 0 0 0 1134 127
 5.650000E+01 0 6 229 0 69 10 0 1 8 6 0 1786 1085 0 83 46 0 0 0 0 1131 129
 5.700000E+01 0 10 226 0 62 13 0 0 3 4 0 1798 1084 0 77 41 0 0 0 0 1125 118
 5.750000E+01 0 5 219 0 59 11 0 0 8 5 0 1793 1082 0 87 38 0 0 0 0 1120 125
 5.800000E+01 0 8 222 0 70 14 0 0 6 8 0 1811 1063 0 85 41 0 0 0 0 1104 126
 5.850000E+01 0 11 226 0 58 10 0 1 10 6 0 1838 1036 0 85 41 0 0 0 0 1077 126
 5.900000E+01 0 7 229 0 62 12 0 2 2 6 0 1844 1033 0 85 38 0 0 0 0 1071 123
 5.950000E+01 0 7 234 0 68 14 0 1 5 7 0 1846 1028 0 85 41 0 0 0 0 1069 126
 6.000000E+01 0 5 234 0 66 11 0 1 9 9 0 1873 1010 0 78 39 0 0 0 0 1049 117
