# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 4 0 0 75 0 0 0 0 0 0 2899 101 0 0 0 0 0 0 0 101 0
 1.000000E+00 0 0 6 0 0 76 0 0 0 0 0 0 2812 188 0 0 0 0 0 0 0 188 0
 1.500000E+00 0 4 8 0 0 78 0 0 0 0 0 0 2735 265 0 0 0 0 0 0 0 265 0
 2.000000E+00 0 1 11 0 0 76 0 0 0 0 0 0 2636 364 0 0 0 0 0 0 0 364 0
 2.500000E+00 0 0 14 0 0 68 0 0 0 0 0 0 2573 427 0 0 0 0 0 0 0 427 0
 3.000000E+00 0 2 18 0 0 63 0 0 0 0 0 0 2512 488 0 0 0 0 0 0 0 488 0
 3.500000E+00 0 0 24 0 0 74 0 0 0 0 0 0 2463 537 0 0 0 0 0 0 0 537 0
 4.000000E+00 0 2 26 0 0 76 0 0 0 0 0 0 2393 607 0 0 0 0 0 0 0 607 0
 4.500000E+00 0 1 29 0 0 75 0 0 0 0 0 0 2353 647 0 0 0 0 0 0 0 647 0
 5.000000E+00 0 0 30 0 0 68 0 0 0 0 1 0 2343 657 0 0 0 0 0 0 0 657 0
 5.500000E+00 0 2 32 0 0 68 0 0 0 1 1 0 2313 686 0 1 0 0 0 0 0 686 1
 6.000000E+00 0 1 37 0 0 66 0 0 0 0 1 0 2278 721 0 1 0 0 0 0 0 721 1
 6.500000E+00 0 4 38 0 0 73 0 0 0 0 1 0 2258 741 0 1 0 0 0 0 0 741 1
 7.000000E+00 0 0 38 0 0 66 0 0 0 0 0 0 2231 768 0 1 0 0 0 0 0 768 1
 7.500000E+00 0 2 40 0 0 69 0 0 0 0 1 0 2215 784 0 1 0 0 0 0 0 784 1
 8.000000E+00 0 4 46 0 0 69 1 0 0 0 0 0 2179 819 0 2 0 0 0 0 0 819 2
 8.500000E+00 0 3 47 0 0 66 1 0 0 0 0 0 2173 825 0 2 0 0 0 0 0 825 2
 9.000000E+00 0 5 49 0 0 66 1 0 0 0 0 0 2177 820 0 3 0 0 0 0 0 820 3
 9.500000E+00 0 4 50 0 0 63 1 0 0 1 0 0 2156 839 0 2 3 0 0 0 0 842 5
