# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 0 0 0 0 75 0 0 0 0 0 0 2906 94 0 0 0 0 0 0 0 94 0
 1.000000E+00 0 0 0 0 0 75 0 0 0 0 0 0 2808 192 0 0 0 0 0 0 0 192 0
 1.500000E+00 0 0 0 0 0 69 0 0 0 0 0 0 2713 287 0 0 0 0 0 0 0 287 0
 2.000000E+00 0 0 0 0 0 68 0 0 0 0 0 0 2625 375 0 0 0 0 0 0 0 375 0
 2.500000E+00 0 0 0 0 0 66 0 0 0 0 0 0 2563 437 0 0 0 0 0 0 0 437 0
 3.000000E+00 0 0 0 0 0 67 0 0 0 0 0 0 2484 516 0 0 0 0 0 0 0 516 0
 3.500000E+00 0 0 0 0 0 84 0 0 0 0 0 0 2443 557 0 0 0 0 0 0 0 557 0
 4.000000E+00 0 0 0 0 0 73 0 0 0 0 0 0 2391 609 0 0 0 0 0 0 0 609 0
 4.500000E+00 0 0 0 0 0 65 0 0 0 0 0 0 2331 669 0 0 0 0 0 0 0 669 0
 5.000000E+00 0 0 0 0 0 65 0 0 0 0 0 0 2311 689 0 0 0 0 0 0 0 689 0
 5.500000E+00 0 0 0 0 0 71 0 0 0 0 0 0 2292 708 0 0 0 0 0 0 0 708 0
 6.000000E+00 0 0 0 0 0 70 0 0 0 0 0 0 2261 739 0 0 0 0 0 0 0 739 0
 6.500000E+00 0 0 0 0 0 66 0 0 0 0 0 0 2237 763 0 0 0 0 0 0 0 763 0
 7.000000E+00 0 0 0 0 0 69 0 0 0 0 0 0 2223 777 0 0 0 0 0 0 0 777 0
 7.500000E+00 0 0 0 0 0 70 0 0 0 0 0 0 2193 807 0 0 0 0 0 0 0 807 0
 8.000000E+00 0 0 0 0 0 71 0 0 0 0 0 0 2158 842 0 0 0 0 0 0 0 842 0
 8.500000E+00 0 0 0 0 0 67 0 0 0 0 0 0 2126 874 0 0 0 0 0 0 0 874 0
 9.000000E+00 0 0 0 0 0 55 0 0 0 0 0 0 2109 891 0 0 0 0 0 0 0 891 0
 9.500000E+00 0 0 0 0 0 56 0 0 0 0 0 0 2090 910 0 0 0 0 0 0 0 910 0
 1.000000E+01 0 0 0 0 0 63 0 0 0 0 0 0 2094 906 0 0 0 0 0 0 0 906 0
 1.050000E+01 0 0 0 0 0 61 0 0 0 0 0 0 2074 926 0 0 0 0 0 0 0 926 0
 1.100000E+01 0 0 0 0 0 73 0 0 0 0 0 0 2071 929 0 0 0 0 0 0 0 929 0
 1.150000E+01 0 0 0 0 0 71 0 0 0 0 0 0 2050 950 0 0 0 0 0 0 0 950 0
 1.200000E+01 0 0 0 0 0 74 0 0 0 0 0 0 2040 960 0 0 0 0 0 0 0 960 0
 1.250000E+01 0 0 0 0 0 72 0 0 0 0 0 0 2027 973 0 0 0 0 0 0 0 973 0
 1.300000E+01 0 0 0 0 0 71 0 0 0 0 0 0 2006 994 0 0 0 0 0 0 0 994 0
 1.350000E+01 0 0 0 0 0 57 0 0 0 0 0 0 2018 982 0 0 0 0 0 0 0 982 0
 1.400000E+01 0 0 0 0 0 55 0 0 0 0 0 0 2003 997 0 0 0 0 0 0 0 997 0
 1.450000E+01 0 0 0 0 0 55 0 0 0 0 0 0 1995 1005 0 0 0 0 0 0 0 1005 0
 1.500000E+01 0 0 0 0 0 53 0 0 0 0 0 0 1999 1001 0 0 0 0 0 0 0 1001 0
 1.550000E+01 0 0 0 0 0 76 0 0 0 0 0 0 1975 1025 0 0 0 0 0 0 0 1025 0
 1.600000E+01 0 0 0 0 0 66 0 0 0 0 0 0 1973 1027 0 0 0 0 0 0 0 1027 0
 1.650000E+01 0 0 0 0 0 60 0 0 0 0 0 0 1946 1054 0 0 0 0 0 0 0 1054 0
 1.700000E+01 0 0 0 0 0 68 0 0 0 0 0 0 1937 1063 0 0 0 0 0 0 0 1063 0
 1.750000E+01 0 0 0 0 0 70 0 0 0 0 0 0 1946 1054 0 0 0 0 0 0 0 1054 0
 1.800000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1944 1056 0 0 0 0 0 0 0 1056 0
 1.850000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1936 1064 0 0 0 0 0 0 0 1064 0
 1.900000E+01 0 0 0 0 0 66 0 0 0 0 0 0 1926 1074 0 0 0 0 0 0 0 1074 0
 1.950000E+01 0 0 0 0 0 54 0 0 0 0 0 0 1902 1098 0 0 0 0 0 0 0 1098 0
 2.000000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1929 1071 0 0 0 0 0 0 0 1071 0
 2.050000E+01 0 0 0 0 0 70 0 0 0 0 0 0 1923 1077 0 0 0 0 0 0 0 1077 0
 2.100000E+01 0 0 0 0 0 62 0 0 0 0 0 0 1940 1060 0 0 0 0 0 0 0 1060 0
