# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 3.333333E-01 0 2 4 0 0 73 11 0 0 6 0 0 2882 64 0 54 0 0 0 0 0 64 54
 6.666667E-01 0 1 6 0 0 80 24 0 0 4 0 0 2777 115 0 104 4 0 0 0 0 119 108
 1.000000E+00 0 1 8 0 0 76 38 0 0 11 0 0 2664 178 0 143 15 0 0 0 0 193 158
 1.333333E+00 0 1 12 0 0 75 52 0 0 15 0 0 2564 241 0 176 19 0 0 0 0 260 195
 1.666667E+00 0 0 16 0 0 81 60 0 0 14 0 0 2485 295 0 197 23 0 0 0 0 318 220
 2.000000E+00 0 1 20 0 0 77 64 0 0 21 0 0 2426 331 0 211 32 0 0 0 0 363 243
 2.333333E+00 0 2 20 0 0 72 71 0 0 13 0 0 2368 362 0 235 35 0 0 0 0 397 270
 2.666667E+00 0 1 22 0 0 72 76 0 0 14 0 0 2310 399 0 249 42 0 0 0 0 441 291
 3.000000E+00 0 2 22 0 0 83 80 0 0 16 0 0 2266 437 0 244 53 0 0 0 0 490 297
 3.333333E+00 0 2 24 0 0 65 82 0 0 14 0 0 2220 471 0 242 67 0 0 0 0 538 309
 3.666667E+00 0 3 30 0 0 82 82 0 0 15 1 0 2186 491 0 251 72 0 0 0 0 563 323
 4.000000E+00 0 4 34 0 0 55 84 0 0 26 0 0 2153 517 0 253 77 0 0 0 0 594 330
 4.333333E+00 0 3 38 0 0 79 86 0 0 22 0 0 2098 560 0 259 83 0 0 0 0 643 342
 4.666667E+00 0 7 40 0 0 65 87 0 0 26 0 0 2074 575 0 260 91 0 0 0 0 666 351
 5.000000E+00 0 1 48 0 0 73 89 0 0 19 1 0 2051 587 0 262 100 0 0 0 0 687 362
 5.333333E+00 0 6 48 0 0 69 89 0 0 25 0 0 2040 591 0 266 103 0 0 0 0 694 369
 5.666667E+00 0 6 52 0 0 54 89 0 0 20 1 0 2012 612 0 272 104 0 0 0 0 716 376
 6.000000E+00 0 2 58 0 0 66 89 0 0 17 0 0 1993 627 0 278 102 0 0 0 0 729 380
 6.333333E+00 0 5 56 0 0 71 92 0 0 24 0 0 1965 652 0 281 102 0 0 0 0 754 383
 6.666667E+00 0 7 56 0 0 69 93 0 0 23 0 0 1937 671 0 287 105 0 0 0 0 776 392
 7.000000E+00 0 3 66 0 0 70 94 0 0 26 1 0 1941 666 0 294 99 0 0 0 0 765 393
 7.333333E+00 0 2 68 0 0 73 93 0 0 20 0 0 1930 672 0 296 102 0 0 0 0 774 398
 7.666667E+00 0 0 72 0 0 74 94 0 0 21 0 0 1916 679 0 300 105 0 0 0 0 784 405
 8.000000E+00 0 4 68 0 0 68 96 0 0 25 2 0 1918 671 0 305 106 0 0 0 0 777 411
 8.333333E+00 0 5 72 0 0 69 96 0 0 23 0 0 1901 686 0 307 106 0 0 0 0 792 413
 8.666667E+00 0 5 72 0 0 64 97 0 0 28 0 0 1892 695 0 293 120 0 0 0 0 815 413
 9.000000E+00 0 2 78 0 0 61 97 0 0 29 1 0 1872 714 0 300 114 0 0 0 0 828 414
 9.333333E+00 0 6 76 0 0 65 96 0 0 19 1 0 1860 724 0 293 123 0 0 0 0 847 416
 9.666667E+00 0 4 82 0 0 70 96 0 0 28 0 0 1832 749 0 291 128 0 0 0 0 877 419
 1.000000E+01 0 0 88 0 0 69 97 0 0 22 1 0 1823 754 0 294 129 0 0 0 0 883 423
 1.033333E+01 0 5 86 0 0 71 97 0 0 23 1 0 1808 768 0 293 131 0 0 0 0 899 424
 1.066667E+01 0 7 86 0 0 63 97 0 0 18 0 0 1780 793 0 300 127 0 0 0 0 920 427
 1.100000E+01 0 4 92 0 0 66 97 0 0 22 0 0 1755 816 0 294 135 0 0 0 0 951 429
 1.133333E+01 0 2 96 0 0 61 97 0 0 22 1 0 1751 816 0 299 134 0 0 0 0 950 433
 1.166667E+01 0 3 94 0 0 64 97 0 0 32 2 0 1764 801 0 302 133 0 0 0 0 934 435
 1.200000E+01 0 10 94 0 0 68 96 0 0 22 4 0 1750 813 0 309 128 0 0 0 0 941 437
 1.233333E+01 0 5 104 0 0 71 95 0 0 28 2 0 1738 821 0 302 139 0 0 0 0 960 441
 1.266667E+01 0 5 106 0 0 77 96 0 0 25 1 0 1730 825 0 309 136 0 0 0 0 961 445
 1.300000E+01 0 3 114 0 0 65 95 0 0 24 1 0 1734 821 0 304 141 0 0 0 0 962 445
 1.333333E+01 0 7 112 0 0 67 96 0 0 25 1 0 1732 821 0 305 142 0 0 0 0 963 447
 1.366667E+01 0 4 118 0 0 66 93 0 0 24 4 0 1732 819 0 306 143 0 0 0 0 962 449
 1.400000E+01 0 5 119 0 0 70 93 0 1 20 3 0 1720 826 0 307 147 0 0 0 0 973 454
 1.433333E+01 0 5 118 0 0 66 92 1 0 25 1 0 1724 817 0 306 153 0 0 0 0 970 459
 1.466667E+01 0 3 120 0 0 70 94 1 0 17 2 0 1729 810 0 306 155 0 0 0 0 965 461
 1.500000E+01 0 7 116 0 0 56 96 0 0 25 2 0 1717 821 0 309 153 0 0 0 0 974 462
 1.533333E+01 0 6 118 0 0 69 97 0 0 21 1 0 1720 812 0 316 152 0 0 0 0 964 468
 1.566667E+01 0 4 122 0 0 68 97 0 0 32 2 0 1714 818 0 319 149 0 0 0 0 967 468
 1.600000E+01 0 7 124 0 0 71 98 0 0 20 1 0 1719 812 0 320 149 0 0 0 0 961 469
 1.633333E+01 0 4 124 0 0 65 96 0 0 20 3 0 1722 809 0 320 149 0 0 0 0 958 469
 1.666667E+01 0 9 124 0 0 74 96 0 0 24 3 0 1716 812 0 323 149 0 0 0 0 961 472
 1.700000E+01 0 5 130 0 0 58 96 0 0 24 1 0 1691 834 0 325 150 0 0 0 0 984 475
 1.733333E+01 0 6 130 0 0 72 97 0 0 24 2 0 1686 838 0 316 160 0 0 0 0 998 476
 1.766667E+01 0 2 138 0 0 62 97 0 0 22 2 0 1695 827 0 318 160 0 0 0 0 987 478
 1.800000E+01 0 7 134 0 0 60 98 0 0 28 3 0 1703 818 0 315 164 0 0 0 0 982 479
 1.833333E+01 0 6 136 0 0 67 96 0 0 19 4 0 1696 824 0 323 157 0 0 0 0 981 480
 1.866667E+01 0 6 140 0 0 61 97 0 0 27 1 0 1659 857 0 322 162 0 0 0 0 1019 484
 1.900000E+01 0 2 146 0 0 59 97 0 0 32 5 0 1661 852 0 322 165 0 0 0 0 1017 487
 1.933333E+01 0 8 148 0 0 59 95 0 0 29 5 0 1643 866 0 329 162 0 0 0 0 1028 491
 1.966667E+01 0 7 152 0 0 64 96 0 0 28 1 0 1645 862 0 340 153 0 0 0 0 1015 493
 2.000000E+01 0 6 156 0 0 55 96 0 0 22 4 0 1661 844 0 332 163 0 0 0 0 1007 495
 2.033333E+01 0 8 154 0 0 68 94 0 0 34 3 0 1659 845 0 336 160 0 0 0 0 1005 496
 2.066667E+01 0 6 160 0 0 61 94 0 0 31 7 0 1650 853 0 336 161 0 0 0 0 1014 497
 2.100000E+01 0 8 158 0 0 68 94 0 0 23 5 0 1636 866 0 336 162 0 0 0 0 1028 498
 2.133333E+01 0 9 158 0 0 71 93 0 0 20 3 0 1624 874 0 342 160 0 0 0 0 1034 502
 2.166667E+01 0 9 162 0 0 68 94 0 0 23 3 0 1620 872 0 342 166 0 0 0 0 1038 508
 2.200000E+01 0 11 166 0 0 64 93 0 0 33 9 0 1632 856 0 342 170 0 0 0 0 1026 512
 2.233333E+01 0 5 174 0 0 63 89 0 0 28 5 0 1635 848 0 354 163 0 0 0 0 1011 517
 2.266667E+01 0 9 172 0 0 65 87 0 0 31 7 0 1620 859 0 359 162 0 0 0 0 1021 521
 2.300000E+01 0 6 176 0 0 69 87 0 0 27 3 0 1624 850 0 357 169 0 0 0 0 1019 526
 2.333333E+01 0 6 176 0 0 62 86 0 0 27 7 0 1612 856 0 361 171 0 0 0 0 1027 532
 2.366667E+01 0 4 178 0 0 61 87 0 0 26 4 0 1607 856 0 365 172 0 0 0 0 1028 537
 2.400000E+01 0 8 174 0 0 67 87 0 0 33 5 0 1589 864 0 370 177 0 0 0 0 1041 547
 2.433333E+01 0 6 182 0 0 62 85 0 0 27 5 0 1579 865 0 377 179 0 0 0 0 1044 556
 2.466667E+01 0 6 185 0 0 62 87 0 1 30 4 0 1573 865 0 381 181 0 0 0 0 1046 562
 2.500000E+01 0 9 184 0 0 58 86 0 0 28 4 0 1576 856 0 386 182 0 0 0 0 1038 568
 2.533333E+01 0 10 186 0 0 66 88 0 0 22 6 0 1584 842 0 389 185 0 0 0 0 1027 574
 2.566667E+01 0 8 192 0 0 62 90 0 0 27 5 0 1589 829 0 394 188 0 0 0 0 1017 582
 2.600000E+01 0 5 195 0 0 57 91 0 1 31 9 0 1580 835 0 386 199 0 0 0 0 1034 585
 2.633333E+01 0 7 195 0 0 62 90 0 1 28 8 0 1577 834 0 383 206 0 0 0 0 1040 589
 2.666667E+01 0 9 199 0 0 62 91 0 1 33 6 0 1563 843 0 385 209 0 0 0 0 1052 594
 2.700000E+01 0 6 208 0 0 69 92 0 0 34 8 0 1556 843 0 389 212 0 0 0 0 1055 601
 2.733333E+01 0 12 206 0 0 69 90 0 0 29 8 0 1566 826 0 395 213 0 0 0 0 1039 608
 2.766667E+01 0 4 216 0 0 65 92 0 0 29 5 0 1586 805 0 397 212 0 0 0 0 1017 609
 2.800000E+01 0 7 218 0 0 57 93 0 0 34 8 0 1573 815 0 404 208 0 0 0 0 1023 612
 2.833333E+01 0 10 217 0 0 58 92 0 1 26 10 0 1552 828 0 408 212 0 0 0 0 1040 620
 2.866667E+01 0 6 225 0 0 64 93 1 1 27 9 0 1563 815 0 395 227 0 0 0 0 1042 622
 2.900000E+01 0 5 232 0 0 64 91 0 0 32 9 0 1561 815 0 407 217 0 0 0 0 1032 624
 2.933333E+01 0 8 230 0 0 63 91 1 0 32 11 0 1556 816 0 414 214 0 0 0 0 1030 628
 2.966667E+01 0 9 232 0 0 74 90 0 0 26 15 0 1556 813 0 425 206 0 0 0 0 1019 631
 3.000000E+01 0 9 232 0 0 69 91 0 0 26 9 0 1549 815 0 425 211 0 0 0 0 1026 636
 3.033333E+01 0 6 238 0 0 71 91 0 0 32 9 0 1558 799 0 427 216 0 0 0 0 1015 643
 3.066667E+01 0 7 238 0 0 58 91 0 0 32 13 0 1570 781 0 423 226 0 0 0 0 1007 649
 3.100000E+01 0 12 233 0 0 65 94 1 1 37 8 0 1566 784 0 427 223 0 0 0 0 1007 650
