# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 8 0 78 79 0 0 2 0 0 2816 117 0 64 3 0 0 0 0 120 67
 1.000000E+00 0 1 13 0 67 64 0 0 10 0 0 2666 204 0 119 11 0 0 0 0 215 130
 1.500000E+00 0 1 19 0 64 54 0 0 6 0 0 2536 283 0 164 17 0 0 0 0 300 181
 2.000000E+00 0 1 25 0 79 48 0 0 16 0 0 2433 342 0 197 28 0 0 0 0 370 225
 2.500000E+00 0 0 28 0 77 37 0 0 18 1 0 2334 406 0 214 46 0 0 0 0 452 260
 3.000000E+00 0 5 31 0 64 27 0 0 26 0 0 2246 465 0 235 54 0 0 0 0 519 289
 3.500000E+00 0 4 36 0 71 22 0 0 17 1 0 2189 503 0 242 66 0 0 0 0 569 308
 4.000000E+00 0 0 40 0 71 17 0 0 24 0 0 2132 540 0 253 75 0 0 0 0 615 328
 4.500000E+00 0 4 46 0 65 12 0 0 21 0 0 2078 583 0 257 82 0 0 0 0 665 339
 5.000000E+00 0 4 52 0 81 10 0 0 24 0 0 2039 610 0 260 91 0 0 0 0 701 351
 5.500000E+00 0 4 54 0 74 8 0 0 21 1 0 1974 669 0 266 91 0 0 0 0 760 357
 6.000000E+00 0 6 56 0 83 8 0 0 26 0 0 1939 699 0 266 96 0 0 0 0 795 362
 6.500000E+00 0 1 61 0 73 5 0 0 16 2 0 1912 723 0 263 102 0 0 0 0 825 365
 7.000000E+00 0 4 68 0 67 5 0 0 22 1 0 1888 741 0 263 108 0 0 0 0 849 371
 7.500000E+00 0 1 69 0 65 3 0 0 18 1 0 1882 744 0 261 113 0 0 0 0 857 374
 8.000000E+00 0 1 73 0 63 4 0 0 18 1 0 1853 770 0 264 113 0 0 0 0 883 377
 8.500000E+00 0 5 81 0 65 4 0 0 25 0 0 1825 796 0 260 119 0 0 0 0 915 379
 9.000000E+00 0 6 88 0 74 3 0 0 21 0 0 1809 809 0 264 118 0 0 0 0 927 382
 9.500000E+00 0 3 89 0 65 2 0 0 16 1 0 1797 817 0 269 117 0 0 0 0 934 386
 1.000000E+01 0 4 92 0 77 1 0 0 18 1 0 1797 817 0 263 123 0 0 0 0 940 386
 1.050000E+01 0 3 91 0 66 2 0 0 22 2 0 1788 824 0 260 128 0 0 0 0 952 388
