# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 75 81 0 0 0 0 0 2887 113 0 0 0 0 0 0 0 113 0
 1.000000E+00 0 4 8 0 78 63 0 0 0 0 0 2780 220 0 0 0 0 0 0 0 220 0
 1.500000E+00 0 4 14 0 77 50 0 0 0 0 0 2695 305 0 0 0 0 0 0 0 305 0
 2.000000E+00 0 0 16 0 74 41 0 0 0 0 0 2609 391 0 0 0 0 0 0 0 391 0
 2.500000E+00 0 2 22 0 69 33 0 0 0 0 0 2537 463 0 0 0 0 0 0 0 463 0
 3.000000E+00 0 4 27 0 63 26 0 1 0 0 0 2460 540 0 0 0 0 0 0 0 540 0
 3.500000E+00 0 6 35 0 73 22 0 1 0 0 0 2398 602 0 0 0 0 0 0 0 602 0
 4.000000E+00 0 2 39 0 65 17 0 1 0 0 0 2350 650 0 0 0 0 0 0 0 650 0
 4.500000E+00 0 6 41 0 73 13 0 1 0 0 0 2315 685 0 0 0 0 0 0 0 685 0
 5.000000E+00 0 2 44 0 79 8 0 0 0 0 0 2281 719 0 0 0 0 0 0 0 719 0
 5.500000E+00 0 3 45 0 71 8 0 0 0 0 0 2258 742 0 0 0 0 0 0 0 742 0
 6.000000E+00 0 2 53 0 71 7 0 1 0 0 0 2227 773 0 0 0 0 0 0 0 773 0
 6.500000E+00 0 7 58 0 66 6 0 1 0 0 0 2195 805 0 0 0 0 0 0 0 805 0
 7.000000E+00 0 8 63 0 66 5 0 1 0 0 0 2184 816 0 0 0 0 0 0 0 816 0
 7.500000E+00 0 4 69 0 72 3 0 1 0 2 0 2138 862 0 0 0 0 0 0 0 862 0
 8.000000E+00 0 5 73 0 70 3 0 0 0 1 0 2121 879 0 0 0 0 0 0 0 879 0
 8.500000E+00 0 2 72 0 73 4 0 0 0 2 0 2089 911 0 0 0 0 0 0 0 911 0
 9.000000E+00 0 3 73 0 65 4 0 0 0 2 0 2099 901 0 0 0 0 0 0 0 901 0
 9.500000E+00 0 2 74 0 70 4 0 0 0 1 0 2082 918 0 0 0 0 0 0 0 918 0
 1.000000E+01 0 3 77 0 65 3 0 0 0 1 0 2084 916 0 0 0 0 0 0 0 916 0
 1.050000E+01 0 6 82 0 75 3 0 0 0 1 0 2089 911 0 0 0 0 0 0 0 911 0
 1.100000E+01 0 3 87 0 65 3 0 0 0 1 0 2075 925 0 0 0 0 0 0 0 925 0
 1.150000E+01 0 4 94 0 71 3 0 0 0 4 0 2052 948 0 0 0 0 0 0 0 948 0
 1.200000E+01 0 7 99 0 67 4 0 0 0 3 0 1994 1006 0 0 0 0 0 0 0 1006 0
 1.250000E+01 0 4 98 0 81 4 0 0 0 0 0 1979 1021 0 0 0 0 0 0 0 1021 0
 1.300000E+01 0 1 97 0 55 4 0 0 0 1 0 1961 1039 0 0 0 0 0 0 0 1039 0
 1.350000E+01 0 4 102 0 67 5 0 0 0 0 0 1955 1045 0 0 0 0 0 0 0 1045 0
 1.400000E+01 0 3 107 0 66 5 0 0 0 2 0 1958 1042 0 0 0 0 0 0 0 1042 0
 1.450000E+01 0 5 117 0 62 6 0 0 0 2 0 1946 1054 0 0 0 0 0 0 0 1054 0
 1.500000E+01 0 10 120 0 70 7 0 0 0 2 0 1932 1068 0 0 0 0 0 0 0 1068 0
 1.550000E+01 0 6 122 0 63 5 0 0 0 4 0 1927 1073 0 0 0 0 0 0 0 1073 0
