# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 9 0 82 84 0 0 0 0 0 2890 110 0 0 0 0 0 0 0 110 0
 1.000000E+00 0 1 13 0 76 73 0 0 0 0 0 2793 207 0 0 0 0 0 0 0 207 0
 1.500000E+00 0 1 13 0 80 62 0 0 0 0 0 2696 304 0 0 0 0 0 0 0 304 0
 2.000000E+00 0 1 21 0 74 52 0 0 0 0 0 2609 391 0 0 0 0 0 0 0 391 0
 2.500000E+00 0 4 24 0 74 44 0 0 0 0 0 2538 462 0 0 0 0 0 0 0 462 0
 3.000000E+00 0 1 25 0 76 40 0 0 0 0 0 2468 532 0 0 0 0 0 0 0 532 0
 3.500000E+00 0 3 33 0 67 32 0 0 0 0 0 2414 586 0 0 0 0 0 0 0 586 0
 4.000000E+00 0 2 42 0 74 26 0 0 0 0 0 2370 630 0 0 0 0 0 0 0 630 0
 4.500000E+00 0 5 45 0 65 24 0 0 0 0 0 2346 654 0 0 0 0 0 0 0 654 0
 5.000000E+00 0 1 47 0 80 19 0 0 0 1 0 2275 725 0 0 0 0 0 0 0 725 0
 5.500000E+00 0 1 49 0 66 14 0 0 0 0 0 2258 742 0 0 0 0 0 0 0 742 0
 6.000000E+00 0 5 61 0 69 10 0 0 0 0 0 2216 784 0 0 0 0 0 0 0 784 0
 6.500000E+00 0 3 61 0 74 9 0 0 0 0 0 2199 801 0 0 0 0 0 0 0 801 0
 7.000000E+00 0 0 66 0 68 8 0 0 0 1 0 2168 832 0 0 0 0 0 0 0 832 0
 7.500000E+00 0 2 70 0 70 8 0 0 0 1 0 2173 827 0 0 0 0 0 0 0 827 0
 8.000000E+00 0 4 78 0 64 8 0 0 0 1 0 2135 865 0 0 0 0 0 0 0 865 0
 8.500000E+00 0 6 84 0 66 5 0 0 0 1 0 2096 904 0 0 0 0 0 0 0 904 0
 9.000000E+00 0 5 89 0 68 3 0 0 0 2 0 2075 925 0 0 0 0 0 0 0 925 0
 9.500000E+00 0 2 88 0 62 4 0 0 0 2 0 2067 933 0 0 0 0 0 0 0 933 0
 1.000000E+01 0 4 90 0 66 4 0 0 0 0 0 2060 940 0 0 0 0 0 0 0 940 0
 1.050000E+01 0 7 94 0 72 3 0 1 0 0 0 2053 947 0 0 0 0 0 0 0 947 0
 1.100000E+01 0 1 97 0 58 2 0 0 0 1 0 2052 948 0 0 0 0 0 0 0 948 0
 1.150000E+01 0 3 103 0 69 2 0 0 0 1 0 2044 956 0 0 0 0 0 0 0 956 0
 1.200000E+01 0 6 104 0 63 1 0 0 0 1 0 2019 981 0 0 0 0 0 0 0 981 0
 1.250000E+01 0 5 105 0 63 1 0 0 0 3 0 2008 992 0 0 0 0 0 0 0 992 0
 1.300000E+01 0 3 109 0 67 1 0 0 0 2 0 1994 1006 0 0 0 0 0 0 0 1006 0
 1.350000E+01 0 7 116 0 64 2 0 1 0 1 0 1998 1002 0 0 0 0 0 0 0 1002 0
 1.400000E+01 0 9 120 0 72 2 0 1 0 2 0 1984 1016 0 0 0 0 0 0 0 1016 0
 1.450000E+01 0 2 135 0 61 1 0 1 0 2 0 1993 1007 0 0 0 0 0 0 0 1007 0
 1.500000E+01 0 5 134 0 69 3 0 1 0 1 0 2002 998 0 0 0 0 0 0 0 998 0
 1.550000E+01 0 4 135 0 68 3 0 1 0 3 0 2011 989 0 0 0 0 0 0 0 989 0
 1.600000E+01 0 1 142 0 59 3 0 1 0 5 0 1995 1005 0 0 0 0 0 0 0 1005 0
 1.650000E+01 0 4 150 0 76 6 0 0 0 1 0 1981 1019 0 0 0 0 0 0 0 1019 0
 1.700000E+01 0 5 155 0 68 6 0 0 0 3 0 1992 1008 0 0 0 0 0 0 0 1008 0
 1.750000E+01 0 9 155 0 70 6 0 0 0 5 0 1970 1030 0 0 0 0 0 0 0 1030 0
 1.800000E+01 0 7 153 0 73 5 0 0 0 5 0 1964 1036 0 0 0 0 0 0 0 1036 0
 1.850000E+01 0 8 156 0 69 5 0 0 0 4 0 1975 1025 0 0 0 0 0 0 0 1025 0
 1.900000E+01 0 2 158 0 68 6 0 0 0 3 0 1959 1041 0 0 0 0 0 0 0 1041 0
 1.950000E+01 0 1 159 0 67 6 0 0 0 6 0 1962 1038 0 0 0 0 0 0 0 1038 0
 2.000000E+01 0 5 163 0 67 8 0 0 0 3 0 1972 1028 0 0 0 0 0 0 0 1028 0
 2.050000E+01 0 6 160 0 63 7 0 0 0 0 0 1984 1016 0 0 0 0 0 0 0 1016 0
 2.100000E+01 0 4 164 0 66 9 0 0 0 6 0 1983 1017 0 0 0 0 0 0 0 1017 0
 2.150000E+01 0 6 178 0 55 16 0 0 0 10 0 1982 1018 0 0 0 0 0 0 0 1018 0
 2.200000E+01 0 7 175 0 73 14 0 0 0 1 0 1981 1019 0 0 0 0 0 0 0 1019 0
 2.250000E+01 0 2 168 0 56 12 0 0 0 5 0 1980 1020 0 0 0 0 0 0 0 1020 0
 2.300000E+01 0 7 171 0 57 11 0 0 0 4 0 1981 1019 0 0 0 0 0 0 0 1019 0
 2.350000E+01 0 3 179 0 63 12 0 0 0 8 0 1973 1027 0 0 0 0 0 0 0 1027 0
 2.400000E+01 0 7 175 0 62 11 0 0 0 3 0 1975 1025 0 0 0 0 0 0 0 1025 0
 2.450000E+01 0 11 173 0 65 12 0 0 0 2 0 1960 1040 0 0 0 0 0 0 0 1040 0
 2.500000E+01 0 9 179 0 66 12 0 0 0 5 0 1932 1068 0 0 0 0 0 0 0 1068 0
 2.550000E+01 0 7 181 0 60 13 0 0 0 4 0 1916 1084 0 0 0 0 0 0 0 1084 0
 2.600000E+01 0 8 184 0 72 12 0 0 0 4 0 1931 1069 0 0 0 0 0 0 0 1069 0
 2.650000E+01 0 5 186 0 62 13 0 1 0 4 0 1944 1056 0 0 0 0 0 0 0 1056 0
 2.700000E+01 0 8 185 0 65 14 0 1 0 7 0 1940 1060 0 0 0 0 0 0 0 1060 0
 2.750000E+01 0 8 193 0 63 15 0 1 0 5 0 1945 1055 0 0 0 0 0 0 0 1055 0
 2.800000E+01 0 10 199 0 64 18 0 1 0 5 0 1940 1060 0 0 0 0 0 0 0 1060 0
 2.850000E+01 0 9 199 0 56 17 0 0 0 4 0 1956 1044 0 0 0 0 0 0 0 1044 0
 2.900000E+01 0 4 200 0 69 18 0 0 0 3 0 1951 1049 0 0 0 0 0 0 0 1049 0
 2.950000E+01 0 11 201 0 61 18 0 0 0 3 0 1946 1054 0 0 0 0 0 0 0 1054 0
 3.000000E+01 0 10 202 0 66 16 0 0 0 2 0 1930 1070 0 0 0 0 0 0 0 1070 0
 3.050000E+01 0 5 203 0 66 13 0 0 0 6 0 1938 1062 0 0 0 0 0 0 0 1062 0
 3.100000E+01 0 8 208 0 66 15 0 0 0 5 0 1931 1069 0 0 0 0 0 0 0 1069 0
 3.150000E+01 0 5 207 0 59 16 0 0 0 8 0 1932 1068 0 0 0 0 0 0 0 1068 0
 3.200000E+01 0 5 203 0 62 16 0 0 0 8 0 1924 1076 0 0 0 0 0 0 0 1076 0
 3.250000E+01 0 6 207 0 66 18 0 1 0 6 0 1916 1084 0 0 0 0 0 0 0 1084 0
 3.300000E+01 0 5 206 0 73 19 0 1 0 10 0 1931 1069 0 0 0 0 0 0 0 1069 0
 3.350000E+01 0 9 204 0 69 19 0 1 0 5 0 1932 1068 0 0 0 0 0 0 0 1068 0
 3.400000E+01 0 9 206 0 62 22 0 1 0 4 0 1948 1052 0 0 0 0 0 0 0 1052 0
 3.450000E+01 0 10 210 0 60 21 0 2 0 2 0 1957 1043 0 0 0 0 0 0 0 1043 0
 3.500000E+01 0 9 214 0 61 17 0 3 0 2 0 1962 1038 0 0 0 0 0 0 0 1038 0
 3.550000E+01 0 9 214 0 67 18 0 1 0 6 0 1962 1038 0 0 0 0 0 0 0 1038 0
 3.600000E+01 0 9 212 0 59 14 0 1 0 7 0 1954 1046 0 0 0 0 0 0 0 1046 0
 3.650000E+01 0 9 216 0 67 15 0 1 0 12 0 1973 1027 0 0 0 0 0 0 0 1027 0
 3.700000E+01 0 6 215 0 69 15 0 1 0 7 0 1990 1010 0 0 0 0 0 0 0 1010 0
 3.750000E+01 0 7 216 0 64 13 0 1 0 9 0 1970 1030 0 0 0 0 0 0 0 1030 0
 3.800000E+01 0 10 221 0 72 14 0 1 0 9 0 1954 1046 0 0 0 0 0 0 0 1046 0
 3.850000E+01 0 7 221 0 68 17 0 0 0 7 0 1946 1054 0 0 0 0 0 0 0 1054 0
 3.900000E+01 0 20 220 0 56 16 0 0 0 2 0 1944 1056 0 0 0 0 0 0 0 1056 0
 3.950000E+01 0 11 211 0 55 16 0 0 0 6 0 1945 1055 0 0 0 0 0 0 0 1055 0
 4.000000E+01 0 9 213 0 62 19 0 0 0 8 0 1970 1030 0 0 0 0 0 0 0 1030 0
 4.050000E+01 0 8 212 0 65 16 0 0 0 12 0 1978 1022 0 0 0 0 0 0 0 1022 0
 4.100000E+01 0 7 211 0 66 15 0 0 0 6 0 1982 1018 0 0 0 0 0 0 0 1018 0
 4.150000E+01 0 9 209 0 63 15 0 0 0 6 0 1984 1016 0 0 0 0 0 0 0 1016 0
 4.200000E+01 0 7 212 0 75 11 0 1 0 10 0 1993 1007 0 0 0 0 0 0 0 1007 0
 4.250000E+01 0 8 211 0 73 13 0 1 0 3 0 1986 1014 0 0 0 0 0 0 0 1014 0
 4.300000E+01 0 7 213 0 66 12 0 0 0 7 0 1993 1007 0 0 0 0 0 0 0 1007 0
 4.350000E+01 0 6 210 0 61 10 0 0 0 8 0 2000 1000 0 0 0 0 0 0 0 1000 0
 4.400000E+01 0 7 215 0 70 13 0 0 0 5 0 2005 995 0 0 0 0 0 0 0 995 0
