# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 4 8 0 78 84 0 0 4 0 0 2825 100 0 74 1 0 0 0 0 101 75
 1.000000E+00 0 2 12 0 79 68 0 0 7 0 0 2685 178 0 128 9 0 0 0 0 187 137
 1.500000E+00 0 4 18 0 80 53 0 0 11 0 0 2566 257 0 159 18 0 0 0 0 275 177
 2.000000E+00 0 2 24 0 74 40 0 0 12 0 0 2474 329 0 173 24 0 0 0 0 353 197
 2.500000E+00 0 4 28 0 71 33 0 0 12 0 0 2406 385 0 183 26 0 0 0 0 411 209
 3.000000E+00 0 2 30 0 80 27 0 0 6 0 0 2325 456 0 190 29 0 0 0 0 485 219
 3.500000E+00 0 1 33 0 65 24 0 0 5 0 0 2247 527 0 194 32 0 0 0 0 559 226
 4.000000E+00 0 5 39 0 66 21 0 0 21 0 0 2186 589 0 188 37 0 0 0 0 626 225
 4.500000E+00 0 3 49 0 59 18 0 0 10 0 0 2129 644 0 190 37 0 0 0 0 681 227
 5.000000E+00 0 2 54 0 73 18 0 0 14 0 0 2095 678 0 190 37 0 0 0 0 715 227
 5.500000E+00 0 3 53 0 69 13 0 0 9 0 0 2079 698 0 177 46 0 0 0 0 744 223
 6.000000E+00 0 3 55 0 63 10 0 0 11 0 0 2054 721 0 173 52 0 0 0 0 773 225
 6.500000E+00 0 5 57 0 64 8 0 0 13 2 0 2021 759 0 167 53 0 0 0 0 812 220
 7.000000E+00 0 1 57 0 65 6 0 0 20 1 0 2001 786 0 153 60 0 0 0 0 846 213
 7.500000E+00 0 1 61 0 70 5 0 0 9 0 0 1975 831 0 139 55 0 0 0 0 886 194
 8.000000E+00 0 5 63 0 63 3 0 0 16 1 0 1968 850 0 129 53 0 0 0 0 903 182
 8.500000E+00 0 3 71 0 68 3 0 0 11 2 0 1966 862 0 120 52 0 0 0 0 914 172
 9.000000E+00 0 6 70 0 58 4 0 0 10 3 0 1926 906 0 116 52 0 0 0 0 958 168
 9.500000E+00 0 3 73 0 70 4 0 0 14 0 0 1932 905 0 113 50 0 0 0 0 955 163
 1.000000E+01 0 6 82 0 59 2 0 0 14 1 0 1940 908 0 104 48 0 0 0 0 956 152
 1.050000E+01 0 4 82 0 76 3 0 0 3 1 0 1952 907 0 97 44 0 0 0 0 951 141
 1.100000E+01 0 2 90 0 66 3 0 0 7 2 0 1951 911 0 98 40 0 0 0 0 951 138
 1.150000E+01 0 6 90 0 71 3 0 0 6 3 0 1960 916 0 91 33 0 0 0 0 949 124
 1.200000E+01 0 7 97 0 55 3 0 0 12 0 0 1965 918 0 80 37 0 0 0 0 955 117
 1.250000E+01 0 3 99 0 71 3 0 0 4 1 0 1954 933 0 77 36 0 0 0 0 969 113
 1.300000E+01 0 4 97 0 80 3 0 1 3 0 0 1954 949 0 66 31 0 0 0 0 980 97
 1.350000E+01 0 5 104 0 59 4 0 1 4 2 0 1962 947 0 62 29 0 0 0 0 976 91
 1.400000E+01 0 2 103 0 55 4 0 1 6 2 0 1955 961 0 56 28 0 0 0 0 989 84
 1.450000E+01 0 7 105 0 75 4 0 0 5 1 0 1941 974 0 58 27 0 0 0 0 1001 85
 1.500000E+01 0 5 109 0 75 1 0 0 5 0 0 1945 973 0 56 26 0 0 0 0 999 82
 1.550000E+01 0 6 114 0 68 1 0 0 6 0 0 1971 953 0 56 20 0 0 0 0 973 76
 1.600000E+01 0 6 116 0 57 1 0 0 3 1 0 1968 964 0 46 22 0 0 0 0 986 68
 1.650000E+01 0 6 118 0 65 1 0 0 5 2 0 1945 990 0 50 15 0 0 0 0 1005 65
 1.700000E+01 0 4 118 0 76 1 0 0 6 3 0 1962 974 0 48 16 0 0 0 0 990 64
 1.750000E+01 0 4 128 0 67 1 0 0 1 2 0 1977 965 0 43 15 0 0 0 0 980 58
 1.800000E+01 0 5 133 0 58 0 0 0 4 3 0 1998 952 0 36 14 0 0 0 0 966 50
 1.850000E+01 0 6 132 0 63 0 0 0 3 3 0 1992 961 0 32 15 0 0 0 0 976 47
 1.900000E+01 0 3 132 0 64 1 0 1 1 0 0 1989 963 0 32 16 0 0 0 0 979 48
 1.950000E+01 0 5 131 0 62 1 0 0 3 5 0 1963 994 0 31 12 0 0 0 0 1006 43
 2.000000E+01 0 4 134 0 64 3 0 0 0 3 0 1960 999 0 28 13 0 0 0 0 1012 41
 2.050000E+01 0 6 134 0 64 2 0 0 4 4 0 1992 970 0 26 12 0 0 0 0 982 38
 2.100000E+01 0 5 137 0 65 4 0 0 1 3 0 1994 967 0 31 8 0 0 0 0 975 39
 2.150000E+01 0 6 137 0 61 2 0 1 3 1 0 1994 967 0 32 7 0 0 0 0 974 39
 2.200000E+01 0 8 144 0 70 5 0 0 5 1 0 1990 972 0 31 7 0 0 0 0 979 38
 2.250000E+01 0 3 141 0 65 4 0 0 1 2 0 1993 967 0 32 8 0 0 0 0 975 40
 2.300000E+01 0 5 139 0 65 3 0 0 3 1 0 1990 971 0 27 12 0 0 0 0 983 39
 2.350000E+01 0 5 145 0 68 5 0 0 1 4 0 1967 993 0 29 11 0 0 0 0 1004 40
 2.400000E+01 0 5 143 0 71 6 0 0 3 1 0 1967 992 0 30 11 0 0 0 0 1003 41
 2.450000E+01 0 3 145 0 61 6 0 0 3 3 0 1977 983 0 29 11 0 0 0 0 994 40
 2.500000E+01 0 8 148 0 73 5 0 0 0 3 0 1996 963 0 30 11 0 0 0 0 974 41
 2.550000E+01 0 8 150 0 72 7 0 0 2 6 0 1978 978 0 34 10 0 0 0 0 988 44
 2.600000E+01 0 6 150 0 59 5 0 0 5 3 0 1963 993 0 34 10 0 0 0 0 1003 44
 2.650000E+01 0 4 148 0 73 4 0 0 3 4 0 1982 975 0 32 11 0 0 0 0 986 43
 2.700000E+01 0 4 152 0 62 5 0 0 2 2 0 1967 989 0 34 10 0 0 0 0 999 44
 2.750000E+01 0 8 150 0 65 6 0 0 5 3 0 1957 993 0 40 10 0 0 0 0 1003 50
 2.800000E+01 0 5 149 0 59 5 0 0 3 3 0 1955 991 0 43 11 0 0 0 0 1002 54
 2.850000E+01 0 4 154 0 60 5 0 0 3 2 0 1964 983 0 41 12 0 0 0 0 995 53
 2.900000E+01 0 3 165 0 67 5 0 0 4 6 0 1968 978 0 40 14 0 0 0 0 992 54
 2.950000E+01 0 2 166 0 56 7 0 0 4 5 0 1927 1018 0 41 14 0 0 0 0 1032 55
 3.000000E+01 0 3 171 0 66 9 0 0 2 4 0 1933 1016 0 38 13 0 0 0 0 1029 51
 3.050000E+01 0 4 168 0 66 12 0 0 6 5 0 1948 998 0 38 16 0 0 0 0 1014 54
 3.100000E+01 0 4 170 0 64 13 0 0 4 3 0 1933 1005 0 44 18 0 0 0 0 1023 62
 3.150000E+01 0 5 171 0 60 12 0 0 8 6 0 1936 994 0 49 21 0 0 0 0 1015 70
 3.200000E+01 0 1 173 0 62 13 0 0 6 6 0 1934 991 0 55 20 0 0 0 0 1011 75
 3.250000E+01 0 3 177 0 68 11 0 0 6 8 0 1921 998 0 61 20 0 0 0 0 1018 81
 3.300000E+01 0 3 181 0 61 13 0 0 3 4 0 1910 1006 0 62 22 0 0 0 0 1028 84
 3.350000E+01 0 7 183 0 60 12 0 0 3 5 0 1879 1035 0 65 21 0 0 0 0 1056 86
 3.400000E+01 0 10 190 0 65 12 0 0 2 7 0 1879 1029 0 64 28 0 0 0 0 1057 92
 3.450000E+01 0 4 192 0 67 11 0 0 5 3 0 1882 1017 0 70 31 0 0 0 0 1048 101
 3.500000E+01 0 6 192 0 67 12 0 0 5 10 0 1867 1025 0 76 32 0 0 0 0 1057 108
 3.550000E+01 0 6 190 0 77 13 0 0 7 6 0 1852 1039 0 73 36 0 0 0 0 1075 109
 3.600000E+01 0 6 198 0 59 14 0 0 5 7 0 1874 1021 0 70 35 0 0 0 0 1056 105
 3.650000E+01 0 6 194 0 72 13 0 0 6 6 0 1858 1030 0 77 35 0 0 0 0 1065 112
 3.700000E+01 0 7 199 0 61 12 0 0 6 8 0 1858 1027 0 73 42 0 0 0 0 1069 115
 3.750000E+01 0 6 204 0 73 10 0 0 5 3 0 1867 1019 0 71 43 0 0 0 0 1062 114
 3.800000E+01 0 7 197 0 70 7 0 0 6 5 0 1877 1008 0 71 44 0 0 0 0 1052 115
 3.850000E+01 0 6 194 0 72 6 0 0 11 3 0 1868 1010 0 75 47 0 0 0 0 1057 122
 3.900000E+01 0 12 197 0 57 7 0 1 7 7 0 1864 1024 0 68 44 0 0 0 0 1068 112
 3.950000E+01 0 2 191 0 62 7 0 1 6 7 0 1853 1036 0 64 47 0 0 0 0 1083 111
 4.000000E+01 0 12 192 0 64 10 0 0 9 10 0 1855 1037 0 62 46 0 0 0 0 1083 108
 4.050000E+01 0 6 192 0 58 14 0 0 7 4 0 1871 1019 0 56 54 0 0 0 0 1073 110
 4.100000E+01 0 3 188 0 71 12 0 1 10 2 0 1890 1005 0 59 46 0 0 0 0 1051 105
 4.150000E+01 0 4 195 0 68 14 0 1 5 5 0 1873 1033 0 60 34 0 0 0 0 1067 94
 4.200000E+01 0 4 198 0 62 15 0 0 7 4 0 1868 1024 0 72 36 0 0 0 0 1060 108
 4.250000E+01 0 4 198 0 66 10 0 0 3 5 0 1880 1005 0 75 40 0 0 0 0 1045 115
 4.300000E+01 0 10 203 0 61 9 0 1 5 4 0 1896 996 0 70 38 0 0 0 0 1034 108
 4.350000E+01 0 6 200 0 60 7 0 2 7 5 0 1904 990 0 71 35 0 0 0 0 1025 106
 4.400000E+01 0 7 201 0 61 8 0 2 7 6 0 1917 973 0 71 39 0 0 0 0 1012 110
 4.450000E+01 0 8 209 0 63 9 0 1 3 5 0 1894 993 0 76 37 0 0 0 0 1030 113
 4.500000E+01 0 9 219 0 61 13 0 0 7 5 0 1869 1019 0 75 37 0 0 0 0 1056 112
 4.550000E+01 0 3 217 0 64 11 0 0 12 7 0 1883 1000 0 75 42 0 0 0 0 1042 117
 4.600000E+01 0 8 220 0 68 10 0 0 4 4 0 1890 993 0 72 45 0 0 0 0 1038 117
 4.650000E+01 0 8 224 0 71 9 0 0 5 5 0 1901 987 0 69 43 0 0 0 0 1030 112
 4.700000E+01 0 6 220 0 67 10 0 0 7 6 0 1894 995 0 69 42 0 0 0 0 1037 111
 4.750000E+01 0 6 216 0 57 8 0 0 5 9 0 1912 981 0 61 46 0 0 0 0 1027 107
 4.800000E+01 0 11 215 0 67 10 0 0 5 6 0 1894 997 0 60 49 0 0 0 0 1046 109
 4.850000E+01 0 6 212 0 72 10 0 0 12 9 0 1890 999 0 62 49 0 0 0 0 1048 111
 4.900000E+01 0 8 218 0 73 8 0 0 4 6 0 1884 1002 0 66 48 0 0 0 0 1050 114
 4.950000E+01 0 8 218 0 63 8 0 0 4 5 0 1882 1007 0 70 41 0 0 0 0 1048 111
 5.000000E+01 0 9 227 0 66 9 0 0 11 11 0 1881 1006 0 73 40 0 0 0 0 1046 113
 5.050000E+01 0 4 230 0 57 9 0 0 8 6 0 1879 1014 0 65 42 0 0 0 0 1056 107
 5.100000E+01 0 8 232 0 72 11 0 0 9 8 0 1874 1015 0 64 47 0 0 0 0 1062 111
 5.150000E+01 0 9 231 0 66 14 0 0 2 7 0 1861 1026 0 59 54 0 0 0 0 1080 113
 5.200000E+01 0 10 232 0 73 10 0 0 9 6 0 1866 1021 0 58 55 0 0 0 0 1076 113
 5.250000E+01 0 10 232 0 61 8 0 0 4 5 0 1854 1035 0 60 51 0 0 0 0 1086 111
 5.300000E+01 0 4 238 0 50 10 0 0 5 11 0 1859 1037 0 57 47 0 0 0 0 1084 104
 5.350000E+01 0 8 236 0 64 9 0 0 5 6 0 1866 1033 0 57 44 0 0 0 0 1077 101
 5.400000E+01 0 10 243 0 69 13 0 1 8 8 0 1882 1019 0 59 40 0 0 0 0 1059 99
 5.450000E+01 0 8 243 0 61 13 0 1 4 9 0 1866 1037 0 61 36 0 0 0 0 1073 97
 5.500000E+01 0 9 246 0 68 12 0 1 4 5 0 1879 1019 0 55 47 0 0 0 0 1066 102
 5.550000E+01 0 10 250 0 74 16 0 2 9 9 0 1883 1013 0 64 40 0 0 0 0 1053 104
 5.600000E+01 0 9 250 0 64 16 0 1 4 11 0 1873 1018 0 70 39 0 0 0 0 1057 109
 5.650000E+01 0 9 256 0 66 20 0 1 6 13 0 1870 1017 0 69 44 0 0 0 0 1061 113
 5.700000E+01 0 3 257 0 68 19 0 0 5 12 0 1865 1001 0 87 47 0 0 0 0 1048 134
 5.750000E+01 0 11 257 0 67 19 0 0 9 11 0 1840 1020 0 96 44 0 0 0 0 1064 140
 5.800000E+01 0 8 256 0 60 21 0 0 10 15 0 1817 1044 0 88 51 0 0 0 0 1095 139
