# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 67 81 0 0 4 0 0 2822 112 0 64 2 0 0 0 0 114 66
 1.000000E+00 0 0 10 0 79 62 0 0 9 0 0 2683 201 0 107 9 0 0 0 0 210 116
 1.500000E+00 0 1 11 0 73 46 0 0 6 0 0 2580 274 0 136 10 0 0 0 0 284 146
 2.000000E+00 0 4 24 0 72 41 0 0 7 0 0 2473 358 0 151 18 0 0 0 0 376 169
 2.500000E+00 0 6 34 0 73 34 0 0 8 0 0 2399 410 0 162 29 0 0 0 0 439 191
 3.000000E+00 0 2 34 0 75 32 0 0 8 0 0 2336 466 0 169 29 0 0 0 0 495 198
 3.500000E+00 0 3 41 0 71 27 0 0 11 0 0 2280 516 0 175 29 0 0 0 0 545 204
 4.000000E+00 0 2 49 0 72 27 0 1 7 0 0 2207 565 0 192 36 0 0 0 0 601 228
 4.500000E+00 0 5 60 0 68 21 0 1 6 0 0 2163 607 0 186 44 0 0 0 0 651 230
 5.000000E+00 0 8 57 0 75 18 0 1 10 1 0 2130 636 0 187 47 0 0 0 0 683 234
 5.500000E+00 0 3 64 0 78 14 0 1 12 0 0 2086 675 0 187 52 0 0 0 0 727 239
 6.000000E+00 0 2 67 0 77 12 0 1 7 1 0 2068 704 0 169 59 0 0 0 0 763 228
 6.500000E+00 0 2 71 0 64 11 0 1 14 0 0 2034 743 0 160 63 0 0 0 0 806 223
 7.000000E+00 0 5 74 0 69 8 0 1 12 0 0 1998 780 0 160 62 0 0 0 0 842 222
 7.500000E+00 0 4 79 0 70 8 0 1 4 0 0 1985 802 0 162 51 0 0 0 0 853 213
 8.000000E+00 0 7 86 0 77 7 0 1 6 3 0 1987 814 0 152 47 0 0 0 0 861 199
 8.500000E+00 0 4 93 0 68 6 0 1 10 0 0 2000 811 0 138 51 0 0 0 0 862 189
 9.000000E+00 0 1 96 0 56 4 0 1 7 2 0 1983 829 0 134 54 0 0 0 0 883 188
 9.500000E+00 0 2 99 0 77 4 0 1 11 1 0 1965 855 0 128 52 0 0 0 0 907 180
 1.000000E+01 0 4 100 0 61 5 0 0 13 1 0 1965 863 0 119 53 0 0 0 0 916 172
 1.050000E+01 0 2 102 0 68 6 0 0 10 1 0 1945 893 0 113 49 0 0 0 0 942 162
 1.100000E+01 0 5 109 0 72 6 0 0 6 2 0 1950 897 0 106 47 0 0 0 0 944 153
 1.150000E+01 0 4 114 0 68 7 0 0 9 2 0 1924 931 0 99 46 0 0 0 0 977 145
 1.200000E+01 0 7 115 0 63 6 0 0 3 1 0 1906 952 0 97 45 0 0 0 0 997 142
 1.250000E+01 0 8 120 0 64 6 0 0 9 2 0 1879 987 0 98 36 0 0 0 0 1023 134
 1.300000E+01 0 6 128 0 66 5 0 0 3 2 0 1901 970 0 97 32 0 0 0 0 1002 129
 1.350000E+01 0 9 133 0 61 7 0 0 5 4 0 1908 968 0 94 30 0 0 0 0 998 124
 1.400000E+01 0 6 131 0 74 7 0 1 6 2 0 1913 970 0 83 34 0 0 0 0 1004 117
 1.450000E+01 0 6 134 0 63 6 0 0 5 4 0 1910 974 0 83 33 0 0 0 0 1007 116
 1.500000E+01 0 3 139 0 62 7 0 0 3 1 0 1874 1016 0 77 33 0 0 0 0 1049 110
 1.550000E+01 0 8 142 0 59 6 0 0 2 1 0 1885 1008 0 69 38 0 0 0 0 1046 107
 1.600000E+01 0 4 146 0 66 6 0 0 4 2 0 1872 1032 0 71 25 0 0 0 0 1057 96
 1.650000E+01 0 2 148 0 66 7 0 0 10 4 0 1880 1023 0 71 26 0 0 0 0 1049 97
 1.700000E+01 0 6 148 0 64 7 0 0 10 4 0 1873 1035 0 66 26 0 0 0 0 1061 92
 1.750000E+01 0 4 150 0 59 7 0 0 1 4 0 1881 1029 0 70 20 0 0 0 0 1049 90
 1.800000E+01 0 7 149 0 76 7 0 0 8 2 0 1887 1023 0 68 22 0 0 0 0 1045 90
 1.850000E+01 0 10 152 0 63 6 0 0 6 2 0 1876 1038 0 65 21 0 0 0 0 1059 86
 1.900000E+01 0 7 153 0 67 7 0 0 5 3 0 1882 1041 0 57 20 0 0 0 0 1061 77
 1.950000E+01 0 7 157 0 66 8 0 0 2 7 0 1856 1069 0 53 22 0 0 0 0 1091 75
 2.000000E+01 0 6 160 0 61 10 0 0 3 3 0 1853 1074 0 53 20 0 0 0 0 1094 73
 2.050000E+01 0 4 166 0 72 10 0 0 1 6 0 1896 1029 0 51 24 0 0 0 0 1053 75
