# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 4 4 0 76 78 0 0 4 0 0 2825 98 0 70 7 0 0 0 0 105 77
 1.000000E+00 0 6 6 0 75 67 0 0 7 0 0 2687 180 0 122 11 0 0 0 0 191 133
 1.500000E+00 0 7 7 0 71 56 0 0 10 0 0 2576 261 0 142 21 0 0 0 0 282 163
 2.000000E+00 0 7 7 0 79 46 0 0 10 0 0 2460 345 0 170 25 0 0 0 0 370 195
 2.500000E+00 0 9 9 0 75 36 0 0 13 0 0 2349 435 0 178 38 0 0 0 0 473 216
 3.000000E+00 0 7 7 0 71 30 0 0 16 0 0 2281 486 0 192 41 0 0 0 0 527 233
 3.500000E+00 0 6 6 0 62 27 0 0 14 0 0 2233 532 0 190 45 0 0 0 0 577 235
 4.000000E+00 0 10 10 0 69 23 0 0 14 0 0 2217 552 0 190 41 0 0 0 0 593 231
 4.500000E+00 0 9 9 0 66 19 0 0 8 0 0 2159 605 0 188 48 0 0 0 0 653 236
 5.000000E+00 0 10 10 0 69 16 0 0 13 0 0 2120 640 0 185 55 0 0 0 0 695 240
 5.500000E+00 0 8 8 0 67 13 0 0 13 0 0 2093 675 0 175 57 0 0 0 0 732 232
 6.000000E+00 0 9 9 0 66 11 0 0 9 0 0 2079 688 0 170 63 0 0 0 0 751 233
 6.500000E+00 0 8 8 0 74 11 0 0 6 0 0 2070 710 0 159 61 0 0 0 0 771 220
 7.000000E+00 0 7 7 0 72 9 0 0 17 0 0 2046 743 0 148 63 0 0 0 0 806 211
 7.500000E+00 0 9 9 0 60 8 0 0 7 0 0 2047 757 0 137 59 0 0 0 0 816 196
 8.000000E+00 0 7 7 0 56 6 0 0 9 0 0 2032 783 0 128 57 0 0 0 0 840 185
 8.500000E+00 0 5 5 0 70 6 0 0 6 0 0 2018 803 0 125 54 0 0 0 0 857 179
 9.000000E+00 0 5 5 0 68 5 0 0 11 0 0 2008 819 0 121 52 0 0 0 0 871 173
 9.500000E+00 0 3 3 0 73 1 0 0 10 0 0 2003 838 0 115 44 0 0 0 0 882 159
 1.000000E+01 0 9 9 0 68 0 0 0 5 0 0 2000 853 0 106 41 0 0 0 0 894 147
 1.050000E+01 0 5 5 0 68 0 0 0 8 0 0 1997 863 0 102 38 0 0 0 0 901 140
 1.100000E+01 0 6 6 0 76 0 0 0 13 0 0 2022 849 0 92 37 0 0 0 0 886 129
 1.150000E+01 0 8 8 0 77 0 0 0 6 0 0 1994 884 0 89 33 0 0 0 0 917 122
 1.200000E+01 0 4 4 0 66 0 0 0 8 0 0 1980 909 0 80 31 0 0 0 0 940 111
 1.250000E+01 0 6 6 0 69 0 0 0 6 0 0 1998 903 0 77 22 0 0 0 0 925 99
 1.300000E+01 0 8 8 0 75 0 0 0 6 0 0 2013 901 0 65 21 0 0 0 0 922 86
 1.350000E+01 0 9 9 0 57 0 0 0 7 0 0 1989 936 0 55 20 0 0 0 0 956 75
 1.400000E+01 0 8 8 0 77 0 0 0 4 0 0 2006 923 0 53 18 0 0 0 0 941 71
 1.450000E+01 0 13 15 0 68 0 0 2 4 0 0 2000 935 0 47 18 0 0 0 0 953 65
 1.500000E+01 0 14 15 0 68 0 0 1 6 0 0 1994 947 0 44 15 0 0 0 0 962 59
 1.550000E+01 0 9 10 0 65 0 0 1 3 0 0 1984 963 0 39 14 0 0 0 0 977 53
 1.600000E+01 0 5 5 0 59 0 0 0 1 0 0 2002 953 0 34 11 0 0 0 0 964 45
 1.650000E+01 0 6 7 0 69 0 0 1 4 0 0 1987 972 0 29 12 0 0 0 0 984 41
 1.700000E+01 0 6 7 0 68 0 0 1 2 0 0 1988 976 0 26 10 0 0 0 0 986 36
 1.750000E+01 0 8 11 0 68 0 0 3 3 0 0 1992 973 0 25 10 0 0 0 0 983 35
 1.800000E+01 0 10 12 0 73 0 0 2 2 0 0 1996 970 0 22 12 0 0 0 0 982 34
 1.850000E+01 0 8 10 0 69 0 0 2 1 0 0 2001 967 0 23 9 0 0 0 0 976 32
 1.900000E+01 0 10 11 0 72 0 0 1 0 0 0 2002 967 0 21 10 0 0 0 0 977 31
 1.950000E+01 0 6 7 0 70 0 0 1 2 0 0 1994 977 0 19 10 0 0 0 0 987 29
 2.000000E+01 0 8 9 0 56 0 0 1 2 0 0 1972 1004 0 15 9 0 0 0 0 1013 24
 2.050000E+01 0 11 12 0 57 0 0 1 2 0 0 1974 1004 0 14 8 0 0 0 0 1012 22
 2.100000E+01 0 8 8 0 60 0 0 0 0 0 0 1983 999 0 11 7 0 0 0 0 1006 18
 2.150000E+01 0 8 8 0 72 0 0 0 1 0 0 1980 1002 0 11 7 0 0 0 0 1009 18
 2.200000E+01 0 9 9 0 64 0 0 0 2 0 0 1971 1013 0 11 5 0 0 0 0 1018 16
 2.250000E+01 0 7 8 0 69 0 0 1 0 0 0 1963 1022 0 10 5 0 0 0 0 1027 15
 2.300000E+01 0 4 5 0 70 0 0 1 2 0 0 1961 1026 0 8 5 0 0 0 0 1031 13
 2.350000E+01 0 7 8 0 71 0 0 1 2 0 0 1940 1047 0 8 5 0 0 0 0 1052 13
 2.400000E+01 0 6 7 0 61 0 0 1 1 0 0 1942 1046 0 8 4 0 0 0 0 1050 12
 2.450000E+01 0 4 5 0 67 0 0 1 1 0 0 1943 1046 0 7 4 0 0 0 0 1050 11
