# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 9 0 81 80 0 0 2 0 0 2829 114 0 55 2 0 0 0 0 116 57
 1.000000E+00 0 1 11 0 86 69 0 0 6 0 0 2679 209 0 103 9 0 0 0 0 218 112
 1.500000E+00 0 4 18 0 86 56 0 0 11 0 0 2575 269 0 138 18 0 0 0 0 287 156
 2.000000E+00 0 4 20 0 73 47 0 0 10 0 0 2459 350 0 168 23 0 0 0 0 373 191
 2.500000E+00 0 1 27 0 62 35 0 0 4 0 0 2375 414 0 177 34 0 0 0 0 448 211
 3.000000E+00 0 1 35 0 63 33 0 0 10 0 0 2305 463 0 190 42 0 0 0 0 505 232
 3.500000E+00 0 4 46 0 79 26 0 0 9 0 0 2275 492 0 187 46 0 0 0 0 538 233
 4.000000E+00 0 3 47 0 69 22 0 0 11 0 0 2207 548 0 192 53 0 0 0 0 601 245
 4.500000E+00 0 2 54 0 73 14 0 0 11 0 0 2152 594 0 195 59 0 0 0 0 653 254
 5.000000E+00 0 6 64 0 67 10 0 0 13 0 0 2146 612 0 187 55 0 0 0 0 667 242
 5.500000E+00 0 5 65 0 65 5 0 0 11 1 0 2114 648 0 182 56 0 0 0 0 704 238
 6.000000E+00 0 3 67 0 62 3 0 0 11 4 0 2099 684 0 160 57 0 0 0 0 741 217
 6.500000E+00 0 5 69 0 68 4 0 0 10 0 0 2077 717 0 145 61 0 0 0 0 778 206
 7.000000E+00 0 5 81 0 63 4 0 0 11 2 0 2057 745 0 141 57 0 0 0 0 802 198
 7.500000E+00 0 5 79 0 67 4 0 0 14 0 0 2036 778 0 135 51 0 0 0 0 829 186
 8.000000E+00 0 5 85 0 70 4 0 0 12 1 0 2042 792 0 117 49 0 0 0 0 841 166
 8.500000E+00 0 4 90 0 61 4 0 0 12 1 0 2017 826 0 111 46 0 0 0 0 872 157
 9.000000E+00 0 6 87 0 65 3 0 1 8 0 0 1982 863 0 110 45 0 0 0 0 908 155
 9.500000E+00 0 3 86 0 69 3 0 1 11 0 0 1986 864 0 111 39 0 0 0 0 903 150
 1.000000E+01 0 4 90 0 72 1 0 0 8 1 0 1964 891 0 104 41 0 0 0 0 932 145
 1.050000E+01 0 4 94 0 73 1 0 0 5 1 0 1965 901 0 101 33 0 0 0 0 934 134
 1.100000E+01 0 3 101 0 70 0 0 0 10 1 0 1960 912 0 92 36 0 0 0 0 948 128
 1.150000E+01 0 8 108 0 63 0 0 0 6 2 0 1944 936 0 87 33 0 0 0 0 969 120
 1.200000E+01 0 4 116 0 60 1 0 0 5 2 0 1923 964 0 84 29 0 0 0 0 993 113
 1.250000E+01 0 2 115 0 58 1 0 1 6 1 0 1917 974 0 79 30 0 0 0 0 1004 109
 1.300000E+01 0 4 121 0 58 1 0 1 5 1 0 1903 996 0 70 31 0 0 0 0 1027 101
 1.350000E+01 0 3 124 0 67 1 0 1 1 2 0 1936 979 0 61 24 0 0 0 0 1003 85
 1.400000E+01 0 3 127 0 72 1 0 0 6 1 0 1943 979 0 54 24 0 0 0 0 1003 78
 1.450000E+01 0 4 128 0 75 0 0 2 6 2 0 1940 988 0 52 20 0 0 0 0 1008 72
 1.500000E+01 0 4 135 0 54 3 0 1 2 4 0 1944 986 0 50 20 0 0 0 0 1006 70
 1.550000E+01 0 6 135 0 69 5 0 1 4 2 0 1950 982 0 48 20 0 0 0 0 1002 68
 1.600000E+01 0 1 135 0 66 5 0 0 10 3 0 1954 979 0 45 22 0 0 0 0 1001 67
 1.650000E+01 0 4 140 0 63 6 0 0 3 4 0 1939 995 0 44 22 0 0 0 0 1017 66
 1.700000E+01 0 6 146 0 65 5 0 0 6 2 0 1932 1001 0 46 21 0 0 0 0 1022 67
 1.750000E+01 0 4 150 0 67 5 0 0 3 2 0 1920 1016 0 41 23 0 0 0 0 1039 64
