# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
 1.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 1 0
 1.500000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 2 1
 2.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 2 1
 2.500000E+00 1 0 0 0 0 0 0 0 0 0 0 0 3 2 4 2 3 0
 3.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 2 2 4 4 4 0
 3.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 6 4
 4.000000E+00 2 0 0 0 0 0 0 0 0 1 0 0 2 3 3 2 6 5
 4.500000E+00 5 0 0 0 0 0 0 1 0 0 0 0 1 5 3 0 4 6
 5.000000E+00 6 0 0 0 0 0 0 0 0 1 0 0 2 2 4 1 5 7
 5.500000E+00 4 0 0 0 0 0 0 0 0 1 0 0 3 1 9 1 4 8
 6.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 4 3 8 3 5 5
 6.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 6 1 8 4 5 6
 7.000000E+00 6 0 0 0 0 0 0 0 0 0 0 0 6 3 8 3 4 4
 7.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 4 4 8 4 3 6
 8.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 5 6 6 3 6 7
 8.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 6 4 5 3 9 7
 9.000000E+00 1 0 0 0 0 0 0 0 0 1 0 0 7 2 6 5 8 9
 9.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 5 5 6 5 9 8
 1.000000E+01 4 0 0 0 0 0 0 0 0 0 0 0 6 5 2 7 7 9
 1.050000E+01 4 0 0 0 0 0 0 0 0 0 0 0 8 5 3 9 8 7
 1.100000E+01 1 0 0 0 0 0 0 0 0 1 0 0 9 5 7 8 7 6
 1.150000E+01 3 0 0 0 0 0 0 0 0 1 0 0 8 6 7 11 7 6
 1.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 12 7 10 8 7 5
 1.250000E+01 7 0 0 0 0 0 0 0 0 0 0 0 11 6 8 8 7 7
 1.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 8 9 4 11 9 3
 1.350000E+01 4 0 0 0 0 0 0 0 0 0 0 0 8 8 9 12 5 7
 1.400000E+01 1 0 0 0 0 0 0 0 0 0 0 0 8 11 10 13 6 4
 1.450000E+01 5 0 0 0 0 0 0 0 0 0 0 0 3 10 12 9 7 8
 1.500000E+01 5 0 0 0 0 0 0 0 0 0 0 0 10 9 10 9 5 7
 1.550000E+01 9 0 0 0 0 0 0 0 0 0 0 0 10 11 11 9 4 7
 1.600000E+01 6 0 0 0 0 0 0 0 0 0 0 0 9 12 14 7 8 7
 1.650000E+01 2 0 0 0 0 0 0 0 0 0 0 0 8 8 15 11 9 7
 1.700000E+01 3 0 0 0 0 0 0 0 0 0 0 0 9 6 14 9 7 12
 1.750000E+01 5 0 0 0 0 0 0 0 0 1 0 0 12 6 12 10 9 12
 1.800000E+01 4 0 0 0 0 0 0 0 0 0 0 0 8 8 11 11 9 13
 1.850000E+01 3 0 0 0 0 0 0 0 0 0 0 0 10 10 13 9 8 9
 1.900000E+01 10 0 0 0 0 0 0 0 0 0 0 0 13 11 11 10 12 11
 1.950000E+01 5 0 0 0 0 0 0 0 0 0 0 0 11 15 12 11 13 8
 2.000000E+01 5 0 0 0 0 0 0 0 0 0 0 0 13 17 8 12 8 6
 2.050000E+01 6 0 0 0 0 0 0 0 0 0 0 0 16 14 9 8 13 9
 2.100000E+01 6 0 0 0 0 0 0 0 0 0 0 0 10 8 10 11 11 12
 2.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 12 13 9 12 9 11
 2.200000E+01 4 0 0 0 0 0 0 0 0 0 0 0 10 17 14 9 11 11
 2.250000E+01 9 0 0 0 0 0 0 0 0 0 0 0 12 15 12 9 11 13
 2.300000E+01 5 0 0 0 0 0 0 0 0 0 0 0 10 12 11 17 11 13
 2.350000E+01 4 0 0 0 0 0 0 0 0 1 0 0 10 14 17 13 12 9
 2.400000E+01 3 0 0 0 0 0 0 0 0 1 0 0 12 11 15 15 14 8
 2.450000E+01 4 0 0 0 0 0 0 1 0 0 0 0 15 12 17 14 13 7
 2.500000E+01 5 0 0 0 0 0 0 0 0 0 0 0 12 11 11 20 13 12
 2.550000E+01 5 0 0 0 0 0 0 0 0 0 0 0 13 16 12 11 16 16
 2.600000E+01 4 0 0 0 0 0 0 0 0 0 0 0 14 10 10 17 15 12
 2.650000E+01 4 0 0 0 0 0 0 0 0 0 0 0 10 9 13 15 16 11
 2.700000E+01 9 0 0 0 0 0 0 0 0 0 0 0 9 8 17 18 12 13
 2.750000E+01 4 0 0 0 0 0 0 0 0 0 0 0 7 13 15 15 12 12
 2.800000E+01 1 0 0 0 0 0 0 0 0 0 0 0 9 23 13 14 12 12
 2.850000E+01 1 0 0 0 0 0 0 0 0 0 0 0 6 19 20 16 16 9
 2.900000E+01 7 0 0 0 0 0 0 0 0 0 0 0 7 12 18 16 16 12
 2.950000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 17 15 12 19 12
 3.000000E+01 1 0 0 0 0 0 0 0 0 0 0 0 13 19 12 14 14 11
 3.050000E+01 9 0 0 0 0 0 0 0 0 0 0 0 11 18 15 16 13 11
 3.100000E+01 9 0 0 0 0 0 0 0 0 0 0 0 10 17 13 13 17 16
 3.150000E+01 3 0 0 0 0 0 0 0 0 0 0 0 17 21 16 13 16 11
 3.200000E+01 4 0 0 0 0 0 0 0 0 0 0 0 13 19 13 19 14 9
 3.250000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 24 8 17 18 13
 3.300000E+01 8 0 0 0 0 0 0 0 0 0 0 0 12 14 12 14 21 16
 3.350000E+01 10 0 0 0 0 0 0 0 0 0 0 0 8 15 14 15 21 18
 3.400000E+01 9 0 0 0 0 0 0 0 0 0 0 0 11 12 12 15 12 23
 3.450000E+01 7 0 0 0 0 0 0 0 0 0 0 0 11 15 10 22 11 14
 3.500000E+01 7 0 0 0 0 0 0 0 0 0 0 0 12 24 12 15 12 16
 3.550000E+01 1 0 0 0 0 0 0 0 0 0 0 0 17 17 11 19 17 11
 3.600000E+01 7 0 0 0 0 0 0 0 0 0 0 0 18 17 17 12 16 13
 3.650000E+01 3 0 0 0 0 0 0 0 0 0 0 0 22 17 17 15 15 8
 3.700000E+01 5 0 0 0 0 0 0 0 0 0 0 0 25 15 15 14 9 11
 3.750000E+01 7 0 0 0 0 0 0 0 0 0 0 0 21 13 16 10 14 16
 3.800000E+01 10 0 0 0 0 0 0 0 0 0 0 0 10 15 18 14 12 14
 3.850000E+01 8 0 0 0 0 0 0 0 0 2 0 0 11 17 14 16 20 19
 3.900000E+01 11 0 0 0 0 0 0 0 0 3 0 0 14 18 13 10 20 19
 3.950000E+01 11 0 0 0 0 0 0 0 0 1 0 0 19 11 13 17 16 20
 4.000000E+01 7 0 0 0 0 0 0 1 0 0 0 0 17 13 14 18 15 20
 4.050000E+01 9 0 0 0 0 0 0 0 0 1 0 0 18 16 11 24 9 21
 4.100000E+01 6 0 0 0 0 0 0 0 0 1 0 0 16 15 18 21 12 15
 4.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 17 16 17 18 13 13
 4.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 15 18 19 10 14 17
 4.250000E+01 15 0 0 0 0 0 0 0 0 1 0 0 18 16 15 12 14 17
 4.300000E+01 11 0 0 0 0 0 0 0 0 0 0 0 23 17 14 20 12 10
 4.350000E+01 11 0 0 0 0 0 0 0 0 0 0 0 24 17 17 15 11 10
 4.400000E+01 9 0 0 0 0 0 0 0 0 0 0 0 25 10 11 15 14 16
 4.450000E+01 8 0 0 0 0 0 0 0 0 1 0 0 18 10 18 21 16 8
 4.500000E+01 7 0 0 0 0 0 0 0 0 1 0 0 13 12 20 16 16 13
 4.550000E+01 8 0 0 0 0 0 0 0 0 0 0 0 15 15 20 15 13 20
 4.600000E+01 15 0 0 0 0 0 0 0 0 1 0 0 20 19 8 21 12 17
 4.650000E+01 8 0 0 0 0 0 0 0 0 1 0 0 15 24 15 20 7 20
 4.700000E+01 7 0 0 0 0 0 0 0 0 1 0 0 13 18 23 24 16 20
 4.750000E+01 8 0 0 0 0 0 0 0 0 0 0 0 20 19 17 21 18 18
 4.800000E+01 8 0 0 0 0 0 0 0 0 0 0 0 14 12 13 17 16 21
 4.850000E+01 7 0 0 0 0 0 0 0 0 0 0 0 15 14 17 21 25 16
 4.900000E+01 5 0 0 0 0 0 0 0 0 0 0 0 14 21 18 13 21 22
 4.950000E+01 9 0 0 0 0 0 0 0 0 1 0 0 22 19 18 13 21 19
 5.000000E+01 7 0 0 0 0 0 0 0 0 1 0 0 22 25 20 20 15 23
 5.050000E+01 18 0 0 0 0 0 0 0 0 0 0 0 15 15 18 18 13 22
 5.100000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 17 20 19 17 19
 5.150000E+01 14 0 0 0 0 0 0 1 0 0 0 0 16 15 21 19 18 20
 5.200000E+01 9 0 0 0 0 0 0 0 0 1 0 0 16 13 18 16 15 14
 5.250000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 13 16 20 24 19
 5.300000E+01 10 0 0 0 0 0 0 0 0 0 0 0 22 18 18 14 21 18
 5.350000E+01 6 0 0 0 0 0 0 0 0 0 0 0 27 17 15 24 14 13
 5.400000E+01 3 0 0 0 0 0 0 0 0 0 0 0 22 16 15 20 20 16
 5.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 13 19 23 19 19
 5.500000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 16 18 24 16 18
