# time 'Ca2+(a)' 'D(ser137~p,thr34~p,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~p,thr34~u,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~p,thr34~u,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~u,thr34~p,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~u,thr34~p,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~u,thr34~u,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~u,thr34~u,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'PP2A(ca!0,pSite~p),Ca2+(a!0)' 'PP2A(ca!0,pSite~u!1),Ca2+(a!0),PKA(a!1)' 'PP2A(ca!0,pSite~u),Ca2+(a!0)' 'PP2B(ca1!0,ca2!1,ca3,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1!0,ca2,ca3!1,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1!0,ca2,ca3,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2!0,ca3!1,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2!0,ca3,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2,ca3!0,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'D(ser137~p!0,thr34~p,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PP2C(a!0)' 'D(ser137~p,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PKA(a!0)' 'D(ser137~u!0,thr34~u,thr75~p!1),PP2A(ca!2,pSite~u!1),CK1(pSite~u!0),Ca2+(a!2)' 'D(ser137~u,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~p!1),Ca2+(a!2),PKA(a!0)' 'D(ser137~u,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PKA(a!0)' 'PP2B(ca1!0,ca2!1,ca3!2,ca4!3,state~a),Ca2+(a!0),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),CK1(pSite~p!0),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~p,thr34~p!0,thr75~p),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~p,thr34~p!0,thr75~u),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~u,thr34~p!0,thr75~p),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~u,thr34~p!0,thr75~u),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!0),D(ser137~p,thr34~p!0,thr75~u!1),CDK5(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!0),D(ser137~u,thr34~p!0,thr75~u!1),CDK5(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!1),D(ser137~p!0,thr34~p!1,thr75~u),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5),PP2C(a!0)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!1),D(ser137~u!0,thr34~p!1,thr75~u),CK1(pSite~u!0),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!3,ca2!4,ca3!5,ca4!6,state~a!1),D(ser137~u!0,thr34~p!1,thr75~u!2),CK1(pSite~u!0),CDK5(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5),Ca2+(a!6)'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1.000000E+00 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2.000000E+00 1 0 0 0 0 0 0 0 0 0 0 0 1 6 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2.500000E+00 8 0 0 0 0 0 0 1 0 0 0 1 1 7 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 3.000000E+00 2 0 0 0 0 0 0 0 0 0 1 3 5 4 2 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 3.500000E+00 3 0 0 0 0 0 0 0 0 0 0 4 3 5 1 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 4.000000E+00 3 0 0 0 0 0 0 0 0 0 0 5 5 3 2 3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 4.500000E+00 3 0 0 0 0 0 0 0 0 0 0 4 5 3 3 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E+00 2 0 0 0 0 0 0 0 0 0 0 8 7 2 4 0 10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 5.500000E+00 0 0 0 0 0 0 0 0 0 0 0 10 8 4 6 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 6.000000E+00 2 0 0 0 0 0 0 0 0 0 0 10 7 7 5 2 7 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 6.500000E+00 4 0 0 0 0 0 0 0 0 0 0 12 6 7 7 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 7.000000E+00 7 0 0 0 0 0 0 0 0 0 0 5 12 8 3 7 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 7.500000E+00 3 0 0 0 0 0 0 0 0 0 0 6 8 10 3 6 10 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 8.000000E+00 7 0 0 0 0 0 0 0 0 0 0 5 6 10 5 4 14 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 8.500000E+00 1 0 0 0 0 0 0 0 0 0 0 14 7 7 6 4 11 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
 9.000000E+00 5 0 0 0 0 0 0 0 0 0 0 10 10 8 4 6 12 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 9.500000E+00 6 0 0 0 0 0 0 0 0 0 0 13 8 6 5 8 7 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 1.000000E+01 2 0 0 0 0 0 0 0 0 0 0 12 8 8 7 11 7 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 1.050000E+01 5 0 0 0 0 0 0 0 0 0 0 10 9 8 8 12 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1.100000E+01 7 0 0 0 0 0 0 0 0 0 0 9 10 9 9 9 8 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0
 1.150000E+01 6 0 0 0 0 0 0 0 0 0 0 5 8 12 8 14 12 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
 1.200000E+01 9 0 0 0 0 0 0 0 0 0 0 8 13 12 8 10 10 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 1.250000E+01 4 0 0 0 0 0 0 0 0 0 0 12 12 9 11 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1.300000E+01 12 0 0 0 0 0 0 0 0 0 0 9 7 12 11 7 9 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0
 1.350000E+01 3 0 0 0 0 0 0 0 0 0 0 14 6 14 19 5 5 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 1.400000E+01 7 0 0 0 0 0 0 0 0 0 0 16 5 6 17 6 9 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
 1.450000E+01 5 0 0 0 0 0 0 0 0 0 0 11 8 10 13 13 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
