# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 3.333333E-01 0 1 0 0 0 76 18 0 0 0 0 0 2883 61 0 55 1 0 0 0 0 62 56
 6.666667E-01 0 1 2 0 0 79 27 0 0 4 0 0 2777 124 0 93 6 0 0 0 0 130 99
 1.000000E+00 0 3 4 0 0 75 38 0 0 9 0 0 2687 180 0 125 8 0 0 0 0 188 133
 1.333333E+00 0 2 8 0 0 80 46 0 0 5 0 0 2605 232 0 153 10 0 0 0 0 242 163
 1.666667E+00 0 1 12 0 0 82 54 0 0 12 0 0 2530 281 0 173 16 0 0 0 0 297 189
 2.000000E+00 0 1 14 0 0 80 61 0 0 9 0 0 2454 338 0 181 27 0 0 0 0 365 208
 2.333333E+00 0 1 20 0 0 72 65 0 0 23 0 0 2378 405 0 190 27 0 0 0 0 432 217
 2.666667E+00 0 2 24 0 0 71 77 0 0 15 0 0 2351 428 0 188 33 0 0 0 0 461 221
 3.000000E+00 0 2 28 0 0 82 78 0 0 10 0 0 2318 463 0 186 33 0 0 0 0 496 219
 3.333333E+00 0 5 24 0 0 70 80 0 0 11 1 0 2277 500 0 183 40 0 0 0 0 540 223
 3.666667E+00 0 2 30 0 0 76 82 0 0 11 0 0 2274 509 0 178 39 0 0 0 0 548 217
 4.000000E+00 0 0 30 0 0 67 84 0 0 17 0 0 2231 552 0 175 42 0 0 0 0 594 217
 4.333333E+00 0 3 30 0 0 65 85 0 0 16 0 0 2200 582 0 163 55 0 0 0 0 637 218
 4.666667E+00 0 1 34 0 0 78 86 0 0 12 0 0 2170 617 0 165 48 0 0 0 0 665 213
 5.000000E+00 0 3 36 0 0 54 87 0 0 6 0 0 2146 646 0 163 45 0 0 0 0 691 208
