# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 79 0 0 0 0 0 0 2886 114 0 0 0 0 0 0 0 114 0
 1.000000E+00 0 2 10 0 82 0 0 0 0 0 0 2781 219 0 0 0 0 0 0 0 219 0
 1.500000E+00 0 2 14 0 78 0 0 0 0 0 0 2686 314 0 0 0 0 0 0 0 314 0
 2.000000E+00 0 2 14 0 71 0 0 0 0 0 0 2607 393 0 0 0 0 0 0 0 393 0
 2.500000E+00 0 5 25 0 81 0 0 0 0 0 0 2540 460 0 0 0 0 0 0 0 460 0
 3.000000E+00 0 3 31 0 65 0 0 0 0 0 0 2491 509 0 0 0 0 0 0 0 509 0
 3.500000E+00 0 2 38 0 74 0 0 0 0 0 0 2420 580 0 0 0 0 0 0 0 580 0
 4.000000E+00 0 2 42 0 66 0 0 0 0 1 0 2379 621 0 0 0 0 0 0 0 621 0
 4.500000E+00 0 5 45 0 64 0 0 0 0 1 0 2356 644 0 0 0 0 0 0 0 644 0
 5.000000E+00 0 7 51 0 65 0 0 0 0 0 0 2324 676 0 0 0 0 0 0 0 676 0
 5.500000E+00 0 4 54 0 63 0 0 0 0 0 0 2267 733 0 0 0 0 0 0 0 733 0
 6.000000E+00 0 3 53 0 70 0 0 0 0 0 0 2233 767 0 0 0 0 0 0 0 767 0
 6.500000E+00 0 2 58 0 71 0 0 0 0 0 0 2193 807 0 0 0 0 0 0 0 807 0
 7.000000E+00 0 3 63 0 63 0 0 0 0 1 0 2163 837 0 0 0 0 0 0 0 837 0
 7.500000E+00 0 5 65 0 71 0 0 0 0 0 0 2152 848 0 0 0 0 0 0 0 848 0
 8.000000E+00 0 6 70 0 61 0 0 0 0 0 0 2141 859 0 0 0 0 0 0 0 859 0
 8.500000E+00 0 1 77 0 61 0 0 0 0 1 0 2112 888 0 0 0 0 0 0 0 888 0
 9.000000E+00 0 3 85 0 69 0 0 0 0 3 0 2090 910 0 0 0 0 0 0 0 910 0
 9.500000E+00 0 3 91 0 71 0 0 0 0 1 0 2074 926 0 0 0 0 0 0 0 926 0
 1.000000E+01 0 4 90 0 64 1 0 0 0 2 0 2085 915 0 0 0 0 0 0 0 915 0
 1.050000E+01 0 2 92 0 68 1 0 0 0 0 0 2061 938 0 1 0 0 0 0 0 938 1
 1.100000E+01 0 5 93 0 65 1 0 0 0 2 0 2067 931 0 2 0 0 0 0 0 931 2
 1.150000E+01 0 7 99 0 68 3 0 0 0 2 0 2063 936 0 1 0 0 0 0 0 936 1
 1.200000E+01 0 3 103 0 69 3 0 0 0 0 0 2045 953 0 2 0 0 0 0 0 953 2
 1.250000E+01 0 3 107 0 75 1 0 0 1 0 0 2015 980 0 4 1 0 0 0 0 981 5
 1.300000E+01 0 4 110 0 51 2 0 0 0 2 0 2000 994 0 4 2 0 0 0 0 996 6
 1.350000E+01 0 2 112 0 63 2 0 0 0 0 0 2000 992 0 5 3 0 0 0 0 995 8
 1.400000E+01 0 8 116 0 61 2 0 0 0 1 0 1973 1021 0 4 2 0 0 0 0 1023 6
 1.450000E+01 0 4 122 0 65 2 0 0 2 2 0 1971 1023 0 3 3 0 0 0 0 1026 6
 1.500000E+01 0 6 130 0 68 1 0 0 0 3 0 1965 1029 0 4 2 0 0 0 0 1031 6
 1.550000E+01 0 5 133 0 63 3 0 0 1 4 0 1945 1048 0 4 3 0 0 0 0 1051 7
 1.600000E+01 0 3 137 0 68 4 0 0 1 0 0 1963 1027 0 4 6 0 0 0 0 1033 10
 1.650000E+01 0 6 138 0 69 3 0 0 1 2 0 1975 1013 0 6 6 0 0 0 0 1019 12
 1.700000E+01 0 5 133 0 64 5 0 0 1 6 0 1973 1014 0 6 7 0 0 0 0 1021 13
 1.750000E+01 0 11 137 0 72 4 0 0 0 2 0 1959 1025 0 8 8 0 0 0 0 1033 16
 1.800000E+01 0 4 134 0 68 5 0 0 1 2 0 1964 1021 0 6 9 0 0 0 0 1030 15
 1.850000E+01 0 9 133 0 70 6 0 0 1 2 0 1971 1011 0 10 8 0 0 0 0 1019 18
 1.900000E+01 0 3 133 0 64 8 0 0 0 5 0 1963 1015 0 13 9 0 0 0 0 1024 22
 1.950000E+01 0 5 135 0 67 7 0 0 3 2 0 1936 1038 0 18 8 0 0 0 0 1046 26
 2.000000E+01 0 2 134 0 56 7 0 0 2 0 0 1923 1048 0 23 6 0 0 0 0 1054 29
 2.050000E+01 0 5 141 0 60 6 0 0 3 2 0 1914 1054 0 21 11 0 0 0 0 1065 32
 2.100000E+01 0 6 146 0 59 7 0 0 0 3 0 1906 1059 0 24 11 0 0 0 0 1070 35
 2.150000E+01 0 5 147 0 69 6 0 0 1 2 0 1914 1049 0 25 12 0 0 0 0 1061 37
 2.200000E+01 0 5 151 0 70 6 0 0 4 2 0 1911 1051 0 27 11 0 0 0 0 1062 38
 2.250000E+01 0 7 159 0 62 5 0 0 4 1 0 1907 1058 0 25 10 0 0 0 0 1068 35
 2.300000E+01 0 7 165 0 68 6 0 0 4 4 0 1927 1036 0 23 14 0 0 0 0 1050 37
 2.350000E+01 0 1 169 0 70 8 0 0 1 6 0 1923 1041 0 21 15 0 0 0 0 1056 36
 2.400000E+01 0 10 174 0 74 6 0 0 2 4 0 1905 1055 0 21 19 0 0 0 0 1074 40
 2.450000E+01 0 2 172 0 65 7 0 0 2 6 0 1911 1048 0 23 18 0 0 0 0 1066 41
 2.500000E+01 0 7 177 0 75 9 0 0 1 9 0 1884 1070 0 25 21 0 0 0 0 1091 46
 2.550000E+01 0 4 180 0 69 8 0 0 4 6 0 1893 1063 0 21 23 0 0 0 0 1086 44
 2.600000E+01 0 3 175 0 61 9 0 0 4 2 0 1877 1080 0 23 20 0 0 0 0 1100 43
 2.650000E+01 0 10 180 0 57 7 0 0 3 5 0 1876 1082 0 25 17 0 0 0 0 1099 42
 2.700000E+01 0 12 186 0 65 8 0 0 3 7 0 1858 1097 0 29 16 0 0 0 0 1113 45
 2.750000E+01 0 5 183 0 55 8 0 0 7 7 0 1861 1084 0 32 23 0 0 0 0 1107 55
 2.800000E+01 0 8 188 0 66 11 0 0 8 5 0 1854 1087 0 35 24 0 0 0 0 1111 59
 2.850000E+01 0 7 191 0 62 13 0 0 1 7 0 1846 1089 0 39 26 0 0 0 0 1115 65
 2.900000E+01 0 4 188 0 67 13 0 0 1 9 0 1879 1054 0 42 25 0 0 0 0 1079 67
 2.950000E+01 0 7 185 0 68 13 0 0 1 8 0 1847 1083 0 42 28 0 0 0 0 1111 70
 3.000000E+01 0 6 182 0 58 13 0 0 8 3 0 1851 1076 0 41 32 0 0 0 0 1108 73
 3.050000E+01 0 5 187 0 61 10 0 0 8 4 0 1865 1060 0 44 31 0 0 0 0 1091 75
 3.100000E+01 0 12 192 0 74 10 0 0 5 7 0 1875 1049 0 47 29 0 0 0 0 1078 76
 3.150000E+01 0 10 196 0 64 9 0 0 6 4 0 1864 1055 0 48 33 0 0 0 0 1088 81
 3.200000E+01 0 7 199 0 58 10 0 0 5 4 0 1851 1065 0 47 37 0 0 0 0 1102 84
 3.250000E+01 0 5 203 0 59 8 0 0 6 6 0 1848 1062 0 51 39 0 0 0 0 1101 90
 3.300000E+01 0 7 208 0 65 9 0 1 7 8 0 1853 1058 0 49 40 0 0 0 0 1098 89
 3.350000E+01 0 2 207 0 63 11 0 1 6 8 0 1842 1070 0 47 41 0 0 0 0 1111 88
 3.400000E+01 0 6 208 0 73 12 0 0 4 2 0 1856 1057 0 49 38 0 0 0 0 1095 87
 3.450000E+01 0 15 205 0 55 12 0 0 5 4 0 1861 1054 0 46 39 0 0 0 0 1093 85
 3.500000E+01 0 11 207 0 54 11 0 0 6 5 0 1871 1045 0 48 36 0 0 0 0 1081 84
 3.550000E+01 0 3 215 0 62 13 0 0 6 7 0 1855 1062 0 48 35 0 0 0 0 1097 83
 3.600000E+01 0 6 214 0 59 12 0 0 8 5 0 1867 1046 0 54 33 0 0 0 0 1079 87
 3.650000E+01 0 2 215 0 73 13 0 1 2 5 0 1885 1026 0 52 37 0 0 0 0 1063 89
 3.700000E+01 0 7 215 0 62 13 0 2 4 6 0 1866 1035 0 58 41 0 0 0 0 1076 99
 3.750000E+01 0 6 222 0 76 14 0 2 5 7 0 1845 1055 0 58 42 0 0 0 0 1097 100
 3.800000E+01 0 6 222 0 63 15 0 2 6 9 0 1828 1068 0 62 42 0 0 0 0 1110 104
 3.850000E+01 0 9 221 0 69 11 0 2 6 10 0 1828 1063 0 61 48 0 0 0 0 1111 109
 3.900000E+01 0 8 224 0 68 9 0 2 13 13 0 1832 1055 0 62 51 0 0 0 0 1106 113
 3.950000E+01 0 5 233 0 66 11 0 2 8 11 0 1844 1053 0 54 49 0 0 0 0 1102 103
 4.000000E+01 0 5 229 0 63 9 0 2 10 7 0 1853 1044 0 52 51 0 0 0 0 1095 103
 4.050000E+01 0 15 228 0 62 8 0 1 5 7 0 1861 1039 0 49 51 0 0 0 0 1090 100
 4.100000E+01 0 4 230 0 61 9 0 0 4 12 0 1890 1011 0 49 50 0 0 0 0 1061 99
 4.150000E+01 0 6 227 0 65 11 0 1 8 12 0 1892 1014 0 48 46 0 0 0 0 1060 94
 4.200000E+01 0 5 224 0 57 14 0 1 3 5 0 1893 1016 0 49 42 0 0 0 0 1058 91
 4.250000E+01 0 5 228 0 69 10 0 1 9 9 0 1896 1012 0 56 36 0 0 0 0 1048 92
 4.300000E+01 0 8 226 0 69 14 0 0 8 11 0 1913 993 0 60 34 0 0 0 0 1027 94
 4.350000E+01 0 7 228 0 60 13 0 1 2 9 0 1916 992 0 60 32 0 0 0 0 1024 92
 4.400000E+01 0 9 228 0 62 15 0 1 7 11 0 1896 1004 0 59 41 0 0 0 0 1045 100
 4.450000E+01 0 9 228 0 66 19 0 1 9 7 0 1901 1000 0 53 46 0 0 0 0 1046 99
 4.500000E+01 0 4 223 0 77 18 0 1 7 8 0 1909 988 0 55 48 0 0 0 0 1036 103
 4.550000E+01 0 7 224 0 60 19 0 1 7 7 0 1879 1017 0 57 47 0 0 0 0 1064 104
 4.600000E+01 0 7 224 0 62 22 0 1 5 9 0 1846 1042 0 67 45 0 0 0 0 1087 112
 4.650000E+01 0 7 222 0 66 20 0 1 7 12 0 1819 1068 0 67 46 0 0 0 0 1114 113
 4.700000E+01 0 6 222 0 67 23 0 0 7 11 0 1835 1046 0 70 49 0 0 0 0 1095 119
 4.750000E+01 0 4 222 0 60 24 0 0 9 9 0 1825 1043 0 84 48 0 0 0 0 1091 132
 4.800000E+01 0 3 221 0 59 22 0 0 14 10 0 1834 1028 0 87 51 0 0 0 0 1079 138
 4.850000E+01 0 7 223 0 57 18 0 0 9 8 0 1856 999 0 92 53 0 0 0 0 1052 145
 4.900000E+01 0 8 224 0 66 20 0 0 6 8 0 1863 987 0 90 60 0 0 0 0 1047 150
 4.950000E+01 0 13 223 0 61 17 0 0 9 3 0 1845 1002 0 91 62 0 0 0 0 1064 153
 5.000000E+01 0 7 227 0 64 16 0 0 11 8 0 1847 986 0 100 67 0 0 0 0 1053 167
 5.050000E+01 0 8 226 0 62 14 0 0 10 8 0 1837 1008 0 93 62 0 0 0 0 1070 155
 5.100000E+01 0 7 227 0 63 16 0 0 6 7 0 1847 998 0 90 65 0 0 0 0 1063 155
 5.150000E+01 0 7 231 0 72 16 0 0 6 9 0 1848 1000 0 91 61 0 0 0 0 1061 152
 5.200000E+01 0 6 232 0 69 14 0 0 7 7 0 1835 1015 0 88 62 0 0 0 0 1077 150
 5.250000E+01 0 5 231 0 73 15 0 0 11 5 0 1821 1026 0 94 59 0 0 0 0 1085 153
 5.300000E+01 0 10 232 0 66 9 0 0 7 6 0 1814 1020 0 105 61 0 0 0 0 1081 166
 5.350000E+01 0 9 223 0 53 9 0 0 14 8 0 1800 1031 0 101 68 0 0 0 0 1099 169
 5.400000E+01 0 4 226 0 67 12 0 0 6 5 0 1803 1035 0 99 63 0 0 0 0 1098 162
 5.450000E+01 0 7 231 0 65 13 0 0 9 12 0 1797 1034 0 110 59 0 0 0 0 1093 169
 5.500000E+01 0 10 230 0 66 11 0 0 14 8 0 1812 1023 0 107 58 0 0 0 0 1081 165
 5.550000E+01 0 9 239 0 65 10 0 0 6 8 0 1807 1027 0 108 58 0 0 0 0 1085 166
 5.600000E+01 0 10 238 0 73 11 0 0 10 7 0 1810 1025 0 107 58 0 0 0 0 1083 165
 5.650000E+01 0 5 233 0 62 12 0 0 12 9 0 1811 1024 0 103 62 0 0 0 0 1086 165
 5.700000E+01 0 12 234 0 62 11 0 0 12 6 0 1786 1058 0 98 58 0 0 0 0 1116 156
 5.750000E+01 0 7 240 0 69 9 0 1 7 11 0 1814 1036 0 92 58 0 0 0 0 1094 150
 5.800000E+01 0 5 244 0 66 10 0 1 9 10 0 1819 1040 0 82 59 0 0 0 0 1099 141
 5.850000E+01 0 8 247 0 70 18 0 1 11 11 0 1829 1023 0 83 65 0 0 0 0 1088 148
 5.900000E+01 0 6 244 0 65 21 0 0 5 11 0 1805 1049 0 82 64 0 0 0 0 1113 146
 5.950000E+01 0 10 244 0 77 19 0 0 13 8 0 1817 1025 0 93 65 0 0 0 0 1090 158
 6.000000E+01 0 10 246 0 66 13 0 0 8 12 0 1829 1017 0 98 56 0 0 0 0 1073 154
 6.050000E+01 0 9 249 0 68 16 0 0 13 7 0 1815 1024 0 99 62 0 0 0 0 1086 161
 6.100000E+01 0 9 247 0 64 15 0 0 6 13 0 1841 1001 0 101 57 0 0 0 0 1058 158
 6.150000E+01 0 7 243 0 72 16 0 0 11 12 0 1851 986 0 106 57 0 0 0 0 1043 163
 6.200000E+01 0 7 245 0 64 15 0 0 7 6 0 1850 996 0 98 56 0 0 0 0 1052 154
 6.250000E+01 0 3 244 0 72 15 0 1 8 12 0 1869 982 0 95 54 0 0 0 0 1036 149
 6.300000E+01 0 7 243 0 70 16 0 0 6 12 0 1868 984 0 87 61 0 0 0 0 1045 148
 6.350000E+01 0 1 241 0 77 15 0 0 4 10 0 1901 954 0 90 55 0 0 0 0 1009 145
 6.400000E+01 0 8 240 0 60 14 0 0 9 15 0 1908 945 0 91 56 0 0 0 0 1001 147
 6.450000E+01 0 12 238 0 74 14 0 0 10 12 0 1907 943 0 90 60 0 0 0 0 1003 150
 6.500000E+01 0 11 247 0 76 18 0 0 5 9 0 1870 978 0 93 59 0 0 0 0 1037 152
 6.550000E+01 0 10 246 0 58 18 0 0 7 7 0 1877 971 0 87 65 0 0 0 0 1036 152
 6.600000E+01 0 10 242 0 62 17 0 0 7 10 0 1853 995 0 86 66 0 0 0 0 1061 152
 6.650000E+01 0 10 242 0 74 21 0 0 9 10 0 1855 988 0 87 70 0 0 0 0 1058 157
 6.700000E+01 0 7 243 0 66 20 0 0 9 12 0 1885 949 0 94 72 0 0 0 0 1021 166
 6.750000E+01 0 7 241 0 75 17 0 0 8 12 0 1867 964 0 99 70 0 0 0 0 1034 169
 6.800000E+01 0 11 243 0 68 16 0 0 12 12 0 1878 956 0 96 70 0 0 0 0 1026 166
 6.850000E+01 0 11 241 0 77 15 0 0 8 9 0 1869 963 0 96 72 0 0 0 0 1035 168
 6.900000E+01 0 14 242 0 61 16 0 0 10 12 0 1865 970 0 97 68 0 0 0 0 1038 165
 6.950000E+01 0 9 243 0 62 17 0 0 8 7 0 1847 984 0 99 70 0 0 0 0 1054 169
 7.000000E+01 0 6 248 0 68 15 0 0 14 10 0 1833 1001 0 95 71 0 0 0 0 1072 166
 7.050000E+01 0 9 259 0 77 15 0 0 9 16 0 1827 1010 0 98 65 0 0 0 0 1075 163
 7.100000E+01 0 12 260 0 64 15 0 0 8 10 0 1819 1019 0 100 62 0 0 0 0 1081 162
 7.150000E+01 0 8 270 0 63 17 0 0 11 8 0 1810 1029 0 96 65 0 0 0 0 1094 161
 7.200000E+01 0 12 266 0 69 19 0 0 10 11 0 1821 1017 0 95 67 0 0 0 0 1084 162
 7.250000E+01 0 11 267 0 63 21 0 0 7 16 0 1807 1042 0 90 61 0 0 0 0 1103 151
 7.300000E+01 0 10 275 0 64 17 0 1 9 11 0 1786 1051 0 101 62 0 0 0 0 1113 163
 7.350000E+01 0 12 276 0 61 14 0 2 15 13 0 1780 1057 0 111 52 0 0 0 0 1109 163
 7.400000E+01 0 11 276 0 66 16 0 1 10 12 0 1801 1037 0 104 58 0 0 0 0 1095 162
 7.450000E+01 0 12 270 0 63 19 0 0 5 7 0 1786 1051 0 107 56 0 0 0 0 1107 163
 7.500000E+01 0 8 268 0 64 19 0 0 4 13 0 1807 1022 0 118 53 0 0 0 0 1075 171
 7.550000E+01 0 4 268 0 61 18 0 0 3 10 0 1795 1036 0 113 56 0 0 0 0 1092 169
 7.600000E+01 0 11 266 0 66 21 0 1 7 10 0 1791 1041 0 113 55 0 0 0 0 1096 168
 7.650000E+01 0 12 266 0 62 21 0 0 12 9 0 1790 1030 0 123 57 0 0 0 0 1087 180
 7.700000E+01 0 11 263 0 64 20 0 0 17 11 0 1788 1023 0 127 62 0 0 0 0 1085 189
 7.750000E+01 0 5 267 0 73 20 0 0 13 15 0 1765 1041 0 129 65 0 0 0 0 1106 194
 7.800000E+01 0 7 267 0 59 20 0 2 17 19 0 1765 1036 0 128 71 0 0 0 0 1107 199
 7.850000E+01 0 11 258 0 52 22 0 1 10 10 0 1767 1034 0 127 72 0 0 0 0 1106 199
 7.900000E+01 0 8 259 0 68 18 0 1 12 12 0 1769 1025 0 135 71 0 0 0 0 1096 206
 7.950000E+01 0 6 253 0 64 18 0 1 10 9 0 1767 1028 0 135 70 0 0 0 0 1098 205
 8.000000E+01 0 10 256 0 64 21 0 0 9 13 0 1765 1023 0 139 73 0 0 0 0 1096 212
 8.050000E+01 0 11 261 0 59 23 0 0 13 14 0 1760 1019 0 140 81 0 0 0 0 1100 221
 8.100000E+01 0 4 262 0 60 25 0 0 10 18 0 1754 1030 0 130 86 0 0 0 0 1116 216
 8.150000E+01 0 11 264 0 57 28 0 1 13 11 0 1764 1013 0 137 86 0 0 0 0 1099 223
 8.200000E+01 0 15 263 0 69 27 0 0 12 12 0 1779 997 0 136 88 0 0 0 0 1085 224
 8.250000E+01 0 4 260 0 65 26 0 0 6 13 0 1786 980 0 142 92 0 0 0 0 1072 234
 8.300000E+01 0 6 268 0 62 28 0 0 12 9 0 1762 989 0 154 95 0 0 0 0 1084 249
 8.350000E+01 0 4 264 0 69 24 0 0 16 18 0 1746 1007 0 163 84 0 0 0 0 1091 247
 8.400000E+01 0 6 258 0 60 28 0 0 5 17 0 1760 993 0 166 81 0 0 0 0 1074 247
 8.450000E+01 0 9 253 0 62 25 0 0 5 11 0 1757 987 0 178 78 0 0 0 0 1065 256
 8.500000E+01 0 9 253 0 53 19 0 0 15 11 0 1779 965 0 171 85 0 0 0 0 1050 256
 8.550000E+01 0 6 258 0 62 17 0 0 15 13 0 1782 970 0 163 85 0 0 0 0 1055 248
 8.600000E+01 0 11 259 0 60 22 0 0 12 14 0 1792 970 0 156 82 0 0 0 0 1052 238
 8.650000E+01 0 4 260 0 67 22 0 0 12 10 0 1790 965 0 156 89 0 0 0 0 1054 245
 8.700000E+01 0 8 266 0 68 19 0 0 17 14 0 1773 977 0 159 91 0 0 0 0 1068 250
 8.750000E+01 0 17 269 0 59 21 0 0 10 15 0 1777 967 0 159 97 0 0 0 0 1064 256
 8.800000E+01 0 7 265 0 59 21 0 0 10 12 0 1791 962 0 147 100 0 0 0 0 1062 247
 8.850000E+01 0 9 269 0 66 20 0 0 10 10 0 1793 967 0 153 87 0 0 0 0 1054 240
 8.900000E+01 0 10 270 0 57 23 0 0 10 13 0 1776 980 0 158 86 0 0 0 0 1066 244
 8.950000E+01 0 6 274 0 58 22 0 0 13 17 0 1767 989 0 158 86 0 0 0 0 1075 244
 9.000000E+01 0 5 275 0 71 22 0 0 10 18 0 1749 1009 0 158 84 0 0 0 0 1093 242
