# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 4 0 0 79 0 0 0 0 0 0 2880 120 0 0 0 0 0 0 0 120 0
 1.000000E+00 0 1 11 10 0 0 76 0 0 0 0 0 0 2783 217 0 0 0 0 0 0 0 217 0
 1.500000E+00 0 1 11 10 0 0 72 0 0 0 0 0 0 2702 298 0 0 0 0 0 0 0 298 0
 2.000000E+00 0 1 19 18 0 0 72 0 0 0 0 0 0 2620 380 0 0 0 0 0 0 0 380 0
 2.500000E+00 0 5 25 20 0 0 84 0 0 0 0 1 0 2551 449 0 0 0 0 0 0 0 449 0
 3.000000E+00 0 3 33 30 0 0 81 0 0 0 0 0 0 2490 510 0 0 0 0 0 0 0 510 0
 3.500000E+00 0 5 39 34 0 0 69 0 0 0 0 0 0 2442 558 0 0 0 0 0 0 0 558 0
 4.000000E+00 0 2 45 43 0 0 81 0 0 1 0 0 0 2408 592 0 0 0 0 0 0 0 592 0
 4.500000E+00 0 3 47 44 0 0 68 0 0 0 0 0 0 2357 643 0 0 0 0 0 0 0 643 0
 5.000000E+00 0 1 55 54 0 0 67 0 0 0 0 2 0 2312 688 0 0 0 0 0 0 0 688 0
 5.500000E+00 0 1 57 56 0 0 64 1 0 0 0 0 0 2257 743 0 0 0 0 0 0 0 743 0
 6.000000E+00 0 7 65 58 0 0 67 1 0 0 0 2 0 2219 779 0 1 1 0 0 0 0 780 2
 6.500000E+00 0 1 67 66 0 0 72 0 0 0 1 1 0 2193 803 0 3 1 0 0 0 0 804 4
 7.000000E+00 0 4 70 66 0 0 69 0 0 0 1 0 0 2149 847 0 3 1 0 0 0 0 848 4
 7.500000E+00 0 2 70 68 0 0 64 0 0 0 0 0 0 2148 849 0 2 1 0 0 0 0 850 3
 8.000000E+00 0 1 73 72 0 0 73 1 0 0 0 0 0 2129 869 0 1 1 0 0 0 0 870 2
 8.500000E+00 0 2 76 74 0 0 82 2 0 0 0 1 0 2124 874 0 1 1 0 0 0 0 875 2
 9.000000E+00 0 3 75 72 0 0 64 1 0 0 1 0 0 2111 885 0 2 2 0 0 0 0 887 4
 9.500000E+00 0 3 79 76 0 0 64 1 0 0 1 1 0 2072 922 0 4 2 0 0 0 0 924 6
