# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 72 0 0 0 0 0 0 2901 99 0 0 0 0 0 0 0 99 0
 1.000000E+00 0 2 16 0 81 0 0 0 0 0 0 2795 205 0 0 0 0 0 0 0 205 0
 1.500000E+00 0 3 27 0 66 0 0 0 0 0 0 2686 314 0 0 0 0 0 0 0 314 0
 2.000000E+00 0 2 32 0 67 0 0 0 0 0 0 2608 392 0 0 0 0 0 0 0 392 0
 2.500000E+00 0 1 35 0 69 0 0 0 0 0 0 2553 447 0 0 0 0 0 0 0 447 0
 3.000000E+00 0 1 37 0 78 0 0 0 0 0 0 2495 505 0 0 0 0 0 0 0 505 0
 3.500000E+00 0 2 45 0 81 0 0 1 0 0 0 2434 566 0 0 0 0 0 0 0 566 0
 4.000000E+00 0 1 52 0 73 0 0 1 0 0 0 2370 630 0 0 0 0 0 0 0 630 0
 4.500000E+00 0 5 60 0 81 0 0 1 0 0 0 2319 681 0 0 0 0 0 0 0 681 0
 5.000000E+00 0 6 69 0 62 0 0 1 0 2 0 2262 738 0 0 0 0 0 0 0 738 0
 5.500000E+00 0 4 69 0 63 0 0 1 0 0 0 2219 781 0 0 0 0 0 0 0 781 0
 6.000000E+00 0 6 72 0 63 0 0 0 0 0 0 2196 804 0 0 0 0 0 0 0 804 0
 6.500000E+00 0 4 72 0 57 0 0 0 0 0 0 2145 855 0 0 0 0 0 0 0 855 0
 7.000000E+00 0 2 80 0 67 0 0 0 0 1 0 2112 888 0 0 0 0 0 0 0 888 0
 7.500000E+00 0 2 86 0 57 2 0 0 0 2 0 2087 913 0 0 0 0 0 0 0 913 0
 8.000000E+00 0 6 90 0 65 1 0 0 0 1 0 2070 929 0 1 0 0 0 0 0 929 1
 8.500000E+00 0 5 97 0 67 2 0 0 0 1 0 2069 929 0 2 0 0 0 0 0 929 2
 9.000000E+00 0 0 98 0 64 2 0 0 0 3 0 2057 940 0 2 1 0 0 0 0 941 3
 9.500000E+00 0 4 98 0 60 2 0 0 0 1 0 2054 942 0 3 1 0 0 0 0 943 4
 1.000000E+01 0 8 96 0 65 4 0 0 1 1 0 2036 960 0 3 1 0 0 0 0 961 4
 1.050000E+01 0 4 96 0 72 3 0 0 0 2 0 2037 956 0 4 3 0 0 0 0 959 7
 1.100000E+01 0 6 102 0 76 4 0 0 2 2 0 2016 976 0 5 3 0 0 0 0 979 8
