# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 3 0 0 74 0 0 0 0 0 0 2903 97 0 0 0 0 0 0 0 97 0
 1.000000E+00 0 2 8 0 0 71 0 0 0 0 0 0 2805 195 0 0 0 0 0 0 0 195 0
 1.500000E+00 0 2 10 0 0 80 0 0 0 0 0 0 2723 277 0 0 0 0 0 0 0 277 0
 2.000000E+00 0 3 11 0 0 75 0 0 0 0 0 0 2634 366 0 0 0 0 0 0 0 366 0
 2.500000E+00 0 3 13 0 0 78 0 0 0 0 0 0 2559 441 0 0 0 0 0 0 0 441 0
 3.000000E+00 0 1 19 0 0 77 0 0 0 0 0 0 2506 494 0 0 0 0 0 0 0 494 0
 3.500000E+00 0 1 21 0 0 58 0 0 0 0 0 0 2463 537 0 0 0 0 0 0 0 537 0
 4.000000E+00 0 2 22 0 0 69 0 0 0 0 0 0 2416 584 0 0 0 0 0 0 0 584 0
 4.500000E+00 0 4 24 0 0 71 0 0 0 0 0 0 2365 635 0 0 0 0 0 0 0 635 0
 5.000000E+00 0 1 25 0 0 75 0 0 0 0 0 0 2338 662 0 0 0 0 0 0 0 662 0
 5.500000E+00 0 1 27 0 0 80 0 0 0 0 0 0 2309 691 0 0 0 0 0 0 0 691 0
 6.000000E+00 0 1 31 0 0 64 0 0 0 0 1 0 2263 737 0 0 0 0 0 0 0 737 0
 6.500000E+00 0 7 32 0 0 66 1 0 1 0 0 0 2239 760 0 1 0 0 0 0 0 760 1
 7.000000E+00 0 2 31 0 0 64 1 0 1 0 0 0 2204 793 0 3 0 0 0 0 0 793 3
 7.500000E+00 0 1 33 0 0 60 2 0 0 0 2 0 2170 826 0 4 0 0 0 0 0 826 4
 8.000000E+00 0 3 33 0 0 65 2 0 0 0 1 0 2138 857 0 3 2 0 0 0 0 859 5
 8.500000E+00 0 3 33 0 0 72 2 0 0 1 0 0 2130 864 0 4 2 0 0 0 0 866 6
 9.000000E+00 0 3 36 0 0 63 2 0 1 0 1 0 2114 878 0 6 2 0 0 0 0 880 8
 9.500000E+00 0 2 40 0 0 65 1 0 0 0 1 0 2108 881 0 8 3 0 0 0 0 884 11
 1.000000E+01 0 2 40 0 0 72 1 0 0 0 0 0 2105 886 0 7 2 0 0 0 0 888 9
 1.050000E+01 0 4 44 0 0 68 0 0 0 0 1 0 2087 905 0 6 2 0 0 0 0 907 8
 1.100000E+01 0 4 50 0 0 67 0 0 0 1 0 0 2068 924 0 6 2 0 0 0 0 926 8
 1.150000E+01 0 3 51 0 0 66 0 0 0 3 1 0 2068 924 0 6 2 0 0 0 0 926 8
 1.200000E+01 0 6 52 0 0 67 0 0 0 0 1 0 2051 942 0 5 2 0 0 0 0 944 7
 1.250000E+01 0 2 54 0 0 74 0 0 0 0 0 0 2034 959 0 5 2 0 0 0 0 961 7
 1.300000E+01 0 2 58 0 0 59 0 0 0 0 0 0 2024 969 0 5 2 0 0 0 0 971 7
 1.350000E+01 0 4 58 0 0 71 0 0 0 1 0 0 2014 979 0 5 2 0 0 0 0 981 7
 1.400000E+01 0 1 59 0 0 70 0 0 0 1 1 0 1993 1001 0 4 2 0 0 0 0 1003 6
 1.450000E+01 0 2 60 0 0 59 0 0 0 1 0 0 2010 984 0 4 2 0 0 0 0 986 6
 1.500000E+01 0 1 66 0 0 65 0 0 1 0 0 0 2015 980 0 3 2 0 0 0 0 982 5
 1.550000E+01 0 2 73 0 0 61 0 1 1 0 0 0 2002 993 0 3 2 0 0 0 0 995 5
 1.600000E+01 0 9 78 0 0 49 0 0 1 0 1 0 1976 1019 0 4 1 0 0 0 0 1020 5
 1.650000E+01 0 5 81 0 0 66 1 0 0 0 3 0 1964 1029 0 5 2 0 0 0 0 1031 7
 1.700000E+01 0 3 83 0 0 61 1 0 0 0 1 0 1967 1027 0 5 1 0 0 0 0 1028 6
 1.750000E+01 0 6 92 0 0 62 1 0 0 0 0 0 1960 1036 0 3 1 0 0 0 0 1037 4
 1.800000E+01 0 4 96 0 0 66 1 0 0 0 0 0 1939 1055 0 5 1 0 0 0 0 1056 6
 1.850000E+01 0 1 98 0 0 61 1 1 1 1 0 0 1949 1044 0 6 1 0 0 0 0 1045 7
 1.900000E+01 0 5 100 0 0 70 0 1 1 0 2 0 1939 1055 0 5 1 0 0 0 0 1056 6
 1.950000E+01 0 5 102 0 0 63 1 1 1 0 2 0 1947 1046 0 5 2 0 0 0 0 1048 7
 2.000000E+01 0 4 102 0 0 67 1 0 0 1 2 0 1942 1049 0 5 4 0 0 0 0 1053 9
 2.050000E+01 0 5 105 0 0 67 1 0 0 0 2 0 1943 1046 0 7 4 0 0 0 0 1050 11
 2.100000E+01 0 4 106 0 0 70 4 0 0 1 1 0 1965 1019 0 12 4 0 0 0 0 1023 16
 2.150000E+01 0 3 109 0 0 54 4 0 0 2 2 0 1957 1027 0 10 6 0 0 0 0 1033 16
 2.200000E+01 0 10 108 0 0 66 4 0 0 0 1 0 1937 1048 0 11 4 0 0 0 0 1052 15
 2.250000E+01 0 3 109 0 0 70 4 0 0 0 2 0 1929 1054 0 12 5 0 0 0 0 1059 17
 2.300000E+01 0 7 115 0 0 73 4 0 0 0 3 0 1929 1051 0 13 7 0 0 0 0 1058 20
 2.350000E+01 0 2 120 0 0 53 4 0 0 2 3 0 1952 1023 0 14 11 0 0 0 0 1034 25
 2.400000E+01 0 5 119 0 0 73 6 0 0 2 0 0 1956 1016 0 17 11 0 0 0 0 1027 28
 2.450000E+01 0 3 119 0 0 66 5 0 0 2 2 0 1936 1039 0 17 8 0 0 0 0 1047 25
 2.500000E+01 0 5 121 0 0 66 4 0 0 1 6 0 1935 1041 0 18 6 0 0 0 0 1047 24
 2.550000E+01 0 5 121 0 0 72 6 0 0 3 4 0 1922 1052 0 19 7 0 0 0 0 1059 26
 2.600000E+01 0 10 126 0 0 66 5 0 0 2 3 0 1910 1059 0 23 8 0 0 0 0 1067 31
 2.650000E+01 0 3 128 0 0 58 5 1 1 0 2 0 1893 1073 0 29 5 0 0 0 0 1078 34
 2.700000E+01 0 3 129 0 0 66 5 0 0 1 1 0 1878 1090 0 27 5 0 0 0 0 1095 32
