# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 0 0 0 0 84 0 0 0 0 0 0 2912 88 0 0 0 0 0 0 0 88 0
 1.000000E+00 0 0 0 0 0 82 0 0 0 0 0 0 2817 183 0 0 0 0 0 0 0 183 0
 1.500000E+00 0 0 0 0 0 76 0 0 0 0 0 0 2720 280 0 0 0 0 0 0 0 280 0
 2.000000E+00 0 0 0 0 0 80 0 0 0 0 0 0 2643 357 0 0 0 0 0 0 0 357 0
 2.500000E+00 0 0 0 0 0 64 0 0 0 0 0 0 2559 441 0 0 0 0 0 0 0 441 0
 3.000000E+00 0 0 0 0 0 73 0 0 0 0 0 0 2506 494 0 0 0 0 0 0 0 494 0
 3.500000E+00 0 0 0 0 0 72 0 0 0 0 0 0 2438 562 0 0 0 0 0 0 0 562 0
 4.000000E+00 0 0 0 0 0 73 0 0 0 0 0 0 2389 611 0 0 0 0 0 0 0 611 0
 4.500000E+00 0 0 0 0 0 76 0 0 0 0 0 0 2337 663 0 0 0 0 0 0 0 663 0
 5.000000E+00 0 0 0 0 0 67 0 0 0 0 0 0 2298 702 0 0 0 0 0 0 0 702 0
 5.500000E+00 0 0 0 0 0 75 0 0 0 0 0 0 2271 729 0 0 0 0 0 0 0 729 0
 6.000000E+00 0 0 0 0 0 64 0 0 0 0 0 0 2253 747 0 0 0 0 0 0 0 747 0
 6.500000E+00 0 0 0 0 0 66 0 0 0 0 0 0 2230 770 0 0 0 0 0 0 0 770 0
 7.000000E+00 0 0 0 0 0 69 0 0 0 0 0 0 2213 787 0 0 0 0 0 0 0 787 0
 7.500000E+00 0 0 0 0 0 62 0 0 0 0 0 0 2195 805 0 0 0 0 0 0 0 805 0
 8.000000E+00 0 0 0 0 0 63 0 0 0 0 0 0 2176 824 0 0 0 0 0 0 0 824 0
 8.500000E+00 0 0 0 0 0 64 0 0 0 0 0 0 2167 833 0 0 0 0 0 0 0 833 0
 9.000000E+00 0 0 0 0 0 62 0 0 0 0 0 0 2142 858 0 0 0 0 0 0 0 858 0
 9.500000E+00 0 0 0 0 0 60 0 0 0 0 0 0 2106 894 0 0 0 0 0 0 0 894 0
 1.000000E+01 0 0 0 0 0 65 0 0 0 0 0 0 2086 914 0 0 0 0 0 0 0 914 0
 1.050000E+01 0 0 0 0 0 69 0 0 0 0 0 0 2085 915 0 0 0 0 0 0 0 915 0
 1.100000E+01 0 0 0 0 0 77 0 0 0 0 0 0 2061 939 0 0 0 0 0 0 0 939 0
 1.150000E+01 0 0 0 0 0 63 0 0 0 0 0 0 2056 944 0 0 0 0 0 0 0 944 0
 1.200000E+01 0 0 0 0 0 63 0 0 0 0 0 0 2044 956 0 0 0 0 0 0 0 956 0
 1.250000E+01 0 0 0 0 0 69 0 0 0 0 0 0 2033 967 0 0 0 0 0 0 0 967 0
 1.300000E+01 0 0 0 0 0 66 0 0 0 0 0 0 2042 958 0 0 0 0 0 0 0 958 0
 1.350000E+01 0 0 0 0 0 74 0 0 0 0 0 0 2030 970 0 0 0 0 0 0 0 970 0
 1.400000E+01 0 0 0 0 0 67 0 0 0 0 0 0 2027 973 0 0 0 0 0 0 0 973 0
 1.450000E+01 0 0 0 0 0 78 0 0 0 0 0 0 2019 981 0 0 0 0 0 0 0 981 0
 1.500000E+01 0 0 0 0 0 59 0 0 0 0 0 0 2032 968 0 0 0 0 0 0 0 968 0
 1.550000E+01 0 0 0 0 0 74 0 0 0 0 0 0 2001 999 0 0 0 0 0 0 0 999 0
 1.600000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1995 1005 0 0 0 0 0 0 0 1005 0
 1.650000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1989 1011 0 0 0 0 0 0 0 1011 0
 1.700000E+01 0 0 0 0 0 59 0 0 0 0 0 0 1972 1028 0 0 0 0 0 0 0 1028 0
 1.750000E+01 0 0 0 0 0 52 0 0 0 0 0 0 1974 1026 0 0 0 0 0 0 0 1026 0
 1.800000E+01 0 0 0 0 0 65 0 0 0 0 0 0 1968 1032 0 0 0 0 0 0 0 1032 0
 1.850000E+01 0 0 0 0 0 62 0 0 0 0 0 0 1961 1039 0 0 0 0 0 0 0 1039 0
 1.900000E+01 0 0 0 0 0 65 0 0 0 0 0 0 1977 1023 0 0 0 0 0 0 0 1023 0
 1.950000E+01 0 0 0 0 0 66 0 0 0 0 0 0 1992 1008 0 0 0 0 0 0 0 1008 0
 2.000000E+01 0 0 0 0 0 67 0 0 0 0 0 0 2004 996 0 0 0 0 0 0 0 996 0
 2.050000E+01 0 0 0 0 0 74 0 0 0 0 0 0 2027 973 0 0 0 0 0 0 0 973 0
 2.100000E+01 0 0 0 0 0 60 0 0 0 0 0 0 2020 980 0 0 0 0 0 0 0 980 0
 2.150000E+01 0 0 0 0 0 66 0 0 0 0 0 0 2006 994 0 0 0 0 0 0 0 994 0
 2.200000E+01 0 0 0 0 0 62 0 0 0 0 0 0 2002 998 0 0 0 0 0 0 0 998 0
 2.250000E+01 0 0 0 0 0 70 0 0 0 0 0 0 2001 999 0 0 0 0 0 0 0 999 0
 2.300000E+01 0 0 0 0 0 59 0 0 0 0 0 0 2002 998 0 0 0 0 0 0 0 998 0
 2.350000E+01 0 0 0 0 0 66 0 0 0 0 0 0 2001 999 0 0 0 0 0 0 0 999 0
 2.400000E+01 0 0 0 0 0 58 0 0 0 0 0 0 2025 975 0 0 0 0 0 0 0 975 0
 2.450000E+01 0 0 0 0 0 74 0 0 0 0 0 0 2021 979 0 0 0 0 0 0 0 979 0
 2.500000E+01 0 0 0 0 0 67 0 0 0 0 0 0 2005 995 0 0 0 0 0 0 0 995 0
 2.550000E+01 0 0 0 0 0 64 0 0 0 0 0 0 2016 984 0 0 0 0 0 0 0 984 0
 2.600000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1992 1008 0 0 0 0 0 0 0 1008 0
 2.650000E+01 0 0 0 0 0 65 0 0 0 0 0 0 1990 1010 0 0 0 0 0 0 0 1010 0
 2.700000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1991 1009 0 0 0 0 0 0 0 1009 0
 2.750000E+01 0 0 0 0 0 64 0 0 0 0 0 0 1974 1026 0 0 0 0 0 0 0 1026 0
 2.800000E+01 0 0 0 0 0 61 0 0 0 0 0 0 1959 1041 0 0 0 0 0 0 0 1041 0
 2.850000E+01 0 0 0 0 0 61 0 0 0 0 0 0 1950 1050 0 0 0 0 0 0 0 1050 0
 2.900000E+01 0 0 0 0 0 72 0 0 0 0 0 0 1955 1045 0 0 0 0 0 0 0 1045 0
 2.950000E+01 0 0 0 0 0 74 0 0 0 0 0 0 1953 1047 0 0 0 0 0 0 0 1047 0
 3.000000E+01 0 0 0 0 0 70 0 0 0 0 0 0 1958 1042 0 0 0 0 0 0 0 1042 0
 3.050000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1957 1043 0 0 0 0 0 0 0 1043 0
 3.100000E+01 0 0 0 0 0 67 0 0 0 0 0 0 1960 1040 0 0 0 0 0 0 0 1040 0
 3.150000E+01 0 0 0 0 0 57 0 0 0 0 0 0 1946 1054 0 0 0 0 0 0 0 1054 0
 3.200000E+01 0 0 0 0 0 64 0 0 0 0 0 0 1950 1050 0 0 0 0 0 0 0 1050 0
 3.250000E+01 0 0 0 0 0 77 0 0 0 0 0 0 1984 1016 0 0 0 0 0 0 0 1016 0
 3.300000E+01 0 0 0 0 0 70 0 0 0 0 0 0 1998 1002 0 0 0 0 0 0 0 1002 0
 3.350000E+01 0 0 0 0 0 67 0 0 0 0 0 0 1982 1018 0 0 0 0 0 0 0 1018 0
 3.400000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1959 1041 0 0 0 0 0 0 0 1041 0
 3.450000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1963 1037 0 0 0 0 0 0 0 1037 0
 3.500000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1947 1053 0 0 0 0 0 0 0 1053 0
 3.550000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1966 1034 0 0 0 0 0 0 0 1034 0
 3.600000E+01 0 0 0 0 0 57 0 0 0 0 0 0 1967 1033 0 0 0 0 0 0 0 1033 0
 3.650000E+01 0 0 0 0 0 61 0 0 0 0 0 0 1960 1040 0 0 0 0 0 0 0 1040 0
 3.700000E+01 0 0 0 0 0 70 0 0 0 0 0 0 1943 1057 0 0 0 0 0 0 0 1057 0
 3.750000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1933 1067 0 0 0 0 0 0 0 1067 0
 3.800000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1952 1048 0 0 0 0 0 0 0 1048 0
 3.850000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1966 1034 0 0 0 0 0 0 0 1034 0
 3.900000E+01 0 0 0 0 0 71 0 0 0 0 0 0 1969 1031 0 0 0 0 0 0 0 1031 0
 3.950000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1968 1032 0 0 0 0 0 0 0 1032 0
 4.000000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1953 1047 0 0 0 0 0 0 0 1047 0
 4.050000E+01 0 0 0 0 0 62 0 0 0 0 0 0 1960 1040 0 0 0 0 0 0 0 1040 0
 4.100000E+01 0 0 0 0 0 65 0 0 0 0 0 0 1957 1043 0 0 0 0 0 0 0 1043 0
 4.150000E+01 0 0 0 0 0 65 0 0 0 0 0 0 1956 1044 0 0 0 0 0 0 0 1044 0
 4.200000E+01 0 0 0 0 0 67 0 0 0 0 0 0 1956 1044 0 0 0 0 0 0 0 1044 0
 4.250000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1961 1039 0 0 0 0 0 0 0 1039 0
 4.300000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1958 1042 0 0 0 0 0 0 0 1042 0
 4.350000E+01 0 0 0 0 0 67 0 0 0 0 0 0 1962 1038 0 0 0 0 0 0 0 1038 0
 4.400000E+01 0 0 0 0 0 69 0 0 0 0 0 0 1966 1034 0 0 0 0 0 0 0 1034 0
 4.450000E+01 0 0 0 0 0 61 0 0 0 0 0 0 1969 1031 0 0 0 0 0 0 0 1031 0
 4.500000E+01 0 0 0 0 0 64 0 0 0 0 0 0 1939 1061 0 0 0 0 0 0 0 1061 0
 4.550000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1931 1069 0 0 0 0 0 0 0 1069 0
 4.600000E+01 0 0 0 0 0 63 0 0 0 0 0 0 1921 1079 0 0 0 0 0 0 0 1079 0
 4.650000E+01 0 0 0 0 0 61 0 0 0 0 0 0 1928 1072 0 0 0 0 0 0 0 1072 0
 4.700000E+01 0 0 0 0 0 59 0 0 0 0 0 0 1930 1070 0 0 0 0 0 0 0 1070 0
