'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?'
0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0
0 1 5 0 75 69 0 0 2 0 0 2851 96 0 51 2 0 0 0
0 2 8 0 72 59 0 0 6 0 0 2714 181 0 98 7 0 0 0
0 2 10 0 70 52 0 0 9 0 0 2578 272 0 136 14 0 0 0
0 2 20 0 76 45 0 0 10 0 0 2470 345 0 164 21 0 0 0
0 1 23 0 71 37 0 0 16 0 0 2366 415 0 189 30 0 0 0
0 1 27 0 77 29 0 0 17 1 0 2295 461 0 211 33 0 0 0
0 2 32 0 78 25 0 0 18 1 0 2211 521 0 226 42 0 0 0
0 0 34 0 69 18 0 0 17 1 0 2157 563 0 228 52 0 0 0
0 3 41 0 62 15 0 0 14 0 0 2098 601 0 240 61 0 0 0
0 2 46 0 66 14 0 0 18 1 0 2062 621 0 253 64 0 0 0
0 2 50 0 64 12 0 0 16 0 0 2027 649 0 257 67 0 0 0
0 3 57 0 68 11 0 0 16 0 0 1981 683 0 262 74 0 0 0
0 4 56 0 63 7 0 0 20 0 0 1953 704 0 258 85 0 0 0
0 2 60 0 61 6 0 0 24 0 0 1931 723 0 259 87 0 0 0
0 4 64 0 63 5 0 0 20 1 0 1885 768 0 266 81 0 0 0
0 4 70 0 67 5 0 0 24 1 0 1861 787 0 267 85 0 0 0
0 4 80 0 65 3 0 0 18 0 0 1854 792 0 262 92 0 0 0
0 1 85 0 67 3 0 0 26 0 0 1840 803 0 256 101 0 0 0
0 3 89 0 72 3 0 0 18 1 0 1811 827 0 256 106 0 0 0
0 6 86 0 71 3 0 0 15 0 0 1796 838 0 259 107 0 0 0
0 5 95 0 71 2 0 0 17 0 0 1783 849 0 262 106 0 0 0
0 3 95 0 59 2 0 0 25 2 0 1760 870 0 257 113 0 0 0
0 4 100 0 64 1 0 0 30 1 0 1741 886 0 251 122 0 0 0
0 3 101 0 61 0 0 0 22 0 0 1733 894 0 247 126 0 0 0
0 5 107 0 67 1 0 0 19 2 0 1728 899 0 247 126 0 0 0
0 3 115 0 65 3 0 0 18 2 0 1729 895 0 245 131 0 0 0
0 1 115 0 69 5 0 0 20 2 0 1715 906 0 244 135 0 0 0
0 4 118 0 73 5 0 0 17 0 0 1710 908 0 245 137 0 0 0
0 5 129 0 68 5 0 0 22 2 0 1703 908 0 249 140 0 0 0
0 5 133 0 59 5 0 0 32 4 0 1721 886 0 248 145 0 0 0
0 6 136 0 69 9 0 0 27 2 0 1723 879 0 255 143 0 0 0
0 10 140 0 65 9 0 0 15 2 0 1700 892 0 260 148 0 0 0
0 4 138 0 64 8 0 0 20 4 0 1693 892 0 266 149 0 0 0
0 5 141 0 70 10 0 0 29 3 0 1683 893 0 277 147 0 0 0
0 6 146 0 59 12 0 0 25 2 0 1680 890 0 285 145 0 0 0
0 9 147 0 63 14 0 0 27 2 0 1697 864 0 296 143 0 0 0
0 2 146 0 75 14 0 0 21 3 0 1692 859 0 298 151 0 0 0
0 3 145 0 62 13 0 0 23 4 0 1676 860 0 307 157 0 0 0
0 7 149 0 70 10 0 0 31 1 0 1659 862 0 320 159 0 0 0
0 4 154 0 64 8 0 0 29 1 0 1662 853 0 329 156 0 0 0
0 3 159 0 69 6 0 0 30 6 0 1669 840 0 336 155 0 0 0
0 10 160 0 71 4 0 0 26 3 0 1660 844 0 340 156 0 0 0
0 3 165 0 67 4 0 0 23 4 0 1655 846 0 344 155 0 0 0
0 10 168 0 64 3 0 0 22 4 0 1678 820 0 352 150 0 0 0
0 6 164 0 64 4 0 0 19 4 0 1677 821 0 335 167 0 0 0
0 5 161 0 63 5 0 0 27 6 0 1659 837 0 340 164 0 0 0
0 4 162 0 65 6 0 0 30 3 0 1641 850 0 346 163 0 0 0
0 8 162 0 69 7 0 0 30 4 0 1651 837 0 344 168 0 0 0
0 11 169 0 63 7 0 0 27 6 0 1633 852 0 345 170 0 0 0
0 6 170 0 61 6 0 0 28 4 0 1628 852 0 348 172 0 0 0
0 5 171 0 62 8 0 0 30 5 0 1630 843 0 339 188 0 0 0
0 5 175 0 65 8 0 0 33 1 0 1626 840 0 340 194 0 0 0
0 9 179 0 70 9 0 0 29 3 0 1618 843 0 342 197 0 0 0
