# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 4 0 83 80 0 0 6 0 0 2827 93 0 77 3 0 0 0 0 96 80
 1.000000E+00 0 0 10 0 75 68 0 0 7 0 0 2674 184 0 136 6 0 0 0 0 190 142
 1.500000E+00 0 1 13 0 71 57 0 0 15 0 0 2540 265 0 181 14 0 0 0 0 279 195
 2.000000E+00 0 2 16 0 70 47 0 0 14 0 0 2399 361 0 218 22 0 0 0 0 383 240
 2.500000E+00 0 0 20 0 73 34 0 0 15 0 0 2310 415 0 239 36 0 0 0 0 451 275
 3.000000E+00 0 2 26 0 79 29 0 0 18 0 0 2243 453 0 259 45 0 0 0 0 498 304
 3.500000E+00 0 4 34 0 68 24 0 0 20 0 0 2181 496 0 277 46 0 0 0 0 542 323
 4.000000E+00 0 3 41 0 66 18 0 0 17 0 0 2109 545 0 289 57 0 0 0 0 602 346
 4.500000E+00 0 3 51 0 79 16 0 0 22 1 0 2078 558 0 303 61 0 0 0 0 619 364
 5.000000E+00 0 3 59 0 69 12 0 0 22 0 0 2030 588 0 310 72 0 0 0 0 660 382
 5.500000E+00 0 7 61 0 69 6 0 0 25 1 0 1969 638 0 315 78 0 0 0 0 716 393
 6.000000E+00 0 2 64 0 68 3 0 0 22 1 0 1954 648 0 305 93 0 0 0 0 741 398
 6.500000E+00 0 3 65 0 71 1 0 0 19 1 0 1909 693 0 299 99 0 0 0 0 792 398
 7.000000E+00 0 1 69 0 66 1 0 0 16 1 0 1892 708 0 297 103 0 0 0 0 811 400
 7.500000E+00 0 0 75 0 81 1 0 1 27 2 0 1868 732 0 292 108 0 0 0 0 840 400
 8.000000E+00 0 4 81 0 66 0 0 1 17 1 0 1848 752 0 281 119 0 0 0 0 871 400
 8.500000E+00 0 5 90 0 72 0 0 1 21 1 0 1833 767 0 288 112 0 0 0 0 879 400
