# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 12 0 70 84 0 0 3 0 0 2836 90 0 71 3 0 0 0 0 93 74
 1.000000E+00 0 1 17 0 72 68 0 0 11 0 0 2664 189 0 140 7 0 0 0 0 196 147
 1.500000E+00 0 3 23 0 83 54 0 0 13 0 0 2536 262 0 180 22 0 0 0 0 284 202
 2.000000E+00 0 4 23 0 75 43 0 1 12 0 0 2431 327 0 211 31 0 0 0 0 358 242
 2.500000E+00 0 1 32 0 72 38 0 1 13 0 0 2317 409 0 237 37 0 0 0 0 446 274
 3.000000E+00 0 4 37 0 72 29 0 1 13 0 0 2221 469 0 258 52 0 0 0 0 521 310
 3.500000E+00 0 4 42 0 62 18 0 2 21 0 0 2146 525 0 258 71 0 0 0 0 596 329
 4.000000E+00 0 1 42 0 72 15 0 1 17 0 0 2097 561 0 263 79 0 0 0 0 640 342
 4.500000E+00 0 2 43 0 73 12 0 1 20 0 0 2052 593 0 271 84 0 0 0 0 677 355
 5.000000E+00 0 2 45 0 64 8 0 1 21 0 0 2020 619 0 272 89 0 0 0 0 708 361
 5.500000E+00 0 4 50 0 64 5 0 0 23 0 0 1990 637 0 276 97 0 0 0 0 734 373
 6.000000E+00 0 6 60 0 67 5 0 0 20 0 0 1942 679 0 280 99 0 0 0 0 778 379
 6.500000E+00 0 1 65 0 65 4 0 0 24 1 0 1904 714 0 271 111 0 0 0 0 825 382
 7.000000E+00 0 3 62 0 63 3 0 1 15 0 0 1873 743 0 275 109 0 0 0 0 852 384
 7.500000E+00 0 3 70 0 66 3 0 1 18 0 0 1844 769 0 273 114 0 0 0 0 883 387
 8.000000E+00 0 5 70 0 70 2 0 1 23 1 0 1815 794 0 275 116 0 0 0 0 910 391
 8.500000E+00 0 2 73 0 56 1 0 1 28 0 0 1817 791 0 273 119 0 0 0 0 910 392
 9.000000E+00 0 10 83 0 69 1 0 1 20 0 0 1806 801 0 269 124 0 0 0 0 925 393
 9.500000E+00 0 1 88 0 60 1 0 1 23 1 0 1790 815 0 269 126 0 0 0 0 941 395
 1.000000E+01 0 1 92 0 67 2 0 1 23 2 0 1787 815 0 272 126 0 0 0 0 941 398
 1.050000E+01 0 3 97 0 69 2 0 0 26 0 0 1766 834 0 272 128 0 0 0 0 962 400
 1.100000E+01 0 4 102 0 62 2 0 0 22 4 0 1752 846 0 268 134 0 0 0 0 980 402
 1.150000E+01 0 7 107 0 71 3 0 0 29 3 0 1766 828 0 258 148 0 0 0 0 976 406
 1.200000E+01 0 4 111 0 68 2 0 1 22 0 0 1768 824 0 262 146 0 0 0 0 970 408
 1.250000E+01 0 5 118 0 74 2 0 1 27 1 0 1766 823 0 259 152 0 0 0 0 975 411
 1.300000E+01 0 3 119 0 64 2 0 2 19 4 0 1755 832 0 262 151 0 0 0 0 983 413
 1.350000E+01 0 3 123 0 66 2 0 0 19 1 0 1726 860 0 263 151 0 0 0 0 1011 414
 1.400000E+01 0 7 129 0 63 2 0 0 12 1 0 1678 904 0 264 154 0 0 0 0 1058 418
 1.450000E+01 0 5 128 0 59 2 0 1 18 3 0 1675 904 0 270 151 0 0 0 0 1055 421
 1.500000E+01 0 6 135 0 67 1 0 1 22 3 0 1669 908 0 276 147 0 0 0 0 1055 423
 1.550000E+01 0 8 142 0 68 1 0 0 20 4 0 1664 911 0 276 149 0 0 0 0 1060 425
 1.600000E+01 0 7 141 0 72 1 0 0 22 2 0 1653 921 0 276 150 0 0 0 0 1071 426
 1.650000E+01 0 6 146 0 59 2 0 0 23 2 0 1667 905 0 277 151 0 0 0 0 1056 428
 1.700000E+01 0 6 148 0 61 4 0 0 30 1 0 1670 897 0 276 157 0 0 0 0 1054 433
 1.750000E+01 0 3 147 0 63 4 0 0 23 3 0 1673 888 0 281 158 0 0 0 0 1046 439
 1.800000E+01 0 5 153 0 61 8 0 0 19 6 0 1673 883 0 290 154 0 0 0 0 1037 444
 1.850000E+01 0 4 153 0 67 10 0 1 38 4 0 1673 875 0 297 155 0 0 0 0 1030 452
 1.900000E+01 0 5 162 0 67 11 0 1 24 5 0 1664 877 0 303 156 0 0 0 0 1033 459
 1.950000E+01 0 3 166 0 61 13 0 1 25 9 0 1635 896 0 302 167 0 0 0 0 1063 469
 2.000000E+01 0 3 168 0 50 10 0 1 29 7 0 1639 883 0 314 164 0 0 0 0 1047 478
 2.050000E+01 0 11 166 0 70 7 0 1 18 2 0 1641 873 0 319 167 0 0 0 0 1040 486
 2.100000E+01 0 2 171 0 69 6 0 1 29 4 0 1653 857 0 318 172 0 0 0 0 1029 490
 2.150000E+01 0 7 176 0 70 5 0 1 21 6 0 1654 852 0 319 175 0 0 0 0 1027 494
 2.200000E+01 0 5 183 0 59 6 0 0 23 3 0 1655 847 0 326 172 0 0 0 0 1019 498
 2.250000E+01 0 5 179 0 55 7 0 0 18 8 0 1658 839 0 333 170 0 0 0 0 1009 503
 2.300000E+01 0 7 177 0 66 8 0 0 28 5 0 1635 854 0 340 171 0 0 0 0 1025 511
 2.350000E+01 0 5 181 0 66 10 0 0 28 4 0 1653 828 0 345 174 0 0 0 0 1002 519
 2.400000E+01 0 9 183 0 72 12 0 0 25 5 0 1623 848 0 346 183 0 0 0 0 1031 529
 2.450000E+01 0 1 183 0 64 10 0 0 26 3 0 1606 854 0 361 179 0 0 0 0 1033 540
 2.500000E+01 0 7 190 0 57 9 0 1 23 3 0 1607 847 0 362 184 0 0 0 0 1031 546
 2.550000E+01 0 8 192 0 70 11 0 0 24 9 0 1580 866 0 367 187 0 0 0 0 1053 554
