# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 3.333333E-01 0 2 2 0 0 79 18 0 0 2 0 0 2889 62 0 49 0 0 0 0 0 62 49
 6.666667E-01 0 1 6 0 0 79 30 0 0 8 0 0 2799 104 0 93 4 0 0 0 0 108 97
 1.000000E+00 0 1 10 0 0 78 41 0 0 5 0 0 2703 173 0 117 7 0 0 0 0 180 124
 1.333333E+00 0 1 12 0 0 72 46 0 0 5 0 0 2608 238 0 143 11 0 0 0 0 249 154
 1.666667E+00 0 1 12 0 0 80 52 0 0 6 0 0 2534 292 0 155 19 0 0 0 0 311 174
 2.000000E+00 0 1 17 0 0 70 59 0 1 7 0 0 2479 331 0 166 24 0 0 0 0 355 190
 2.333333E+00 0 1 22 0 0 75 64 0 0 13 0 0 2421 372 0 179 28 0 0 0 0 400 207
 2.666667E+00 0 4 19 0 0 71 68 0 1 17 0 0 2378 413 0 179 30 0 0 0 0 443 209
 3.000000E+00 0 7 25 0 0 73 71 0 1 13 0 0 2327 455 0 182 36 0 0 0 0 491 218
 3.333333E+00 0 3 31 0 0 74 77 1 1 9 0 0 2292 495 0 175 38 0 0 0 0 533 213
 3.666667E+00 0 3 37 0 0 73 79 1 1 10 1 0 2258 525 0 177 40 0 0 0 0 565 217
 4.000000E+00 0 4 42 0 0 63 81 0 0 11 1 0 2234 550 0 171 45 0 0 0 0 595 216
 4.333333E+00 0 3 42 0 0 76 83 0 0 14 0 0 2202 577 0 170 51 0 0 0 0 628 221
 4.666667E+00 0 3 46 0 0 72 86 0 0 6 0 0 2187 594 0 169 50 0 0 0 0 644 219
 5.000000E+00 0 1 49 0 0 66 86 0 1 10 0 0 2177 610 0 165 48 0 0 0 0 658 213
 5.333333E+00 0 4 48 0 0 70 87 0 0 14 1 0 2144 648 0 163 45 0 0 0 0 693 208
 5.666667E+00 0 4 50 0 0 70 87 0 0 10 0 0 2120 676 0 153 51 0 0 0 0 727 204
 6.000000E+00 0 7 52 0 0 68 89 0 0 12 1 0 2106 696 0 152 46 0 0 0 0 742 198
 6.333333E+00 0 4 58 0 0 70 90 0 0 10 1 0 2088 717 0 149 46 0 0 0 0 763 195
 6.666667E+00 0 3 60 0 0 82 92 0 0 10 1 0 2047 766 0 145 42 0 0 0 0 808 187
 7.000000E+00 0 4 60 0 0 59 95 0 0 6 0 0 2024 799 0 136 41 0 0 0 0 840 177
 7.333333E+00 0 4 58 0 0 71 96 0 0 10 1 0 2023 805 0 130 42 0 0 0 0 847 172
 7.666667E+00 0 3 62 0 0 70 96 0 0 13 0 0 2001 833 0 125 41 0 0 0 0 874 166
 8.000000E+00 0 5 64 0 0 73 96 0 0 9 0 0 2008 836 0 120 36 0 0 0 0 872 156
 8.333333E+00 0 7 64 0 0 68 97 0 0 3 1 0 1992 859 0 112 37 0 0 0 0 896 149
 8.666667E+00 0 3 72 0 0 65 98 0 0 7 2 0 1988 864 0 109 39 0 0 0 0 903 148
 9.000000E+00 0 3 74 0 0 64 99 0 0 7 1 0 1996 863 0 102 39 0 0 0 0 902 141
 9.333333E+00 0 6 74 0 0 64 99 0 0 6 1 0 1999 869 0 92 40 0 0 0 0 909 132
 9.666667E+00 0 3 80 0 0 69 100 0 0 7 0 0 2018 853 0 89 40 0 0 0 0 893 129
 1.000000E+01 0 5 84 0 0 70 100 0 0 9 3 0 2003 873 0 86 38 0 0 0 0 911 124
 1.033333E+01 0 5 88 0 0 77 100 0 0 7 1 0 1997 886 0 79 38 0 0 0 0 924 117
 1.066667E+01 0 2 94 0 0 62 100 0 0 5 3 0 1991 901 0 76 32 0 0 0 0 933 108
 1.100000E+01 0 3 92 0 0 57 100 0 0 7 0 0 1983 911 0 73 33 0 0 0 0 944 106
 1.133333E+01 0 3 93 0 0 65 100 1 1 4 0 0 1991 908 0 68 33 0 0 0 0 941 101
 1.166667E+01 0 3 98 0 0 68 100 0 0 3 2 0 1981 926 0 64 29 0 0 0 0 955 93
 1.200000E+01 0 1 100 0 0 61 99 0 0 8 1 0 1990 923 0 61 26 0 0 0 0 949 87
 1.233333E+01 0 2 100 0 0 56 99 0 0 7 2 0 1993 923 0 59 25 0 0 0 0 948 84
 1.266667E+01 0 6 98 0 0 64 96 0 0 2 3 0 1985 931 0 55 29 0 0 0 0 960 84
 1.300000E+01 0 3 105 0 0 67 97 0 1 6 1 0 1987 932 0 54 27 0 0 0 0 959 81
 1.333333E+01 0 5 106 0 0 68 97 0 0 6 1 0 1980 940 0 54 26 0 0 0 0 966 80
