time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
0, 4.97996e-06, 1.99265e-07, 0, 0, 1.66054e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99265e-07, 0, 0, 0, 0, 0, 0, 0, 1.32843e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 0, 0, 0, 0, 0, 0, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5, 4.49342e-06, 7.30637e-08, 1.2288e-07, 1.66054e-07, 6.31005e-08, 7.14032e-08, 1.04614e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.92623e-07, 6.64216e-09, 0, 0, 0, 3.32108e-09, 0, 9.96323e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 2.98897e-08, 0, 0, 0, 0, 3.32108e-09, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 4.24102e-06, 7.63848e-08, 1.17898e-07, 3.18823e-07, 5.47978e-08, 5.81189e-08, 2.1587e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.92623e-07, 6.64216e-09, 0, 0, 4.98162e-09, 4.98162e-09, 0, 8.3027e-09, 1.2454e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.30447e-07, 0, 4.98162e-08, 0, 0, 0, 0, 8.3027e-09, 1.66054e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.5, 4.05504e-06, 8.13664e-08, 1.04614e-07, 4.38382e-07, 3.48713e-08, 5.81189e-08, 2.64026e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.90962e-07, 8.3027e-09, 0, 0, 1.99265e-08, 1.32843e-08, 0, 1.32843e-08, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.28787e-07, 0, 6.80821e-08, 0, 0, 0, 0, 6.64216e-09, 3.32108e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 3.90559e-06, 7.14032e-08, 1.2454e-07, 5.5296e-07, 3.32108e-08, 3.65319e-08, 2.83952e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.80999e-07, 1.66054e-08, 0, 0, 2.98897e-08, 3.32108e-09, 0, 1.82659e-08, 1.12917e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.25466e-07, 0, 9.13296e-08, 0, 0, 0, 0, 9.96323e-09, 6.64216e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.5, 3.80097e-06, 7.30637e-08, 1.14577e-07, 6.31005e-07, 2.82292e-08, 2.65686e-08, 3.10521e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 8.3027e-09, 0, 1.82659e-07, 1.49449e-08, 0, 0, 4.81556e-08, 1.16238e-08, 0, 8.3027e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 3.22145e-07, 0, 1.02953e-07, 0, 0, 0, 0, 4.98162e-09, 8.3027e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 3.67311e-06, 7.47243e-08, 1.19559e-07, 7.42261e-07, 9.96323e-09, 2.1587e-08, 3.18823e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3027e-09, 0, 1.89301e-07, 8.3027e-09, 0, 0, 6.4761e-08, 4.98162e-09, 0, 9.96323e-09, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 3.22145e-07, 0, 1.26201e-07, 0, 0, 0, 0, 4.98162e-09, 9.96323e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3.5, 3.55854e-06, 7.80453e-08, 1.11256e-07, 8.76765e-07, 9.96323e-09, 2.1587e-08, 2.85613e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 1.66054e-09, 0, 1.8432e-07, 1.49449e-08, 0, 0, 8.13664e-08, 9.96323e-09, 0, 1.49449e-08, 1.14577e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 3.23805e-07, 0, 1.32843e-07, 0, 0, 0, 0, 6.64216e-09, 6.64216e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 3.48547e-06, 8.96691e-08, 1.01293e-07, 9.64773e-07, 1.16238e-08, 1.32843e-08, 2.92255e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 1.66054e-09, 0, 1.82659e-07, 1.32843e-08, 0, 0, 7.97059e-08, 8.3027e-09, 0, 1.16238e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 3.15502e-07, 0, 1.39485e-07, 0, 0, 0, 0, 3.32108e-09, 1.49449e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.5, 3.42071e-06, 8.96691e-08, 1.04614e-07, 1.01625e-06, 1.16238e-08, 6.64216e-09, 3.12181e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 3.32108e-09, 0, 1.82659e-07, 1.66054e-08, 0, 0, 8.13664e-08, 4.98162e-09, 0, 1.32843e-08, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.13842e-07, 0, 1.44467e-07, 0, 0, 0, 0, 6.64216e-09, 1.66054e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
