Time	[Ca]	[cAMP]	Ca.ParticleNumber	cAMP.ParticleNumber
0	0	0	0	0
0.5	1.66054e-09	0	1	0
1	1.66054e-09	0	1	0
1.5	8.3027e-09	0	5	0
2	1.66054e-09	0	1	0
2.5	1.49449e-08	0	9	0
3	4.98162e-09	0	3	0
3.5	4.98162e-09	0	3	0
4	9.96323e-09	0	6	0
4.5	9.96323e-09	0	6	0
5	1.16238e-08	0	7	0
5.5	6.64216e-09	0	4	0
6	1.49449e-08	0	9	0
6.5	9.96323e-09	0	6	0
7	4.98162e-09	0	3	0
7.5	1.32843e-08	0	8	0
8	6.64216e-09	0	4	0
8.5	1.16238e-08	0	7	0
9	2.1587e-08	0	13	0
9.5	1.49449e-08	0	9	0
10	3.32108e-09	0	2	0
10.5	8.3027e-09	0	5	0
11	1.16238e-08	0	7	0
11.5	9.96323e-09	0	6	0
12	3.32108e-09	0	2	0
12.5	1.32843e-08	0	8	0
13	1.66054e-08	0	10	0
13.5	9.96323e-09	0	6	0
14	8.3027e-09	0	5	0
14.5	1.16238e-08	0	7	0
15	1.16238e-08	0	7	0
15.5	8.3027e-09	0	5	0
16	1.32843e-08	0	8	0
16.5	3.32108e-09	0	2	0
17	1.99265e-08	0	12	0
17.5	1.49449e-08	0	9	0
18	6.64216e-09	0	4	0
18.5	6.64216e-09	0	4	0
19	1.16238e-08	0	7	0
19.5	1.49449e-08	0	9	0
20	1.49449e-08	0	9	0
20.5	1.99265e-08	0	12	0
21	8.3027e-09	0	5	0
21.5	1.16238e-08	0	7	0
22	9.96323e-09	0	6	0
22.5	1.32843e-08	0	8	0
23	2.32475e-08	0	14	0
23.5	1.32843e-08	0	8	0
24	8.3027e-09	0	5	0
24.5	1.16238e-08	0	7	0
25	1.16238e-08	0	7	0
25.5	1.16238e-08	0	7	0
26	1.49449e-08	0	9	0
26.5	8.3027e-09	0	5	0
27	9.96323e-09	0	6	0
27.5	1.32843e-08	0	8	0
28	1.82659e-08	0	11	0
28.5	2.1587e-08	0	13	0
29	9.96323e-09	0	6	0
29.5	9.96323e-09	0	6	0
30	1.82659e-08	0	11	0
30.5	1.32843e-08	0	8	0
31	1.32843e-08	0	8	0
31.5	6.64216e-09	0	4	0
32	1.99265e-08	0	12	0
32.5	1.82659e-08	0	11	0
33	1.66054e-08	0	10	0
33.5	8.3027e-09	0	5	0
34	1.32843e-08	0	8	0
34.5	1.66054e-08	0	10	0
35	1.49449e-08	0	9	0
35.5	1.49449e-08	0	9	0
36	1.99265e-08	0	12	0
36.5	6.64216e-09	0	4	0
37	1.32843e-08	0	8	0
37.5	6.64216e-09	0	4	0
38	8.3027e-09	0	5	0
38.5	1.32843e-08	0	8	0
39	8.3027e-09	0	5	0
39.5	1.32843e-08	0	8	0
40	8.3027e-09	0	5	0
40.5	1.99265e-08	0	12	0
41	2.65686e-08	0	16	0
41.5	8.3027e-09	0	5	0
42	1.66054e-08	0	10	0
42.5	2.1587e-08	0	13	0
43	6.64216e-09	0	4	0
43.5	8.3027e-09	0	5	0
44	1.99265e-08	0	12	0
44.5	1.16238e-08	0	7	0
45	1.82659e-08	0	11	0
45.5	1.32843e-08	0	8	0
46	8.3027e-09	0	5	0
46.5	6.64216e-09	0	4	0
47	1.99265e-08	0	12	0
47.5	8.3027e-09	0	5	0
48	8.3027e-09	0	5	0
48.5	1.49449e-08	0	9	0
49	8.3027e-09	0	5	0
49.5	1.32843e-08	0	8	0
50	8.3027e-09	0	5	0
50.5	8.3027e-09	0	5	0
51	1.49449e-08	0	9	0
51.5	1.82659e-08	0	11	0
52	9.96323e-09	0	6	0
52.5	1.16238e-08	0	7	0
53	2.32475e-08	0	14	0
53.5	8.3027e-09	0	5	0
54	1.82659e-08	0	11	0
54.5	9.96323e-09	0	6	0
55	2.1587e-08	0	13	0
55.5	1.49449e-08	0	9	0
56	1.82659e-08	0	11	0
56.5	9.96323e-09	0	6	0
57	2.49081e-08	0	15	0
57.5	1.49449e-08	0	9	0
58	8.3027e-09	0	5	0
58.5	1.66054e-08	0	10	0
