Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber	Ca.ParticleNumberRate
0	0	120	100	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	120	0	0	0	0	0	0	200	0	80	3999	0	0	0	0	0	0	0	0	0	15.0554
0.5	0	43	44	20	0	2	2695	74	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	2	0	0	0	0	0	0	2	0	1	0	0	0	76	34	0	0	1204	0	0	0	119	0	0	0	0	0	0	199	1	72	3999	0	0	0	0	0	0	0	0	0	9.12037
1	0	50	36	31	0	2	2557	119	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	5	0	0	0	0	0	0	2	0	10	0	0	0	68	31	0	0	1204	0	0	0	110	0	0	0	0	0	0	196	4	73	3999	0	0	0	0	0	0	0	0	0	14.994
1.5	0	45	22	45	0	6	2429	141	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	19	0	2	0	0	0	0	4	0	7	0	0	0	70	29	0	0	1204	0	0	0	111	0	0	0	0	0	0	196	4	64	3999	0	0	0	0	0	0	0	0	0	-28.6605
2	0	38	12	58	0	3	2341	155	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	20	0	0	0	0	0	5	6	0	12	0	0	0	74	24	0	0	1204	0	0	0	108	0	0	0	0	0	1	194	5	63	3999	0	0	0	0	0	0	0	0	0	11.4744
2.5	0	51	13	73	0	2	2287	168	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	31	0	0	0	0	0	2	1	0	8	0	0	0	62	13	0	0	1204	0	0	0	111	1	0	0	0	0	0	194	6	66	3999	0	0	0	0	0	0	0	0	0	19.9051
3	0	43	9	77	0	5	2218	169	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	34	0	2	0	0	0	3	3	0	9	1	0	0	67	11	0	0	1204	0	0	0	108	0	0	0	0	0	0	193	7	67	3999	0	0	0	0	0	0	0	0	0	-9.12806
3.5	0	43	12	82	0	3	2152	178	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	43	0	1	0	0	0	2	1	0	7	0	0	0	72	5	0	0	1204	0	0	0	111	1	0	0	0	0	1	190	9	73	3999	0	0	0	0	0	0	0	0	0	20.0744
4	0	55	11	84	0	4	2115	165	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	47	0	0	0	0	0	4	0	0	7	0	0	0	64	5	0	0	1204	0	0	0	112	1	0	0	0	0	4	190	6	66	3999	0	0	0	0	0	0	0	0	0	10.7534
4.5	0	51	2	87	1	3	2068	141	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	55	0	0	0	0	0	3	2	0	9	0	0	0	61	8	0	0	1204	0	0	0	111	0	0	0	0	0	2	187	10	65	3999	0	0	0	0	0	0	0	0	0	23.0744
5	0	57	7	88	0	6	2040	140	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	61	0	0	0	0	0	1	2	0	17	0	0	0	58	3	0	0	1204	0	0	0	103	0	0	0	0	0	3	187	10	74	3999	0	0	0	0	0	0	0	0	0	-12.4314
5.5	0	53	4	90	0	10	1992	137	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	58	0	0	0	0	0	2	1	0	11	0	0	0	64	5	0	0	1204	0	0	0	109	0	0	0	0	0	3	186	11	70	3999	0	0	0	0	0	0	0	0	0	-95.0803
6	0	56	7	88	0	4	1983	126	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	56	0	2	0	0	0	2	1	0	13	0	0	0	60	4	0	0	1204	0	0	0	105	0	0	0	0	0	3	181	16	71	3999	0	0	0	0	0	0	0	0	0	25.9097
6.5	0	62	2	90	0	4	1963	116	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	55	0	0	0	0	0	1	6	0	17	0	0	0	55	2	0	0	1204	0	0	0	103	0	0	0	0	0	4	182	14	67	3999	0	0	0	0	0	0	0	0	0	24.3536
7	0	59	7	90	0	7	1935	124	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	56	0	2	0	0	0	2	2	0	23	0	0	0	59	1	0	0	1204	0	0	0	95	0	0	0	0	0	4	181	15	72	3999	0	0	0	0	0	0	0	0	0	-20.1362
7.5	0	53	8	89	0	4	1907	118	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	56	0	1	0	0	0	3	0	0	15	1	0	0	67	3	0	0	1204	0	0	0	103	0	0	0	0	0	6	180	14	74	3999	0	0	0	0	0	0	0	0	0	28.53
8	0	54	6	85	3	11	1915	99	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	52	0	0	0	0	0	2	4	0	16	1	0	0	60	2	0	0	1204	0	0	0	102	1	0	0	0	0	4	184	9	68	3999	0	0	0	0	0	0	0	0	0	-117.815
8.5	0	54	3	86	2	6	1905	103	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	43	0	2	0	0	0	4	4	0	16	0	0	0	64	5	0	0	1204	0	0	0	100	2	0	0	0	0	5	180	13	71	3999	0	0	0	0	0	0	0	0	0	-0.822437
