Time	Ca.ParticleNumber	cAMP.ParticleNumber
0	0	0
0.5	3.10935	0
1	3.58633	0
1.5	3.92883	0
2	4.2108	0
2.5	4.44997	0
3	4.65754	0
3.5	4.84102	0
4	5.00565	0
4.5	5.15514	0
5	5.29221	0
5.5	5.41888	0
6	5.5367	0
6.5	5.64688	0
7	5.75036	0
7.5	5.84792	0
8	5.94019	0
8.5	6.02769	0
9	6.11088	0
9.5	6.19012	0
10	6.26575	0
10.5	6.33805	0
11	6.40727	0
11.5	6.47363	0
12	6.53732	0
12.5	6.59853	0
13	6.6574	0
13.5	6.71409	0
14	6.76871	0
14.5	6.8214	0
15	6.87225	0
15.5	6.92136	0
16	6.96883	0
16.5	7.01474	0
17	7.05916	0
17.5	7.10218	0
18	7.14384	0
18.5	7.18423	0
19	7.22339	0
19.5	7.26138	0
20	7.29825	0
20.5	7.33404	0
21	7.36881	0
21.5	7.40259	0
22	7.43542	0
22.5	7.46734	0
23	7.49838	0
23.5	7.52859	0
24	7.55798	0
24.5	7.58659	0
25	7.61445	0
25.5	7.64157	0
26	7.668	0
26.5	7.69375	0
27	7.71885	0
27.5	7.74331	0
28	7.76716	0
28.5	7.79042	0
29	7.8131	0
29.5	7.83523	0
30	7.85682	0
30.5	7.87789	0
31	7.89846	0
31.5	7.91853	0
32	7.93813	0
32.5	7.95727	0
33	7.97596	0
33.5	7.99421	0
34	8.01204	0
34.5	8.02946	0
35	8.04648	0
35.5	8.06311	0
36	8.07937	0
36.5	8.09526	0
37	8.11079	0
37.5	8.12597	0
38	8.14081	0
38.5	8.15533	0
39	8.16952	0
39.5	8.1834	0
40	8.19698	0
40.5	8.21025	0
41	8.22324	0
41.5	8.23595	0
42	8.24839	0
42.5	8.26055	0
43	8.27245	0
43.5	8.2841	0
44	8.2955	0
44.5	8.30666	0
45	8.31758	0
45.5	8.32827	0
46	8.33873	0
46.5	8.34897	0
47	8.359	0
47.5	8.36882	0
48	8.37843	0
48.5	8.38784	0
49	8.39706	0
49.5	8.40608	0
50	8.41492	0
50.5	8.42358	0
51	8.43206	0
51.5	8.44036	0
52	8.44849	0
52.5	8.45646	0
53	8.46426	0
53.5	8.4719	0
54	8.47939	0
54.5	8.48673	0
55	8.49392	0
55.5	8.50096	0
56	8.50786	0
56.5	8.51462	0
57	8.52124	0
57.5	8.52773	0
58	8.53409	0
58.5	8.54032	0
59	8.54643	0
59.5	8.55242	0
60	8.55828	0
60.5	8.56403	0
61	8.56967	0
61.5	8.57519	0
62	8.5806	0
62.5	8.5859	0
63	8.5911	0
63.5	8.5962	0
64	8.6012	0
64.5	8.60609	0
65	8.61089	0
65.5	8.6156	0
66	8.62021	0
66.5	8.62474	0
67	8.62917	0
67.5	8.63352	0
68	8.63778	0
68.5	8.64196	0
69	8.64605	0
69.5	8.65007	0
70	8.65401	0
70.5	8.65787	0
71	8.66165	0
71.5	8.66536	0
72	8.669	0
72.5	8.67257	0
73	8.67607	0
73.5	8.6795	0
74	8.68287	0
74.5	8.68616	0
75	8.6894	0
75.5	8.69257	0
76	8.69568	0
76.5	8.69873	0
77	8.70173	0
77.5	8.70466	0
78	8.70754	0
78.5	8.71036	0
79	8.71313	0
79.5	8.71584	0
80	8.7185	0
80.5	8.72111	0
81	8.72368	0
81.5	8.72619	0
82	8.72865	0
82.5	8.73107	0
83	8.73343	0
83.5	8.73576	0
84	8.73804	0
84.5	8.74027	0
85	8.74247	0
85.5	8.74462	0
86	8.74673	0
86.5	8.74879	0
87	8.75082	0
87.5	8.75282	0
88	8.75477	0
88.5	8.75668	0
89	8.75856	0
