Time	[AMP]	[CDK5]	[CK1P]	[CK1P_PP2B]	[CK1]	[Ca]	[D137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[D34:137]	[D34:137_CDK5]	[D34:137_PP2B]	[D34:137_PP2C]	[D34:75:137]	[D34:75:137_PP2ACa]	[D34:75:137_PP2APCa]	[D34:75:137_PP2AP]	[D34:75:137_PP2A]	[D34:75:137_PP2B]	[D34:75:137_PP2C]	[D34:75]	[D34:75_CK1]	[D34:75_PP2ACa]	[D34:75_PP2APCa]	[D34:75_PP2AP]	[D34:75_PP2A]	[D34:75_PP2B]	[D34]	[D34_CDK5]	[D34_CK1]	[D34_PP2B]	[D75:137]	[D75:137_PKA]	[D75:137_PP2ACa]	[D75:137_PP2APCa]	[D75:137_PP2AP]	[D75:137_PP2A]	[D75:137_PP2C]	[D75]	[D75_CK1]	[D75_PKA]	[D75_PP2ACa]	[D75_PP2APCa]	[D75_PP2AP]	[D75_PP2A]	[D]	[D_CDK5]	[D_CK1]	[D_PKA]	[Empty]	[PDEP]	[PDE]	[PDE_PKA]	[PKA]	[PP2ACa]	[PP2ACa_PKA]	[PP2APCa]	[PP2AP]	[PP2A]	[PP2A_PKA]	[PP2B]	[PP2BinactiveCa2]	[PP2Binactive]	[PP2C]	[R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP]	[cAMP_PDEP]	[cAMP_PDE]	[cAMP_R2C2]
0	0	2e-07	0	0	1.66e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98e-06	0	0	0	0	0	2e-06	0	0	0	0	0	0	2e-07	0	0	0	3.32e-07	1.33e-07	6.64e-06	0	0	0	0	0	0	0	0	0
0.5	0	7.354e-08	3.31102e-08	5.43405e-13	5.5222e-08	5.16319e-09	1.06498e-07	2.56287e-09	0	5.97164e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00029e-09	0	2.76377e-14	0	0	5.81061e-11	1.43885e-10	1.64946e-07	2.37243e-09	0	1.70508e-12	0	0	3.41729e-09	4.49184e-06	1.23897e-07	7.52948e-08	0	0	0	2e-06	0	0	5.71346e-11	0	0	0	1.96466e-07	0	2.12984e-11	2.07598e-09	3.29902e-07	1.26884e-07	6.64e-06	0	0	0	0	0	0	0	0	0
1	0	7.50819e-08	5.81388e-08	7.96138e-12	4.52504e-08	5.95524e-09	1.81794e-07	4.84369e-09	0	1.05956e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16568e-08	0	2.72218e-13	0	0	2.38797e-10	6.31422e-10	3.13334e-07	4.01056e-09	0	7.71049e-12	0	0	6.59006e-09	4.26763e-06	1.20074e-07	5.85923e-08	0	0	0	2e-06	0	0	1.15803e-10	0	0	0	1.93047e-07	0	1.52433e-10	5.24163e-09	3.26598e-07	1.21773e-07	6.64e-06	0	0	0	0	0	0	0	0	0
1.5	0	7.65164e-08	7.85461e-08	2.88901e-11	3.69284e-08	6.52397e-09	2.30403e-07	6.41178e-09	0	1.33592e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27874e-08	0	7.79389e-13	0	0	4.70081e-10	1.26169e-09	4.42597e-07	4.74047e-09	0	1.55827e-11	0	0	9.25873e-09	4.08587e-06	1.17072e-07	4.57561e-08	0	0	0	2e-06	0	0	1.58089e-10	0	0	0	1.90097e-07	0	3.9212e-10	8.00458e-09	3.23574e-07	1.18379e-07	6.64e-06	0	0	0	0	0	0	0	0	0
2	0	7.78502e-08	9.50658e-08	6.52638e-11	3.00733e-08	6.9922e-09	2.59855e-07	7.44414e-09	0	1.49394e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43161e-08	0	1.45385e-12	0	0	7.05822e-10	1.9088e-09	5.56735e-07	4.91377e-09	0	2.39942e-11	0	0	1.15441e-08	3.93702e-06	1.14706e-07	3.58819e-08	0	0	0	2e-06	0	0	1.89454e-10	0	0	0	1.87535e-07	0	7.17299e-10	1.0402e-08	3.20815e-07	1.16152e-07	6.64e-06	0	0	0	0	0	0	0	0	0
2.5	0	7.90885e-08	1.08339e-07	1.15999e-10	2.44926e-08	7.38935e-09	2.75612e-07	8.07551e-09	0	1.57444e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50593e-08	0	2.1919e-12	0	0	9.21368e-10	2.5097e-09	6.58587e-07	4.7653e-09	0	3.23612e-11	0	0	1.35301e-08	3.81404e-06	1.12836e-07	2.82872e-08	0	0	0	2e-06	0	0	2.13482e-10	0	0	0	1.853e-07	0	1.10585e-09	1.25001e-08	3.18278e-07	1.14746e-07	6.64e-06	0	0	0	0	0	0	0	0	0
3	0	8.02362e-08	1.18919e-07	1.78559e-10	1.99998e-08	7.73402e-09	2.81667e-07	8.40895e-09	0	1.6033e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4407e-08	0	2.91628e-12	0	0	1.1051e-09	3.03498e-09	7.50206e-07	4.44952e-09	0	4.0432e-11	0	0	1.52761e-08	3.71156e-06	1.11355e-07	2.24534e-08	0	0	0	2e-06	0	0	2.32454e-10	0	0	0	1.83343e-07	0	1.53936e-09	1.43564e-08	3.15926e-07	1.13932e-07	6.64e-06	0	0	0	0	0	0	0	0	0
3.5	0	8.12981e-08	1.27277e-07	2.50018e-10	1.64226e-08	8.03871e-09	2.8095e-07	8.52359e-09	0	1.5976e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.21131e-08	0	3.5787e-12	0	0	1.25317e-09	3.47382e-09	8.33102e-07	4.06589e-09	0	4.81085e-11	0	0	1.68251e-08	3.6255e-06	1.10178e-07	1.79844e-08	0	0	0	2e-06	0	0	2.47859e-10	0	0	0	1.81622e-07	0	2.00362e-09	1.60178e-08	3.13729e-07	1.1355e-07	6.64e-06	0	0	0	0	0	0	0	0	0
4	0	8.22787e-08	1.33813e-07	3.27619e-10	1.36075e-08	8.31208e-09	2.75624e-07	8.48048e-09	0	1.56892e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81543e-08	0	4.15378e-12	0	0	1.36623e-09	3.82588e-09	9.08412e-07	3.67642e-09	0	5.53629e-11	0	0	1.82087e-08	3.55269e-06	1.09241e-07	1.45756e-08	0	0	0	2e-06	0	0	2.6069e-10	0	0	0	1.80105e-07	0	2.48812e-09	1.75211e-08	3.11663e-07	1.13485e-07	6.64e-06	0	0	0	0	0	0	0	0	0
4.5	0	8.31828e-08	1.38861e-07	4.09029e-10	1.14207e-08	8.56031e-09	2.67279e-07	8.32653e-09	0	1.52534e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26387e-08	0	4.63222e-12	0	0	1.44737e-09	4.09665e-09	9.77013e-07	3.31779e-09	0	6.21987e-11	0	0	1.94509e-08	3.49063e-06	1.08491e-07	1.19919e-08	0	0	0	2e-06	0	0	2.71623e-10	0	0	0	1.78763e-07	0	2.98529e-09	1.88945e-08	3.09711e-07	1.1365e-07	6.64e-06	0	0	0	0	0	0	0	0	0
