Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
0	0	120.443	99.9675	0	0	0	2999.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204.43	0	0	0	120.443	0	0	0	0	0	0	199.935	0	80.0945	3998.7	0	0	0	0	0	0	0	0	0
0.5	0	44.294	33.2691	19.9415	0.000327295	3.10967	2702.69	65.732	1.57488	0	4.38376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.2848	1.83716	0	0.0355203	1.68835e-05	0	0	0.101705	1.42865	0	2.05708	0.00102631	0	0	74.574	45.328	0	0	1204.43	0	0	0	118.315	0.0344061	0	0	0	0	0.0128284	198.672	1.25006	75.609	3998.7	0	0	0	0	0	0	0	0	0
1	0	45.2329	27.2973	35.029	0.00479674	3.58634	2560.43	117.361	3.10998	0	8.18802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.177	7.43158	0	0.151872	0.000172763	0	0	0.473791	2.41316	0	3.95849	0.00463229	0	0	72.0999	35.2233	0	0	1204.43	0	0	0	116.258	0.069741	0	0	0	0	0.0917997	196.682	3.15659	71.4327	3998.7	0	0	0	0	0	0	0	0	0
1.5	0	46.1062	22.3145	47.3497	0.0174145	3.92883	2440.9	155.913	4.31468	0	10.7216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264.804	15.2088	0	0.312915	0.000517474	0	0	0.987668	2.84681	0	5.54108	0.00932838	0	0	70.0219	27.4391	0	0	1204.43	0	0	0	114.484	0.095211	0	0	0	0	0.23613	194.861	4.82048	68.3852	3998.7	0	0	0	0	0	0	0	0	0
2	0	46.9181	18.2023	57.3403	0.03936	4.21079	2339.7	184.537	5.25677	0	12.4291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.484	24.0296	0	0.492892	0.00101239	0	0	1.55325	2.94192	0	6.87602	0.0142969	0	0	68.2679	21.4436	0	0	1204.43	0	0	0	112.944	0.114107	0	0	0	0	0.431928	193.2	6.26423	66.1121	3998.7	0	0	0	0	0	0	0	0	0
2.5	0	47.6722	14.8447	65.3804	0.0699912	4.44995	2253.37	205.67	5.99197	0	13.5857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389.957	33.161	0	0.676162	0.00160372	0	0	2.12237	2.84147	0	8.01487	0.0191781	0	0	66.7786	16.831	0	0	1204.43	0	0	0	111.602	0.128585	0	0	0	0	0.665869	191.672	7.52767	64.3864	3998.7	0	0	0	0	0	0	0	0	0
3	0	48.3716	12.1324	71.7971	0.107784	4.6575	2179.22	221.19	6.56548	0	14.3686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441.55	42.1524	0	0.853712	0.00224575	0	0	2.66988	2.63998	0	8.99558	0.0238202	0	0	65.5058	13.2902	0	0	1204.43	0	0	0	110.427	0.140019	0	0	0	0	0.926863	190.255	8.64551	63.056	3998.7	0	0	0	0	0	0	0	0	0
3.5	0	49.0191	9.96585	76.8707	0.150968	4.84096	2115.08	232.534	7.01363	0	14.8951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487.288	50.7459	0	1.0208	0.00290548	0	0	3.18364	2.39842	0	9.84652	0.0281683	0	0	64.4101	10.5816	0	0	1204.43	0	0	0	109.395	0.149305	0	0	0	0	1.20636	188.932	9.64593	62.0157	3998.7	0	0	0	0	0	0	0	0	0
4	0	49.6177	8.25595	80.8394	0.197875	5.00556	2059.23	240.804	7.36549	0	15.2454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527.975	58.8115	0	1.17538	0.00356128	0	0	3.65891	2.15471	0	10.5893	0.0322125	0	0	63.4596	8.5196	0	0	1204.43	0	0	0	108.485	0.157041	0	0	0	0	1.49805	187.688	10.5511	61.1902	3998.7	0	0	0	0	0	0	0	0	0
4.5	0	50.1702	6.92484	83.9041	0.247088	5.15503	2010.29	246.842	7.64418	0	15.4747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564.255	66.303	0	1.31707	0.00420027	0	0	4.09524	1.93111	0	11.2405	0.0359624	0	0	62.6285	6.96042	0	0	1204.43	0	0	0	107.681	0.163634	0	0	0	0	1.79736	186.513	11.378	60.5245	3998.7	0	0	0	0	0	0	0	0	0
