time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
0, 4.97996e-06, 1.99265e-07, 0, 0, 1.66054e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99265e-07, 0, 0, 0, 0, 0, 0, 0, 1.32843e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 0, 0, 0, 0, 0, 0, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.1, 4.70099e-06, 7.30637e-08, 1.26201e-07, 2.82292e-08, 6.97426e-08, 9.29902e-08, 2.98897e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99265e-07, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.31183e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 3.32108e-09, 0, 0, 0, 0, 0, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.2, 4.62294e-06, 5.97794e-08, 1.39485e-07, 6.31005e-08, 7.30637e-08, 8.3027e-08, 6.4761e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97604e-07, 1.66054e-09, 0, 0, 1.66054e-09, 0, 0, 3.32108e-09, 1.29522e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 9.96323e-09, 0, 0, 0, 0, 0, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.3, 4.57479e-06, 8.3027e-08, 1.14577e-07, 1.02953e-07, 6.4761e-08, 8.46875e-08, 8.80086e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.97604e-07, 1.66054e-09, 0, 0, 1.66054e-09, 1.66054e-09, 0, 6.64216e-09, 1.26201e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 1.32843e-08, 0, 0, 0, 0, 3.32108e-09, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.4, 4.51002e-06, 8.13664e-08, 1.16238e-07, 1.51109e-07, 5.81189e-08, 8.3027e-08, 1.07935e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.97604e-07, 1.66054e-09, 0, 0, 1.66054e-09, 1.66054e-09, 0, 4.98162e-09, 1.27862e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 2.32475e-08, 0, 0, 0, 0, 4.98162e-09, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.5, 4.44526e-06, 6.97426e-08, 1.27862e-07, 1.8598e-07, 4.81556e-08, 8.80086e-08, 1.14577e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.95944e-07, 3.32108e-09, 0, 0, 1.66054e-09, 1.66054e-09, 0, 9.96323e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.32108e-07, 0, 2.82292e-08, 0, 0, 0, 0, 6.64216e-09, 0, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.6, 4.40541e-06, 6.31005e-08, 1.32843e-07, 2.09228e-07, 5.64583e-08, 7.63848e-08, 1.32843e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90962e-07, 8.3027e-09, 0, 0, 3.32108e-09, 3.32108e-09, 0, 8.3027e-09, 1.2454e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.30447e-07, 0, 3.32108e-08, 0, 0, 0, 0, 6.64216e-09, 1.66054e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.7, 4.36722e-06, 6.31005e-08, 1.34504e-07, 2.42439e-07, 5.97794e-08, 6.64216e-08, 1.41146e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.92623e-07, 6.64216e-09, 0, 0, 4.98162e-09, 1.66054e-09, 0, 1.32843e-08, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.28787e-07, 0, 3.81924e-08, 0, 0, 0, 0, 4.98162e-09, 3.32108e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.8, 4.33567e-06, 7.47243e-08, 1.21219e-07, 2.70668e-07, 5.31372e-08, 5.97794e-08, 1.66054e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.94283e-07, 4.98162e-09, 0, 0, 6.64216e-09, 3.32108e-09, 0, 6.64216e-09, 1.26201e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.27126e-07, 0, 4.81556e-08, 0, 0, 0, 0, 6.64216e-09, 4.98162e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.9, 4.29581e-06, 8.3027e-08, 1.09596e-07, 3.15502e-07, 4.64951e-08, 6.14399e-08, 1.67714e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.99265e-07, 0, 0, 0, 8.3027e-09, 6.64216e-09, 0, 1.32843e-08, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.25466e-07, 0, 5.64583e-08, 0, 0, 0, 0, 8.3027e-09, 6.64216e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
