Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
0	0	120	100	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	120	0	0	0	0	0	0	200	0	80	3999	0	0	0	0	0	0	0	0	0
0.5	0	52	28	17	0	4	2704	57	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	2	0	0	0	0	0	0	1	0	1	0	0	0	67	54	0	0	1204	0	0	0	119	0	0	0	0	0	0	199	1	78	3999	0	0	0	0	0	0	0	0	0
1	0	43	28	31	0	9	2532	114	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	3	0	0	0	0	0	0	2	0	3	0	0	0	75	39	0	0	1204	0	0	0	117	0	0	0	0	0	0	199	1	71	3999	0	0	0	0	0	0	0	0	0
1.5	0	49	26	42	0	3	2418	148	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	9	0	1	0	0	0	0	5	0	3	0	0	0	68	27	0	0	1204	0	0	0	116	0	0	0	0	0	2	196	2	77	3999	0	0	0	0	0	0	0	0	0
2	0	42	19	53	0	4	2295	162	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	16	0	0	0	0	0	2	3	0	11	0	0	0	74	25	0	0	1204	0	0	0	109	0	0	0	0	0	2	195	3	70	3999	0	0	0	0	0	0	0	0	0
2.5	0	45	16	57	0	5	2233	174	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	29	0	0	0	0	0	1	5	0	6	0	0	0	72	22	0	0	1204	0	0	0	114	0	0	0	0	0	3	195	2	67	3999	0	0	0	0	0	0	0	0	0
3	0	50	15	64	0	4	2164	183	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	33	0	0	0	0	0	2	2	0	12	0	0	0	62	19	0	0	1204	0	0	0	108	0	0	0	0	0	1	194	5	67	3999	0	0	0	0	0	0	0	0	0
3.5	0	58	15	68	1	3	2137	202	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	33	0	0	0	0	0	4	5	0	9	0	0	0	58	11	0	0	1204	0	0	0	111	0	0	0	0	0	0	192	7	67	3999	0	0	0	0	0	0	0	0	0
4	0	51	11	71	1	7	2077	184	11	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	45	0	0	0	0	0	1	2	0	14	0	0	0	58	15	0	0	1204	0	0	0	106	0	0	0	0	0	1	193	5	63	3999	0	0	0	0	0	0	0	0	0
4.5	0	47	6	76	0	6	2039	193	5	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	48	0	1	0	0	0	1	2	0	15	0	0	0	68	16	0	0	1204	0	0	0	104	0	0	0	0	0	0	188	12	66	3999	0	0	0	0	0	0	0	0	0
