Time	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	64.1345	1.5434	0	3.59621	0	0	0	0	0	0	0	0	0	0	0	1.80682	0	0.0349923	1.66438e-05	0	0	0.0866496
1	109.479	2.91694	0	6.3808	0	0	0	0	0	0	0	0	0	0	0	7.0199	0	0.143807	0.000163933	0	0	0.380251
1.5	138.752	3.86126	0	8.04511	0	0	0	0	0	0	0	0	0	0	0	13.7229	0	0.283089	0.000469359	0	0	0.759809
2	156.488	4.48297	0	8.9967	0	0	0	0	0	0	0	0	0	0	0	20.6657	0	0.425056	0.000875531	0	0	1.14951
2.5	165.978	4.86319	0	9.48148	0	0	0	0	0	0	0	0	0	0	0	27.1353	0	0.554861	0.00131999	0	0	1.51138
3	169.624	5.06399	0	9.65533	0	0	0	0	0	0	0	0	0	0	0	32.7647	0	0.665506	0.00175623	0	0	1.82771
3.5	169.192	5.13303	0	9.62096	0	0	0	0	0	0	0	0	0	0	0	37.4054	0	0.754677	0.00215515	0	0	2.09198
4	165.984	5.10707	0	9.44827	0	0	0	0	0	0	0	0	0	0	0	41.0435	0	0.822762	0.00250147	0	0	2.304
4.5	160.959	5.01435	0	9.18581	0	0	0	0	0	0	0	0	0	0	0	43.7441	0	0.871624	0.00278959	0	0	2.46706
5	154.819	4.87659	0	8.86801	0	0	0	0	0	0	0	0	0	0	0	45.614	0	0.903823	0.00302017	0	0	2.5863
5.5	148.08	4.71037	0	8.51954	0	0	0	0	0	0	0	0	0	0	0	46.7786	0	0.922151	0.00319762	0	0	2.66768
6	141.114	4.5283	0	8.15828	0	0	0	0	0	0	0	0	0	0	0	47.3659	0	0.929342	0.00332833	0	0	2.71735
6.5	134.189	4.33986	0	7.79714	0	0	0	0	0	0	0	0	0	0	0	47.498	0	0.927929	0.00341957	0	0	2.74129
7	127.491	4.15208	0	7.44542	0	0	0	0	0	0	0	0	0	0	0	47.2862	0	0.920159	0.00347869	0	0	2.74506
7.5	121.148	3.97007	0	7.10972	0	0	0	0	0	0	0	0	0	0	0	46.828	0	0.907967	0.00351269	0	0	2.73368
