Time	Ca.ParticleNumber	cAMP.ParticleNumber
0	0	0
0.5	1	0
1	6	0
1.5	1	0
2	3	0
2.5	2	0
3	7	0
3.5	5	0
4	5	0
4.5	8	0
5	5	0
5.5	8	0
6	4	0
6.5	10	0
7	5	0
7.5	4	0
8	6	0
8.5	7	0
9	4	0
9.5	6	0
10	8	0
10.5	2	0
11	7	0
11.5	6	0
12	5	0
12.5	5	0
13	4	0
13.5	4	0
14	11	0
14.5	5	0
15	4	0
15.5	5	0
16	7	0
16.5	5	0
17	6	0
17.5	3	0
18	12	0
18.5	15	0
19	3	0
19.5	9	0
20	9	0
20.5	2	0
21	12	0
21.5	4	0
22	3	0
22.5	11	0
23	4	0
23.5	6	0
24	7	0
24.5	9	0
25	11	0
25.5	5	0
26	4	0
26.5	7	0
27	9	0
27.5	9	0
28	4	0
28.5	7	0
29	6	0
29.5	1	0
30	12	0
30.5	9	0
31	11	0
31.5	5	0
32	9	0
32.5	7	0
33	12	0
33.5	4	0
34	10	0
34.5	7	0
35	10	0
35.5	2	0
36	9	0
36.5	4	0
37	7	0
37.5	5	0
38	6	0
38.5	12	0
39	10	0
39.5	10	0
40	7	0
40.5	6	0
41	7	0
41.5	12	0
42	10	0
42.5	7	0
43	10	0
43.5	6	0
44	6	0
44.5	6	0
45	6	0
45.5	11	0
46	9	0
46.5	6	0
47	12	0
47.5	9	0
48	2	0
48.5	12	0
49	7	0
49.5	11	0
50	8	0
50.5	7	0
51	9	0
51.5	11	0
52	4	0
52.5	4	0
53	6	0
53.5	7	0
54	9	0
54.5	9	0
55	8	0
55.5	10	0
56	9	0
56.5	7	0
57	12	0
57.5	3	0
58	8	0
58.5	8	0
59	8	0
59.5	18	0
60	10	0
60.5	8	0
61	11	0
61.5	10	0
62	7	0
62.5	9	0
63	12	0
63.5	4	0
64	9	0
64.5	8	0
65	13	0
65.5	10	0
66	5	0
66.5	7	0
67	11	0
67.5	11	0
68	9	0
68.5	7	0
69	12	0
69.5	5	0
70	11	0
70.5	3	0
71	9	0
71.5	9	0
72	5	0
72.5	6	0
73	12	0
73.5	1	0
74	9	0
74.5	13	0
75	8	0
75.5	9	0
76	6	0
76.5	6	0
77	3	0
77.5	6	0
78	8	0
78.5	6	0
79	8	0
79.5	9	0
80	12	0
80.5	9	0
81	11	0
81.5	9	0
82	12	0
82.5	9	0
83	7	0
83.5	5	0
84	11	0
84.5	5	0
85	10	0
85.5	8	0
86	14	0
86.5	11	0
87	8	0
87.5	8	0
88	14	0
88.5	9	0
89	5	0
89.5	10	0
90	7	0
90.5	6	0
91	17	0
91.5	9	0
92	10	0
92.5	14	0
93	10	0
93.5	9	0
94	5	0
94.5	8	0
95	11	0
95.5	4	0
96	11	0
96.5	9	0
97	7	0
97.5	8	0
98	9	0
98.5	7	0
99	6	0
99.5	12	0
100	5	0
100.5	2	0
101	12	0
101.5	8	0
102	12	0
102.5	9	0
103	6	0
103.5	7	0
104	10	0
104.5	12	0
105	1	0
105.5	9	0
106	6	0
106.5	8	0
107	8	0
107.5	4	0
108	11	0
108.5	14	0
109	2	0
109.5	7	0
110	9	0
110.5	10	0
111	7	0
111.5	13	0
112	14	0
112.5	7	0
113	6	0
113.5	10	0
114	3	0
114.5	11	0
115	9	0
115.5	12	0
116	7	0
116.5	5	0
117	8	0
117.5	7	0
118	9	0
118.5	3	0
119	11	0
119.5	10	0
120	13	0
120.5	6	0
121	8	0
121.5	11	0
122	10	0
122.5	6	0
123	8	0
123.5	6	0
124	8	0
124.5	3	0
125	4	0
125.5	9	0
126	4	0
126.5	7	0
127	13	0
127.5	13	0
128	11	0
128.5	8	0
129	8	0
129.5	3	0
130	9	0
130.5	6	0
131	8	0
131.5	16	0
132	9	0
132.5	4	0
133	6	0
133.5	13	0
134	10	0
134.5	12	0
135	7	0
135.5	11	0
136	6	0
136.5	8	0
137	18	0
137.5	6	0
138	8	0
138.5	16	0
139	8	0
139.5	12	0
140	9	0
140.5	5	0
141	9	0
141.5	14	0
142	12	0
142.5	6	0
143	6	0
143.5	7	0
144	12	0
144.5	6	0
145	13	0
145.5	10	0
146	11	0
146.5	9	0
147	4	0
147.5	3	0
148	11	0
148.5	7	0
149	10	0
149.5	12	0
150	11	0
150.5	12	0
151	9	0
151.5	12	0
152	13	0
152.5	10	0
153	12	0
153.5	12	0
154	7	0
154.5	12	0
155	15	0
155.5	9	0
156	6	0
156.5	3	0
157	8	0
157.5	7	0
158	11	0
158.5	12	0
159	18	0
159.5	6	0
160	12	0
160.5	7	0
161	8	0
161.5	11	0
162	8	0
162.5	17	0
163	9	0
163.5	13	0
164	6	0
164.5	11	0
165	11	0
165.5	8	0
166	7	0
166.5	8	0
167	10	0
167.5	9	0
168	10	0
168.5	5	0
169	10	0
169.5	9	0
170	6	0
170.5	7	0
171	6	0
171.5	11	0
172	15	0
172.5	11	0
173	10	0
173.5	6	0
174	7	0
174.5	13	0
175	10	0
175.5	8	0
176	6	0
176.5	10	0
177	12	0
177.5	8	0
178	7	0
178.5	6	0
179	12	0
179.5	14	0
180	11	0
180.5	13	0
181	13	0
181.5	4	0
182	8	0
182.5	7	0
183	7	0
183.5	12	0
184	8	0
184.5	9	0
185	7	0
185.5	7	0
186	6	0
186.5	2	0
187	11	0
187.5	16	0
