Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
0	0	120.443	99.9675	0	0	0	2999.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204.43	0	0	0	120.443	0	0	0	0	0	0	199.935	0	80.0945	3998.7	0	0	0	0	0	0	0	0	0
0.5	0	44.2868	33.2555	19.9394	0.000327246	3.10935	2705.05	64.1345	1.5434	0	3.59621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.3331	1.80682	0	0.0349923	1.66438e-05	0	0	0.0866496	1.42871	0	2.05794	0.00102682	0	0	74.6126	45.3436	0	0	1204.43	0	0	0	118.314	0.0344073	0	0	0	0	0.0128262	198.672	1.25018	76.4116	3998.7	0	0	0	0	0	0	0	0	0
1	0	45.2154	27.2504	35.012	0.00479446	3.58633	2570.03	109.479	2.91694	0	6.3808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.694	7.0199	0	0.143807	0.000163933	0	0	0.380251	2.41522	0	3.96863	0.00464336	0	0	72.3105	35.2851	0	0	1204.43	0	0	0	116.256	0.0697385	0	0	0	0	0.0917972	196.682	3.15658	73.3334	3998.7	0	0	0	0	0	0	0	0	0
1.5	0	46.0793	22.2388	47.3016	0.017398	3.92883	2460.57	138.752	3.86126	0	8.04511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266.538	13.7229	0	0.283089	0.000469359	0	0	0.759809	2.85478	0	5.57574	0.00938409	0	0	70.5023	27.555	0	0	1204.43	0	0	0	114.479	0.0952034	0	0	0	0	0.23614	194.861	4.82047	71.2896	3998.7	0	0	0	0	0	0	0	0	0
2	0	46.8825	18.1106	57.2499	0.0393028	4.2108	2370.93	156.488	4.48297	0	8.9967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335.274	20.6657	0	0.425056	0.000875531	0	0	1.14951	2.95914	0	6.95203	0.0144496	0	0	69.0774	21.6086	0	0	1204.43	0	0	0	112.936	0.114092	0	0	0	0	0.431967	193.2	6.26424	69.9483	3998.7	0	0	0	0	0	0	0	0	0
2.5	0	47.6282	14.7498	65.2432	0.069856	4.44997	2296.87	165.978	4.86319	0	9.48148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396.611	27.1353	0	0.554861	0.00131999	0	0	1.51138	2.86973	0	8.14802	0.0194884	0	0	67.9514	17.0349	0	0	1204.43	0	0	0	111.591	0.128562	0	0	0	0	0.66596	191.672	7.52773	69.1016	3998.7	0	0	0	0	0	0	0	0	0
3	0	48.3194	12.0441	71.6146	0.107531	4.65754	2235.15	169.624	5.06399	0	9.65533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451.785	32.7647	0	0.665506	0.00175623	0	0	1.82771	2.67956	0	9.1995	0.0243487	0	0	67.0594	13.5217	0	0	1204.43	0	0	0	110.412	0.139987	0	0	0	0	0.927024	190.255	8.64563	68.6114	3998.7	0	0	0	0	0	0	0	0	0
3.5	0	48.9588	9.88993	76.648	0.150564	4.84102	2183.33	169.192	5.13303	0	9.62096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501.706	37.4054	0	0.754677	0.00215515	0	0	2.09198	2.44854	0	10.1323	0.0289716	0	0	66.3509	10.8305	0	0	1204.43	0	0	0	109.375	0.149264	0	0	0	0	1.20661	188.932	9.64615	68.3815	3998.7	0	0	0	0	0	0	0	0	0
4	0	49.5494	8.19461	80.584	0.197297	5.00565	2139.48	165.984	5.10707	0	9.44827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547.059	41.0435	0	0.822762	0.00250147	0	0	2.304	2.21399	0	10.9656	0.0333403	0	0	65.7863	8.77761	0	0	1204.43	0	0	0	108.462	0.156991	0	0	0	0	1.49838	187.688	10.5514	68.3422	3998.7	0	0	0	0	0	0	0	0	0
4.5	0	50.0939	6.87769	83.6238	0.246323	5.15514	2102.1	160.959	5.01435	0	9.18581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588.371	43.7441	0	0.871624	0.00278959	0	0	2.46706	1.99802	0	11.7136	0.0374569	0	0	65.3346	7.22168	0	0	1204.43	0	0	0	107.654	0.163575	0	0	0	0	1.79778	186.512	11.3785	68.4416	3998.7	0	0	0	0	0	0	0	0	0
