Time	Ca.ParticleNumberRate
0	15.0554
0.5	1.41514
1	0.764309
1.5	0.616938
2	0.516597
2.5	0.44373
3	0.388989
3.5	0.346668
4	0.313071
4.5	0.285784
5	0.263155
5.5	0.244047
6	0.227642
6.5	0.213377
7	0.200813
7.5	0.189636
8	0.179613
8.5	0.170553
9	0.162311
9.5	0.154777
10	0.147836
10.5	0.141444
11	0.135507
11.5	0.129994
12	0.124844
12.5	0.12003
13	0.115514
13.5	0.11127
14	0.107271
14.5	0.1035
15	0.0999405
15.5	0.096551
16	0.0933447
16.5	0.0903127
17	0.087414
17.5	0.0846604
18	0.0820338
18.5	0.0795265
19	0.0771308
19.5	0.0748412
20	0.0726483
20.5	0.0705473
21	0.0685323
21.5	0.0665984
22	0.0647408
22.5	0.0629553
23	0.0612379
23.5	0.0595844
24	0.0579921
24.5	0.0564572
25	0.0549772
25.5	0.0535488
26	0.0521699
26.5	0.0508379
27	0.0495505
27.5	0.0483058
28	0.0471017
28.5	0.0459368
29	0.0448084
29.5	0.0437153
30	0.0426567
30.5	0.0416298
31	0.0406348
31.5	0.0396693
32	0.038732
32.5	0.0378227
33	0.0369392
33.5	0.0360815
34	0.035248
34.5	0.0344377
35	0.0336503
35.5	0.0328845
36	0.0321401
36.5	0.0314161
37	0.0307107
37.5	0.0300235
38	0.0293558
38.5	0.0287055
39	0.0280716
39.5	0.0274549
40	0.026854
40.5	0.0262678
41	0.0256962
41.5	0.0251396
42	0.0245967
42.5	0.0240671
43	0.0235509
43.5	0.0230472
44	0.0225554
44.5	0.0220756
45	0.0216077
45.5	0.021151
46	0.0207051
46.5	0.0202704
47	0.0198458
47.5	0.0194307
48	0.0190242
48.5	0.0186274
49	0.0182409
49.5	0.0178634
50	0.0174942
50.5	0.0171329
51	0.0167807
51.5	0.0164366
52	0.0161
52.5	0.0157704
53	0.0154475
53.5	0.0151328
54	0.0148252
54.5	0.0145242
55	0.0142296
55.5	0.0139414
56	0.01366
56.5	0.0133845
57	0.0131149
57.5	0.0128506
58	0.0125925
58.5	0.0123401
59	0.0120932
59.5	0.0118514
60	0.0116148
60.5	0.0113837
61	0.0111576
61.5	0.0109362
62	0.0107191
62.5	0.010506
63	0.0102962
63.5	0.0100923
64	0.00989311
64.5	0.00969809
65	0.00950709
65.5	0.00931989
66	0.00913622
66.5	0.00895666
67	0.00878126
67.5	0.00860945
68	0.00844104
68.5	0.00827578
69	0.00811337
69.5	0.00795411
70	0.00779891
70.5	0.00764689
71	0.00749794
71.5	0.00735194
72	0.00720875
72.5	0.00706828
73	0.00693105
73.5	0.0067966
74	0.00666483
74.5	0.00653562
75	0.00640883
75.5	0.0062843
76	0.00616263
76.5	0.00604352
77	0.0059268
77.5	0.00581241
78	0.00570025
78.5	0.00559022
79	0.00548261
79.5	0.00537747
80	0.00527452
80.5	0.0051737
81	0.00507492
81.5	0.00497808
82	0.00488306
82.5	0.00478973
83	0.00469871
83.5	0.00460945
84	0.00452185
84.5	0.00443578
85	0.00435109
