Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
0	0	120	100	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	120	0	0	0	0	0	0	200	0	80	3999	0	0	0	0	0	0	0	0	0
0.5	0	46	38	14	0	1	2714	64	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	1	0	0	0	0	0	1	1	0	3	0	0	0	72	47	0	0	1204	0	0	0	117	0	0	0	0	0	0	200	0	72	3999	0	0	0	0	0	0	0	0	0
1	0	39	33	31	0	3	2570	122	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	6	0	0	0	0	0	1	2	0	6	0	0	0	78	34	0	0	1204	0	0	0	114	0	0	0	0	0	0	199	1	71	3999	0	0	0	0	0	0	0	0	0
1.5	0	42	31	42	0	2	2455	148	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	18	0	0	0	0	0	0	3	0	5	0	0	0	76	24	0	0	1204	0	0	0	115	0	0	0	0	0	0	195	5	72	3999	0	0	0	0	0	0	0	0	0
2	0	53	21	53	0	0	2379	169	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	21	0	0	0	0	0	1	1	0	7	0	0	0	60	25	0	0	1204	0	0	0	113	0	0	0	0	0	0	191	9	69	3999	0	0	0	0	0	0	0	0	0
2.5	0	45	15	65	0	7	2297	180	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	30	0	1	0	0	0	2	1	0	9	0	0	0	68	19	0	0	1204	0	0	0	110	0	0	0	0	0	1	193	6	71	3999	0	0	0	0	0	0	0	0	0
3	0	52	13	72	0	6	2256	169	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	39	0	1	0	0	0	1	2	0	9	0	0	0	63	13	0	0	1204	0	0	0	110	0	0	0	0	0	1	189	10	68	3999	0	0	0	0	0	0	0	0	0
3.5	0	41	8	75	0	8	2192	166	6	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	41	0	1	0	0	0	2	4	0	3	0	0	0	73	13	0	0	1204	0	0	0	116	0	0	0	0	0	1	189	10	64	3999	0	0	0	0	0	0	0	0	0
4	0	55	6	76	1	6	2125	175	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	44	0	0	0	0	0	2	2	0	8	0	0	0	64	15	0	0	1204	0	0	0	112	0	0	0	0	0	1	189	9	64	3999	0	0	0	0	0	0	0	0	0
4.5	0	59	13	78	1	4	2106	158	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	45	0	0	0	0	0	4	1	0	16	0	0	0	55	7	0	0	1204	0	0	0	104	0	0	0	0	0	1	186	12	64	3999	0	0	0	0	0	0	0	0	0
