# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 9 0 72 82 0 0 0 0 0 2905 95 0 0 0 0 0 0 0 95 0
 1.000000E+00 0 0 12 0 75 71 0 0 0 0 0 2800 200 0 0 0 0 0 0 0 200 0
 1.500000E+00 0 2 16 0 66 61 0 0 0 0 0 2704 296 0 0 0 0 0 0 0 296 0
 2.000000E+00 0 1 21 0 72 51 0 0 0 0 0 2625 375 0 0 0 0 0 0 0 375 0
 2.500000E+00 0 4 26 0 72 40 0 0 0 1 0 2569 431 0 0 0 0 0 0 0 431 0
 3.000000E+00 0 1 33 0 75 40 0 0 0 1 0 2528 472 0 0 0 0 0 0 0 472 0
 3.500000E+00 0 0 34 0 63 35 0 0 0 0 0 2479 521 0 0 0 0 0 0 0 521 0
 4.000000E+00 0 3 41 0 78 31 0 0 0 1 0 2426 574 0 0 0 0 0 0 0 574 0
 4.500000E+00 0 1 49 0 78 30 0 0 0 0 0 2383 617 0 0 0 0 0 0 0 617 0
 5.000000E+00 0 3 51 0 76 28 0 0 0 0 0 2338 662 0 0 0 0 0 0 0 662 0
 5.500000E+00 0 2 54 0 75 23 0 0 0 1 0 2293 707 0 0 0 0 0 0 0 707 0
 6.000000E+00 0 4 60 0 70 20 0 0 0 1 0 2236 764 0 0 0 0 0 0 0 764 0
 6.500000E+00 0 3 63 0 62 19 0 0 0 0 0 2185 815 0 0 0 0 0 0 0 815 0
 7.000000E+00 0 1 69 0 64 18 0 0 0 1 0 2144 856 0 0 0 0 0 0 0 856 0
 7.500000E+00 0 1 75 0 73 16 0 0 0 0 0 2129 871 0 0 0 0 0 0 0 871 0
 8.000000E+00 0 3 79 0 67 15 0 0 0 1 0 2125 875 0 0 0 0 0 0 0 875 0
 8.500000E+00 0 4 78 0 69 14 0 0 0 1 0 2088 912 0 0 0 0 0 0 0 912 0
 9.000000E+00 0 2 87 0 64 13 0 1 0 2 0 2065 935 0 0 0 0 0 0 0 935 0
 9.500000E+00 0 4 92 0 52 11 0 0 0 1 0 2044 956 0 0 0 0 0 0 0 956 0
 1.000000E+01 0 7 95 0 67 7 0 0 0 0 0 2019 981 0 0 0 0 0 0 0 981 0
 1.050000E+01 0 5 100 0 71 6 0 1 0 1 0 2031 969 0 0 0 0 0 0 0 969 0
 1.100000E+01 0 2 99 0 60 6 0 1 0 0 0 2033 967 0 0 0 0 0 0 0 967 0
 1.150000E+01 0 2 101 0 64 12 0 1 0 2 0 2041 959 0 0 0 0 0 0 0 959 0
 1.200000E+01 0 2 103 0 65 11 0 1 0 1 0 2056 944 0 0 0 0 0 0 0 944 0
 1.250000E+01 0 3 109 0 68 8 0 0 0 0 0 2033 967 0 0 0 0 0 0 0 967 0
 1.300000E+01 0 3 117 0 59 7 0 0 0 0 0 2026 974 0 0 0 0 0 0 0 974 0
 1.350000E+01 0 8 122 0 70 7 0 0 0 0 0 1994 1006 0 0 0 0 0 0 0 1006 0
 1.400000E+01 0 5 127 0 73 6 0 0 0 2 0 1997 1003 0 0 0 0 0 0 0 1003 0
 1.450000E+01 0 3 129 0 64 6 0 0 0 1 0 1995 1005 0 0 0 0 0 0 0 1005 0
 1.500000E+01 0 5 129 0 68 7 0 0 0 2 0 1978 1022 0 0 0 0 0 0 0 1022 0
 1.550000E+01 0 6 136 0 65 7 0 0 0 3 0 1997 1003 0 0 0 0 0 0 0 1003 0
 1.600000E+01 0 9 137 0 84 8 0 0 0 3 0 1973 1027 0 0 0 0 0 0 0 1027 0
 1.650000E+01 0 6 140 0 56 7 0 0 0 2 0 1951 1049 0 0 0 0 0 0 0 1049 0
 1.700000E+01 0 4 146 0 72 5 0 0 0 4 0 1953 1047 0 0 0 0 0 0 0 1047 0
 1.750000E+01 0 5 149 0 56 6 0 0 0 1 0 1960 1040 0 0 0 0 0 0 0 1040 0
 1.800000E+01 0 2 148 0 62 5 0 0 0 5 0 1949 1051 0 0 0 0 0 0 0 1051 0
 1.850000E+01 0 7 161 0 66 6 0 0 0 4 0 1962 1038 0 0 0 0 0 0 0 1038 0
 1.900000E+01 0 6 164 0 63 7 0 0 0 2 0 1966 1034 0 0 0 0 0 0 0 1034 0
 1.950000E+01 0 4 174 0 69 9 0 0 0 4 0 1961 1039 0 0 0 0 0 0 0 1039 0
 2.000000E+01 0 5 179 0 68 6 0 0 0 5 0 1958 1042 0 0 0 0 0 0 0 1042 0
 2.050000E+01 0 8 182 0 63 6 0 0 0 5 0 1941 1059 0 0 0 0 0 0 0 1059 0
 2.100000E+01 0 4 184 0 68 8 0 0 0 8 0 1948 1052 0 0 0 0 0 0 0 1052 0
 2.150000E+01 0 4 184 0 59 11 0 0 0 5 0 1951 1049 0 0 0 0 0 0 0 1049 0
