# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 6 0 71 83 0 0 0 0 0 2881 119 0 0 0 0 0 0 0 119 0
 1.000000E+00 0 0 8 0 69 72 0 0 0 0 0 2789 211 0 0 0 0 0 0 0 211 0
 1.500000E+00 0 0 14 0 67 63 0 0 0 0 0 2707 293 0 0 0 0 0 0 0 293 0
 2.000000E+00 0 1 25 0 64 52 0 0 0 0 0 2630 370 0 0 0 0 0 0 0 370 0
 2.500000E+00 0 5 35 0 84 45 0 0 0 0 0 2582 418 0 0 0 0 0 0 0 418 0
 3.000000E+00 0 3 41 0 72 35 0 0 0 0 0 2510 490 0 0 0 0 0 0 0 490 0
 3.500000E+00 0 3 45 0 74 31 0 0 0 0 0 2435 565 0 0 0 0 0 0 0 565 0
 4.000000E+00 0 5 49 0 67 27 0 0 0 1 0 2400 600 0 0 0 0 0 0 0 600 0
 4.500000E+00 0 4 52 0 64 22 0 0 0 0 0 2347 653 0 0 0 0 0 0 0 653 0
 5.000000E+00 0 1 53 0 69 18 0 0 0 0 0 2308 692 0 0 0 0 0 0 0 692 0
 5.500000E+00 0 6 56 0 64 17 0 0 0 1 0 2283 717 0 0 0 0 0 0 0 717 0
 6.000000E+00 0 2 58 0 70 15 0 0 0 0 0 2244 756 0 0 0 0 0 0 0 756 0
 6.500000E+00 0 3 59 0 72 13 0 0 0 2 0 2235 765 0 0 0 0 0 0 0 765 0
 7.000000E+00 0 2 62 0 70 10 0 0 0 2 0 2209 791 0 0 0 0 0 0 0 791 0
 7.500000E+00 0 2 66 0 67 10 0 0 0 1 0 2199 801 0 0 0 0 0 0 0 801 0
 8.000000E+00 0 6 70 0 67 11 0 0 0 2 0 2179 821 0 0 0 0 0 0 0 821 0
 8.500000E+00 0 2 78 0 74 9 0 0 0 0 0 2151 849 0 0 0 0 0 0 0 849 0
 9.000000E+00 0 2 78 0 59 6 0 0 0 0 0 2137 863 0 0 0 0 0 0 0 863 0
 9.500000E+00 0 2 80 0 67 3 0 0 0 1 0 2117 883 0 0 0 0 0 0 0 883 0
 1.000000E+01 0 10 88 0 79 3 0 0 0 2 0 2104 896 0 0 0 0 0 0 0 896 0
 1.050000E+01 0 3 91 0 72 4 0 0 0 2 0 2098 902 0 0 0 0 0 0 0 902 0
 1.100000E+01 0 6 102 0 61 3 0 0 0 1 0 2079 921 0 0 0 0 0 0 0 921 0
 1.150000E+01 0 3 108 0 63 3 0 1 0 0 0 2071 929 0 0 0 0 0 0 0 929 0
 1.200000E+01 0 7 114 0 60 4 0 1 0 2 0 2061 939 0 0 0 0 0 0 0 939 0
 1.250000E+01 0 5 118 0 69 4 0 1 0 0 0 2047 953 0 0 0 0 0 0 0 953 0
