# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 75 85 0 0 5 0 0 2833 85 0 80 2 0 0 0 0 87 82
 1.000000E+00 0 0 10 0 77 69 0 0 7 0 0 2677 179 0 133 11 0 0 0 0 190 144
 1.500000E+00 0 3 17 0 77 57 0 0 11 0 0 2571 248 0 162 19 0 0 0 0 267 181
 2.000000E+00 0 3 22 0 67 48 0 1 19 0 0 2462 321 0 194 23 0 0 0 0 344 217
 2.500000E+00 0 5 27 0 76 37 0 0 10 0 0 2392 383 0 197 28 0 0 0 0 411 225
 3.000000E+00 0 2 36 0 77 30 0 0 19 0 0 2300 450 0 209 41 0 0 0 0 491 250
 3.500000E+00 0 2 40 0 69 24 0 0 16 0 0 2234 510 0 214 42 0 0 0 0 552 256
 4.000000E+00 0 1 45 0 72 23 0 0 7 0 0 2189 562 0 204 45 0 0 0 0 607 249
 4.500000E+00 0 1 49 0 67 21 0 0 19 0 0 2139 615 0 200 46 0 0 0 0 661 246
 5.000000E+00 0 2 58 0 73 19 0 0 15 0 0 2086 668 0 196 50 0 0 0 0 718 246
 5.500000E+00 0 7 61 0 69 16 0 0 15 0 0 2054 694 0 195 57 0 0 0 0 751 252
 6.000000E+00 0 3 67 0 65 13 0 0 15 1 0 2017 739 0 184 60 0 0 0 0 799 244
 6.500000E+00 0 3 75 0 63 9 0 2 14 2 0 1993 770 0 177 60 0 0 0 0 830 237
 7.000000E+00 0 3 82 0 61 7 0 1 16 0 0 1997 783 0 151 69 0 0 0 0 852 220
 7.500000E+00 0 5 88 0 62 4 0 1 16 0 0 1965 831 0 147 57 0 0 0 0 888 204
 8.000000E+00 0 4 87 0 68 5 0 1 8 1 0 1966 848 0 133 53 0 0 0 0 901 186
 8.500000E+00 0 4 97 0 66 3 0 1 5 1 0 1976 854 0 121 49 0 0 0 0 903 170
 9.000000E+00 0 2 99 0 74 3 0 1 11 0 0 1985 858 0 108 49 0 0 0 0 907 157
 9.500000E+00 0 1 106 0 58 2 0 1 9 1 0 1946 911 0 97 46 0 0 0 0 957 143
 1.000000E+01 0 3 112 0 62 2 0 1 9 2 0 1969 899 0 86 46 0 0 0 0 945 132
 1.050000E+01 0 13 116 0 60 2 0 1 7 3 0 1963 912 0 79 46 0 0 0 0 958 125
 1.100000E+01 0 6 118 0 68 2 0 2 9 0 0 1954 927 0 74 45 0 0 0 0 972 119
