# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 1 0 0 71 80 0 0 3 0 0 2815 110 0 73 2 0 0 0 0 112 75
 1.000000E+00 0 2 12 0 0 73 69 0 0 9 0 0 2666 192 0 133 9 0 0 0 0 201 142
 1.500000E+00 0 1 21 0 0 75 61 0 0 7 0 0 2550 261 0 171 18 0 0 0 0 279 189
 2.000000E+00 0 2 26 0 0 79 54 0 0 9 0 0 2447 333 0 188 32 0 0 0 0 365 220
 2.500000E+00 0 3 31 0 0 72 47 0 0 10 0 0 2387 380 0 200 33 0 0 0 0 413 233
 3.000000E+00 0 1 41 0 0 69 35 0 0 12 0 0 2286 446 0 219 49 0 0 0 0 495 268
 3.500000E+00 0 1 45 0 0 68 24 0 0 13 2 0 2224 507 0 217 52 0 0 0 0 559 269
 4.000000E+00 0 5 49 0 0 71 20 0 0 14 0 0 2191 549 0 200 60 0 0 0 0 609 260
 4.500000E+00 0 4 56 0 0 74 15 0 0 13 0 0 2146 598 0 193 63 0 0 0 0 661 256
 5.000000E+00 0 2 58 0 0 64 10 0 0 11 0 0 2130 621 0 190 59 0 0 0 0 680 249
 5.500000E+00 0 5 57 0 0 72 8 0 0 12 1 0 2118 646 0 178 58 0 0 0 0 704 236
 6.000000E+00 0 7 61 0 0 70 7 0 0 9 0 0 2090 688 0 166 56 0 0 0 0 744 222
 6.500000E+00 0 3 65 0 0 63 6 0 0 6 1 0 2065 719 0 164 52 0 0 0 0 771 216
