# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 4 0 83 80 0 0 1 0 0 2814 110 0 74 2 0 0 0 0 112 76
 1.000000E+00 0 2 10 0 79 65 0 0 10 0 0 2665 204 0 121 10 0 0 0 0 214 131
 1.500000E+00 0 2 16 0 73 55 0 0 9 0 0 2541 279 0 156 24 0 0 0 0 303 180
 2.000000E+00 0 2 20 0 76 45 0 0 12 0 0 2430 360 0 179 31 0 0 0 0 391 210
 2.500000E+00 0 2 24 0 67 37 0 0 18 0 0 2352 414 0 196 38 0 0 0 0 452 234
 3.000000E+00 0 3 29 0 64 29 0 0 11 0 0 2304 466 0 191 39 0 0 0 0 505 230
 3.500000E+00 0 2 32 0 70 26 0 0 11 0 0 2238 535 0 180 47 0 0 0 0 582 227
 4.000000E+00 0 1 33 0 65 24 0 0 12 1 0 2177 587 0 179 57 0 0 0 0 644 236
 4.500000E+00 0 5 39 0 67 19 0 0 13 0 0 2144 630 0 157 69 0 0 0 0 699 226
 5.000000E+00 0 2 42 0 68 16 0 0 10 0 0 2112 664 0 168 56 0 0 0 0 720 224
 5.500000E+00 0 5 49 0 70 12 0 0 8 0 0 2097 692 0 156 55 0 0 0 0 747 211
 6.000000E+00 0 6 50 0 71 11 0 0 14 0 0 2076 712 0 162 50 0 0 0 0 762 212
 6.500000E+00 0 5 60 0 72 8 0 1 15 1 0 2034 761 0 152 53 0 0 0 0 814 205
 7.000000E+00 0 3 62 0 63 5 0 1 14 0 0 2021 781 0 146 52 0 0 0 0 833 198
 7.500000E+00 0 2 67 0 62 5 0 1 13 0 0 2011 808 0 136 45 0 0 0 0 853 181
 8.000000E+00 0 3 74 0 65 5 0 1 10 1 0 1997 827 0 128 48 0 0 0 0 875 176
 8.500000E+00 0 3 80 0 65 5 0 1 13 1 0 1991 840 0 127 42 0 0 0 0 882 169
 9.000000E+00 0 4 81 0 63 5 0 1 9 1 0 1978 861 0 121 40 0 0 0 0 901 161
 9.500000E+00 0 4 85 0 69 4 0 1 8 1 0 1982 863 0 118 37 0 0 0 0 900 155
 1.000000E+01 0 2 94 0 66 3 0 2 5 1 0 1966 888 0 113 33 0 0 0 0 921 146
 1.050000E+01 0 5 93 0 64 2 0 2 10 0 0 1971 889 0 103 37 0 0 0 0 926 140
 1.100000E+01 0 7 98 0 65 2 0 1 6 1 0 1962 911 0 90 37 0 0 0 0 948 127
 1.150000E+01 0 5 100 0 68 1 0 1 4 3 0 1979 905 0 80 36 0 0 0 0 941 116
 1.200000E+01 0 0 103 0 69 2 0 1 6 1 0 1976 915 0 68 41 0 0 0 0 956 109
 1.250000E+01 0 2 103 0 60 1 0 1 7 1 0 1980 917 0 65 38 0 0 0 0 955 103
 1.300000E+01 0 5 104 0 68 2 0 1 6 2 0 1983 924 0 54 39 0 0 0 0 963 93
 1.350000E+01 0 4 107 0 76 4 0 1 6 0 0 1990 921 0 54 35 0 0 0 0 956 89
 1.400000E+01 0 4 106 0 73 5 0 0 5 1 0 1985 929 0 54 32 0 0 0 0 961 86
 1.450000E+01 0 5 113 0 61 5 0 0 5 2 0 1963 955 0 50 32 0 0 0 0 987 82
 1.500000E+01 0 4 115 0 60 4 0 1 7 0 0 1946 974 0 55 25 0 0 0 0 999 80
 1.550000E+01 0 4 119 0 61 4 0 1 4 2 0 1943 980 0 54 23 0 0 0 0 1003 77
 1.600000E+01 0 3 115 0 68 5 0 0 5 2 0 1943 982 0 50 25 0 0 0 0 1007 75
 1.650000E+01 0 6 122 0 67 6 0 0 6 5 0 1964 958 0 52 26 0 0 0 0 984 78
 1.700000E+01 0 7 127 0 62 10 0 0 7 2 0 1950 974 0 52 24 0 0 0 0 998 76
 1.750000E+01 0 6 124 0 65 9 0 0 0 3 0 1943 978 0 55 24 0 0 0 0 1002 79
 1.800000E+01 0 8 126 0 66 8 0 0 5 0 0 1967 954 0 56 23 0 0 0 0 977 79
 1.850000E+01 0 1 126 0 73 7 0 1 1 2 0 1945 979 0 53 23 0 0 0 0 1002 76
 1.900000E+01 0 3 129 0 62 5 0 0 4 1 0 1910 1016 0 52 22 0 0 0 0 1038 74
 1.950000E+01 0 4 132 0 65 5 0 0 3 2 0 1897 1031 0 48 24 0 0 0 0 1055 72
 2.000000E+01 0 3 131 0 67 5 0 0 3 7 0 1882 1046 0 49 23 0 0 0 0 1069 72
 2.050000E+01 0 3 135 0 55 5 0 0 3 3 0 1869 1060 0 51 20 0 0 0 0 1080 71
 2.100000E+01 0 4 140 0 69 7 0 0 6 4 0 1860 1063 0 52 25 0 0 0 0 1088 77
 2.150000E+01 0 9 144 0 72 7 0 1 4 3 0 1860 1065 0 53 22 0 0 0 0 1087 75
 2.200000E+01 0 4 142 0 65 6 0 0 9 1 0 1861 1064 0 55 20 0 0 0 0 1084 75
 2.250000E+01 0 7 154 0 67 7 0 1 3 4 0 1878 1050 0 55 17 0 0 0 0 1067 72
 2.300000E+01 0 10 156 0 69 8 0 0 3 4 0 1881 1042 0 59 18 0 0 0 0 1060 77
 2.350000E+01 0 5 157 0 52 4 0 0 5 2 0 1886 1039 0 51 24 0 0 0 0 1063 75
 2.400000E+01 0 10 158 0 59 4 0 0 5 4 0 1898 1029 0 45 28 0 0 0 0 1057 73
