# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 1.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 1.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
 2.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1
 2.500000E+00 6 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1
 3.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 1 0
 3.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 1 0 4 3 2 0
 4.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 0 4 2 3 1
 4.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 0 3 2 4 2
 5.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 3 0 3 4 2 3
 5.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 4 1 3 4 7 1
 6.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 5 1 4 8 4 0
 6.500000E+00 5 0 0 0 0 0 0 0 0 1 0 0 6 1 2 7 7 1
 7.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 7 4 5 3 3 5
 7.500000E+00 3 0 0 0 0 0 0 0 0 0 0 0 5 6 4 5 3 5
 8.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 4 8 7 5 3 4
 8.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 5 6 10 4 5 4
 9.000000E+00 7 0 0 0 0 0 0 0 0 0 0 0 2 8 10 1 7 3
 9.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 6 9 8 2 5 4
 1.000000E+01 7 0 0 0 0 0 0 0 0 0 0 0 9 9 5 1 6 4
 1.050000E+01 6 0 0 0 0 0 0 0 0 0 0 0 7 9 8 6 8 5
 1.100000E+01 2 0 0 0 0 0 0 0 0 0 0 0 7 7 6 11 7 9
 1.150000E+01 2 0 0 0 0 0 0 0 0 1 0 0 4 7 4 7 8 9
 1.200000E+01 1 0 0 0 0 0 0 0 0 0 0 0 12 10 9 6 7 6
 1.250000E+01 2 0 0 0 0 0 0 0 0 0 0 0 11 8 9 7 6 7
 1.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 9 4 11 15 8 7
 1.350000E+01 0 0 0 0 0 0 0 0 0 0 0 0 11 6 14 10 11 4
 1.400000E+01 5 0 0 0 0 0 0 0 0 0 0 0 11 10 10 14 7 6
 1.450000E+01 7 0 0 0 0 0 0 0 0 0 0 0 9 7 8 17 8 7
 1.500000E+01 6 0 0 0 0 0 0 0 0 0 0 0 7 6 17 7 13 9
 1.550000E+01 5 0 0 0 0 0 0 0 0 0 0 0 10 11 11 9 9 6
 1.600000E+01 4 0 0 0 0 0 0 0 0 0 0 0 10 14 14 10 7 8
 1.650000E+01 2 0 0 0 0 0 0 0 0 0 0 0 6 14 15 6 11 15
