# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 5 0 75 77 0 0 1 0 0 2828 98 0 74 0 0 0 0 0 98 74
 1.000000E+00 0 1 5 0 87 64 0 0 6 0 0 2679 201 0 113 7 0 0 0 0 208 120
 1.500000E+00 0 1 7 0 71 53 0 0 3 0 0 2543 286 0 156 15 0 0 0 0 301 171
 2.000000E+00 0 2 14 0 70 40 0 0 10 0 0 2448 359 0 168 25 0 0 0 0 384 193
 2.500000E+00 0 1 23 0 71 34 0 0 10 0 0 2369 417 0 181 33 0 0 0 0 450 214
 3.000000E+00 0 1 33 0 69 27 0 0 9 0 0 2307 471 0 182 40 0 0 0 0 511 222
 3.500000E+00 0 2 36 0 69 25 0 0 4 1 0 2240 527 0 193 40 0 0 0 0 567 233
 4.000000E+00 0 4 40 0 72 21 0 0 13 0 0 2215 543 0 194 48 0 0 0 0 591 242
 4.500000E+00 0 3 47 0 78 17 0 0 14 0 0 2183 573 0 187 57 0 0 0 0 630 244
 5.000000E+00 0 5 55 0 71 17 0 0 18 0 0 2151 612 0 174 63 0 0 0 0 675 237
 5.500000E+00 0 6 60 0 64 15 0 0 14 0 0 2135 632 0 170 63 0 0 0 0 695 233
 6.000000E+00 0 2 60 0 76 11 0 0 12 1 0 2096 680 0 160 64 0 0 0 0 744 224
 6.500000E+00 0 6 64 0 67 10 0 0 13 0 0 2051 740 0 154 55 0 0 0 0 795 209
 7.000000E+00 0 2 68 0 59 7 0 0 16 0 0 2039 757 0 155 49 0 0 0 0 806 204
 7.500000E+00 0 1 75 0 67 6 0 0 16 2 0 2026 783 0 145 46 0 0 0 0 829 191
 8.000000E+00 0 5 87 0 73 7 0 0 10 1 0 2020 792 0 136 52 0 0 0 0 844 188
 8.500000E+00 0 4 96 0 72 6 0 0 11 2 0 2025 798 0 127 50 0 0 0 0 848 177
 9.000000E+00 0 4 102 0 72 6 0 0 4 1 0 2022 810 0 117 51 0 0 0 0 861 168
 9.500000E+00 0 4 104 0 71 6 0 0 4 0 0 2003 834 0 121 42 0 0 0 0 876 163
 1.000000E+01 0 1 111 0 63 5 0 0 7 4 0 1979 866 0 107 48 0 0 0 0 914 155
 1.050000E+01 0 8 114 0 71 2 0 0 5 1 0 1982 870 0 103 45 0 0 0 0 915 148
 1.100000E+01 0 6 126 0 61 1 0 0 6 4 0 1985 874 0 98 43 0 0 0 0 917 141
 1.150000E+01 0 3 125 0 67 2 0 0 4 5 0 1968 901 0 89 42 0 0 0 0 943 131
 1.200000E+01 0 5 127 0 65 2 0 0 7 2 0 1966 911 0 82 41 0 0 0 0 952 123
 1.250000E+01 0 5 127 0 69 2 0 0 12 4 0 1956 927 0 84 33 0 0 0 0 960 117
 1.300000E+01 0 5 123 0 70 1 0 0 4 0 0 1958 938 0 73 31 0 0 0 0 969 104
 1.350000E+01 0 1 117 0 67 1 0 0 5 0 0 1944 962 0 61 33 0 0 0 0 995 94
 1.400000E+01 0 5 123 0 73 1 0 0 3 3 0 1914 1000 0 51 35 0 0 0 0 1035 86
 1.450000E+01 0 3 125 0 63 2 0 0 1 2 0 1911 1003 0 48 38 0 0 0 0 1041 86
 1.500000E+01 0 11 123 0 62 3 0 0 7 1 0 1907 1006 0 53 34 0 0 0 0 1040 87
 1.550000E+01 0 6 128 0 68 5 0 0 6 1 0 1902 1015 0 50 33 0 0 0 0 1048 83
 1.600000E+01 0 6 130 0 69 3 0 0 5 2 0 1934 987 0 43 36 0 0 0 0 1023 79
 1.650000E+01 0 3 129 0 68 1 0 0 9 3 0 1933 991 0 40 36 0 0 0 0 1027 76
 1.700000E+01 0 8 131 0 55 4 0 1 5 1 0 1909 1019 0 39 33 0 0 0 0 1052 72
 1.750000E+01 0 3 130 0 58 5 0 1 3 1 0 1912 1018 0 40 30 0 0 0 0 1048 70
 1.800000E+01 0 6 135 0 63 6 0 1 3 2 0 1910 1020 0 39 31 0 0 0 0 1051 70
 1.850000E+01 0 4 137 0 67 7 0 1 5 3 0 1920 1013 0 37 30 0 0 0 0 1043 67
 1.900000E+01 0 5 137 0 64 6 0 0 3 3 0 1924 1007 0 40 29 0 0 0 0 1036 69
 1.950000E+01 0 6 144 0 61 8 0 0 4 4 0 1919 1015 0 39 27 0 0 0 0 1042 66
 2.000000E+01 0 3 145 0 70 6 0 0 6 1 0 1903 1028 0 40 29 0 0 0 0 1057 69
 2.050000E+01 0 4 148 0 61 6 0 0 3 1 0 1915 1021 0 39 25 0 0 0 0 1046 64
 2.100000E+01 0 7 149 0 59 9 0 0 5 6 0 1920 1020 0 38 22 0 0 0 0 1042 60
 2.150000E+01 0 9 155 0 68 8 0 0 5 6 0 1898 1041 0 40 21 0 0 0 0 1062 61
 2.200000E+01 0 5 157 0 55 7 0 0 3 1 0 1882 1056 0 40 22 0 0 0 0 1078 62
 2.250000E+01 0 7 157 0 66 9 0 0 1 7 0 1889 1048 0 37 26 0 0 0 0 1074 63
 2.300000E+01 0 7 155 0 66 12 0 0 7 2 0 1870 1065 0 37 28 0 0 0 0 1093 65
 2.350000E+01 0 4 160 0 62 9 0 0 4 2 0 1863 1063 0 40 34 0 0 0 0 1097 74
 2.400000E+01 0 5 163 0 66 10 0 0 3 4 0 1870 1059 0 43 28 0 0 0 0 1087 71
 2.450000E+01 0 7 167 0 65 11 0 0 1 5 0 1873 1056 0 45 26 0 0 0 0 1082 71
 2.500000E+01 0 5 169 0 56 10 0 0 4 5 0 1868 1058 0 49 25 0 0 0 0 1083 74
 2.550000E+01 0 4 171 0 56 9 0 1 7 1 0 1856 1070 0 48 26 0 0 0 0 1096 74
 2.600000E+01 0 5 170 0 54 7 0 1 6 3 0 1862 1073 0 44 21 0 0 0 0 1094 65
 2.650000E+01 0 5 168 0 59 8 0 1 6 2 0 1872 1064 0 43 21 0 0 0 0 1085 64
 2.700000E+01 0 4 172 0 66 8 0 0 3 6 0 1884 1051 0 43 22 0 0 0 0 1073 65
 2.750000E+01 0 6 170 0 68 8 0 0 5 5 0 1897 1038 0 42 23 0 0 0 0 1061 65
 2.800000E+01 0 7 173 0 61 10 0 0 5 4 0 1909 1018 0 45 28 0 0 0 0 1046 73
 2.850000E+01 0 6 177 0 54 10 0 1 5 4 0 1912 1014 0 50 24 0 0 0 0 1038 74
 2.900000E+01 0 8 174 0 66 11 0 0 8 7 0 1905 1015 0 53 27 0 0 0 0 1042 80
 2.950000E+01 0 9 177 0 62 13 0 0 6 3 0 1910 1000 0 54 36 0 0 0 0 1036 90
 3.000000E+01 0 7 177 0 58 16 0 0 7 4 0 1896 1005 0 61 38 0 0 0 0 1043 99
 3.050000E+01 0 4 176 0 72 11 0 0 6 3 0 1891 1006 0 63 40 0 0 0 0 1046 103
 3.100000E+01 0 6 180 0 61 12 0 0 6 7 0 1883 1015 0 69 33 0 0 0 0 1048 102
 3.150000E+01 0 1 179 0 55 8 0 0 4 5 0 1864 1034 0 71 31 0 0 0 0 1065 102
 3.200000E+01 0 8 186 0 66 10 0 0 9 5 0 1860 1040 0 70 30 0 0 0 0 1070 100
 3.250000E+01 0 6 187 0 65 14 0 1 8 6 0 1875 1029 0 65 31 0 0 0 0 1060 96
 3.300000E+01 0 2 189 0 72 13 0 1 5 3 0 1866 1036 0 67 31 0 0 0 0 1067 98
 3.350000E+01 0 5 191 0 70 9 0 0 5 4 0 1837 1063 0 68 32 0 0 0 0 1095 100
 3.400000E+01 0 3 193 0 67 8 0 0 7 3 0 1840 1062 0 73 25 0 0 0 0 1087 98
 3.450000E+01 0 8 200 0 62 8 0 0 6 5 0 1849 1051 0 70 30 0 0 0 0 1081 100
 3.500000E+01 0 8 200 0 71 6 0 0 6 4 0 1846 1057 0 69 28 0 0 0 0 1085 97
 3.550000E+01 0 3 195 0 60 8 0 0 6 9 0 1827 1079 0 71 23 0 0 0 0 1102 94
 3.600000E+01 0 6 196 0 67 10 0 0 7 4 0 1835 1069 0 71 25 0 0 0 0 1094 96
 3.650000E+01 0 7 199 0 71 7 0 0 6 7 0 1833 1073 0 68 26 0 0 0 0 1099 94
 3.700000E+01 0 4 202 0 66 7 0 0 4 5 0 1851 1058 0 63 28 0 0 0 0 1086 91
 3.750000E+01 0 11 199 0 69 7 0 0 3 6 0 1868 1050 0 54 28 0 0 0 0 1078 82
 3.800000E+01 0 7 195 0 64 6 0 0 5 4 0 1889 1029 0 53 29 0 0 0 0 1058 82
 3.850000E+01 0 6 196 0 62 6 0 0 6 8 0 1889 1035 0 51 25 0 0 0 0 1060 76
 3.900000E+01 0 11 197 0 68 4 0 0 3 2 0 1901 1025 0 49 25 0 0 0 0 1050 74
 3.950000E+01 0 9 195 0 70 4 0 0 3 4 0 1909 1023 0 44 24 0 0 0 0 1047 68
 4.000000E+01 0 9 197 0 70 5 0 0 9 3 0 1909 1024 0 42 25 0 0 0 0 1049 67
 4.050000E+01 0 9 194 0 60 7 0 1 8 3 0 1927 1012 0 35 26 0 0 0 0 1038 61
 4.100000E+01 0 8 200 0 70 8 0 0 3 6 0 1938 1000 0 36 26 0 0 0 0 1026 62
 4.150000E+01 0 9 203 0 62 4 0 0 4 7 0 1931 1006 0 40 23 0 0 0 0 1029 63
 4.200000E+01 0 4 204 0 58 5 0 0 2 7 0 1931 1006 0 38 25 0 0 0 0 1031 63
 4.250000E+01 0 9 209 0 74 5 0 0 7 11 0 1918 1020 0 41 21 0 0 0 0 1041 62
 4.300000E+01 0 3 207 0 61 12 0 0 3 7 0 1924 1017 0 41 18 0 0 0 0 1035 59
 4.350000E+01 0 6 208 0 66 13 0 0 2 2 0 1899 1037 0 45 19 0 0 0 0 1056 64
 4.400000E+01 0 9 215 0 57 17 0 0 5 7 0 1898 1031 0 49 22 0 0 0 0 1053 71
 4.450000E+01 0 6 221 0 62 16 0 1 4 9 0 1902 1018 0 58 22 0 0 0 0 1040 80
 4.500000E+01 0 7 220 0 57 17 0 1 4 9 0 1884 1027 0 67 22 0 0 0 0 1049 89
 4.550000E+01 0 8 213 0 76 15 0 1 4 7 0 1886 1020 0 71 23 0 0 0 0 1043 94
 4.600000E+01 0 6 223 0 57 16 0 1 3 9 0 1909 999 0 59 33 0 0 0 0 1032 92
 4.650000E+01 0 10 222 0 62 18 0 0 2 6 0 1886 1016 0 66 32 0 0 0 0 1048 98
 4.700000E+01 0 8 224 0 57 18 0 0 9 10 0 1877 1024 0 61 38 0 0 0 0 1062 99
 4.750000E+01 0 5 231 0 66 22 0 0 4 8 0 1884 1011 0 65 40 0 0 0 0 1051 105
 4.800000E+01 0 3 231 0 61 20 0 0 10 6 0 1870 1014 0 73 43 0 0 0 0 1057 116
 4.850000E+01 0 5 229 0 71 17 0 0 6 5 0 1860 1012 0 84 44 0 0 0 0 1056 128
 4.900000E+01 0 12 226 0 67 16 0 0 7 4 0 1873 1007 0 83 37 0 0 0 0 1044 120
 4.950000E+01 0 6 224 0 73 17 0 0 6 4 0 1873 1002 0 85 40 0 0 0 0 1042 125
 5.000000E+01 0 7 223 0 65 17 0 0 5 6 0 1861 1005 0 89 45 0 0 0 0 1050 134
 5.050000E+01 0 10 224 0 69 16 0 0 7 8 0 1843 1022 0 92 43 0 0 0 0 1065 135
 5.100000E+01 0 7 225 0 71 15 0 0 11 10 0 1831 1031 0 91 47 0 0 0 0 1078 138
 5.150000E+01 0 9 226 0 60 15 0 1 7 8 0 1832 1031 0 87 50 0 0 0 0 1081 137
 5.200000E+01 0 3 224 0 75 13 0 1 4 9 0 1831 1040 0 79 50 0 0 0 0 1090 129
 5.250000E+01 0 8 223 0 58 16 0 1 8 9 0 1834 1030 0 86 50 0 0 0 0 1080 136
 5.300000E+01 0 9 225 0 65 18 0 0 11 8 0 1829 1028 0 93 50 0 0 0 0 1078 143
 5.350000E+01 0 4 228 0 66 23 0 0 10 15 0 1852 999 0 93 56 0 0 0 0 1055 149
 5.400000E+01 0 11 229 0 54 21 0 0 6 9 0 1830 1006 0 99 65 0 0 0 0 1071 164
 5.450000E+01 0 5 227 0 61 18 0 0 10 7 0 1821 1011 0 103 65 0 0 0 0 1076 168
