# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 7 0 0 74 0 0 0 0 0 0 2882 118 0 0 0 0 0 0 0 118 0
 1.000000E+00 0 3 15 0 0 69 0 0 0 0 0 0 2782 218 0 0 0 0 0 0 0 218 0
 1.500000E+00 0 3 23 0 0 80 0 0 0 0 0 0 2696 304 0 0 0 0 0 0 0 304 0
 2.000000E+00 0 2 28 0 0 73 0 0 0 0 0 0 2611 389 0 0 0 0 0 0 0 389 0
 2.500000E+00 0 3 33 0 0 74 0 0 0 0 0 0 2553 447 0 0 0 0 0 0 0 447 0
 3.000000E+00 0 5 45 0 0 71 0 0 0 0 0 0 2490 510 0 0 0 0 0 0 0 510 0
 3.500000E+00 0 2 50 0 0 69 0 0 0 0 1 0 2436 564 0 0 0 0 0 0 0 564 0
 4.000000E+00 0 2 55 0 0 73 0 0 1 0 0 0 2405 595 0 0 0 0 0 0 0 595 0
 4.500000E+00 0 2 60 0 0 78 0 0 0 0 0 0 2360 640 0 0 0 0 0 0 0 640 0
 5.000000E+00 0 2 64 0 0 77 0 0 0 0 0 0 2303 697 0 0 0 0 0 0 0 697 0
 5.500000E+00 0 3 75 0 0 60 0 0 0 0 0 0 2260 740 0 0 0 0 0 0 0 740 0
 6.000000E+00 0 8 82 0 0 72 0 0 0 0 0 0 2220 780 0 0 0 0 0 0 0 780 0
 6.500000E+00 0 5 87 0 0 71 2 0 0 0 1 0 2203 796 0 1 0 0 0 0 0 796 1
 7.000000E+00 0 6 98 0 0 69 2 0 0 0 1 0 2183 816 0 1 0 0 0 0 0 816 1
 7.500000E+00 0 3 103 0 0 69 3 0 0 0 0 0 2162 834 0 3 1 0 0 0 0 835 4
 8.000000E+00 0 4 108 0 0 69 3 0 0 1 1 0 2142 854 0 3 1 0 0 0 0 855 4
 8.500000E+00 0 5 119 0 0 65 5 0 0 0 6 0 2112 878 0 9 1 0 0 0 0 879 10
 9.000000E+00 0 8 124 0 0 67 4 0 0 0 1 0 2104 884 0 8 4 0 0 0 0 888 12
 9.500000E+00 0 7 131 0 0 74 3 0 0 1 1 0 2106 881 0 5 8 0 0 0 0 889 13
 1.000000E+01 0 1 139 0 0 63 3 0 0 2 3 0 2074 914 0 5 7 0 0 0 0 921 12
 1.050000E+01 0 7 143 0 0 70 3 0 0 2 4 0 2049 939 0 8 4 0 0 0 0 943 12
 1.100000E+01 0 5 147 0 0 74 5 0 0 0 7 0 2034 954 0 10 2 0 0 0 0 956 12
 1.150000E+01 0 5 154 0 0 69 5 0 1 1 7 0 2010 970 0 17 3 0 0 0 0 973 20
 1.200000E+01 0 5 159 0 0 67 3 0 0 2 2 0 2000 978 0 15 7 0 0 0 0 985 22
 1.250000E+01 0 7 161 0 0 59 4 0 0 1 1 0 1976 1001 0 15 8 0 0 0 0 1009 23
 1.300000E+01 0 5 169 0 0 58 6 0 0 4 3 0 1971 1004 0 14 11 0 0 0 0 1015 25
 1.350000E+01 0 3 175 0 0 69 8 0 0 2 4 0 1965 999 0 24 12 0 0 0 0 1011 36
 1.400000E+01 0 6 178 0 0 65 7 0 0 5 4 0 1938 1023 0 28 11 0 0 0 0 1034 39
 1.450000E+01 0 6 182 0 0 53 7 0 0 1 3 0 1923 1038 0 27 12 0 0 0 0 1050 39
 1.500000E+01 0 8 186 0 0 59 8 0 0 3 5 0 1933 1028 0 27 12 0 0 0 0 1040 39
 1.550000E+01 0 10 194 0 0 64 8 0 0 2 4 0 1925 1033 0 28 14 0 0 0 0 1047 42
 1.600000E+01 0 12 204 0 0 54 8 0 0 0 7 0 1928 1028 0 25 19 0 0 0 0 1047 44
 1.650000E+01 0 8 206 0 0 54 9 0 0 2 11 0 1912 1037 0 30 21 0 0 0 0 1058 51
 1.700000E+01 0 9 214 0 0 62 13 1 1 5 7 0 1896 1045 0 34 25 0 0 0 0 1070 59
 1.750000E+01 0 5 217 0 0 75 18 1 0 2 6 0 1898 1042 0 36 24 0 0 0 0 1066 60
 1.800000E+01 0 7 221 0 0 61 17 1 0 4 9 0 1908 1012 0 50 30 0 0 0 0 1042 80
 1.850000E+01 0 3 227 0 0 60 17 0 0 8 9 0 1891 1013 0 67 29 0 0 0 0 1042 96
 1.900000E+01 0 5 239 0 0 60 17 0 0 3 9 0 1885 1004 0 74 37 0 0 0 0 1041 111
 1.950000E+01 0 13 243 0 0 63 15 0 0 11 7 0 1895 986 0 84 35 0 0 0 0 1021 119
 2.000000E+01 0 6 246 0 0 63 15 0 0 3 6 0 1862 1020 0 86 32 0 0 0 0 1052 118
 2.050000E+01 0 8 256 0 0 58 20 0 0 4 12 0 1854 1025 0 86 35 0 0 0 0 1060 121
 2.100000E+01 0 3 267 0 0 66 15 0 0 9 13 0 1864 1020 0 82 34 0 0 0 0 1054 116
 2.150000E+01 0 12 271 0 0 64 17 0 1 9 10 0 1868 1011 0 85 36 0 0 0 0 1047 121
 2.200000E+01 0 7 277 0 0 56 16 0 0 10 14 0 1858 1011 0 92 39 0 0 0 0 1050 131
 2.250000E+01 0 8 290 0 0 59 16 0 0 7 14 0 1846 1016 0 94 44 0 0 0 0 1060 138
 2.300000E+01 0 6 296 0 0 72 20 0 0 6 18 0 1847 1012 0 89 52 0 0 0 0 1064 141
 2.350000E+01 0 9 302 0 0 58 22 1 1 7 14 0 1833 1013 0 97 57 0 0 0 0 1070 154
 2.400000E+01 0 14 304 0 0 67 24 0 0 13 15 0 1858 982 0 96 64 0 0 0 0 1046 160
