# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 4 10 0 0 76 0 0 0 0 0 0 2912 88 0 0 0 0 0 0 0 88 0
 1.000000E+00 0 4 16 0 0 73 0 0 0 0 0 0 2805 195 0 0 0 0 0 0 0 195 0
 1.500000E+00 0 1 19 0 0 70 0 0 0 0 0 0 2720 280 0 0 0 0 0 0 0 280 0
 2.000000E+00 0 4 20 0 0 70 0 0 0 0 0 0 2625 375 0 0 0 0 0 0 0 375 0
 2.500000E+00 0 1 21 0 0 71 0 0 0 0 0 0 2555 445 0 0 0 0 0 0 0 445 0
 3.000000E+00 0 3 25 0 0 76 0 0 0 0 0 0 2515 485 0 0 0 0 0 0 0 485 0
 3.500000E+00 0 5 29 0 0 62 0 0 0 0 0 0 2453 547 0 0 0 0 0 0 0 547 0
 4.000000E+00 0 2 30 0 0 77 0 0 0 0 0 0 2401 599 0 0 0 0 0 0 0 599 0
 4.500000E+00 0 3 31 0 0 66 0 0 0 0 0 0 2354 646 0 0 0 0 0 0 0 646 0
 5.000000E+00 0 6 32 0 0 64 0 0 0 0 0 0 2335 665 0 0 0 0 0 0 0 665 0
 5.500000E+00 0 2 30 0 0 74 0 0 0 0 0 0 2286 714 0 0 0 0 0 0 0 714 0
 6.000000E+00 0 1 35 0 0 66 0 0 0 0 1 0 2241 759 0 0 0 0 0 0 0 759 0
 6.500000E+00 0 2 36 0 0 64 0 0 0 0 0 0 2206 794 0 0 0 0 0 0 0 794 0
 7.000000E+00 0 3 39 0 0 67 0 0 0 0 0 0 2173 827 0 0 0 0 0 0 0 827 0
 7.500000E+00 0 2 40 0 0 58 0 0 0 0 0 0 2154 846 0 0 0 0 0 0 0 846 0
 8.000000E+00 0 5 39 0 0 70 0 0 0 0 0 0 2129 871 0 0 0 0 0 0 0 871 0
 8.500000E+00 0 2 44 0 0 73 0 0 0 0 0 0 2115 885 0 0 0 0 0 0 0 885 0
 9.000000E+00 0 6 48 0 0 68 0 0 0 0 2 0 2100 900 0 0 0 0 0 0 0 900 0
 9.500000E+00 0 4 54 0 0 65 0 0 0 0 0 0 2076 924 0 0 0 0 0 0 0 924 0
 1.000000E+01 0 5 55 0 0 67 0 0 0 0 0 0 2062 938 0 0 0 0 0 0 0 938 0
 1.050000E+01 0 2 58 0 0 55 0 0 0 0 0 0 2048 952 0 0 0 0 0 0 0 952 0
 1.100000E+01 0 2 62 0 0 68 0 0 0 0 1 0 2047 953 0 0 0 0 0 0 0 953 0
 1.150000E+01 0 3 61 0 0 72 0 0 0 0 0 0 2045 955 0 0 0 0 0 0 0 955 0
 1.200000E+01 0 3 67 0 0 71 0 0 0 0 0 0 2064 936 0 0 0 0 0 0 0 936 0
 1.250000E+01 0 3 70 0 0 71 2 0 1 0 3 0 2042 958 0 0 0 0 0 0 0 958 0
 1.300000E+01 0 4 71 0 0 69 1 0 1 0 2 0 2056 943 0 1 0 0 0 0 0 943 1
 1.350000E+01 0 5 75 0 0 59 1 0 0 0 2 0 2036 963 0 1 0 0 0 0 0 963 1
 1.400000E+01 0 3 73 0 0 71 1 0 0 0 0 0 2029 968 0 3 0 0 0 0 0 968 3
 1.450000E+01 0 5 75 0 0 59 2 0 0 0 1 0 2012 985 0 3 0 0 0 0 0 985 3
 1.500000E+01 0 3 81 0 0 62 2 0 0 1 1 0 1999 998 0 3 0 0 0 0 0 998 3
 1.550000E+01 0 3 89 0 0 77 2 0 0 0 1 0 1990 1006 0 4 0 0 0 0 0 1006 4
 1.600000E+01 0 3 97 0 0 85 2 0 0 1 1 0 2001 993 0 5 1 0 0 0 0 994 6
