# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 7 0 82 81 0 0 5 0 0 2822 92 0 83 3 0 0 0 0 95 86
 1.000000E+00 0 3 13 0 83 70 0 0 11 0 0 2656 187 0 139 18 0 0 0 0 205 157
 1.500000E+00 0 2 18 0 80 58 0 0 18 0 0 2521 271 0 185 23 0 0 0 0 294 208
 2.000000E+00 0 5 21 0 79 45 0 0 16 0 0 2398 341 0 224 37 0 0 0 0 378 261
 2.500000E+00 0 1 26 0 75 32 0 1 14 0 0 2306 402 0 242 50 0 0 0 0 452 292
 3.000000E+00 0 2 32 0 67 28 0 0 16 0 0 2218 462 0 264 56 0 0 0 0 518 320
 3.500000E+00 0 1 41 0 71 21 0 0 22 2 0 2155 495 0 287 63 0 0 0 0 558 350
 4.000000E+00 0 4 40 0 82 15 0 0 21 0 0 2087 545 0 296 72 0 0 0 0 617 368
 4.500000E+00 0 2 42 0 65 11 0 0 21 0 0 2028 594 0 300 78 0 0 0 0 672 378
 5.000000E+00 0 4 48 0 78 10 0 0 22 0 0 1982 623 0 311 84 0 0 0 0 707 395
 5.500000E+00 0 3 57 0 70 7 0 0 19 0 0 1941 652 0 316 91 0 0 0 0 743 407
 6.000000E+00 0 1 63 0 73 6 0 0 19 0 0 1901 687 0 317 95 0 0 0 0 782 412
 6.500000E+00 0 3 61 0 62 5 0 0 32 1 0 1885 701 0 308 106 0 0 0 0 807 414
 7.000000E+00 0 6 68 0 75 4 0 0 26 1 0 1878 702 0 303 117 0 0 0 0 819 420
 7.500000E+00 0 0 72 0 67 4 0 0 22 0 0 1873 706 0 305 116 0 0 0 0 822 421
 8.000000E+00 0 6 74 0 67 3 0 0 27 0 0 1829 745 0 300 126 0 0 0 0 871 426
 8.500000E+00 0 9 77 0 64 1 0 0 18 1 0 1809 763 0 301 127 0 0 0 0 890 428
 9.000000E+00 0 4 82 0 63 1 0 0 27 2 0 1796 776 0 298 130 0 0 0 0 906 428
 9.500000E+00 0 5 87 0 60 2 0 0 22 1 0 1790 778 0 302 130 0 0 0 0 908 432
 1.000000E+01 0 4 86 0 70 2 0 0 24 1 0 1778 789 0 301 132 0 0 0 0 921 433
 1.050000E+01 0 7 91 0 64 3 0 0 27 0 0 1758 808 0 297 137 0 0 0 0 945 434
 1.100000E+01 0 0 96 0 72 3 0 0 24 0 0 1763 801 0 295 141 0 0 0 0 942 436
 1.150000E+01 0 3 99 0 63 3 0 0 22 1 0 1757 804 0 301 138 0 0 0 0 942 439
 1.200000E+01 0 3 101 0 55 3 0 0 28 2 0 1755 804 0 311 130 0 0 0 0 934 441
 1.250000E+01 0 3 101 0 68 3 0 0 17 3 0 1733 823 0 314 130 0 0 0 0 953 444
 1.300000E+01 0 2 105 0 72 2 0 1 21 3 0 1729 824 0 316 131 0 0 0 0 955 447
 1.350000E+01 0 3 105 0 67 2 0 0 27 3 0 1711 841 0 314 134 0 0 0 0 975 448
 1.400000E+01 0 6 106 0 63 2 0 0 19 1 0 1700 851 0 311 138 0 0 0 0 989 449
 1.450000E+01 0 6 110 0 57 3 0 0 23 1 0 1696 851 0 310 143 0 0 0 0 994 453
 1.500000E+01 0 2 114 0 59 4 0 0 24 2 0 1687 856 0 310 147 0 0 0 0 1003 457
 1.550000E+01 0 1 121 0 73 4 0 0 21 0 0 1687 854 0 300 159 0 0 0 0 1013 459
 1.600000E+01 0 5 123 0 64 3 0 0 21 2 0 1670 870 0 300 160 0 0 0 0 1030 460
 1.650000E+01 0 6 131 0 66 4 0 1 23 4 0 1681 857 0 302 160 0 0 0 0 1017 462
 1.700000E+01 0 5 135 0 64 4 0 2 24 4 0 1665 871 0 311 153 0 0 0 0 1024 464
 1.750000E+01 0 5 141 0 64 4 0 2 20 3 0 1660 872 0 309 159 0 0 0 0 1031 468
 1.800000E+01 0 5 143 0 65 3 0 0 18 4 0 1681 850 0 301 168 0 0 0 0 1018 469
 1.850000E+01 0 3 147 0 64 2 0 0 26 1 0 1673 856 0 303 168 0 0 0 0 1024 471
 1.900000E+01 0 4 140 0 69 3 0 0 26 3 0 1661 866 0 299 174 0 0 0 0 1040 473
 1.950000E+01 0 3 145 0 63 3 0 0 23 4 0 1656 869 0 295 180 0 0 0 0 1049 475
 2.000000E+01 0 5 143 0 67 4 0 0 22 2 0 1657 865 0 294 184 0 0 0 0 1049 478
 2.050000E+01 0 6 146 0 60 5 0 0 30 2 0 1651 866 0 299 184 0 0 0 0 1050 483
 2.100000E+01 0 4 148 0 66 6 0 0 31 3 0 1639 873 0 310 178 0 0 0 0 1051 488
 2.150000E+01 0 6 156 0 70 5 0 0 22 4 0 1645 865 0 313 177 0 0 0 0 1042 490
 2.200000E+01 0 3 155 0 62 3 0 0 30 3 0 1639 871 0 308 182 0 0 0 0 1053 490
 2.250000E+01 0 7 157 0 73 5 0 0 22 2 0 1636 870 0 319 175 0 0 0 0 1045 494
 2.300000E+01 0 6 163 0 66 6 0 1 26 4 0 1617 884 0 316 183 0 0 0 0 1067 499
 2.350000E+01 0 6 163 0 52 6 0 1 28 3 0 1613 885 0 325 177 0 0 0 0 1062 502
 2.400000E+01 0 5 166 0 59 6 0 1 26 3 0 1619 875 0 327 179 0 0 0 0 1054 506
 2.450000E+01 0 4 171 0 65 7 0 1 24 8 0 1627 861 0 328 184 0 0 0 0 1045 512
 2.500000E+01 0 8 171 0 80 10 0 1 28 5 0 1612 872 0 335 181 0 0 0 0 1053 516
 2.550000E+01 0 5 179 0 58 11 0 0 26 0 0 1602 876 0 337 185 0 0 0 0 1061 522
 2.600000E+01 0 3 176 0 60 9 0 1 24 6 0 1579 890 0 343 188 0 0 0 0 1078 531
 2.650000E+01 0 9 176 0 73 10 0 1 23 3 0 1572 889 0 348 191 0 0 0 0 1080 539
 2.700000E+01 0 7 177 0 66 11 0 0 32 6 0 1577 878 0 348 197 0 0 0 0 1075 545
 2.750000E+01 0 4 185 0 68 10 0 1 35 3 0 1605 846 0 355 194 0 0 0 0 1040 549
 2.800000E+01 0 6 186 0 73 6 0 0 34 6 0 1595 848 0 356 201 0 0 0 0 1049 557
 2.850000E+01 0 4 186 0 58 3 0 0 31 5 0 1590 848 0 368 194 0 0 0 0 1042 562
 2.900000E+01 0 6 186 0 75 5 0 0 21 5 0 1578 857 0 360 205 0 0 0 0 1062 565
 2.950000E+01 0 3 187 0 58 5 0 0 25 3 0 1568 864 0 367 201 0 0 0 0 1065 568
 3.000000E+01 0 5 189 0 64 5 0 0 28 6 0 1572 856 0 371 201 0 0 0 0 1057 572
 3.050000E+01 0 9 197 0 68 6 0 0 30 2 0 1576 849 0 385 190 0 0 0 0 1039 575
 3.100000E+01 0 8 200 0 72 5 0 0 31 2 0 1585 836 0 382 197 0 0 0 0 1033 579
 3.150000E+01 0 5 198 0 64 5 0 1 27 8 0 1577 837 0 390 196 0 0 0 0 1033 586
 3.200000E+01 0 5 196 0 68 5 0 1 21 4 0 1565 841 0 399 195 0 0 0 0 1036 594
 3.250000E+01 0 5 197 0 54 8 0 0 29 6 0 1565 836 0 408 191 0 0 0 0 1027 599
 3.300000E+01 0 5 201 0 70 6 0 0 32 7 0 1573 823 0 401 203 0 0 0 0 1026 604
 3.350000E+01 0 7 205 0 56 6 0 0 24 10 0 1559 834 0 403 204 0 0 0 0 1038 607
 3.400000E+01 0 6 208 0 70 8 0 0 33 10 0 1554 828 0 409 209 0 0 0 0 1037 618
 3.450000E+01 0 7 214 0 68 10 0 1 29 8 0 1571 804 0 406 219 0 0 0 0 1023 625
 3.500000E+01 0 4 216 0 72 12 0 0 30 10 0 1551 816 0 420 213 0 0 0 0 1029 633
 3.550000E+01 0 7 221 0 64 12 0 0 38 9 0 1544 813 0 422 221 0 0 0 0 1034 643
 3.600000E+01 0 8 222 0 67 13 0 0 33 13 0 1568 785 0 431 216 0 0 0 0 1001 647
 3.650000E+01 0 12 228 0 60 17 0 0 32 11 0 1556 786 0 442 216 0 0 0 0 1002 658
 3.700000E+01 0 7 229 0 68 18 0 0 29 8 0 1519 803 0 458 220 0 0 0 0 1023 678
 3.750000E+01 0 10 230 0 70 15 0 0 38 7 0 1507 796 0 470 227 0 0 0 0 1023 697
 3.800000E+01 0 4 232 0 71 15 0 0 37 14 0 1512 779 0 475 234 0 0 0 0 1013 709
 3.850000E+01 0 10 234 0 66 14 0 0 36 6 0 1520 760 0 479 241 0 0 0 0 1001 720
 3.900000E+01 0 10 236 0 73 16 0 0 34 14 0 1500 770 0 488 242 0 0 0 0 1012 730
 3.950000E+01 0 10 236 0 73 15 0 0 30 10 0 1490 768 0 502 240 0 0 0 0 1008 742
 4.000000E+01 0 8 236 0 63 15 0 0 37 9 0 1494 751 0 505 250 0 0 0 0 1001 755
 4.050000E+01 0 5 227 0 66 20 0 0 34 10 0 1469 757 0 517 257 0 0 0 0 1014 774
 4.100000E+01 0 5 229 0 71 20 0 0 28 13 0 1454 754 0 520 272 0 0 0 0 1026 792
 4.150000E+01 0 6 230 0 61 18 0 0 34 6 0 1446 742 0 520 292 0 0 0 0 1034 812
 4.200000E+01 0 6 228 0 69 17 0 0 36 11 0 1437 741 0 528 294 0 0 0 0 1035 822
 4.250000E+01 0 4 232 0 54 17 0 0 29 11 0 1431 735 0 539 295 0 0 0 0 1030 834
 4.300000E+01 0 7 235 0 74 17 0 0 32 11 0 1441 719 0 541 299 0 0 0 0 1018 840
 4.350000E+01 0 9 239 0 61 17 0 0 40 15 0 1422 726 0 553 299 0 0 0 0 1025 852
 4.400000E+01 0 7 241 0 69 14 0 0 39 9 0 1411 726 0 558 305 0 0 0 0 1031 863
 4.450000E+01 0 7 249 0 69 19 0 0 30 14 0 1391 733 0 583 293 0 0 0 0 1026 876
 4.500000E+01 0 5 249 0 64 18 0 0 31 10 0 1387 723 0 588 302 0 0 0 0 1025 890
 4.550000E+01 0 12 248 0 70 16 0 0 44 6 0 1368 728 0 588 316 0 0 0 0 1044 904
 4.600000E+01 0 2 238 0 60 15 0 0 44 9 0 1349 723 0 594 334 0 0 0 0 1057 928
 4.650000E+01 0 5 245 0 65 19 0 0 34 8 0 1334 729 0 590 347 0 0 0 0 1076 937
 4.700000E+01 0 4 246 0 67 15 0 0 43 13 0 1329 725 0 593 353 0 0 0 0 1078 946
 4.750000E+01 0 7 243 0 72 17 0 0 43 11 0 1313 723 0 605 359 0 0 0 0 1082 964
 4.800000E+01 0 9 239 0 63 18 0 0 41 9 0 1278 740 0 603 379 0 0 0 0 1119 982
 4.850000E+01 0 6 234 0 71 16 0 0 37 6 0 1266 741 0 614 379 0 0 0 0 1120 993
 4.900000E+01 0 8 236 0 55 17 0 0 47 12 0 1245 753 0 618 384 0 0 0 0 1137 1002
 4.950000E+01 0 9 241 0 66 12 0 0 40 8 0 1237 749 0 637 377 0 0 0 0 1126 1014
 5.000000E+01 0 8 240 0 63 12 0 0 30 13 0 1222 757 0 643 378 0 0 0 0 1135 1021
 5.050000E+01 0 10 244 0 67 14 0 2 35 9 0 1236 736 0 643 385 0 0 0 0 1121 1028
 5.100000E+01 0 8 247 0 68 14 0 1 45 13 0 1223 734 0 655 388 0 0 0 0 1122 1043
 5.150000E+01 0 8 246 0 54 13 0 2 34 9 0 1217 730 0 654 399 0 0 0 0 1129 1053
 5.200000E+01 0 6 246 0 67 12 0 2 31 9 0 1212 723 0 664 401 0 0 0 0 1124 1065
 5.250000E+01 0 9 253 0 63 11 0 2 38 10 0 1196 731 0 673 400 0 0 0 0 1131 1073
 5.300000E+01 0 8 260 0 57 11 0 2 39 13 0 1189 733 0 690 388 0 0 0 0 1121 1078
 5.350000E+01 0 11 254 0 71 12 0 1 42 11 0 1199 713 0 695 393 0 0 0 0 1106 1088
 5.400000E+01 0 6 254 0 67 11 0 0 37 11 0 1191 717 0 702 390 0 0 0 0 1107 1092
 5.450000E+01 0 8 252 0 71 10 0 0 37 11 0 1195 707 0 701 397 0 0 0 0 1104 1098
 5.500000E+01 0 2 254 0 70 8 0 0 47 9 0 1187 707 0 713 393 0 0 0 0 1100 1106
 5.550000E+01 0 10 254 0 67 10 0 0 42 11 0 1191 693 0 721 395 0 0 0 0 1088 1116
 5.600000E+01 0 9 255 0 56 12 0 0 48 18 0 1180 700 0 708 412 0 0 0 0 1112 1120
 5.650000E+01 0 3 251 0 62 8 0 0 40 9 0 1186 690 0 701 423 0 0 0 0 1113 1124
 5.700000E+01 0 8 254 0 54 6 0 0 44 13 0 1174 699 0 708 419 0 0 0 0 1118 1127
 5.750000E+01 0 11 247 0 64 5 0 0 33 11 0 1182 690 0 719 409 0 0 0 0 1099 1128
 5.800000E+01 0 8 257 0 67 12 0 1 44 15 0 1193 677 0 715 415 0 0 0 0 1092 1130
 5.850000E+01 0 5 258 0 68 14 0 1 45 13 0 1197 665 0 719 419 0 0 0 0 1084 1138
 5.900000E+01 0 7 258 0 71 14 0 1 43 9 0 1191 660 0 725 424 0 0 0 0 1084 1149
 5.950000E+01 0 12 265 0 69 12 0 1 44 14 0 1185 652 0 744 419 0 0 0 0 1071 1163
 6.000000E+01 0 9 259 0 64 11 0 0 42 13 0 1175 651 0 750 424 0 0 0 0 1075 1174
 6.050000E+01 0 11 259 0 64 13 0 0 39 13 0 1152 666 0 758 424 0 0 0 0 1090 1182
 6.100000E+01 0 10 262 0 59 16 0 0 42 17 0 1138 667 0 756 439 0 0 0 0 1106 1195
 6.150000E+01 0 16 272 0 68 18 0 0 45 15 0 1143 652 0 752 453 0 0 0 0 1105 1205
 6.200000E+01 0 6 272 0 73 19 0 0 46 14 0 1134 648 0 759 459 0 0 0 0 1107 1218
 6.250000E+01 0 6 266 0 58 23 0 0 44 15 0 1122 646 0 783 449 0 0 0 0 1095 1232
 6.300000E+01 0 13 263 0 61 18 0 0 43 16 0 1112 646 0 783 459 0 0 0 0 1105 1242
 6.350000E+01 0 7 261 0 68 14 0 0 45 14 0 1105 644 0 795 456 0 0 0 0 1100 1251
 6.400000E+01 0 9 259 0 62 15 0 0 48 9 0 1114 622 0 799 465 0 0 0 0 1087 1264
 6.450000E+01 0 9 257 0 59 14 0 0 49 9 0 1092 630 0 814 464 0 0 0 0 1094 1278
 6.500000E+01 0 9 255 0 54 14 0 0 53 13 0 1086 626 0 819 469 0 0 0 0 1095 1288
 6.550000E+01 0 4 244 0 65 13 0 0 41 9 0 1078 622 0 826 474 0 0 0 0 1096 1300
 6.600000E+01 0 13 245 0 69 11 0 0 46 13 0 1083 613 0 824 480 0 0 0 0 1093 1304
 6.650000E+01 0 8 243 0 67 9 0 1 41 8 0 1072 613 0 810 505 0 0 0 0 1118 1315
 6.700000E+01 0 10 241 0 71 9 0 1 48 14 0 1063 614 0 821 502 0 0 0 0 1116 1323
 6.750000E+01 0 5 240 0 75 8 0 1 46 10 0 1063 606 0 826 505 0 0 0 0 1111 1331
 6.800000E+01 0 2 238 0 65 9 0 0 49 7 0 1059 601 0 836 504 0 0 0 0 1105 1340
 6.850000E+01 0 5 237 0 68 8 0 0 46 13 0 1050 607 0 839 504 0 0 0 0 1111 1343
 6.900000E+01 0 14 234 0 59 8 0 0 47 11 0 1052 600 0 844 504 0 0 0 0 1104 1348
 6.950000E+01 0 4 232 0 55 9 0 0 43 12 0 1046 602 0 828 524 0 0 0 0 1126 1352
 7.000000E+01 0 11 232 0 52 10 0 1 46 6 0 1060 583 0 833 524 0 0 0 0 1107 1357
 7.050000E+01 0 6 235 0 67 12 0 1 37 8 0 1040 595 0 859 506 0 0 0 0 1101 1365
 7.100000E+01 0 8 234 0 52 12 0 0 54 15 0 1037 590 0 862 511 0 0 0 0 1101 1373
 7.150000E+01 0 8 234 0 62 10 0 0 46 7 0 1036 584 0 873 507 0 0 0 0 1091 1380
 7.200000E+01 0 11 234 0 74 12 0 1 52 5 0 1021 588 0 890 501 0 0 0 0 1089 1391
 7.250000E+01 0 6 233 0 62 13 0 1 50 10 0 1016 579 0 889 516 0 0 0 0 1095 1405
 7.300000E+01 0 7 239 0 61 15 0 2 51 11 0 1032 555 0 910 503 0 0 0 0 1058 1413
 7.350000E+01 0 7 238 0 57 15 0 1 48 7 0 1031 539 0 911 519 0 0 0 0 1058 1430
