# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 8 0 73 88 0 0 6 0 0 2827 91 0 81 1 0 0 0 0 92 82
 1.000000E+00 0 1 13 0 70 75 0 0 13 0 0 2640 201 0 151 8 0 0 0 0 209 159
 1.500000E+00 0 3 17 0 77 61 0 0 23 0 0 2501 280 0 202 17 0 0 0 0 297 219
 2.000000E+00 0 1 19 0 71 54 0 0 11 0 0 2396 344 0 227 33 0 0 0 0 377 260
 2.500000E+00 0 1 23 0 80 42 0 0 15 0 0 2301 393 0 253 53 0 0 0 0 446 306
 3.000000E+00 0 0 30 0 72 29 0 0 21 0 0 2197 471 0 274 58 0 0 0 0 529 332
 3.500000E+00 0 3 39 0 66 25 0 0 24 0 0 2122 521 0 294 63 0 0 0 0 584 357
 4.000000E+00 0 2 42 0 74 21 0 0 20 0 0 2069 558 0 304 69 0 0 0 0 627 373
 4.500000E+00 0 2 48 0 69 15 0 0 20 0 0 2022 590 0 311 77 0 0 0 0 667 388
 5.000000E+00 0 3 49 0 70 13 0 0 18 0 0 1980 615 0 320 85 0 0 0 0 700 405
 5.500000E+00 0 6 56 0 68 8 0 0 23 1 0 1949 631 0 330 90 0 0 0 0 721 420
 6.000000E+00 0 6 60 0 59 8 0 0 24 0 0 1909 667 0 326 98 0 0 0 0 765 424
 6.500000E+00 0 2 68 0 66 7 0 0 23 1 0 1909 654 0 327 110 0 0 0 0 764 437
 7.000000E+00 0 6 73 0 73 6 0 1 23 1 0 1898 660 0 324 118 0 0 0 0 778 442
 7.500000E+00 0 3 80 0 67 5 0 1 18 1 0 1864 689 0 325 122 0 0 0 0 811 447
 8.000000E+00 0 5 90 0 67 3 0 1 28 1 0 1823 727 0 322 128 0 0 0 0 855 450
 8.500000E+00 0 2 92 0 64 2 0 2 25 3 0 1804 745 0 317 134 0 0 0 0 879 451
 9.000000E+00 0 6 93 0 65 3 0 1 22 2 0 1784 764 0 321 131 0 0 0 0 895 452
 9.500000E+00 0 5 98 0 67 3 0 1 30 0 0 1779 769 0 322 130 0 0 0 0 899 452
 1.000000E+01 0 6 104 0 64 1 0 0 22 2 0 1767 779 0 324 130 0 0 0 0 909 454
 1.050000E+01 0 8 114 0 71 1 0 0 20 2 0 1732 814 0 315 139 0 0 0 0 953 454
 1.100000E+01 0 3 121 0 63 1 0 0 30 1 0 1715 828 0 321 136 0 0 0 0 964 457
 1.150000E+01 0 11 131 0 68 3 0 0 25 2 0 1700 843 0 316 141 0 0 0 0 984 457
 1.200000E+01 0 6 136 0 64 4 0 0 24 0 0 1722 820 0 302 156 0 0 0 0 976 458
 1.250000E+01 0 9 145 0 58 5 0 0 29 5 0 1746 793 0 300 161 0 0 0 0 954 461
 1.300000E+01 0 6 147 0 71 4 0 1 22 2 0 1744 793 0 291 172 0 0 0 0 965 463
 1.350000E+01 0 6 147 0 65 6 0 1 24 4 0 1736 798 0 296 170 0 0 0 0 968 466
 1.400000E+01 0 8 147 0 62 6 0 1 35 2 0 1725 803 0 287 185 0 0 0 0 988 472
 1.450000E+01 0 1 147 0 75 5 0 0 24 2 0 1715 809 0 293 183 0 0 0 0 992 476
 1.500000E+01 0 3 149 0 69 4 0 0 23 4 0 1705 813 0 299 183 0 0 0 0 996 482
 1.550000E+01 0 8 148 0 75 3 0 0 29 3 0 1726 792 0 305 177 0 0 0 0 969 482
 1.600000E+01 0 9 147 0 67 3 0 0 31 2 0 1719 798 0 303 180 0 0 0 0 978 483
 1.650000E+01 0 1 149 0 58 4 0 0 35 2 0 1706 808 0 296 190 0 0 0 0 998 486
 1.700000E+01 0 6 147 0 64 6 0 1 24 3 0 1694 816 0 303 187 0 0 0 0 1003 490
 1.750000E+01 0 4 151 0 57 5 0 1 26 5 0 1691 816 0 310 183 0 0 0 0 999 493
 1.800000E+01 0 5 150 0 77 5 0 1 28 2 0 1689 812 0 322 177 0 0 0 0 989 499
 1.850000E+01 0 4 157 0 76 6 0 1 21 3 0 1681 815 0 334 170 0 0 0 0 985 504
 1.900000E+01 0 4 162 0 65 6 0 0 25 4 0 1678 810 0 339 173 0 0 0 0 983 512
 1.950000E+01 0 7 164 0 65 7 0 1 29 6 0 1641 840 0 352 167 0 0 0 0 1007 519
 2.000000E+01 0 4 162 0 69 9 0 0 23 4 0 1629 845 0 359 167 0 0 0 0 1012 526
 2.050000E+01 0 5 161 0 71 10 0 0 28 6 0 1615 854 0 362 169 0 0 0 0 1023 531
 2.100000E+01 0 4 168 0 70 12 0 0 29 9 0 1639 824 0 362 175 0 0 0 0 999 537
 2.150000E+01 0 10 172 0 65 11 0 0 30 6 0 1624 830 0 364 182 0 0 0 0 1012 546
 2.200000E+01 0 7 173 0 68 10 0 0 20 3 0 1610 840 0 360 190 0 0 0 0 1030 550
 2.250000E+01 0 3 173 0 57 9 0 0 34 6 0 1619 824 0 365 192 0 0 0 0 1016 557
 2.300000E+01 0 4 178 0 68 10 0 0 33 4 0 1608 824 0 369 199 0 0 0 0 1023 568
 2.350000E+01 0 5 179 0 69 13 0 0 24 6 0 1594 833 0 373 200 0 0 0 0 1033 573
 2.400000E+01 0 5 179 0 61 11 0 0 27 4 0 1590 832 0 379 199 0 0 0 0 1031 578
 2.450000E+01 0 4 188 0 62 10 0 0 27 5 0 1579 839 0 397 185 0 0 0 0 1024 582
 2.500000E+01 0 7 193 0 65 10 0 0 35 5 0 1564 845 0 403 188 0 0 0 0 1033 591
 2.550000E+01 0 10 194 0 67 13 0 0 31 3 0 1574 831 0 404 191 0 0 0 0 1022 595
 2.600000E+01 0 2 196 0 69 15 0 0 28 6 0 1554 839 0 412 195 0 0 0 0 1034 607
 2.650000E+01 0 4 192 0 64 17 0 0 33 7 0 1572 809 0 416 203 0 0 0 0 1012 619
 2.700000E+01 0 5 197 0 71 21 0 0 33 11 0 1557 807 0 428 208 0 0 0 0 1015 636
 2.750000E+01 0 7 198 0 49 16 0 1 30 7 0 1538 817 0 424 221 0 0 0 0 1038 645
 2.800000E+01 0 8 192 0 77 13 0 0 35 6 0 1542 811 0 426 221 0 0 0 0 1032 647
 2.850000E+01 0 3 191 0 64 10 0 0 26 4 0 1543 799 0 427 231 0 0 0 0 1030 658
 2.900000E+01 0 11 193 0 66 12 0 0 28 7 0 1546 789 0 437 228 0 0 0 0 1017 665
 2.950000E+01 0 3 199 0 75 12 0 0 27 3 0 1535 790 0 442 233 0 0 0 0 1023 675
 3.000000E+01 0 6 200 0 64 10 0 0 30 4 0 1537 775 0 448 240 0 0 0 0 1015 688
 3.050000E+01 0 7 203 0 59 9 0 0 29 2 0 1530 776 0 455 239 0 0 0 0 1015 694
 3.100000E+01 0 8 200 0 66 9 0 0 31 9 0 1536 762 0 451 251 0 0 0 0 1013 702
 3.150000E+01 0 5 207 0 62 9 0 0 30 5 0 1540 749 0 455 256 0 0 0 0 1005 711
 3.200000E+01 0 7 206 0 63 6 0 1 39 4 0 1523 755 0 458 264 0 0 0 0 1019 722
 3.250000E+01 0 4 203 0 56 6 0 1 36 6 0 1531 743 0 448 278 0 0 0 0 1021 726
 3.300000E+01 0 4 204 0 64 6 0 2 29 5 0 1500 771 0 463 266 0 0 0 0 1037 729
 3.350000E+01 0 3 208 0 71 7 0 1 35 5 0 1493 776 0 470 261 0 0 0 0 1037 731
 3.400000E+01 0 12 211 0 54 8 0 1 31 5 0 1473 789 0 478 260 0 0 0 0 1049 738
 3.450000E+01 0 8 210 0 65 5 0 2 31 9 0 1478 778 0 476 268 0 0 0 0 1046 744
 3.500000E+01 0 6 210 0 70 5 0 2 33 10 0 1491 764 0 473 272 0 0 0 0 1036 745
 3.550000E+01 0 2 209 0 70 6 0 1 30 8 0 1462 787 0 482 269 0 0 0 0 1056 751
 3.600000E+01 0 9 212 0 71 7 0 1 29 7 0 1455 785 0 494 266 0 0 0 0 1051 760
 3.650000E+01 0 14 216 0 57 10 0 0 35 11 0 1440 797 0 496 267 0 0 0 0 1064 763
 3.700000E+01 0 9 218 0 66 11 0 1 33 9 0 1442 783 0 504 271 0 0 0 0 1054 775
 3.750000E+01 0 6 218 0 61 12 0 0 40 11 0 1406 813 0 511 270 0 0 0 0 1083 781
 3.800000E+01 0 14 220 0 63 15 0 2 33 6 0 1403 808 0 518 271 0 0 0 0 1079 789
 3.850000E+01 0 9 232 0 70 14 0 1 31 10 0 1396 800 0 533 271 0 0 0 0 1071 804
 3.900000E+01 0 8 239 0 67 15 0 1 38 12 0 1370 812 0 532 286 0 0 0 0 1098 818
 3.950000E+01 0 11 242 0 64 17 0 1 34 10 0 1395 773 0 541 291 0 0 0 0 1064 832
 4.000000E+01 0 6 245 0 69 13 0 1 48 9 0 1375 782 0 554 289 0 0 0 0 1071 843
 4.050000E+01 0 6 243 0 51 17 0 1 37 9 0 1368 782 0 556 294 0 0 0 0 1076 850
 4.100000E+01 0 12 248 0 62 19 0 0 35 11 0 1358 775 0 581 286 0 0 0 0 1061 867
 4.150000E+01 0 7 251 0 65 20 0 0 44 9 0 1356 765 0 588 291 0 0 0 0 1056 879
 4.200000E+01 0 9 251 0 60 23 0 0 39 8 0 1346 759 0 592 303 0 0 0 0 1062 895
 4.250000E+01 0 12 242 0 69 17 0 0 43 8 0 1343 746 0 605 306 0 0 0 0 1052 911
 4.300000E+01 0 7 241 0 68 19 0 0 36 10 0 1333 734 0 626 307 0 0 0 0 1041 933
 4.350000E+01 0 12 240 0 76 19 0 0 40 11 0 1342 711 0 639 308 0 0 0 0 1019 947
 4.400000E+01 0 9 237 0 63 17 0 0 43 10 0 1338 695 0 639 328 0 0 0 0 1023 967
 4.450000E+01 0 8 234 0 71 17 0 0 47 9 0 1338 682 0 647 333 0 0 0 0 1015 980
 4.500000E+01 0 10 230 0 62 15 0 0 43 8 0 1315 697 0 650 338 0 0 0 0 1035 988
 4.550000E+01 0 4 226 0 66 13 0 0 48 6 0 1316 686 0 662 336 0 0 0 0 1022 998
 4.600000E+01 0 10 230 0 71 15 0 0 34 6 0 1301 692 0 667 340 0 0 0 0 1032 1007
 4.650000E+01 0 5 229 0 64 15 0 0 38 7 0 1270 711 0 682 337 0 0 0 0 1048 1019
 4.700000E+01 0 8 228 0 63 16 0 0 32 9 0 1262 704 0 684 350 0 0 0 0 1054 1034
