# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 3 0 71 80 0 0 2 0 0 2826 111 0 62 1 0 0 0 0 112 63
 1.000000E+00 0 2 6 0 82 67 0 0 7 0 0 2676 202 0 115 7 0 0 0 0 209 122
 1.500000E+00 0 1 13 0 81 53 0 0 13 0 0 2540 312 0 135 13 0 0 0 0 325 148
 2.000000E+00 0 2 20 0 68 41 0 0 8 0 0 2452 378 0 143 27 0 0 0 0 405 170
 2.500000E+00 0 1 19 0 73 30 0 0 11 0 0 2368 448 0 152 32 0 0 0 0 480 184
 3.000000E+00 0 1 23 0 74 25 0 0 11 1 0 2285 515 0 164 36 0 0 0 0 551 200
 3.500000E+00 0 5 29 0 68 22 0 0 9 1 0 2236 557 0 160 47 0 0 0 0 604 207
 4.000000E+00 0 2 36 0 69 19 0 0 15 0 0 2192 596 0 163 49 0 0 0 0 645 212
 4.500000E+00 0 2 40 0 76 15 0 0 13 0 0 2176 623 0 155 46 0 0 0 0 669 201
 5.000000E+00 0 3 45 0 77 10 0 0 11 0 0 2130 665 0 152 53 0 0 0 0 718 205
 5.500000E+00 0 2 50 0 70 7 0 0 10 0 0 2089 709 0 145 57 0 0 0 0 766 202
 6.000000E+00 0 3 63 0 65 6 0 0 15 0 0 2048 751 0 148 53 0 0 0 0 804 201
 6.500000E+00 0 4 66 0 64 4 0 0 14 0 0 2033 778 0 137 52 0 0 0 0 830 189
 7.000000E+00 0 6 72 0 76 4 0 0 9 1 0 2004 814 0 132 50 0 0 0 0 864 182
 7.500000E+00 0 3 75 0 62 2 0 0 10 0 0 2009 822 0 118 51 0 0 0 0 873 169
 8.000000E+00 0 1 83 0 71 2 0 0 11 1 0 2017 827 0 108 48 0 0 0 0 875 156
 8.500000E+00 0 7 83 0 71 2 0 0 6 2 0 2003 854 0 92 51 0 0 0 0 905 143
 9.000000E+00 0 1 89 0 79 3 0 0 7 0 0 2010 857 0 86 47 0 0 0 0 904 133
 9.500000E+00 0 3 97 0 71 3 0 0 9 0 0 2007 873 0 80 40 0 0 0 0 913 120
 1.000000E+01 0 6 104 0 70 2 0 0 4 1 0 2001 887 0 74 38 0 0 0 0 925 112
 1.050000E+01 0 4 108 0 71 4 0 0 4 2 0 2005 889 0 70 36 0 0 0 0 925 106
 1.100000E+01 0 8 110 0 72 5 0 0 7 2 0 1991 904 0 72 33 0 0 0 0 937 105
 1.150000E+01 0 6 112 0 74 5 0 0 7 1 0 2004 897 0 68 31 0 0 0 0 928 99
 1.200000E+01 0 3 119 0 61 5 0 0 9 1 0 1972 934 0 65 29 0 0 0 0 963 94
 1.250000E+01 0 5 121 0 64 5 0 0 6 1 0 1969 942 0 61 28 0 0 0 0 970 89
 1.300000E+01 0 5 123 0 63 5 0 0 5 2 0 1956 956 0 64 24 0 0 0 0 980 88
 1.350000E+01 0 2 126 0 63 6 0 0 9 2 0 1971 943 0 64 22 0 0 0 0 965 86
 1.400000E+01 0 4 134 0 64 5 0 0 8 2 0 1955 959 0 65 21 0 0 0 0 980 86
 1.450000E+01 0 2 144 0 67 4 0 0 6 4 0 1947 973 0 56 24 0 0 0 0 997 80
 1.500000E+01 0 5 143 0 73 6 0 0 3 3 0 1952 971 0 50 27 0 0 0 0 998 77
 1.550000E+01 0 3 143 0 68 5 0 0 4 1 0 1943 981 0 52 24 0 0 0 0 1005 76
 1.600000E+01 0 4 145 0 63 5 0 1 10 3 0 1919 1011 0 51 19 0 0 0 0 1030 70
 1.650000E+01 0 4 151 0 64 4 0 1 1 3 0 1942 994 0 49 15 0 0 0 0 1009 64
 1.700000E+01 0 9 154 0 73 5 0 1 5 0 0 1934 1004 0 48 14 0 0 0 0 1018 62
 1.750000E+01 0 3 152 0 63 6 0 1 4 4 0 1936 1004 0 43 17 0 0 0 0 1021 60
 1.800000E+01 0 2 153 0 61 5 0 1 4 2 0 1951 988 0 46 15 0 0 0 0 1003 61
 1.850000E+01 0 3 157 0 63 4 0 0 4 4 0 1944 999 0 42 15 0 0 0 0 1014 57
 1.900000E+01 0 8 158 0 64 6 0 0 3 5 0 1944 999 0 40 17 0 0 0 0 1016 57
 1.950000E+01 0 5 161 0 63 7 0 0 6 6 0 1936 1007 0 42 15 0 0 0 0 1022 57
 2.000000E+01 0 10 164 0 68 6 0 0 4 1 0 1938 1002 0 39 21 0 0 0 0 1023 60
 2.050000E+01 0 3 167 0 63 7 0 0 4 8 0 1934 1003 0 39 24 0 0 0 0 1027 63
 2.100000E+01 0 3 167 0 54 6 0 0 3 2 0 1896 1040 0 38 26 0 0 0 0 1066 64
 2.150000E+01 0 5 175 0 72 7 0 0 1 3 0 1897 1040 0 41 22 0 0 0 0 1062 63
 2.200000E+01 0 4 176 0 69 6 0 0 1 4 0 1911 1024 0 44 21 0 0 0 0 1045 65
 2.250000E+01 0 5 177 0 58 7 0 0 2 3 0 1901 1031 0 43 25 0 0 0 0 1056 68
 2.300000E+01 0 5 179 0 70 7 0 0 6 4 0 1905 1022 0 46 27 0 0 0 0 1049 73
 2.350000E+01 0 5 181 0 64 7 0 0 4 6 0 1910 1016 0 45 29 0 0 0 0 1045 74
 2.400000E+01 0 3 185 0 56 10 0 0 8 5 0 1908 1018 0 46 28 0 0 0 0 1046 74
 2.450000E+01 0 9 180 0 73 10 0 1 3 4 0 1914 1012 0 44 30 0 0 0 0 1042 74
 2.500000E+01 0 7 180 0 64 10 0 3 7 6 0 1918 1001 0 45 36 0 0 0 0 1037 81
 2.550000E+01 0 8 182 0 64 13 0 2 5 6 0 1900 1012 0 48 40 0 0 0 0 1052 88
 2.600000E+01 0 8 186 0 59 15 0 2 4 6 0 1902 1007 0 54 37 0 0 0 0 1044 91
 2.650000E+01 0 6 190 0 66 15 0 2 10 9 0 1914 994 0 52 40 0 0 0 0 1034 92
 2.700000E+01 0 8 188 0 58 16 0 2 5 8 0 1883 1027 0 57 33 0 0 0 0 1060 90
 2.750000E+01 0 7 192 0 63 22 0 1 7 8 0 1884 1012 0 66 38 0 0 0 0 1050 104
 2.800000E+01 0 8 199 0 72 22 0 1 6 7 0 1888 999 0 73 40 0 0 0 0 1039 113
 2.850000E+01 0 7 202 0 66 19 0 1 6 9 0 1885 995 0 75 45 0 0 0 0 1040 120
 2.900000E+01 0 4 199 0 67 16 0 1 11 9 0 1882 1000 0 75 43 0 0 0 0 1043 118
 2.950000E+01 0 5 202 0 68 10 0 1 6 7 0 1883 998 0 74 45 0 0 0 0 1043 119
 3.000000E+01 0 4 202 0 73 11 0 0 8 4 0 1906 974 0 80 40 0 0 0 0 1014 120
 3.050000E+01 0 7 201 0 68 6 0 0 3 5 0 1913 973 0 82 32 0 0 0 0 1005 114
 3.100000E+01 0 4 198 0 67 6 0 0 6 5 0 1925 969 0 74 32 0 0 0 0 1001 106
 3.150000E+01 0 10 198 0 67 8 0 0 3 4 0 1927 970 0 71 32 0 0 0 0 1002 103
 3.200000E+01 0 9 195 0 67 10 0 0 7 4 0 1932 968 0 69 31 0 0 0 0 999 100
 3.250000E+01 0 4 198 0 69 9 0 0 9 9 0 1917 982 0 68 33 0 0 0 0 1015 101
 3.300000E+01 0 9 205 0 62 9 0 0 7 7 0 1910 985 0 72 33 0 0 0 0 1018 105
 3.350000E+01 0 6 202 0 60 10 0 0 7 9 0 1910 989 0 71 30 0 0 0 0 1019 101
 3.400000E+01 0 7 205 0 67 10 0 0 4 10 0 1909 993 0 64 34 0 0 0 0 1027 98
 3.450000E+01 0 4 206 0 75 10 0 0 4 6 0 1892 1005 0 65 38 0 0 0 0 1043 103
 3.500000E+01 0 7 208 0 65 9 0 1 5 3 0 1889 1009 0 65 37 0 0 0 0 1046 102
 3.550000E+01 0 7 207 0 49 8 0 0 3 4 0 1885 1015 0 65 35 0 0 0 0 1050 100
 3.600000E+01 0 6 210 0 65 9 0 0 4 11 0 1894 999 0 67 40 0 0 0 0 1039 107
 3.650000E+01 0 7 211 0 58 11 0 0 4 6 0 1895 1011 0 59 35 0 0 0 0 1046 94
 3.700000E+01 0 11 213 0 70 10 0 0 4 5 0 1888 1010 0 71 31 0 0 0 0 1041 102
 3.750000E+01 0 7 215 0 65 9 0 0 6 8 0 1893 1011 0 68 28 0 0 0 0 1039 96
 3.800000E+01 0 10 214 0 72 8 0 0 5 5 0 1893 1014 0 63 30 0 0 0 0 1044 93
 3.850000E+01 0 4 218 0 56 11 0 0 3 10 0 1883 1021 0 66 30 0 0 0 0 1051 96
 3.900000E+01 0 6 214 0 66 13 0 0 4 8 0 1883 1017 0 69 31 0 0 0 0 1048 100
 3.950000E+01 0 7 213 0 72 9 0 0 4 6 0 1887 1010 0 74 29 0 0 0 0 1039 103
