Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
0	0	0	7.22657e+25	0	6.02214e+25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80664e+27	7.25066e+26	7.22657e+25	1.20443e+26	4.81771e+25	2.40886e+27
0.5	9.26478e+23	4.47768e+25	2.65624e+25	1.20093e+25	2.00294e+25	7.92464e+19	6.18711e+18	3.83545e+20	1.20541e+22	2.40352e+23	2.89716e+21	2.40352e+23	2.40352e+23	2.40352e+23	2.40352e+23	2.40352e+23	9.55495e+23	2.09362e+22	5.1963e+22	2.16487e+24	8.5769e+23	1.23096e+24	2.7325e+25	1.08484e+24	3.8655e+25	5.96252e+25	1.62992e+27	7.25066e+26	7.10014e+25	1.18998e+26	4.59603e+25	2.40886e+27
1	1.7512e+24	4.33972e+25	2.71173e+25	2.10922e+25	1.64123e+25	5.91598e+20	5.26285e+19	1.48869e+21	2.23069e+22	5.27001e+23	1.10899e+22	5.27001e+23	5.27001e+23	5.27001e+23	5.27001e+23	5.27001e+23	1.10763e+24	8.6087e+22	2.28095e+23	3.84175e+24	1.45021e+24	2.37485e+24	2.12661e+25	4.21616e+24	6.59972e+25	1.13288e+26	1.54874e+27	7.25066e+26	6.97809e+25	1.17269e+26	4.41073e+25	2.40886e+27
1.5	2.31829e+24	4.23136e+25	2.76338e+25	2.85146e+25	1.33881e+25	1.72027e+21	1.45744e+20	2.91e+21	2.99221e+22	8.03864e+23	2.31246e+22	8.03864e+23	8.03864e+23	8.03864e+23	8.03864e+23	8.03864e+23	1.24088e+24	1.69531e+23	4.55864e+23	4.84429e+24	1.71389e+24	3.33782e+24	1.66031e+25	8.24379e+24	8.36535e+25	1.60058e+26	1.48293e+27	7.25066e+26	6.87254e+25	1.15595e+26	4.2877e+25	2.40886e+27
2	2.69137e+24	4.14603e+25	2.81141e+25	3.45534e+25	1.0886e+25	3.5464e+21	2.69377e+20	4.44169e+21	3.57725e+22	1.0716e+24	3.87509e+22	1.0716e+24	1.0716e+24	1.0716e+24	1.0716e+24	1.0716e+24	1.36085e+24	2.54602e+23	6.8973e+23	5.41718e+24	1.77455e+24	4.16317e+24	1.30039e+25	1.24154e+25	9.43428e+25	2.01379e+26	1.42905e+27	7.25066e+26	6.78074e+25	1.13971e+26	4.20702e+25	2.40886e+27
2.5	2.91868e+24	4.07871e+25	2.856e+25	3.9449e+25	8.83271e+24	6.0934e+21	4.05801e+20	5.98968e+21	4.04303e+22	1.33075e+24	5.77968e+22	1.33075e+24	1.33075e+24	1.33075e+24	1.33075e+24	1.33075e+24	1.47079e+24	3.32322e+23	9.06743e+23	5.70766e+24	1.71553e+24	4.88104e+24	1.0218e+25	1.62988e+25	1.00031e+26	2.38279e+26	1.38456e+27	7.25066e+26	6.70055e+25	1.12394e+26	4.15627e+25	2.40886e+27
3	3.0369e+24	4.02556e+25	2.89732e+25	4.34062e+25	7.15852e+24	9.34758e+21	5.41455e+20	7.51287e+21	4.427e+22	1.58182e+24	8.01015e+22	1.58182e+24	1.58182e+24	1.58182e+24	1.58182e+24	1.58182e+24	1.57284e+24	3.98369e+23	1.09598e+24	5.80876e+24	1.59127e+24	5.51289e+24	8.05608e+24	1.96671e+25	1.02148e+26	2.71506e+26	1.34756e+27	7.25066e+26	6.63021e+25	1.10862e+26	4.12724e+25	2.40886e+27
3.5	3.07411e+24	3.98362e+25	2.93554e+25	4.65963e+25	5.80061e+24	1.32738e+22	6.67439e+20	8.99474e+21	4.75384e+22	1.82522e+24	1.05512e+23	1.82522e+24	1.82522e+24	1.82522e+24	1.82522e+24	1.82522e+24	1.66845e+24	4.51201e+23	1.25318e+24	5.78152e+24	1.43667e+24	6.07429e+24	6.37451e+24	2.24235e+25	1.01744e+26	3.01611e+26	1.31657e+27	7.25066e+26	6.5683e+25	1.09373e+26	4.11424e+25	2.40886e+27
4	3.05183e+24	3.95057e+25	2.97082e+25	4.91617e+25	4.7042e+24	1.78259e+22	7.78593e+20	1.04299e+22	5.03992e+22	2.06134e+24	1.33881e+23	2.06134e+24	2.06134e+24	2.06134e+24	2.06134e+24	2.06134e+24	1.75868e+24	4.90888e+23	1.3778e+24	5.66723e+24	1.27355e+24	6.57676e+24	5.06416e+24	2.45512e+25	9.95868e+25	3.29012e+26	1.29047e+27	7.25066e+26	6.51364e+25	1.07923e+26	4.11321e+25	2.40886e+27
4.5	2.98662e+24	3.92458e+25	3.00333e+25	5.12191e+25	3.82251e+24	2.29538e+22	8.72442e+20	1.18175e+22	5.29631e+22	2.29051e+24	1.65071e+23	2.29051e+24	2.29051e+24	2.29051e+24	2.29051e+24	2.29051e+24	1.84432e+24	5.18388e+23	1.47138e+24	5.49448e+24	1.11506e+24	7.02901e+24	4.04174e+24	2.60809e+25	9.62444e+25	3.54034e+26	1.26837e+27	7.25066e+26	6.46526e+25	1.06512e+26	4.12113e+25	2.40886e+27
