# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1
 1.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 2 1
 1.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 3 1
 2.000000E+00 1 0 0 0 0 0 0 0 0 0 0 0 2 2 1 3 5 0
 2.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 2 1 3 2 5 1
 3.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 4 1 4 3 6 3
 3.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 2 3 3 4 6 6
 4.000000E+00 3 0 0 0 0 0 0 0 0 0 0 0 2 3 2 5 3 11
 4.500000E+00 5 0 0 0 0 0 0 0 0 0 0 0 3 3 3 5 3 11
 5.000000E+00 4 0 0 0 0 0 0 0 0 0 0 0 3 7 3 6 1 12
 5.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 7 6 5 6 4 7
 6.000000E+00 5 0 0 0 0 0 0 0 0 0 0 0 8 5 3 7 3 9
 6.500000E+00 2 0 0 0 0 0 0 0 0 0 0 0 9 4 6 6 3 6
 7.000000E+00 7 0 0 0 0 0 0 0 0 0 0 0 7 4 6 8 6 8
 7.500000E+00 7 0 0 0 0 0 0 0 0 0 0 0 8 4 8 9 5 5
 8.000000E+00 6 0 0 0 0 0 0 0 0 0 0 0 11 3 8 4 5 9
 8.500000E+00 7 0 0 0 0 0 0 0 0 0 0 0 11 6 12 7 4 9
 9.000000E+00 2 0 0 0 0 0 0 0 0 0 0 0 7 8 12 11 5 8
 9.500000E+00 4 0 0 0 0 0 0 0 0 0 0 0 6 11 10 10 5 8
 1.000000E+01 5 0 0 0 0 0 0 0 0 0 0 0 5 7 11 10 6 8
 1.050000E+01 8 0 0 0 0 0 0 0 0 0 0 0 4 6 10 11 7 10
 1.100000E+01 9 0 0 0 0 0 0 0 0 0 0 0 5 5 10 10 9 9
 1.150000E+01 2 0 0 0 0 0 0 0 0 0 0 0 4 7 7 11 11 8
 1.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 11 5 9 16 7 8
 1.250000E+01 3 0 0 0 0 0 0 0 0 0 0 0 13 10 6 14 10 9
 1.300000E+01 8 0 0 0 0 0 0 0 0 0 0 0 12 9 10 9 8 14
 1.350000E+01 7 0 0 0 0 0 0 0 0 1 0 0 7 11 9 13 6 12
